,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.4937667514658104,0.43076530825875115,0.4925402120154124,0.4455048252662427,0.49221475839604667,0.5073489453609394,0.47391487456959064,0.48847904034836936,0.5034690195583892,0.377023069214342,0.4514166468053049,0.5022115385836675,0.5089048157134257,0.45975269228718296,0.5098295228410504,0.4991982025976261,0.4932167868672359,0.4478706107955683,0.5363292430160308,0.4552494451311283,0.45484763242353454,0.39812952634045046,0.4686564674412844,0.5097255790144419,0.46441087466311626,0.48585797636750877,0.4971316878471823,0.47344254438885874,0.45387518384718417,0.4813193150478356,0.48219020509274146,0.469832414079878,0.4687407496897551,0.47600754339992374,0.5007470122444695,0.4999002377631493,0.48945537782560666,0.44170685833737783,0.46706290430290154,0.48543822779436946,0.43291931514658377
Albanian,0.4937667514658104,0,0.4172290941052679,0.482234745067643,0.4321629213069372,0.4842910626095367,0.5072990346268168,0.46695098340546937,0.4833765041921043,0.5230115644326114,0.4831530921695551,0.48494127718474545,0.4989194291497148,0.4950844256360087,0.4913906240203002,0.4975153392989495,0.4974609378134852,0.4847504599541579,0.4678443175037137,0.5338164556458304,0.4467854433726215,0.44541755980146225,0.3906980126111137,0.4543732312207194,0.5025624286693787,0.45280115915950847,0.5170923065313555,0.49254697557821486,0.45991324213337775,0.4404766834922715,0.47857928078267303,0.4695853225734235,0.44820161342532827,0.45585371737177754,0.4484896515681019,0.48868697991869775,0.4969613469976245,0.48674058659087704,0.4724423358306668,0.448003819128326,0.4763889971607267,0.42971229311653747
Armenian,0.43076530825875115,0.4172290941052679,0,0.42263046415244576,0.38113987874692146,0.4339036375358188,0.44492218101368414,0.4081732317185517,0.42134842811728723,0.4571328159040828,0.4224933237169483,0.4228038176457478,0.44143573544755915,0.4394003909554785,0.4319588264972555,0.4366483424122951,0.43234152168040985,0.42715344653032467,0.40352639195720436,0.46773000149351857,0.3933605490244224,0.3866912724827147,0.3399903544004193,0.40452040807137435,0.44122699397542664,0.3950136837521082,0.4561419629478521,0.4261727972230937,0.3994170292391054,0.3877230162058808,0.42091331308924584,0.41411914416491946,0.4001060201838074,0.4031812371360286,0.3989770358407893,0.43453791739773445,0.43443423610007337,0.42629731603343257,0.41095458322815925,0.40077359110488475,0.4155765384461166,0.3786484508537088
Bengali,0.4925402120154124,0.482234745067643,0.42263046415244576,0,0.43441227500103696,0.4722872337449369,0.4874179684628993,0.464188822296447,0.46732087694143465,0.5236935864317988,0.4686406064858544,0.45906576227432405,0.48850369407211003,0.4994166739072665,0.48246044300182783,0.48601906468187195,0.43061283282902346,0.4266749754837317,0.46240179749487,0.5174499320108813,0.43366477980784546,0.44320300586711947,0.3853731722737178,0.45529480488700985,0.4485374071353173,0.40657353422968007,0.5171509134506093,0.4828802204757373,0.4565952967271775,0.4282876240130946,0.4600278454279396,0.4733625529442956,0.4542826197445523,0.4551234686774787,0.458225865636054,0.4879210149613155,0.4851907323406804,0.4604446453755756,0.46288015280887235,0.4547292303679903,0.4226335650487039,0.41972922374915567
Bosnian,0.4455048252662427,0.4321629213069372,0.38113987874692146,0.43441227500103696,0,0.3925253890627982,0.45291010813522803,0.3290158568671684,0.39594450686449495,0.4703992990701667,0.4314164321841133,0.4420302881067682,0.4539607835477191,0.4453809869379894,0.4469408796865133,0.4494153310363865,0.4412095862941474,0.43502437116519416,0.41913269065448655,0.4858269554455528,0.3937567959920354,0.39327853281481345,0.3468232546171363,0.3367404131663688,0.45104707527462656,0.40717233591472934,0.46032442332839785,0.4462365562121393,0.41628257625522214,0.3644573140924193,0.4275948626001541,0.41876192896387043,0.3560281511197841,0.2937042873482168,0.41247438246256934,0.38822007781352036,0.3971962623125026,0.4254441893041185,0.4258731470409387,0.35561021850747315,0.4258826271688946,0.3898302226533549
Bulgarian,0.49221475839604667,0.4842910626095367,0.4339036375358188,0.4722872337449369,0.3925253890627982,0,0.48474547336544865,0.3920268159409594,0.42368558708624376,0.517896946066953,0.4699094984180484,0.46181290597777275,0.4957438525963325,0.48724344266210534,0.4858064642705445,0.4882450103151887,0.4732220331692154,0.46759747615336855,0.46677399165289407,0.5240539267101512,0.4265955708773108,0.4494747178556785,0.388970440793792,0.3839506698166096,0.4820444483179068,0.45737510128084635,0.5128159060229713,0.49422716402978606,0.45873125133418396,0.40666019542077503,0.4634160964529953,0.46562171319615536,0.42134538147272443,0.40054319144966255,0.4634464030568602,0.4339476938514929,0.45417848812631567,0.4665031643325319,0.4678034867775209,0.4189820891883246,0.46455108749306473,0.4142609429768838
Catalan,0.5073489453609394,0.5072990346268168,0.44492218101368414,0.4874179684628993,0.45291010813522803,0.48474547336544865,0,0.47223341854864087,0.4845276097253126,0.5220805636104552,0.47902045250974934,0.46529098514901734,0.4773062980698957,0.4575580645167138,0.4928228909451504,0.49887470134845197,0.49018145215477055,0.4821598037712196,0.48266775758301245,0.5273924433704545,0.4036783401714086,0.4620620615678159,0.4095250080094688,0.46992609258125717,0.4932394646764423,0.4755180956844687,0.5197050614336067,0.5111062618234583,0.4854804141844077,0.45191524401140043,0.4210804149214375,0.4640356633432005,0.4709900291982234,0.4733799601962758,0.48552846360445834,0.4949496749913006,0.49633221874870903,0.4138067047859348,0.47582616870495786,0.47221535589555186,0.47786413568926017,0.4302453158004454
Croatian,0.47391487456959064,0.46695098340546937,0.4081732317185517,0.464188822296447,0.3290158568671684,0.3920268159409594,0.47223341854864087,0,0.40587129823895235,0.5002197608167889,0.4574762240647334,0.4507172072210621,0.48003112199853226,0.4743164290580125,0.47263388201911044,0.4790999736670509,0.46409362190588693,0.4590088124676424,0.4523458522273741,0.5122065607591412,0.41462458070716046,0.4291208866511671,0.36900366008352464,0.3721928413655357,0.47519192391505444,0.4410426591136891,0.4956253996542674,0.47400762984414596,0.4419255420868172,0.3896045526822081,0.45622394265485905,0.4438322511603594,0.3961588435978252,0.33396384516342215,0.447859424621125,0.40536668305013945,0.41724884853028943,0.45329344827241774,0.4535266056808345,0.3906057238465648,0.4531836689070762,0.4076746671544758
Czech,0.48847904034836936,0.4833765041921043,0.42134842811728723,0.46732087694143465,0.39594450686449495,0.42368558708624376,0.4845276097253126,0.40587129823895235,0,0.5023275227341075,0.47125391182054177,0.4600233876406772,0.48856730103605156,0.48488055785868106,0.4840009998680285,0.4898132170405171,0.47869814012808776,0.4783140955409551,0.46000317323245155,0.52139827280788,0.42796728317840577,0.43448925852027476,0.38392957105855385,0.4142839150390091,0.49069241003084246,0.4440853737257157,0.5028485952446886,0.4827561477525598,0.4506176091775827,0.39775714997674977,0.46310066678815,0.45643946465681967,0.4140048393545034,0.4096109145537157,0.45547980198212057,0.40438640228647144,0.4453944213544284,0.4645577806328805,0.4657623816970664,0.410313962153741,0.4618092959242591,0.4115191946856326
Danish,0.5034690195583892,0.5230115644326114,0.4571328159040828,0.5236935864317988,0.4703992990701667,0.517896946066953,0.5220805636104552,0.5002197608167889,0.5023275227341075,0,0.4858030280279405,0.48095556113799875,0.525603124130273,0.5338454649714227,0.4948577274836072,0.5344839487180277,0.5173598699743479,0.5174924197049592,0.47448193718867115,0.5530583083427104,0.46799867366016334,0.485974424685591,0.4275702373812255,0.49433964197904456,0.5294633304585401,0.4870728768888161,0.4909145896562984,0.5296836782152378,0.5018936049972105,0.4753852920959584,0.5031527641661905,0.5049193062919602,0.49309624111483324,0.4968580801405547,0.49448731448729705,0.5211756365685694,0.5187479527829671,0.5041962937647211,0.4589102437656237,0.4890903477281512,0.5092700986359787,0.4463699966435851
