,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.533690473591214,0.47035732018656196,0.5464768340477677,0.47657449859528433,0.5385810879525912,0.5585498183406536,0.5248974662967589,0.5202935368911418,0.5533655410095409,0.42547962874040524,0.4863718310941899,0.5636842130356744,0.5674479073384466,0.4996589830620281,0.5492568191080338,0.5494532642562111,0.5461522271386805,0.4889542483722577,0.5875701409710248,0.4959771936176772,0.48077693853118336,0.4298065269967095,0.5166112841084106,0.5685038714703043,0.5042185001385211,0.5454896675475045,0.557197520325126,0.5092387947141166,0.48412774887809573,0.5274227790482212,0.5357530957497149,0.5056763976447897,0.5166746546140255,0.5079661337539992,0.5437923606641939,0.5553568791234622,0.5388358147355237,0.4996852754891672,0.5052334625635293,0.5363716540008883,0.4656940826114163
Albanian,0.533690473591214,0,0.44787277922302393,0.5187844734930773,0.4502570412295667,0.5093055908024181,0.5320883100313627,0.492216015022141,0.5047973094982218,0.5697759357300822,0.505581450806873,0.5071192267827,0.529909703109794,0.5328071837534478,0.5098453642796429,0.5171540365847592,0.5338359568079477,0.5219146019852056,0.5016418906109057,0.567749153607373,0.45905842822937776,0.4615853282174618,0.41169969973591436,0.4817523324314406,0.5440604410458999,0.4794958039087129,0.5604655970759501,0.5396656308643272,0.48492466843779636,0.4636340324037779,0.4988508698502057,0.5064693186717163,0.47688093407332116,0.48782105896404004,0.4756344328048409,0.5217984224423422,0.5312672092456305,0.5009779093578969,0.5085450205341053,0.47278600156181466,0.5147420423597014,0.4458635407377534
Armenian,0.47035732018656196,0.44787277922302393,0,0.4685802320211021,0.40525036761988725,0.46120445876774985,0.47919366040098965,0.44155694144328644,0.44525906780009467,0.5013996831481623,0.4520630670338559,0.45384060645442065,0.48459373040060183,0.4778920695005561,0.4586584297559936,0.46187662118714307,0.4766277756113031,0.46938148623809334,0.43452033131096535,0.5040850113572684,0.4182743032847202,0.4085921546854632,0.36365590683993104,0.4363594115311245,0.48868009715184363,0.43673660787952845,0.4926611798176076,0.47337474214282604,0.4235818537251624,0.41624918792999627,0.45103355624653546,0.45161932326098814,0.4280123024414888,0.4383703607000924,0.42637285275274517,0.4644354828746671,0.47973198472168943,0.4562544486994556,0.4466653359178641,0.426989431211025,0.458782798904399,0.39954047045264346
Bengali,0.5464768340477677,0.5187844734930773,0.4685802320211021,0,0.4693615972543219,0.512721618167456,0.5356059187404855,0.5053169603361829,0.5063715766168184,0.5735062303912414,0.5145512446079299,0.5095826736155783,0.5423783561262849,0.5428959222222103,0.5198442724547301,0.5135775749744026,0.4739969353148675,0.4642391550154728,0.5124329841182323,0.5747771380196592,0.4667534816940727,0.4718602713833441,0.4161050625864795,0.4993955659579273,0.5002579234295202,0.43172219295575653,0.5641765031636172,0.5284303959866249,0.4890671925970078,0.46219397774342014,0.5048650906000357,0.5159331570634649,0.49610196265505785,0.5045042242966407,0.47878859761253806,0.5289958920194222,0.5322880269049208,0.5048964089480081,0.5135910093531992,0.4921389820453529,0.46067704162171924,0.4551433753133342
Bosnian,0.47657449859528433,0.4502570412295667,0.40525036761988725,0.4693615972543219,0,0.40617602152492405,0.4795126099906031,0.3518116733582335,0.40972875087829036,0.5120347359004017,0.4587572766916445,0.46383212460226986,0.4878411183485933,0.478975333630007,0.4633375337253959,0.47185490288466864,0.48040259315599115,0.47469764867187175,0.44209339616492227,0.5218369585299306,0.4070243056589987,0.4024795675888255,0.3554790528302213,0.3595153051463957,0.49448379324289743,0.43863427449682796,0.4995773795189056,0.48646049517974516,0.43372400143136514,0.3764993299781308,0.451766628943747,0.45001248924260856,0.37294993411898164,0.3166855501223257,0.4344699841959101,0.41604673509889856,0.4321932842149751,0.4527483539669807,0.45156718218860553,0.36999942146956377,0.467849727936276,0.40799969299384076
Bulgarian,0.5385810879525912,0.5093055908024181,0.46120445876774985,0.512721618167456,0.40617602152492405,0,0.5248417501028446,0.4192305908829883,0.45723596710388564,0.5633039245695027,0.5086276543299884,0.4989057943366914,0.5407984178251849,0.531598429484759,0.5092673408844881,0.510545978345473,0.5235642070189982,0.5129812316327488,0.5000337728776089,0.5696770531638394,0.44095574106039936,0.46116401137851976,0.39813377597203725,0.4181150089692067,0.5413832052694255,0.477713182477353,0.5599446512368116,0.5386824161036966,0.48830446549787593,0.4281830729939827,0.501361050112282,0.498045622782534,0.4453010956434264,0.4351047057942232,0.4801518292450335,0.47254739239197524,0.4908899975318629,0.4930426061998535,0.5049399269904201,0.4432272797852714,0.5061657782253248,0.43809207601190486
Catalan,0.5585498183406536,0.5320883100313627,0.47919366040098965,0.5356059187404855,0.4795126099906031,0.5248417501028446,0,0.5096843884021592,0.5159439044748355,0.5802909391769979,0.5267983231024156,0.5127741519487644,0.5312946229753076,0.500710019857875,0.5297171680928848,0.5309580310367178,0.5456304963478973,0.5341962037168728,0.5205092328964603,0.5850481210186645,0.44624438508499187,0.47743754030616137,0.4250261675262161,0.5087773863266479,0.5613846869111941,0.5090565968732617,0.570489498529484,0.5561936311592268,0.5143909160947409,0.4764769202112646,0.47135908691852324,0.49786288662904854,0.5011978109528542,0.5110845958921557,0.5095443983104766,0.5301420860581232,0.5407017445379135,0.46463056461614066,0.5263229477738459,0.5015904785913459,0.5285486783600133,0.4679926078822305
Croatian,0.5248974662967589,0.492216015022141,0.44155694144328644,0.5053169603361829,0.3518116733582335,0.4192305908829883,0.5096843884021592,0,0.4413625779819053,0.5519663096594585,0.4897247951465881,0.48731362971322484,0.5218520398459224,0.5184601875891989,0.4957124791477959,0.4969866663332059,0.5118551172808833,0.5095836150792449,0.49114646136469353,0.5593873415340871,0.42489699300073047,0.4455214092830486,0.38473920732706574,0.41170217973488493,0.5256733578065339,0.47003603902327135,0.5504700008673014,0.5241630043836727,0.4744024095934076,0.4059549320829122,0.4892759602706506,0.4774563739251616,0.42607881650744645,0.36883256645597073,0.4695756196726303,0.44333003981705654,0.44974762963446246,0.4805096499122046,0.49341668828403934,0.41722763886914266,0.49854304578352393,0.43339151682783483
Czech,0.5202935368911418,0.5047973094982218,0.44525906780009467,0.5063715766168184,0.40972875087829036,0.45723596710388564,0.5159439044748355,0.4413625779819053,0,0.5467425071134252,0.49861792697892343,0.49324608401435144,0.5297307802037483,0.5169035503894835,0.5105910336418605,0.5125981156462577,0.5146941402492561,0.5142151353524712,0.4857802687503,0.5597283337572688,0.44900676236917547,0.44269777101883523,0.3991834646287698,0.4454611202924171,0.5335664987035829,0.46845763949861635,0.540824483435996,0.5242053115622918,0.47752573869596193,0.40578833417019394,0.4923835831483863,0.4864131618548885,0.4307783028732812,0.4404565122164443,0.46848033978980047,0.4180321636835078,0.4868568662585077,0.4882518461221187,0.49500854362591895,0.4287677026842357,0.5036704063396635,0.4365688342704911
Danish,0.5533655410095409,0.5697759357300822,0.5013996831481623,0.5735062303912414,0.5120347359004017,0.5633039245695027,0.5802909391769979,0.5519663096594585,0.5467425071134252,0,0.5287918835220755,0.5062265293864374,0.5830252740372723,0.5836777133241178,0.5140989730334731,0.5697933892100168,0.5709241846771221,0.5660314120550296,0.5114124453301527,0.5984132088790868,0.5102501678324807,0.5218518774561388,0.4545726078151344,0.5477490239049727,0.5920766429459223,0.5225474316572292,0.5346062488051676,0.5808196341311921,0.5339288726708894,0.5086598617541352,0.549973953534794,0.5594502826410838,0.5394883261893542,0.5486018012863139,0.5382368330232338,0.5672055827852127,0.5730954684518312,0.552893196799576,0.5055515399035011,0.5339632695919325,0.5541287603992306,0.48156350671125625
Dutch,0.42547962874040524,0.505581450806873,0.4520630670338559,0.5145512446079299,0.4587572766916445,0.5086276543299884,0.5267983231024156,0.4897247951465881,0.49861792697892343,0.5287918835220755,0,0.4550330381082841,0.5370439799056805,0.5425377251515073,0.4518077670499751,0.5138945299258272,0.5178793351103492,0.5105133257725174,0.4751750991052643,0.5626407868784069,0.4635899063296515,0.4591460499350635,0.40905480015803114,0.4905309620234422,0.535192209556781,0.48108001750288737,0.5215431958469109,0.5322939465047686,0.4823276041673995,0.46108910604920955,0.5003028491038342,0.5017514264306192,0.48371542593749856,0.4918380642414515,0.4827722218280825,0.5183248547862301,0.5224892952380595,0.502066784189155,0.46697458310415263,0.48200253345421024,0.505407282353077,0.44395209851795464
