,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.581499793628081,0.5164966086686347,0.6064876092166376,0.5290934420581984,0.6002856509047831,0.6154681405349414,0.5905481679933249,0.5795716131774327,0.6129103431859777,0.4956716914781229,0.5491858287864783,0.6283497000928274,0.614988149531216,0.5628221872398147,0.6050375582353056,0.6063940219507983,0.6068370914549762,0.5409819651289893,0.6466370774804336,0.5514228975124661,0.5444325065319848,0.49302648154209067,0.5723958460208218,0.6270005037205951,0.5613069120628099,0.6003871194492343,0.6103797213773164,0.5568624142658822,0.535916697391072,0.5937298719430849,0.5883417553625191,0.557568156684899,0.5735989374198068,0.5582338156308898,0.5991707993039095,0.6006832351868429,0.5999703349899823,0.5604649121801714,0.559262946367298,0.6003473150597355,0.5217668216170305
Albanian,0.581499793628081,0,0.4910486639570841,0.5690100564733628,0.4997700923972461,0.5579268927813744,0.5775161547126465,0.5422721291927161,0.5518527632068633,0.61635795834942,0.5552246425336793,0.5546635107475568,0.577284389462134,0.577909970546139,0.5577690615616971,0.5590181825237672,0.5769653702911852,0.5716691220472266,0.5443807652432527,0.6147994661207863,0.5017229203897129,0.5149982318455693,0.46635840087008923,0.5303491946170464,0.5891021265684272,0.52532937351824,0.6044782881860082,0.5839511506741574,0.5256975314246458,0.5050614411691848,0.5504212578763161,0.5493569555999088,0.5258807249610193,0.5369743591773124,0.5152720775004328,0.5706782367825031,0.5722202766123643,0.5490896291244524,0.5533618553686446,0.5195162237403591,0.5646743321686108,0.49156564878115544
Armenian,0.5164966086686347,0.4910486639570841,0,0.5176136989458439,0.4487811221029967,0.5122104168441687,0.524610588274792,0.496208792630298,0.4994274973638388,0.5547183895155577,0.5037222590669724,0.5030805902979906,0.5378353813187593,0.5223795639330081,0.5070085816228654,0.5070435241997815,0.5233275257471292,0.5189514128186288,0.47664965293120154,0.5500645397304776,0.4683811664050211,0.4629324845940792,0.418319154909992,0.4828337877356527,0.5331012090500377,0.4874918021720474,0.5378162696225308,0.5190910005515222,0.46321180777255905,0.46120989120790756,0.5067219464102148,0.49836896560278204,0.4727656924901777,0.4829540783368816,0.4765180933486876,0.5100354042792176,0.516840029152769,0.5113082470275508,0.4947886977196885,0.4723978029645633,0.5143640749259953,0.45021941895605494
Bengali,0.6064876092166376,0.5690100564733628,0.5176136989458439,0,0.522637053398337,0.5720872310997135,0.5961505640979478,0.5650673617643407,0.5665069838747765,0.6344715010644241,0.5781108100021174,0.5747475529138178,0.6074484140198994,0.5997318387353726,0.5787441259378002,0.5699807707874808,0.5383677970785302,0.5281708735439614,0.5687054503442518,0.6377403642769535,0.5229253486763791,0.5367418850008331,0.48056660430292825,0.5535222844338396,0.561297992072468,0.48539159773282753,0.6211186238165707,0.5862979907851001,0.5382737132403069,0.5134747777306718,0.5751940856583093,0.5673665275200683,0.5518739573743731,0.5618938085598034,0.5260751920003057,0.5856800783798569,0.5864783367383342,0.57049828981113,0.5687356884199052,0.5460623372957832,0.519668577383851,0.5106188587082117
Bosnian,0.5290934420581984,0.4997700923972461,0.4487811221029967,0.522637053398337,0,0.4679083555642459,0.5319860759095236,0.42482727871115744,0.4641647780954196,0.5694302878597055,0.5163380683485498,0.5187356737141093,0.5446738806007936,0.5312989922465021,0.5168654984195664,0.520338607830634,0.5302387964350606,0.5285066184651804,0.4899926845308094,0.5728636441932444,0.46570144819943454,0.4523121180309236,0.40807347008667666,0.4141635320334337,0.5447158138897912,0.4903179330678402,0.5497317187662276,0.5337229762255458,0.4754176163118549,0.4234131147634939,0.5127577168606643,0.501351426999937,0.42043196366982954,0.37220944030034026,0.48214821347319725,0.46702147615651074,0.47944418226212066,0.5133219488923627,0.5006291961243771,0.4151605725903793,0.5239641422341612,0.4580568416591722
Bulgarian,0.6002856509047831,0.5579268927813744,0.5122104168441687,0.5720872310997135,0.4679083555642459,0,0.5821575416232648,0.4741305149021493,0.5143360050929598,0.6246296774515128,0.5670148174682303,0.5610316517094857,0.5953601396270817,0.5918459540598525,0.5653554976765158,0.5545723641405105,0.5849039579401409,0.5761442842213087,0.5550419491391531,0.6338074264373681,0.4875574095501923,0.5176912836046468,0.45827242325604334,0.47750466586977913,0.602453352651914,0.5340464237845893,0.6168161673590222,0.5979181759871307,0.5334400409902161,0.4761335786511571,0.5588796979054955,0.5511544910291777,0.5022250662123395,0.49395298035792773,0.5293926121000018,0.5320516446157904,0.5479099977641778,0.5463879248806596,0.5591880502807554,0.49362615261981696,0.5674663245957955,0.4915527988085962
Catalan,0.6154681405349414,0.5775161547126465,0.524610588274792,0.5961505640979478,0.5319860759095236,0.5821575416232648,0,0.5701951544120583,0.5716741220351487,0.6416367284439691,0.5914879569869278,0.5797817023741927,0.5906967313186691,0.5581130115683739,0.5866333389055145,0.5836463591122107,0.6034842054606272,0.5960821034048492,0.5722579545507471,0.6470595955702552,0.503687526345256,0.5388369797694694,0.48304447124290106,0.5649186808801852,0.6185001817057841,0.5614309867955597,0.6240600001735881,0.608279990462549,0.5570057227084106,0.5231692654170189,0.5356094642413816,0.553698949745986,0.5574382763045893,0.5666456205238741,0.5579380350580311,0.587017225879294,0.598607476410214,0.5286331805145453,0.5811216548917317,0.5517373315667232,0.5935173298271186,0.5238170621966021
Croatian,0.5905481679933249,0.5422721291927161,0.496208792630298,0.5650673617643407,0.42482727871115744,0.4741305149021493,0.5701951544120583,0,0.4954274809739733,0.6165281304719017,0.546982712085062,0.5450687073256718,0.5760966204310091,0.5806579605832415,0.5482866732929985,0.5431150030533871,0.5714995257360891,0.5747889882743297,0.5481013640072739,0.6250680938751362,0.47412007190176475,0.4985043561126874,0.44351992473708396,0.4769651011244404,0.5838093703406809,0.5267992540634143,0.6112148403732095,0.5863208938190793,0.5226209054250608,0.4516524418787258,0.545128236535528,0.530516324291212,0.4865719723231599,0.43829580331820334,0.5188446867170543,0.503482303429082,0.5103626644196523,0.5351139288569369,0.5493277627560451,0.4706922289674202,0.5620829130263989,0.485054903430227
Czech,0.5795716131774327,0.5518527632068633,0.4994274973638388,0.5665069838747765,0.4641647780954196,0.5143360050929598,0.5716741220351487,0.4954274809739733,0,0.6073232744378397,0.5588054363164917,0.5507936252973704,0.5823446121890301,0.5774575202381731,0.5694474185826258,0.5612415288572802,0.5718678898284097,0.5747448896105218,0.5417270620837917,0.6198664488336898,0.5016412415830707,0.4971741090258635,0.4559184456205134,0.500881259445337,0.5920213401815483,0.5266738625494362,0.5979350685768194,0.5834811001310245,0.5295839173198231,0.45402333108415066,0.5486916046633652,0.5444845722363396,0.4824752999772708,0.4951036631004017,0.5209517368309021,0.47154229033076955,0.5374370362655664,0.5448798534266034,0.5480379580517897,0.48004312203125454,0.5658478119935106,0.49023248297889316
Danish,0.6129103431859777,0.61635795834942,0.5547183895155577,0.6344715010644241,0.5694302878597055,0.6246296774515128,0.6416367284439691,0.6165281304719017,0.6073232744378397,0,0.597048208282892,0.5709137087124948,0.646213591170096,0.6418033209233964,0.5753624271183305,0.6243292921601007,0.6321956259916797,0.6270795960971449,0.5704930769839306,0.6658827351280521,0.5706782060443406,0.5912791803025143,0.5232239505903367,0.60900335350949,0.6522267147855826,0.5824791228023772,0.5938791008017064,0.6418466481041019,0.5833749539175973,0.5612351119651966,0.6179990684476708,0.618944153863193,0.597447584171102,0.6078700069338178,0.5931275837822773,0.627589549838184,0.6299136587741463,0.6149753423000338,0.5714337822529617,0.5922497022406672,0.6169127231548769,0.5423688022820924
