,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.5725676024453757,0.4981954721885656,0.5868470677994909,0.514472147930024,0.576166078562988,0.5919293771890597,0.5596750428267806,0.554718104945838,0.5860409394877145,0.4416243423854007,0.5211658156147148,0.6009792301262873,0.5994855809975492,0.5336914192235952,0.5854011675522548,0.5876302597076415,0.5775902791629853,0.5196325869110789,0.6238402725284404,0.5305247889966682,0.5185340137365563,0.46774085445262453,0.5504331108792349,0.6024858198009637,0.544150690814162,0.5845970273450551,0.5872462802780527,0.5356175720700342,0.5158961795709026,0.562412725808526,0.5696412144092594,0.5446444821356053,0.5507055862369638,0.5447107874948963,0.5804195657699877,0.586714007459311,0.5722485837027912,0.5322167136729766,0.5423250041102577,0.572230285639118,0.5018708641932186
Albanian,0.5725676024453757,0,0.4836198681143218,0.5589986738751764,0.4880832176321321,0.5481365849679811,0.5710656418909327,0.5319087296836263,0.5421350039891991,0.6135554993379905,0.5450374516112686,0.5473353496249613,0.5780979214907257,0.5683792559863586,0.5553495561716403,0.5627001037184818,0.5665533415575843,0.5528699050953967,0.5426416834535538,0.613255095677957,0.501202885803235,0.5005742147451312,0.45332374703151895,0.5180397757360475,0.5753559470006083,0.5222329999243602,0.6036493058440402,0.5711008507822454,0.5190754242557376,0.4930650829945112,0.5422644443949545,0.5401481008959004,0.5152792564289433,0.5217302622515974,0.512054663403695,0.5607217101461692,0.5673129420828146,0.5445286437714347,0.5482027423589174,0.5118264318735546,0.5516336454737057,0.4873164245962304
Armenian,0.4981954721885656,0.4836198681143218,0,0.4967361282999639,0.4363447273454336,0.49613603889926516,0.5095154377140481,0.4722328117809536,0.47692947975958344,0.5325061788837964,0.4791935136474907,0.4830350040273706,0.5176211191149395,0.5096679377856926,0.48639657635406586,0.49056029385459626,0.5042398007603963,0.49013534765419203,0.4641374004895871,0.530856346033954,0.44888370771336894,0.4379382439209796,0.3971985051786649,0.4667524594277412,0.5153046149053644,0.46705675585613915,0.532927879079576,0.5014167856274772,0.447795614752211,0.4407269356415374,0.4822540835137328,0.479257090614059,0.46065995561221446,0.47103220866647244,0.4585958257413269,0.49700586612211584,0.507328078557439,0.4879355424507105,0.4781097101774603,0.4615439846310822,0.4882860952152955,0.4269112956924221
Bengali,0.5868470677994909,0.5589986738751764,0.4967361282999639,0,0.5015843242783621,0.5566823481228927,0.5697789029049058,0.5441235511202617,0.5470604443443253,0.6187163155836831,0.5478342907182543,0.5475631398223448,0.5831045333181455,0.5841584199318218,0.5560961221314212,0.555681721575344,0.5046076142868352,0.49178654427983987,0.5461448348616973,0.6198020581489619,0.5044646749022458,0.5067199107232396,0.4520722318805966,0.5312446117448206,0.5247028070762946,0.4685035025597061,0.6170187564845319,0.5721223311168417,0.5200307527523426,0.49494052387136833,0.5422924976799425,0.5479671165113241,0.5266752600011917,0.5359456680133105,0.5169842710558163,0.5728361348300549,0.5659065643414453,0.5399716166718639,0.5506188144397407,0.5234700306358941,0.49426838928274464,0.49061031181004305
Bosnian,0.514472147930024,0.4880832176321321,0.4363447273454336,0.5015843242783621,0,0.4343168427834193,0.5153963343277517,0.3779804269173505,0.44329345109259966,0.5409816407396733,0.4923860155151689,0.49610532136725416,0.5238184516240125,0.5109918976635193,0.5013579511550011,0.5055740263758555,0.5115984116183377,0.5008629483428871,0.4785366981012226,0.5581758857966989,0.4382265533581915,0.4405579546750876,0.39569080986488087,0.383870946306752,0.5208344256988034,0.4694120584771747,0.5353513891245979,0.5161889791687951,0.4641599596474013,0.4028992158899155,0.48690358633299574,0.48141089184590974,0.40641168959266644,0.3433903153306958,0.4682409378675353,0.4536971092905558,0.45566160295997055,0.48395985054334556,0.4845087213742195,0.4022038850693784,0.49292986967662905,0.43837621110485714
Bulgarian,0.576166078562988,0.5481365849679811,0.49613603889926516,0.5566823481228927,0.4343168427834193,0,0.5659606700436051,0.44821915374373494,0.49381245051759665,0.6004828914872657,0.5506354001385353,0.5451428523418298,0.5802399438088603,0.5711716713791956,0.5577883334390779,0.5595352215878097,0.5591687402210563,0.5482606143412732,0.5441596307766796,0.614197092577322,0.4914687094211844,0.5016635520925846,0.4408880813748171,0.4449212170289305,0.5739279738007409,0.5223779865169897,0.6006418539963687,0.5709452713265867,0.5194013075378963,0.4609474529702044,0.5433342247217932,0.5415425125614733,0.4795113279207516,0.4644551788585977,0.5186424599391781,0.5103737786667728,0.5151470715407565,0.5323722302416756,0.5482045951863864,0.47240786285059233,0.5457389984730736,0.481385647330952
Catalan,0.5919293771890597,0.5710656418909327,0.5095154377140481,0.5697789029049058,0.5153963343277517,0.5659606700436051,0,0.550412458317502,0.5589041460210079,0.6212001926665975,0.5587282090740995,0.5529015722594545,0.5709815536190318,0.5237246319647435,0.570368222745164,0.5699333630824341,0.5772271261035706,0.5599592885625639,0.5547853603136097,0.6241576670389548,0.4766730287057171,0.5234266598858992,0.4660031836203045,0.5411427459603004,0.5840217606344873,0.5406234681778167,0.6229204672059167,0.5956054249896552,0.5498861981889822,0.5161314264921278,0.5058546461974246,0.5268592653659138,0.5358904773650541,0.5479554263289494,0.5411051340886016,0.575399740684505,0.5722442692206126,0.487873627142214,0.5644929362212001,0.5394310594031894,0.5638730740321661,0.5036052869212343
Croatian,0.5596750428267806,0.5319087296836263,0.4722328117809536,0.5441235511202617,0.3779804269173505,0.44821915374373494,0.550412458317502,0,0.47594680452808047,0.5867529611320443,0.528233504850014,0.5282586183532516,0.5642871854265717,0.5550955802100108,0.5377712244182313,0.5443488098411141,0.5433820304160991,0.5383855844573042,0.5297810414885886,0.5972595572447891,0.47046968465360134,0.4842326412161761,0.4296311927196934,0.43937660153105973,0.557142503891089,0.5114238774922438,0.5849828038908834,0.5548639780449446,0.5037931584673075,0.4361415443363448,0.5274641043819693,0.5159273294941183,0.46065419367808197,0.39907086667793007,0.5129526628112423,0.480162075111662,0.47634678280846204,0.52174125453475,0.530774115672899,0.4513855336909748,0.5363150977718434,0.4709683156037901
Czech,0.554718104945838,0.5421350039891991,0.47692947975958344,0.5470604443443253,0.44329345109259966,0.49381245051759665,0.5589041460210079,0.47594680452808047,0,0.5808286184464699,0.5343422323179493,0.5319401886441611,0.5660125636207652,0.5519488411160366,0.5447327628497438,0.5526070382404871,0.5600778916212609,0.5501898069590707,0.5248297331272116,0.5959472324075856,0.49243637242064847,0.48202647286851374,0.4355371027586415,0.47906194342812397,0.5747253151642825,0.5127289104206705,0.5736290338008008,0.5597398897476665,0.510278954990297,0.43949451902374476,0.5298811896306324,0.5226824710091225,0.46489686949014764,0.4733557084323017,0.5090756931937157,0.45002331128313483,0.5092648519992543,0.5226025834894102,0.5328697993808698,0.46188111517952357,0.5416039943366049,0.4765170499947363
Danish,0.5860409394877145,0.6135554993379905,0.5325061788837964,0.6187163155836831,0.5409816407396733,0.6004828914872657,0.6212001926665975,0.5867529611320443,0.5808286184464699,0,0.5624200019200973,0.5482479517935728,0.6264988623798194,0.6271914373498327,0.5538872771753355,0.6116732327978216,0.6124366284839498,0.6048662646251202,0.5436710288945706,0.6451175032147575,0.5419052040890356,0.559601185031685,0.49408500107635833,0.5784078633922454,0.6355291661955549,0.5652919476883865,0.5801394102929666,0.6213471259401547,0.5681531283526214,0.538994202830765,0.587377379075589,0.5948657442487989,0.5726766726416218,0.5816175104361994,0.5747127348329243,0.6090927777344786,0.6059717487987232,0.5911720614567736,0.543953588438875,0.5656295879536374,0.5986609312686604,0.514135857648065
