,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.5808125864063299,0.5430759353555067,0.5894953391766531,0.5656697321361868,0.5955511199754411,0.6082194373289811,0.5874069958552869,0.5870141293005375,0.6256750637078393,0.5778126860163868,0.5819560611656494,0.6189448080065882,0.6060420638180251,0.5917189553141599,0.5947287776732051,0.5901490401411282,0.5847099290545422,0.5755958833951524,0.6384697544531666,0.5638972203357336,0.5593240123201375,0.5237806471510794,0.5797850919552398,0.6063303601955125,0.5651649377653396,0.6210458845870467,0.6026296438970736,0.5657412937076493,0.5625693675700897,0.5839131589395204,0.5875244507655,0.5766220455852697,0.5852442631821427,0.5614990140820553,0.6006424379545162,0.6044957843185815,0.5777249501295006,0.5868586847114432,0.5779129368325371,0.5896302560706432,0.5493970466497136
Albanian,0.5808125864063299,0,0.5069346577132111,0.5561301098151756,0.5292578905440656,0.5615324366015451,0.575619745882666,0.554321436168339,0.5485894017876095,0.5986407640526852,0.5582830487423528,0.5534291520685999,0.5851946593533698,0.5736840078587025,0.5649930859376501,0.5614865951225168,0.5604767015275494,0.5571584775279016,0.5469995302556208,0.6083836537902906,0.5308936398537202,0.5263413453658329,0.4898217426723191,0.545271728312326,0.5735593881241957,0.5291055051775542,0.5911165197494537,0.5724687201819575,0.5277925499189704,0.5283156205373458,0.5488986805591096,0.5520211610521396,0.5392317203932627,0.5482238846508142,0.5231258302652267,0.5637580922222791,0.5693212824649823,0.5397898880651569,0.5532312546071244,0.5385149466496609,0.5527726732436626,0.5169215670120206
Armenian,0.5430759353555067,0.5069346577132111,0,0.5164463981468682,0.4768548099017417,0.5217113715192303,0.5356221499781306,0.5095687593771161,0.5093145593196104,0.560617011007663,0.5135073083633604,0.5098508349189703,0.5486061651962744,0.5363619705310512,0.5204320404620353,0.516979516597817,0.5178059657091907,0.5154564188039518,0.5049710198544461,0.5736456091342242,0.4794811774011741,0.48126234997887785,0.43553607290520946,0.5026353114618164,0.5340460715533407,0.4854561518760103,0.5580929885001086,0.5350901753442769,0.4821347171831962,0.47898323267547627,0.510955063208091,0.5123018746322583,0.49646667726150745,0.504795042445392,0.4839350267952235,0.5307315032334794,0.5275290161709487,0.5006047109054371,0.5125555019559157,0.49342008870733667,0.5133606745436455,0.4664667669538937
Bengali,0.5894953391766531,0.5561301098151756,0.5164463981468682,0,0.5343893903206608,0.5673051009482648,0.5851384958612912,0.5583228714759694,0.5603617606079625,0.6066519847870764,0.5658185790586566,0.5567023246693633,0.5928901999967146,0.5859993641680463,0.5723804868307962,0.5702619931448972,0.5638287834243771,0.5586292590766881,0.5549220721830027,0.6189919364831188,0.5356925258254296,0.5324887472175315,0.4950934904014743,0.550602759878831,0.5787166348940344,0.5312945258636376,0.6033193888760185,0.5807513757405102,0.538426220233184,0.5341321889620516,0.5601617504964808,0.5620778837516353,0.5471112579933635,0.5555938308313023,0.5344345746284827,0.5758496393794287,0.578278565425776,0.5523667204139817,0.5628235599864108,0.5475558666286476,0.559246362795542,0.5201955969887238
Bosnian,0.5656697321361868,0.5292578905440656,0.4768548099017417,0.5343893903206608,0,0.5318551521077316,0.555526737429587,0.5162525143890968,0.5229589944854625,0.5816202420456199,0.5317222694964289,0.5223425222063175,0.5677204496878949,0.5587479333858703,0.5378759529489126,0.5354993377870588,0.5365650637132428,0.5314491973810124,0.5262082574682642,0.5947275573588723,0.49117604859050684,0.49627077796211905,0.44910662378630056,0.5091918286333657,0.5542488520636537,0.49791744756253836,0.5791023212526778,0.5589343526496645,0.5001623180930239,0.4869264152524801,0.5299974039460935,0.52977050098926,0.5039228381951475,0.5085181392302133,0.506167243298577,0.5467988479039542,0.5475328683285635,0.5225994001716795,0.5312361861929632,0.4978413946656652,0.5305292154182483,0.477225985178419
Bulgarian,0.5955511199754411,0.5615324366015451,0.5217113715192303,0.5673051009482648,0.5318551521077316,0,0.5902694740576091,0.550170493371488,0.5556972963807084,0.6071944313763366,0.5661983177853742,0.5543028286707822,0.5948850575617769,0.591480113103329,0.5738417480266664,0.5722281860328784,0.5720125047082516,0.563061926378813,0.559552023698619,0.6238778105530497,0.5312221950564878,0.5345386248867925,0.4960106381454811,0.5492503860260834,0.5865312578590895,0.5340167081403183,0.6074542096166795,0.5875823373118431,0.5407417211536394,0.5306438757725124,0.5620164396568462,0.5618263077875599,0.5455666070061479,0.5532855302085011,0.5385011797954602,0.5745420226985216,0.583950591953884,0.5575164007182524,0.5651209885015501,0.5438557584743577,0.5646466985310856,0.5159516238998221
Catalan,0.6082194373289811,0.575619745882666,0.5356221499781306,0.5851384958612912,0.555526737429587,0.5902694740576091,0,0.5821174566088314,0.5812259263851379,0.6254102476393634,0.5836843548990406,0.5782112546911199,0.6110998205051036,0.5962569831426117,0.5900258464715843,0.5867820094140652,0.5862992242713085,0.5820964234729106,0.5742085048980404,0.6356467366069313,0.5539908882379112,0.5512632382879882,0.5133235511694226,0.5728856661550082,0.6005654179186745,0.5577328215848285,0.6205321571599908,0.5992318863696573,0.5575132883040738,0.5558910524389112,0.5738373238166331,0.5783878513495148,0.5693660637637226,0.5773182767610253,0.5558948055360611,0.5937139897925956,0.5978843904110454,0.5657520249023359,0.5795457101090297,0.5706807661291803,0.5825053267929344,0.5412189688916924
Croatian,0.5874069958552869,0.554321436168339,0.5095687593771161,0.5583228714759694,0.5162525143890968,0.550170493371488,0.5821174566088314,0,0.5459064168907992,0.6040963221043292,0.5560943771940202,0.5456202816174323,0.5888215478854529,0.5827686324993823,0.562570637489651,0.5620333166876412,0.5613120354132962,0.5542134471384784,0.5517276171504343,0.6168084329703489,0.5183287538687781,0.524994949195719,0.4827673786093429,0.5403614897706747,0.5773712253577474,0.5232367754258105,0.6020235765967875,0.5811589807435653,0.5294056330753092,0.5176519585904009,0.5530044015015819,0.554283055328128,0.5346916651850231,0.5394535487516893,0.5307945647742935,0.5673066721626331,0.5764927876590741,0.5483050684672761,0.5557823506080086,0.5320436155917784,0.5557405791209644,0.5053394729060695
Czech,0.5870141293005375,0.5485894017876095,0.5093145593196104,0.5603617606079625,0.5229589944854625,0.5556972963807084,0.5812259263851379,0.5459064168907992,0,0.6045363422292518,0.553950253795992,0.5520731890961723,0.5890806287365009,0.5796862565349493,0.5603877950346604,0.5619493765510581,0.563380673906244,0.5555508557758866,0.5504049514543607,0.6144950403941164,0.5208359283090627,0.5261648046347973,0.4842522585442157,0.545675961110274,0.5796942914723521,0.5255274691993435,0.5991240751228205,0.5804857986143359,0.5276440357944373,0.5165848563888482,0.5508892458151039,0.5524354804767589,0.5379570169373086,0.5470809308320175,0.5346151956208113,0.5634024724379234,0.5797012329095168,0.5475228491294228,0.5547378193609422,0.5352924676993804,0.5569722489600328,0.5088696602092764
Danish,0.6256750637078393,0.5986407640526852,0.560617011007663,0.6066519847870764,0.5816202420456199,0.6071944313763366,0.6254102476393634,0.6040963221043292,0.6045363422292518,0,0.6085695487419819,0.5976010112381912,0.6314269735902117,0.6225334507167734,0.6115182042251676,0.6157300438348361,0.6112223423881832,0.6055681087977692,0.5940291609899983,0.6528461140626104,0.5816178194727549,0.574145172933009,0.540651925406416,0.5953250935323712,0.6222627932462171,0.5815289565489054,0.6285259864524453,0.6220815560905225,0.5841737646050387,0.580962820821173,0.6014968076980812,0.6048897054784055,0.5930576190830142,0.5987553354089105,0.5743829264536271,0.613438661616847,0.6172004142077347,0.5938694883097503,0.601493303197132,0.5930158348959929,0.604257488446263,0.5660887078338909
