,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4.738376679540102,4.1962156553571885,4.810222921763537,4.285239711162182,4.625511529437722,4.813178949693908,4.608935213418624,4.386177848579726,4.557567521704006,3.4772965852273447,3.8598171385258344,4.880249393463669,4.821589849497671,4.183834882508147,4.924882337849833,4.772943034228229,4.820824838938432,4.265039919744478,5.002770026644724,4.513591635649175,4.354107474314843,3.9172657505180224,4.552924961225371,4.906899841069233,4.500994118078407,4.479092871541712,4.809014181253073,4.431046481967542,4.283874701454372,4.550595639501304,4.824495026938781,4.515437902981137,4.546893188412917,4.618594098742512,4.712488752493384,4.819697053593694,4.5948113482737805,4.169183193668747,4.552439665725597,4.690857277365506,4.040106277065726
Albanian,4.738376679540102,0,4.026919937178845,4.514338937830476,4.123392421783941,4.439401544074015,4.540186071946061,4.378629383331003,4.276695416519803,4.8504834381251065,4.398732965203908,4.2661848323835265,4.541461017769625,4.514776593241989,4.512269181598982,4.589191374208401,4.55561438793906,4.459011055206865,4.494396397643886,4.8389627840254725,4.135816602530552,4.241024651179024,3.758915247044603,4.329551596586128,4.546985934899245,4.178969360750398,4.852077399775148,4.597167013102715,4.202009218669516,4.107367889053715,4.324335957763649,4.473318989653238,4.326009488457415,4.40463464545616,4.239732234896419,4.532197862201653,4.598847918819467,4.328571157524609,4.53613208260337,4.272859643055473,4.436216160968701,3.9219642439188487
Armenian,4.1962156553571885,4.026919937178845,0,4.0862331704868184,3.6009541448381372,3.9921568020592866,4.19130727120196,3.864654429730295,3.9203639679331443,4.361459919565827,4.006693057857756,3.928158137973231,4.289250004680207,4.138002609634718,4.0231026476283445,4.092053403395583,4.109045151475277,4.079661890099846,3.844020497764218,4.394302194950021,3.746664639814732,3.7832532044783282,3.3031212674713846,3.8462048537030933,4.1756419121972845,3.8916076093241503,4.300382936875707,4.184706829439474,3.6708785727074926,3.662941109756862,3.984048530831278,4.021549000590941,3.863395386734973,3.8555219442163864,3.8679771827387293,4.039979502743731,4.1747402147396295,3.9848445872874665,3.955083116953142,3.817200317965816,4.069205429836831,3.532380807658081
Bengali,4.810222921763537,4.514338937830476,4.0862331704868184,0,4.104963141629961,4.335541751625206,4.6278973599765045,4.350648365501001,4.321166240258302,4.917629993015084,4.467193408558278,4.3078013982653305,4.652171265614053,4.687074207763994,4.532234784563075,4.624930291201239,3.8003258028906233,3.750156306329227,4.516469866949801,4.93669674117337,4.176375875963467,4.233823210620206,3.7575823854098984,4.240334468443564,4.033762051905162,3.6433322661223975,4.854374777584988,4.529270375808631,4.265843865193099,4.062366425954388,4.373138748497295,4.642845484346255,4.359420759888703,4.33445648655541,4.22038768141043,4.527947648099439,4.529475114469824,4.34560695287472,4.467379176783776,4.311500900906881,3.8308594077615696,4.041106664876511
Bosnian,4.285239711162182,4.123392421783941,3.6009541448381372,4.104963141629961,0,3.375452619330617,4.283146475743028,2.7021599680568427,3.401095301794161,4.525021222347164,4.0730961356476705,4.066648322225551,4.388414023732787,4.239631873157099,4.1598577026215615,4.24345672346343,4.102122542108287,4.163713716244956,3.929743593920883,4.660500602721913,3.6448943665457665,3.516716923542461,3.031040398112931,2.9931019364376152,4.261867746982045,3.9528285137470993,4.442162457772567,4.336218303048546,3.758990974999318,3.0547574543418237,4.045030932954881,3.986553819414422,3.1279754006777165,2.452053304607375,3.912373883555616,3.3294398673329404,3.549928160022026,3.9749326315546085,4.03303510916138,3.058507048005301,4.173100795475228,3.663138029397605
Bulgarian,4.625511529437722,4.439401544074015,3.9921568020592866,4.335541751625206,3.375452619330617,0,4.467675063101455,3.483912166363572,3.7786514717082293,4.799071467182404,4.327665103369366,4.259506840297982,4.6514616106247955,4.4784176598835215,4.402995266777457,4.494282439469572,4.309901711126871,4.301310661680296,4.356410713618276,4.840572920871095,4.032893695697981,4.097709431807767,3.5226193166121917,3.322743310399479,4.464387701138214,4.18045977545283,4.814379617516561,4.635387145212865,4.165348382367398,3.544708480054066,4.273786600457889,4.373472422130573,3.7410621012059853,3.5306144482234223,4.260956975202323,3.8600128194157,4.0748222264076395,4.218696646494522,4.36237711119481,3.7216412088786637,4.334827035158491,3.8320849437690625
Catalan,4.813178949693908,4.540186071946061,4.19130727120196,4.6278973599765045,4.283146475743028,4.467675063101455,0,4.449207999008817,4.482766426324024,4.848454564976899,4.520106041389908,4.307439092085833,4.21947568883812,3.893569596431233,4.535973960702979,4.718100003897483,4.697539038666509,4.6112586432889735,4.536392942382308,4.912032124074983,3.7973704141141966,4.438783977389315,3.873783947109565,4.4351124649008575,4.734848389258102,4.435112356913851,4.770994663059679,4.788218289066359,4.350093516238872,4.151814805173361,3.7819816223561094,4.319103999702581,4.487959390405207,4.455240619870595,4.520874649144272,4.571608032327818,4.702737971892545,3.6989598422494754,4.470283632158031,4.432105490332997,4.5880460944672965,4.039952030615483
Croatian,4.608935213418624,4.378629383331003,3.864654429730295,4.350648365501001,2.7021599680568427,3.483912166363572,4.449207999008817,0,3.5327674104692095,4.779189863796702,4.302276798133173,4.258886586698599,4.59054294046205,4.479051857997666,4.399071110683133,4.427777380229319,4.338398486874044,4.352754767489743,4.272411662108862,4.875350362243724,3.86172709082149,3.8964109755471705,3.2655605307592737,3.361617773133693,4.481229870903351,4.139579273506197,4.794306707348082,4.590122235740331,3.9960214449549767,3.3032241456350473,4.297240765615302,4.208970514557952,3.5544035934691722,2.8706465001678088,4.17434016741915,3.6020877310393637,3.748266873120915,4.192308536856058,4.335048618029338,3.417989854800776,4.384583920024413,3.78625522922288
Czech,4.386177848579726,4.276695416519803,3.9203639679331443,4.321166240258302,3.401095301794161,3.7786514717082293,4.482766426324024,3.5327674104692095,0,4.534412234542792,4.228869282552246,4.040937859360982,4.391580204125649,4.417270620913016,4.461779364129632,4.516614069716821,4.283429248184105,4.313499295535601,4.19160045406656,4.68652240643398,4.086149442024267,3.713569256535167,3.412680808895679,3.6726782895573296,4.389256208576967,4.062013168197097,4.57053933840461,4.41680147340899,4.117087379674234,3.331766714648539,4.1977262098625765,4.287101210314082,3.646588896955731,3.528347959558655,4.1505931916003345,3.251757182818616,3.995631629020034,4.153273831051244,4.278857142279229,3.5567005463087935,4.21094532489684,3.7761732130616172
Danish,4.557567521704006,4.8504834381251065,4.361459919565827,4.917629993015084,4.525021222347164,4.799071467182404,4.848454564976899,4.779189863796702,4.534412234542792,0,4.367733135129153,3.9440219873712885,4.866470435696336,4.8478449001599495,4.299124179825863,5.090503301422368,4.78686751553226,4.766306685006862,4.228798712533457,4.906238215663473,4.603336164544459,4.671360367961747,4.108166723480407,4.780498152889759,4.9282520608827936,4.542989930866086,4.361775082069696,4.866360439623583,4.45336434604677,4.407857518105189,4.5792998150681195,4.936850857952599,4.773493038717753,4.818084457096572,4.700185001083796,4.856112753375447,4.899179611497638,4.60519356782014,4.173425863242091,4.712339776366466,4.665779795173617,4.052343057422563
