,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.780178052348275,3.461853153040701,4.201531483602095,3.6223224792381656,4.0099723035887065,4.458327407152271,3.940346568655143,3.974439577712688,3.9469390335498526,2.914710687696823,3.5414740121812565,4.220478740261955,3.9611325908224457,3.594196740791242,4.33638316151013,4.452190259302517,4.396805433807703,3.459337226418712,4.332934109391264,3.7236057090282504,3.874024851974547,3.5526774366694434,3.8023804511636414,4.4852699581357145,3.563699400564283,3.9285358152922556,3.927485615512355,3.6522583597034495,3.8433179578292616,3.8543426739853923,4.131156602545363,3.8072735365181596,3.833099301440899,3.4492055669149613,4.126219941593601,4.36757308710679,3.999554794924393,3.622779039738768,3.771219523610901,4.002932514318076,3.399521443212755
Albanian,3.780178052348275,0,3.269593933127281,3.829800247664763,3.4564481948695644,3.8138631819846016,4.1488215206248125,3.729372507506714,3.8328811097860807,4.276698279148943,3.795241029771931,3.9681800539555003,3.9772407853491267,3.697277230899731,3.9690132771395747,4.036895882876399,4.154056929392655,4.149263483327649,3.7012566326576097,4.119571086577753,3.566176529918899,3.735638642188316,3.3710614922490643,3.559193135408793,4.079062725862524,3.3259795348328702,4.248139163197092,3.687416623033411,3.447327880378715,3.6799924275922997,3.6659772288776806,3.8917212899574634,3.5663481373153627,3.6476318828517553,3.0454699558372837,3.8732493418968623,4.169597156159251,3.763923751004057,3.8487886583672375,3.4938626843911047,3.72595988305203,3.38223828685068
Armenian,3.461853153040701,3.269593933127281,0,3.481994296943189,3.0198742762693445,3.426066780456073,3.7127030983151226,3.2300158717234235,3.4336405091610565,3.794137975667583,3.4151315853149877,3.4252429348195355,3.647194684791519,3.481768871029664,3.4766078809480927,3.40648459517703,3.785514007536144,3.6783013686939596,3.102821041369939,3.7728972071149025,3.074508533517761,3.241184527174837,2.903893154741397,3.2085979815538517,3.771422896177627,3.101796525548271,3.6733777410435815,3.382550508471786,3.073427492182758,3.196690206551521,3.3018913865112864,3.3920037596815793,3.197918964022214,3.2350275914668587,2.9337699901112777,3.4608016361818,3.7192559095869044,3.374655846024718,3.3820130931592978,3.1437910799346596,3.378478534350899,2.848356453047086
Bengali,4.201531483602095,3.829800247664763,3.481994296943189,0,3.611558946145589,3.9523976262973255,4.326640519217989,3.9356867805692826,3.9707100083428895,4.480206353059069,4.019987856218586,3.9420196476257265,4.273673129060576,4.084379320833829,4.128015676181362,4.091054525811345,3.615053209652319,3.549556502752276,3.9357863108722526,4.480283453402978,3.659412849673396,3.835463904200918,3.4461993983686336,3.727015505101115,3.7568261489215398,2.949320296467379,4.407902653362792,4.034668985864169,3.699524309860085,3.6972260933824965,3.844676115296604,4.064012455254187,3.830496337659245,3.8452040099459874,3.386485651495155,4.085158405380295,4.277541829388171,3.868516109058776,3.9717089031844837,3.7299876345355596,3.3053014706142148,3.5003725692127987
Bosnian,3.6223224792381656,3.4564481948695644,3.0198742762693445,3.611558946145589,0,2.840647878325582,3.925716409056031,2.2035477046883956,2.93424896256586,3.891833911940578,3.4784993410608105,3.589982087639258,3.737052207915772,3.676150625396103,3.51777753152067,3.7236001159882814,3.910415561632981,3.850052849986711,3.3357018583245885,4.075341653081036,3.0885606196695963,3.0576236728961166,2.7431803921762383,2.3796750269893954,3.9450003166813485,3.0863561911240405,3.8089376149823115,3.6907803403971258,3.268305321356478,2.637303904040988,3.4047664925319685,3.458590704073543,2.5411235694258063,1.9076298566686034,3.184974886918018,2.8169852172959637,3.0377670946869535,3.462497398628619,3.520898294619527,2.497837614399984,3.5149961277439403,3.0787520023370054
Bulgarian,4.0099723035887065,3.8138631819846016,3.426066780456073,3.9523976262973255,2.840647878325582,0,4.194142195537124,2.8946829662407474,3.3227056590555777,4.303719778056899,3.8097471527156026,3.8909847884381574,4.112183534196506,3.913061672692088,3.9527143570003638,4.020660659524489,4.257542543482159,4.1690299511013365,3.712472396875969,4.34815214372095,3.3629248288816247,3.7016521366887387,3.2337959086259023,2.695623939630163,4.301092240511737,3.545845391647487,4.273334239853822,4.02203604913578,3.657226303903881,3.1497468091414387,3.7319516797724432,3.857854490895814,3.0771568386949038,2.9381524808903055,3.454882152303726,3.3634146537567737,3.5849862306408644,3.7027099375563,3.901707550761715,3.0672023080078534,3.807752302576144,3.2564110465883784
Catalan,4.458327407152271,4.1488215206248125,3.7127030983151226,4.326640519217989,3.925716409056031,4.194142195537124,0,4.0987472788249635,4.236035504126393,4.573926993483675,4.176484291604623,4.114253110228316,4.049125646757267,3.50148736824794,4.287013447799622,4.249101249709274,4.6325461209009005,4.527348490913521,4.106527268518183,4.609443460567411,3.259124085970829,4.257650862734582,3.6881649420616616,4.018139046022278,4.588500909953936,3.877811999892885,4.470451960268265,4.435009551961351,4.00305148885337,3.9873901476958835,3.414423010511135,3.78675528339975,4.087557812931618,4.137688760843331,3.785007165926269,4.266721283633452,4.485161073777202,3.218826236287899,4.163045571420988,3.922183034375173,4.231947283947221,3.626900151450923
Croatian,3.940346568655143,3.729372507506714,3.2300158717234235,3.9356867805692826,2.2035477046883956,2.8946829662407474,4.0987472788249635,0,3.0770718013357388,4.140087789121583,3.739094688160229,3.8241832399603255,3.9967245345850144,3.8771465592052965,3.8589360437797997,3.913070450912096,4.159559870849084,4.1407500708595535,3.685133664442248,4.303086431535277,3.275390675413052,3.668092282452773,3.091926882745439,2.723378911634255,4.157970779403346,3.434043393720369,4.191938591167512,3.8820738825292787,3.5243012761164483,2.9343068900463063,3.6497910263379327,3.71582095248454,2.937232881767781,2.2583705545395296,3.3673511644417595,3.005637294014473,3.076693354113751,3.592976134734005,3.8187486367920798,2.805010601625792,3.8107079012070275,3.1915548592603704
Czech,3.974439577712688,3.8328811097860807,3.4336405091610565,3.9707100083428895,2.93424896256586,3.3227056590555777,4.236035504126393,3.0770718013357388,0,4.163963280219985,3.7843649548504543,3.883357823608171,4.080079552823253,4.002647462137094,3.9449405119436234,4.112302337228207,4.311408768881896,4.275435182926691,3.707807989261023,4.340861276987578,3.5086771839548914,3.55304347241127,3.2389969822988203,3.181066146140594,4.389646819124621,3.464256875718455,4.199144011755931,3.968145255193482,3.5933641924736275,2.921679176433342,3.7131464029810606,3.9458140347872632,3.0857593055055825,3.0586423944589485,3.511235789832869,2.698462331234226,3.608435371553734,3.7346028273286525,3.9032854105173223,2.9457413354444886,3.8111440931729317,3.28548311377311
Danish,3.9469390335498526,4.276698279148943,3.794137975667583,4.480206353059069,3.891833911940578,4.303719778056899,4.573926993483675,4.140087789121583,4.163963280219985,0,3.819619627344636,3.7041279068747537,4.332920922617113,4.273718059935914,3.7671371366017707,4.450602402266288,4.64261578616878,4.571917685030823,3.5782628677514277,4.564267003192404,3.8304044452168386,4.2722732660930065,3.824569398129683,4.099166808917604,4.661768781826381,3.737865689337347,3.6954124168975597,4.328566911972637,4.038078817740683,4.024547631383933,4.017725866693415,4.269552824621581,4.076723836562742,4.167638664277746,3.828718423379715,4.2575713360856415,4.45946828281786,4.087718727256432,3.59740822278845,3.961428103648083,4.191243801030308,3.508502633964855
