,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.9342548647223405,3.684649308726663,4.420988086897249,3.9627624621038695,4.174968272169076,4.541385345403726,4.219341814886853,4.299597194305386,4.483356457944066,3.529301471876432,3.780366567847997,4.490543956966395,4.191270713811854,3.955724658285097,4.539035426594081,4.53825837447317,4.554545930680325,3.6823644122339343,4.735919470683661,3.956149177890555,4.484075678648771,3.8371618506999337,4.0805021567813995,4.620757064261741,3.8990875649553134,4.006674719773746,4.2306318261544815,3.8734182694726655,4.265206270833446,4.318331100107228,4.314392354442385,4.056274816584867,4.10911906835255,3.767821634615298,4.502169818349911,4.701157233109626,4.127210306520574,3.7930441051635717,4.036228267072522,4.304728228957948,3.670372944291718
Albanian,3.9342548647223405,0,3.4427598110720905,4.031557166665637,3.860326610341361,3.996348531826645,4.24526417661399,4.047468173046625,4.1917578231118675,4.942478693505,4.294403020207316,4.22247746558649,4.340654870534728,3.9113217467258723,4.369303773643578,4.32302756807031,4.245482801352849,4.28468531029945,3.930328348953223,4.400361321753911,3.8600145822611878,4.368788492405006,3.6448523931252144,3.89806147798761,4.1959013327944445,3.7301559555697636,4.491432251521425,3.91331582847874,3.6128321454525585,4.107770001603595,4.158014525356648,4.205859386287266,3.8772121364576204,3.9463291427815608,3.2632514475933987,4.298501413771661,4.567881882016963,3.938278045964139,4.035634702360273,3.827442774668548,3.982298142944516,3.658963544860462
Armenian,3.684649308726663,3.4427598110720905,0,3.843925579207576,3.2169132704893246,3.7373104154218195,4.084823062832442,3.6481312202690885,3.8673594236650692,4.509167468967692,4.032100033326033,3.8651823935196643,4.038880572095611,3.9032828719840698,3.939904968242237,3.7123697247834024,4.093940227213525,3.9559342043461423,3.449455977834636,4.210371420028803,3.4182976585209865,3.6767687167107117,3.2237387611478927,3.6499172814176997,4.0875040219213465,3.4316768017729524,3.9853072739441573,3.713467806055387,3.3462926728505944,3.6942108764266974,3.930150117730339,3.76966215798502,3.5395467014863624,3.6097630932385347,3.294069469888592,3.933959534511595,4.095527828555524,3.7862610654080893,3.7685584849327096,3.5571369850312173,3.776298151036634,3.31327238024236
Bengali,4.420988086897249,4.031557166665637,3.843925579207576,0,3.8690157715859943,3.750115075008139,4.1293558881920065,3.831116904716075,3.956263760286066,4.557385238988196,4.074362279835469,3.868900361777064,4.23917042339197,4.079748450196705,4.019077879201955,4.105344981533974,3.4734049980372674,3.4998959779914283,3.9231876493975117,4.516035859172354,3.5357234082608042,4.128739965449444,3.5289173030256493,3.585952977615885,3.614789763069779,3.362333843576652,4.604286332040198,4.045632681635305,3.743922533734725,3.7296184481911,4.012130124732243,3.925744179148159,3.795239748248094,3.7853819705991576,3.6259256102020525,4.100441611836911,4.363921354956958,3.756930886438457,3.896394303911941,3.644197695341094,3.3527918410231883,3.4050987084336257
Bosnian,3.9627624621038695,3.860326610341361,3.2169132704893246,3.8690157715859943,0,3.309862108502876,4.170673307211707,2.8154937495031582,3.4279782754219825,4.31530774061263,4.069675678275062,3.8869537336580486,3.978830591656559,4.1778420020256934,3.9362275416118475,3.9323373802184536,4.216453694821203,3.969399143241588,3.731443195118565,4.7162957128637055,3.297392410536714,3.5532011652278666,3.1999361168350604,2.9831057560851733,4.271614153074878,3.180003318856406,3.9875543222448444,4.160398225794579,3.718761857560079,3.048321348986965,3.8763514566846426,3.6448502097651425,2.9354164970253693,2.458625922356096,3.671348694518936,3.23590714606962,3.4106075405829506,3.794487331451477,3.860978123335545,2.9766109191332553,3.7997568673468627,3.3350634429996697
Bulgarian,4.174968272169076,3.996348531826645,3.7373104154218195,3.750115075008139,3.309862108502876,0,3.8956609487374787,2.8905866860358294,3.3678747627964376,4.2954893365530475,3.8287981701426133,3.6934724464155253,4.092104474363428,3.811021543015228,3.84476896274637,4.003222557165147,3.922707347025544,3.917029860315703,3.6911161647720587,4.331818569383588,3.3292301166606184,4.125192451458675,3.340925408997365,2.6536961972369357,3.8981884414635153,3.892097217158824,4.409523750260631,3.997160372079934,3.6539643739399663,3.2838777294125405,3.8310505596769144,3.7985587565895518,3.1433803830374503,3.001882001228536,3.69619328380844,3.4436651787924273,3.7237739553208082,3.49056195014894,3.7554795813530806,2.994813802596149,3.635459581022539,3.134724953527074
Catalan,4.541385345403726,4.24526417661399,4.084823062832442,4.1293558881920065,4.170673307211707,3.8956609487374787,0,3.8799626561068625,4.1827137036898465,4.4836831815404885,4.097863774806324,3.9335950963236366,3.959683473080927,3.4949772649142474,4.17017112643801,4.195483805435219,4.269279161427794,4.317357015840243,4.061229985248242,4.5043386962166805,3.287849313438378,4.521234846042859,3.681340628216238,3.7617515939827846,4.2111334285075745,4.1918414124982295,4.45875852580352,4.407765630005995,4.001806719751298,3.964736072329204,3.517197334533261,3.726857143256813,3.960661007307586,3.990197032754989,4.017773423420476,4.170234202754541,4.389776222021772,3.0585426701457665,3.989368453711592,3.776941541070813,4.078229664185572,3.495372477192798
Croatian,4.219341814886853,4.047468173046625,3.6481312202690885,3.831116904716075,2.8154937495031582,2.8905866860358294,3.8799626561068625,0,3.225382984091026,4.22547363877152,3.8700190481865175,3.819764424321571,4.022781785441371,3.927218318202487,3.842992083167344,3.8972191926569977,3.996209517563349,3.9156965689094774,3.7424658759933527,4.452264819780949,3.2709396363800805,4.0575567252464895,3.312309211237852,2.8362684974419654,3.9889292283670676,3.8510964990364633,4.316952226010435,4.047885072307093,3.603016477550493,3.0421852311578297,3.7857540339309517,3.6715893550526517,3.1297499662141224,2.5577805032016587,3.704714474476832,3.1831688292666223,3.312048504324592,3.552155064469169,3.7625281510099793,2.9189146241121104,3.698573635410148,3.2107753157793315
Czech,4.299597194305386,4.1917578231118675,3.8673594236650692,3.956263760286066,3.4279782754219825,3.3678747627964376,4.1827137036898465,3.225382984091026,0,4.229195727262333,3.85261933548657,3.887021046952446,4.170217275674166,4.147565573726776,3.90035545857739,4.112674454192898,4.2270136708640065,4.15882364799571,3.8307913079750264,4.653705664007606,3.487522436609861,4.059384210407413,3.4756709102072167,3.244180610043485,4.278255921116261,3.8040668805866744,4.4655543712685635,4.156932887889496,3.7760852374536586,3.1915025679875555,3.846673258491419,3.9557000980937587,3.2630017561729767,3.180263038006382,3.9930986891987845,3.0085163301582507,3.7179319533550057,3.727448834197988,3.8511987077253473,3.076449457525066,3.8402872255123484,3.3368154984446528
Danish,4.483356457944066,4.942478693505,4.509167468967692,4.557385238988196,4.31530774061263,4.2954893365530475,4.4836831815404885,4.22547363877152,4.229195727262333,0,3.943695824147501,3.6631074583388408,4.428066783354776,4.583664398895233,3.7367123838788454,4.558384507067181,4.572751399102843,4.511571829868152,3.8689734809108027,4.924665261623034,3.7754572316393817,4.819748659283885,4.069670843088138,4.182081374147309,4.6083781690082395,4.196631007153471,3.9426816294971254,4.785881819858068,4.369420111488985,4.132128585036903,4.153305546539299,4.225574834180772,4.265611978862127,4.358865592433888,4.606931522688462,4.3117243158047325,4.506091993585476,4.0578393117597775,3.689461578614246,4.057525065744638,4.344175224539585,3.5159390392366725
