,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4.0095659004319355,3.6807817415787327,4.533612143143869,3.9487688307793882,4.234480089632081,4.6537441067226295,4.249327126465734,4.322463364317465,4.406423876319659,3.2593812034581773,3.9054243227565606,4.512386175878801,4.2034365730269245,3.9320422319472224,4.633010460148729,4.710059608207953,4.7191477554252295,3.663558869663969,4.701502510267298,4.019957687035073,4.366471463125292,3.8347307015892254,4.062131856692844,4.768632219974768,3.893342867995246,4.182959130883197,4.179876363203896,3.8691212300199065,4.243947550066758,4.215299563472378,4.371130821880604,4.075631848661435,4.130856321040126,3.6913069438907,4.465180146577346,4.625640067446017,4.2263954580880165,3.843216243906852,4.050677773194932,4.370426918012034,3.736963115256492
Albanian,4.0095659004319355,0,3.5440860947436863,4.146395653517693,3.85592498358606,4.09006314048624,4.358205238984704,4.094473018816411,4.220150035631622,4.872823414274294,4.1925317363149475,4.377901077857548,4.2965371146041855,3.969156871242899,4.373308229018262,4.431194069982493,4.3805267001575805,4.433100559586251,4.003750845607667,4.469125699517224,3.9109416367826886,4.214018456683909,3.6392599575137954,3.878352228476217,4.32326033890958,3.725122511204072,4.598511627896277,3.972108728863153,3.6705427350864315,4.057520419345247,4.069317807222246,4.235275057495966,3.906192529100252,3.9754262730973005,3.288356721447215,4.253477898476957,4.511330751547848,4.029831533004887,4.127318870067027,3.818083196474998,4.083951099643289,3.7602711326492075
Armenian,3.6807817415787327,3.5440860947436863,0,3.823228081590521,3.2393914937903046,3.6706265785085423,4.036328234904654,3.522306743938364,3.749260778896669,4.268164742459887,3.8052567651253835,3.819378458615542,3.9275767626670137,3.8025070915642143,3.8308667722541365,3.6635856079159765,4.123140566031362,4.00503781622601,3.322036828142515,4.073704241950505,3.3607285956667425,3.5670481807518044,3.1549226961690455,3.495756992268445,4.090911518142904,3.4629876948465457,4.003150532027366,3.6271721002023316,3.2693331476809226,3.5253160158703047,3.6966132433171484,3.690895191887732,3.441759791684142,3.50795622557966,3.1865895553755488,3.7695877288861825,3.9889148678088344,3.6933732204307987,3.708488252590392,3.4118195550831456,3.7386962102510113,3.211925105667125
Bengali,4.533612143143869,4.146395653517693,3.823228081590521,0,3.8589669618860443,4.033874527677821,4.42983825769254,4.099923627703215,4.166693205448552,4.751258543540693,4.246296010274348,4.17173859606888,4.453727572558148,4.302016018055106,4.2767861594525565,4.3407045201400996,3.7008216546675454,3.685288987172002,4.139300144337614,4.777572849306355,3.773555149212293,4.165261407686436,3.6609051818928613,3.8661962013528304,3.884290822400597,3.193717967590677,4.731970568211415,4.2460749079072535,3.897475125766625,3.8736459393236435,4.135983575991146,4.1839036350465255,4.021377958918293,4.031595616663008,3.6179448165650556,4.260878774624891,4.463857668102057,4.038546588098203,4.121623313344,3.9036603601021294,3.464970858782703,3.643328431776243
Bosnian,3.9487688307793882,3.85592498358606,3.2393914937903046,3.8589669618860443,0,3.062865880511867,4.148421374709577,2.4846368140479935,3.259208861098749,4.224304273443907,3.860230356875584,3.8781593989039864,3.949892453459803,3.9813806640474656,3.836876609174228,3.974462164543844,4.209770592832273,4.085192700203613,3.598306311870186,4.508317070028167,3.2560339101509674,3.3494354934478534,2.999703683326862,2.62778052026384,4.22766011237691,3.3072043264582085,4.096857850755999,4.001131914730898,3.5681427812947164,2.8829618674515145,3.6994969373942603,3.619618928674308,2.7307600351738586,2.0885686465411246,3.4784906109274765,3.0426395428995368,3.2537174145776437,3.7402057173429437,3.7879419527073726,2.7104049393675584,3.7476105358296445,3.2944505488605653
Bulgarian,4.234480089632081,4.09006314048624,3.6706265785085423,4.033874527677821,3.062865880511867,0,4.188536584299845,2.9381392925386667,3.4826715545501745,4.488663353165074,3.9951819156329695,4.0345371952730575,4.242654367228876,4.02855485119766,4.1097143461993015,4.213385270729386,4.287737856932615,4.237983843935076,3.860880531174533,4.528362137161665,3.4808043209874366,4.033267864335544,3.426312362639639,2.743288401982573,4.2893936962748525,3.8428580031760218,4.493409111533068,4.152608113706908,3.8281069872553735,3.361648541831172,3.921202340314269,3.9731839735729166,3.20069852706159,3.0383896786886346,3.695255855862297,3.493600014492381,3.6797519739660385,3.7829258758288917,3.984691643600013,3.1364917758825537,3.896523821244632,3.3674974625255145
Catalan,4.6537441067226295,4.358205238984704,4.036328234904654,4.42983825769254,4.148421374709577,4.188536584299845,0,4.150740808575276,4.378915588695639,4.778607333867275,4.327203452420087,4.264688956512236,4.109200892869459,3.60067582270605,4.4690387528165365,4.4584246066387045,4.70269390322825,4.68782715311381,4.2528053203260665,4.753525788776848,3.4269954121294663,4.537935711069501,3.839101810693146,4.059441497797331,4.616324904722783,4.185449965938898,4.595348880751451,4.587260561855588,4.167000265961262,4.134738210186152,3.5590273940830546,3.9115683992531785,4.205112664330486,4.259151418547796,3.995023483010802,4.341571676862328,4.545425177303806,3.2699994662491707,4.266238911635355,4.027052990302374,4.371295456230471,3.78384240649916
Croatian,4.249327126465734,4.094473018816411,3.522306743938364,4.099923627703215,2.4846368140479935,2.9381392925386667,4.150740808575276,0,3.2760258483724667,4.4524082317837,4.01354311248534,4.045088763209805,4.1543538370408974,4.045010870988594,4.0485849701643035,4.1090208191282445,4.319276997875009,4.284567963270823,3.8727381849073543,4.567120642094984,3.3968299093738863,3.989366270715682,3.309491862393428,2.8600067262647912,4.296045294367947,3.8131371192398635,4.4279271958010815,4.147546734544374,3.713993900433872,3.1025384746647022,3.8945930229341124,3.8324861618371338,3.131198886441545,2.4446287499907076,3.6597321181620033,3.1936376054250726,3.2421777280979387,3.7524762902855247,3.9567295510942873,2.9520900023866252,3.9746387930359326,3.371273877339263
Czech,4.322463364317465,4.220150035631622,3.749260778896669,4.166693205448552,3.259208861098749,3.4826715545501745,4.378915588695639,3.2760258483724667,0,4.431147850509362,4.02310870904109,4.1269794764754995,4.316994500968855,4.242915374710875,4.151831164920686,4.329604236444941,4.49879268404843,4.48891787440775,3.8874601153703816,4.717834853570404,3.6926194879801795,4.002781621901337,3.5053875485542174,3.3643354339419616,4.57074586888224,3.7338051805667996,4.525637053278877,4.226002101303301,3.8653911718976017,3.2103111037815695,3.976563793180858,4.14046284325826,3.2908586424200963,3.2510728688667494,3.878195655723676,2.9213905354724328,3.7600286014051485,3.936335377308636,4.046273487260219,3.129982639942788,4.042650016754348,3.4878685606790047
Danish,4.406423876319659,4.872823414274294,4.268164742459887,4.751258543540693,4.224304273443907,4.488663353165074,4.778607333867275,4.4524082317837,4.431147850509362,0,4.117874692050633,3.836648568704273,4.602706115406657,4.664559481493175,3.914058648461017,4.783367526969406,4.916852060422631,4.868772755168079,3.890615699405416,4.943993033368583,4.019423713614642,4.764471737556964,4.12229365809861,4.394632817017764,4.941330735386069,4.098140746041902,3.9547899083630593,4.7967049408605185,4.395936168006498,4.311718875593683,4.328702694384717,4.471387364330437,4.411161960267786,4.50678071240931,4.40330625451702,4.533503238510812,4.707856946966803,4.33832102421895,3.8221721323939626,4.244887391635729,4.510858257148964,3.678195729834813
