,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.7360438272890452,0.7604946214194389,0.8585925107706626,0.7592655447303561,0.7890257639118102,0.8341446878232635,0.7636685553698624,0.770152654254699,0.7182578767481198,0.6033687785067268,0.6461866557005714,0.8533404971827594,0.7689265296567679,0.7317496848034025,0.9456372812827988,0.8187073446495231,0.8094359304111656,0.6603166351962372,0.9049434700295891,0.6951828006144126,1.06091760615525,0.8517598634141018,0.7529906421615389,0.7995956145006076,0.6773324711786383,0.6578963067634205,0.8174613760916766,0.7803102654998251,0.9052676780298062,0.8346509652698811,0.80384866459196,0.8188334251023449,0.7551526296183353,0.6533555734582775,0.8555734142433318,0.8578845041992971,0.7304631354017412,0.6218665212622984,0.759910065606295,0.7807655436669023,0.6589436433803325
Albanian,0.7360438272890452,0,0.6733889112828764,0.7416835316603773,0.7189021697629189,0.7334610504813376,0.7839107146028096,0.7071027598353434,0.7310681214207017,0.873522799113177,0.8094933996055624,0.8149180221663486,0.7935610346755814,0.7048742198431476,0.8489505905105135,0.8351479018722611,0.7400416558481097,0.7102538598563658,0.7514769552222172,0.7874893654913921,0.6507233608620683,0.9916229217254227,0.8168899067162986,0.7163827722336804,0.7242698340733734,0.60813162134375,0.8015947637073937,0.7345658990322179,0.7098760627978332,0.8583173270788029,0.7864247718144519,0.732330661762712,0.7352853023251529,0.7148624269169649,0.5557244535299614,0.778182095937846,0.8029171783719731,0.6598580985676872,0.7289621548013672,0.6757911123532487,0.6749961480982414,0.6102198920348316
Armenian,0.7604946214194389,0.6733889112828764,0,0.7909372074244654,0.7001897917160179,0.7334043695793769,0.8093831644634281,0.7034374940443697,0.715855661736984,0.8762533102146315,0.7792344198974606,0.7872482713505319,0.8303407340294254,0.7579134409941386,0.7835780934799675,0.8026994553556611,0.7736749794071823,0.7746637086768682,0.6952085484487729,0.8160079157156362,0.6851883395121687,0.863512258429396,0.7106320871068562,0.7010221857999066,0.779069630329504,0.6897275482807608,0.8083723605064392,0.7491436907104425,0.678186878218429,0.8082083059454357,0.7891792636750051,0.750621410028418,0.719455492286151,0.7128755982821274,0.6334092891593344,0.7865009412464796,0.7994765901675255,0.7287928838856572,0.7424013296946934,0.6965577679872307,0.7335202936307058,0.6322968947878582
Bengali,0.8585925107706626,0.7416835316603773,0.7909372074244654,0,0.7895742876234708,0.8249309363139193,0.9019602866621221,0.7810170081480695,0.8017804114668485,0.9555325989182192,0.8888944648867145,0.870536003258361,0.8871966275460909,0.836951832875348,0.9371581870895894,0.9198130630337539,0.6622642669246747,0.6495408728063053,0.843775396860389,0.9208999858041814,0.7308087848721482,1.0586532951009258,0.8922483281398047,0.7910723915072729,0.7149644821186382,0.5526207784591789,0.9092594838741703,0.816855779698524,0.8047508885304138,0.9022747477840949,0.8968043824180093,0.8414457794693926,0.8411491926676404,0.8162680729533949,0.6695958055182599,0.8750343736648702,0.8858417387034266,0.76296882763912,0.7924035825877748,0.7895521343773517,0.6589925634904183,0.7126987366728353
Bosnian,0.7592655447303561,0.7189021697629189,0.7001897917160179,0.7895742876234708,0,0.5645702777681676,0.8247932021442703,0.4396471882168445,0.5802987792425743,0.8653745486764095,0.7905547470385738,0.7873258046171226,0.8230354303073678,0.7989543180126384,0.8144669801495058,0.8723933723060929,0.8051688486673118,0.7720067419840173,0.7412074435992214,0.9030349240315673,0.6773735402253948,0.8843142803490889,0.7250340221795699,0.5042322708489416,0.7987239928626754,0.652499506456979,0.7840219308593264,0.7948561579536626,0.7108601550196931,0.6177608489419623,0.810153646595266,0.7350496247025399,0.5787738384437808,0.40073647445977956,0.6666872907560417,0.5830109871911773,0.6085769401956894,0.7229685929677504,0.7427074431818823,0.5633438373439238,0.7322575393594821,0.6654001068995241
Bulgarian,0.7890257639118102,0.7334610504813376,0.7334043695793769,0.8249309363139193,0.5645702777681676,0,0.8524584170163456,0.5507561562527094,0.6208497460721514,0.910469350788761,0.8240218617368428,0.8435048837952258,0.8578066833462517,0.778872858017904,0.8703857274573291,0.9017880136704886,0.8128340514510253,0.7590478257991687,0.7725563068504336,0.9171419139322032,0.6741034659071745,1.0063623075707593,0.8059026158216609,0.5047011750520842,0.7769878526227705,0.6915320504602533,0.8517477029490695,0.8332770831036687,0.7669932886349479,0.73557261689527,0.8425969528166803,0.7869507309524244,0.6461167254953313,0.5623037738745605,0.6602155174105424,0.6655128411140013,0.6807655977722921,0.7014466786019258,0.7666580916152054,0.5873577012873615,0.751717476278015,0.6596852998568682
Catalan,0.8341446878232635,0.7839107146028096,0.8093831644634281,0.9019602866621221,0.8247932021442703,0.8524584170163456,0,0.799075778300459,0.8429634259316398,0.9101018518754711,0.8888217281403503,0.857516592968693,0.8020082180021272,0.6262808871792006,0.9291730508822827,0.914267262125131,0.840747345118778,0.8413675085100529,0.8282527291827881,0.9366109989028681,0.5987330871135257,1.0856645002614793,0.8647015334485335,0.8140194279902314,0.8530062632683078,0.7447762597895161,0.8517845976605514,0.8850826504199528,0.8336627268995961,0.9522835371970939,0.738093889778713,0.7318790832910124,0.8579084988427227,0.8284080652828538,0.7224624284379292,0.9116969545787678,0.8879127417690197,0.5720343849195073,0.8000105475396025,0.7932151940181599,0.824499864003738,0.7029734548760593
Croatian,0.7636685553698624,0.7071027598353434,0.7034374940443697,0.7810170081480695,0.4396471882168445,0.5507561562527094,0.799075778300459,0,0.5576662832920918,0.8437688875584274,0.793477559765316,0.799459471446012,0.8261142819052292,0.7620853359900138,0.8180119774137422,0.8581327791300019,0.7620793827017937,0.7282540509242703,0.742484910694029,0.8631469553347935,0.6543235037815094,0.9687267730371487,0.7849994064114737,0.5132646949787681,0.757197412003636,0.6425333765707192,0.7886806413901889,0.7533985054306738,0.7150709477429134,0.6805826534303928,0.8268849135937736,0.7432821349297912,0.6293639609710587,0.4344525967353611,0.6219391698746718,0.5978773032894279,0.5952459712279696,0.674102765543478,0.7234569577711721,0.5657467254952968,0.7023260631421683,0.6352344367482673
Czech,0.770152654254699,0.7310681214207017,0.715855661736984,0.8017804114668485,0.5802987792425743,0.6208497460721514,0.8429634259316398,0.5576662832920918,0,0.851242154629172,0.7997986500030217,0.8119411756351783,0.8428400782804375,0.7795873505162393,0.8477192859303181,0.9053293002798045,0.7820953720530607,0.7489403410813785,0.7635447947169022,0.8824027044003229,0.6673533698385421,0.9543802828232447,0.7988701599188222,0.5928576652720969,0.7728932335032848,0.6441331934042415,0.8094284564182664,0.7836943616950168,0.7456876534127048,0.662137930564684,0.8139819425147717,0.7902704120585143,0.6426423101897875,0.5593558706887231,0.6566546062244891,0.5297674750715642,0.643443925453624,0.706148894763875,0.7457674423823016,0.5628671436474766,0.7275831992541358,0.6503530485278417
Danish,0.7182578767481198,0.873522799113177,0.8762533102146315,0.9555325989182192,0.8653745486764095,0.910469350788761,0.9101018518754711,0.8437688875584274,0.851242154629172,0,0.8128291239824728,0.7219646539027569,0.9284940884844718,0.8461602591128564,0.8041907943243163,1.0535695034188302,0.8716217773794956,0.8645331321779038,0.7437069618834391,0.9784565122774554,0.7352466748592388,1.2240831593933876,0.9771549440069378,0.8696958076318893,0.8649614975788992,0.7334826144285754,0.6005575126292105,0.9271099232426364,0.8647360870715952,0.9878484333011333,0.9366032000621264,0.882927619501022,0.9492775601902831,0.8733512434404762,0.7631458431723515,0.9314514853847244,0.9147696893330791,0.7852561178586261,0.597353447523368,0.8455636580638356,0.8579417683675498,0.7077497792667122
