,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4.198389646890017,3.7285394579534543,4.646666946248775,3.9322412022690423,4.436576345829417,4.850298746003673,4.408385242212821,4.363969203402593,4.418604852743702,3.1586359790923453,3.903453094743136,4.701406207780133,4.344987252806313,3.985473230132073,4.784779852794682,4.8683014096607895,4.909653395087128,3.7356159257038355,4.784781008314662,4.148305566487815,4.258247584904809,3.9159624853421913,4.189105751462335,4.942658170380964,3.978774645518062,4.315821641314372,4.336718215836018,3.9970761595187914,4.226794671315167,4.229175312292772,4.5514086631527935,4.169410676789926,4.218827963395477,3.902361927436653,4.524500359371041,4.784007940828684,4.402975899078906,3.9397550131941377,4.172328202868635,4.528373999350965,3.784342449834172
Albanian,4.198389646890017,0,3.557814506995179,4.189994255076435,3.7797240688151343,4.172798068214329,4.551217812448132,4.073490674859915,4.209608864794902,4.769620837434922,4.159064696294043,4.411909049663537,4.367263847528515,4.038298150980686,4.422692190861095,4.365549700820673,4.566698398541831,4.5672407478807795,4.096720188299216,4.585122003028318,3.893926284785459,4.130182140228582,3.7028810806837935,3.9153577442642034,4.470319970861069,3.623943367177673,4.692391994666,4.038823114863645,3.787768615786357,4.034330865254644,4.055335804168126,4.24491833354697,3.9180275662693096,3.9719428112393476,3.334209008274698,4.248350876712016,4.548941030705063,4.09407074672361,4.19875960045015,3.8172220426879253,4.1343553639680914,3.72886124523629
Armenian,3.7285394579534543,3.557814506995179,0,3.8437845610906636,3.268539435207689,3.758567517604859,4.064952129380456,3.582457307320315,3.755393362786699,4.235511291626879,3.7168468582314564,3.7989114447534362,4.031427925726013,3.7871641358701345,3.8143173576163916,3.719141462594133,4.153380153617464,4.0830424245089185,3.3504040441714507,4.118216442563575,3.395757265612205,3.5290459267129974,3.1787254890027343,3.514123155621747,4.144700063581015,3.4344454702187908,4.005387655612123,3.692883416838017,3.312058252999411,3.530788287433876,3.6394562242103436,3.6962784137686078,3.4862030182654142,3.5279724328240083,3.255854921410943,3.8082612940919502,4.05412765040719,3.693941690354762,3.696141835031854,3.4536296315041515,3.77076905996134,3.1680716755201668
Bengali,4.646666946248775,4.189994255076435,3.8437845610906636,0,3.951195813935678,4.2539780758056756,4.655938097019071,4.2296822856786696,4.3006927744634735,4.905350716438261,4.388349996232025,4.319287753965771,4.664793999685407,4.417620583817148,4.559272474154111,4.397059332686175,3.8491830907763815,3.8052003815690902,4.327679021394056,4.90194978931444,3.9666644284235084,4.238169516627217,3.7839793256013454,4.05027084873608,4.011519154226757,3.1710894555100984,4.850402909229524,4.329367629979165,4.030938852750696,4.027703155426542,4.226019316389266,4.375272923344273,4.180673691249284,4.174795001353131,3.692323723580815,4.414003544644541,4.623970637309772,4.17092722637755,4.303630895735128,4.039609356063882,3.5594612559797665,3.795026169449679
Bosnian,3.9322412022690423,3.7797240688151343,3.268539435207689,3.951195813935678,0,3.080465883255733,4.219696106578466,2.4244784994164843,3.175678236298194,4.327112682061803,3.7876913904892033,3.9306790573386388,4.10550249027857,3.9877508638274652,3.9008895369609036,4.020643415442229,4.244136514854134,4.210926663081718,3.6083090491715213,4.477429644196004,3.3992133461763387,3.3234605416641134,2.985722114674229,2.5415659158758,4.2841891622254735,3.416754462994809,4.1673338020861515,4.013412216943082,3.552878218304609,2.8609939843316994,3.717032643300084,3.7568832265205505,2.7153874176562653,2.0014663601850136,3.5212918898114185,3.049230312420395,3.297100168653431,3.779244955611492,3.8075807416385996,2.666999023870423,3.896669222067541,3.366420204601217
Bulgarian,4.436576345829417,4.172798068214329,3.758567517604859,4.2539780758056756,3.080465883255733,0,4.495619201070019,3.024156276606146,3.5730729346780565,4.680366527006975,4.1353271783699865,4.210676410927303,4.477256588641066,4.22480121850696,4.33525006330789,4.321737978367514,4.570324975213731,4.511451171127979,4.055737838453046,4.723736476136168,3.6032875978209558,4.084919108801181,3.5228157955770665,2.844643299836379,4.592344062648078,3.8674278630918857,4.722167942836953,4.341351745955269,3.981801926613562,3.4052695316693007,4.062345839042832,4.148312798907163,3.3218564452683315,3.1324159295027703,3.774116128985135,3.625652552059612,3.848701854430613,3.9691261677273557,4.191754973270385,3.266998555015413,4.143250325064341,3.4816365997625676
Catalan,4.850298746003673,4.551217812448132,4.064952129380456,4.655938097019071,4.219696106578466,4.495619201070019,0,4.381533043156323,4.559454763503013,4.9993361265526275,4.5260684478920465,4.462387966848602,4.354890863420968,3.7036526051599186,4.688076981134568,4.577531620663319,4.935722613595894,4.911230216887332,4.432128933629977,4.95795302578345,3.523969590631945,4.596119981932198,3.9907514409228435,4.312483959486487,4.89628707005785,4.252414310645486,4.847690369490379,4.78148168101407,4.3605706186235205,4.298339483552148,3.629411558344973,4.043316459523609,4.396253989367903,4.450282993774405,4.1693108143733975,4.558010984599716,4.814550185447421,3.3837183574352796,4.48377287013162,4.223172190590814,4.606303636118934,3.9300597158551605
Croatian,4.408385242212821,4.073490674859915,3.582457307320315,4.2296822856786696,2.4244784994164843,3.024156276606146,4.381533043156323,0,3.3066152505298345,4.530834381100391,4.074416374762333,4.18002014644118,4.332780152867796,4.1498983008644705,4.2616426896374735,4.170605394312193,4.486356073521204,4.462862681325305,4.035610737913222,4.693007864651194,3.4748938145963377,4.032445290515674,3.368317606784066,2.9200892244087364,4.471621866281854,3.750569703370902,4.585537466729134,4.208608881596397,3.833290579424047,3.167788072701879,4.014187050818325,3.9622978293544353,3.2074425165431895,2.404668820990006,3.6618458650317236,3.24261598726991,3.2789172728962037,3.8304409102343286,4.109488379374999,3.005374630820844,4.098181148378734,3.4415110995695493
Czech,4.363969203402593,4.209608864794902,3.755393362786699,4.3006927744634735,3.175678236298194,3.5730729346780565,4.559454763503013,3.3066152505298345,0,4.556513640805114,4.121335533491647,4.226834317539622,4.4494353603717345,4.313223162872318,4.394123236205321,4.436503574598679,4.6553965305960965,4.65821956635028,4.04023557751265,4.741288538333627,3.8212678795347754,3.923423122958937,3.5782389706855184,3.41405188270046,4.7481832810306575,3.774561036485255,4.587873218895907,4.313091461194599,3.9427715444447995,3.1509464547728103,4.052009578020722,4.271056418790919,3.3036416395158064,3.279484416274066,3.8828290083167234,2.8561105015900123,3.888929214959997,4.047744778579562,4.182462667954985,3.1551969354864395,4.172660722669468,3.5606099300296514
Danish,4.418604852743702,4.769620837434922,4.235511291626879,4.905350716438261,4.327112682061803,4.680366527006975,4.9993361265526275,4.530834381100391,4.556513640805114,0,4.194032535313956,4.017925384650742,4.7512598768055625,4.67238863219533,4.123266081619531,4.866594377544392,5.073045321743944,5.032397744497441,3.962828523826146,5.0135444570959375,4.202829662919309,4.814401826691369,4.252344076128957,4.534890225923486,5.101563497206637,4.1156684975350375,3.9650734037366724,4.777250623075547,4.458383882488397,4.430433685246423,4.466314526139938,4.6726017751049005,4.540475571199615,4.588904815102707,4.3293169122296105,4.662149397417639,4.858391316234707,4.481572376691046,3.846893928681413,4.374670714865209,4.626518025556384,3.85836416151419
