,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.33860104988935297,0.28847588538159213,0.34625459946670795,0.288844449264169,0.3374275634436781,0.35773189299664815,0.32357947778052115,0.3227159530807592,0.32604637004672465,0.236399826111347,0.2933757857077505,0.3592047370263178,0.3384362936586903,0.30499914888014973,0.3567438905266273,0.356830236050614,0.3559840509041639,0.28345662311501724,0.368339201465296,0.31963985874312045,0.3071451018389898,0.28086027556897175,0.3081134772829981,0.3604147167161526,0.3144066555226986,0.31395359171737414,0.34007379618033146,0.3071062682508601,0.3108731141387665,0.32739552856363646,0.3375254382707817,0.31044470001075886,0.30598225683885016,0.3114653609776596,0.3402045030681571,0.3429611061930302,0.3360293224980893,0.2955428624133962,0.30413184939762533,0.34061865165985306,0.3028189203934101
Albanian,0.33860104988935297,0,0.2824557220968532,0.31849891638060696,0.28334718112246426,0.3168140012419472,0.3428466503027797,0.3027135915254208,0.31510637082221393,0.3681314269975892,0.32506250072312604,0.33948993394865756,0.3336056298817128,0.3187794562517195,0.34129092987146675,0.33685092286981244,0.3342650016616642,0.3266968900276893,0.32430961693649946,0.3598503979328493,0.30090450165615407,0.3069115385121558,0.27315943021629785,0.2927568739561637,0.3315481045020594,0.28514048025665223,0.35428444408275256,0.3232022345864262,0.29848269871453825,0.3013012466469093,0.31611148378700177,0.31640495705242444,0.2973828491139375,0.29292981376043115,0.26894417122115716,0.3273201193652679,0.3369643403368433,0.31578911098931456,0.3249582215715533,0.28656782410001586,0.3129911436717057,0.2937141401990948
Armenian,0.28847588538159213,0.2824557220968532,0,0.2875386424329705,0.24433016953572964,0.2827647010622504,0.2962709953300714,0.2670532047642251,0.2757998037079249,0.3171020665216264,0.2813602154354108,0.28641637914716794,0.30741411595429197,0.2908655700508583,0.28406193739350294,0.28046031791573567,0.30061928769888624,0.2943579650089148,0.25891441945827043,0.3096564422308988,0.25868324818946464,0.2547713284151534,0.22995684059935978,0.26358000775169244,0.3034288194825426,0.2681073497223584,0.3074813062251754,0.29046719430729556,0.2504136157340089,0.26064768186762005,0.27759671917925316,0.2760958615268501,0.26231931481571524,0.26473400372770156,0.2614986936352868,0.2870031252231036,0.2940092024578252,0.278981213809047,0.2766525412608105,0.2571076603031074,0.28532934575184343,0.243928156290359
Bengali,0.34625459946670795,0.31849891638060696,0.2875386424329705,0,0.2858261564919533,0.3166638726864125,0.34404445798896016,0.3121248842786942,0.32025733635800113,0.3741808544443794,0.33009452725075106,0.3337551322482444,0.34864520377186997,0.3302462943207785,0.34550525790763476,0.3319650932587222,0.2742904164876278,0.26624762493102505,0.32410303505745247,0.36802558623343373,0.3025028681374686,0.30153652769519645,0.26649613459737054,0.2964226100278707,0.28737565634874346,0.24291720143476578,0.36222455670157566,0.3264457351541615,0.2997164278711287,0.2951547861882669,0.32042806027823534,0.32339327288503045,0.30462899128920934,0.30182363788264727,0.2777401035780197,0.33478790846019535,0.3343659297014881,0.31390243764356934,0.3235779101312991,0.2957578832190867,0.26883397380579777,0.29537601988802087
Bosnian,0.288844449264169,0.28334718112246426,0.24433016953572964,0.2858261564919533,0,0.22280937325906786,0.2996399744481722,0.17963387279176476,0.2369016778342551,0.31881524392870264,0.2820428042232667,0.29124590349128404,0.30421565584980115,0.28883468106441507,0.2927679676232807,0.2921904416581651,0.3021626663492244,0.2967568649677161,0.2653236676316405,0.3256880454151693,0.25138385144685416,0.2451597821971899,0.2206629576587729,0.18380293233891462,0.30401225156656464,0.26502997242645987,0.30497557285030247,0.29823693796002065,0.26014313460091143,0.2113315779041304,0.2760492954841891,0.27400012837042836,0.20414496737750965,0.1513568592987257,0.26710722566520234,0.23144272846675107,0.23512958378842094,0.2722241665300943,0.2751179722043739,0.20014040174941536,0.2858665580765842,0.25289470374384004
Bulgarian,0.3374275634436781,0.3168140012419472,0.2827647010622504,0.3166638726864125,0.22280937325906786,0,0.3321672825109881,0.22344013777630403,0.26600710738680483,0.3555187475892594,0.3195186563762557,0.32626107803163584,0.33806871532162347,0.32404143504124483,0.33475886766036883,0.32574402987589307,0.33680120098589217,0.3274992689519981,0.31195359315327853,0.36201396362318583,0.2790186205826998,0.29511196094295067,0.2547266241679682,0.21632531385895193,0.3386943481962469,0.295651745569549,0.3521910351758642,0.3337571199369266,0.2988513879026515,0.252333893598076,0.31110696563774004,0.31196956203590726,0.25231345755325413,0.2343389656235999,0.29155483693534323,0.2740316853754709,0.27705119419324864,0.301529854752234,0.31535775367412183,0.24314225932935202,0.31674748843625317,0.27325729144177974
Catalan,0.35773189299664815,0.3428466503027797,0.2962709953300714,0.34404445798896016,0.2996399744481722,0.3321672825109881,0,0.3182692051643858,0.33847089392902063,0.3826792612706022,0.3437633639031374,0.34251330648840256,0.33089998536422466,0.27879353372465016,0.3560775587794429,0.33965937223285736,0.35798385559245327,0.3524825390490932,0.3325476002085469,0.3753659141211141,0.26640171467194806,0.32663028457038196,0.2837689895653286,0.31796842154259425,0.35934209433925396,0.3154247210559879,0.3749624995617311,0.36198323612532257,0.32461884104222244,0.31214145210653915,0.28105094310487344,0.301014211315171,0.3210214028905263,0.321212663233722,0.31513358651487966,0.34143655826865604,0.34355889117158567,0.25447818364575897,0.33892944417181486,0.3104457661518482,0.3498366544010336,0.29984380161516183
Croatian,0.32357947778052115,0.3027135915254208,0.2670532047642251,0.3121248842786942,0.17963387279176476,0.22344013777630403,0.3182692051643858,0,0.24829380584268634,0.3392941456219029,0.30854667359540644,0.3174482792345508,0.3218803220986767,0.30838434364356004,0.32224444402992625,0.3129511401593335,0.3254064805013002,0.32084107174569104,0.301952360307399,0.350357362016577,0.26272129207775,0.2877104477160882,0.24806754783518034,0.2171895684092746,0.3255223400575853,0.2867447541616087,0.3370270496511144,0.31834252238670313,0.2851909270485766,0.2363490783210907,0.30343955320156907,0.2896470559176218,0.23814436897147873,0.18337020142353366,0.2810185292219783,0.24823607952965165,0.2450618207248894,0.29119172124314907,0.3047589746723955,0.22744200143367266,0.31156437713687535,0.26747801827844647
Czech,0.3227159530807592,0.31510637082221393,0.2757998037079249,0.32025733635800113,0.2369016778342551,0.26600710738680483,0.33847089392902063,0.24829380584268634,0,0.3445772843322567,0.31004032107389345,0.3186444660930005,0.3363362461041308,0.3247044986445159,0.331691600639025,0.33224451805821453,0.34000874621138166,0.3360034840546366,0.3042773760344656,0.3554104132436487,0.2914042092812057,0.28030214190919867,0.2533566251015686,0.2549137090215337,0.34366928614835407,0.2972521451309049,0.33663169006151067,0.33054752471636545,0.2942865052063631,0.23526616323588295,0.30758109561784824,0.3134888743357439,0.24771948651654327,0.2462603197190789,0.2939698950694725,0.2219229001819542,0.2861782564779987,0.30778206939104374,0.3129055573376487,0.23719000741491053,0.31555260672861135,0.2787762242200133
Danish,0.32604637004672465,0.3681314269975892,0.3171020665216264,0.3741808544443794,0.31881524392870264,0.3555187475892594,0.3826792612706022,0.3392941456219029,0.3445772843322567,0,0.3270842877562474,0.3154721423475371,0.37171837015162473,0.3651945648293331,0.32300218526903507,0.3777900592856396,0.3843061199688518,0.3821871392866094,0.2967957057057187,0.39059947961104685,0.32952233486268,0.34606641311306824,0.30616183099583805,0.33912194755580466,0.3885231763837594,0.3302842277496614,0.3051174890903986,0.3754633026522699,0.33620667791617986,0.33220108509919727,0.35711215988142686,0.35504830401011833,0.3382594045970448,0.3382541641923859,0.3331028281908306,0.36112697261453475,0.35950387057697347,0.3555480968704215,0.2958771338556698,0.32629962388408335,0.36430295576857197,0.31276094775334135
