,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.14563848532906246,0.10051993912490381,0.12883527600842518,0.10521874621813933,0.12291974586488247,0.12482571963060432,0.1164397219356844,0.11355632956296863,0.11610118892152836,0.08668780473529145,0.114749362641528,0.12364690688333979,0.12453732412172192,0.11703660952802504,0.1245095147910314,0.13568211260154497,0.12911649846047107,0.09563414836488747,0.13343058158445886,0.10807425373655055,0.12403587216349075,0.10340628798974812,0.12004838730087009,0.13302576376192543,0.11787863044793785,0.10510419044954186,0.12417849709671264,0.11360135153027907,0.11953018384229906,0.11651514847619188,0.11875761924568029,0.11584008441356071,0.11436313983422944,0.15287796846363014,0.11842762302638891,0.13403432708354737,0.11391399403355312,0.10571195412228865,0.11587555797938229,0.125536749818682,0.1058131889044809
Albanian,0.14563848532906246,0,0.11155673146241601,0.1245434348729646,0.13224015571639763,0.1426767283765827,0.15570200024337758,0.13724076182307268,0.13058999613336483,0.17274620539486715,0.14905883524836264,0.16903752643942607,0.14198700248250964,0.11656040719769227,0.15557766917576688,0.14300011425902276,0.15757626422579168,0.1350290529473126,0.13671805100481882,0.15261654962438717,0.12709465980695814,0.1450812518653006,0.11409210975146143,0.13026994456600813,0.1448677445601399,0.10000790464635538,0.13917847665783575,0.12568347964010732,0.11893776645476829,0.14828594512345364,0.1298431709632749,0.12492901568854005,0.13717084850175423,0.12462261148399141,0.09718110412566396,0.13958192994807894,0.1689122283286877,0.12080639600780965,0.13152559339347908,0.11804813124692724,0.11385290453614473,0.13314154733844982
Armenian,0.10051993912490381,0.11155673146241601,0,0.10383563634526527,0.09372621511582664,0.1039310714993074,0.11206032165044749,0.0983755850307625,0.09037276623746383,0.11729124027092883,0.10257310488148867,0.11427746730884451,0.10454879964353794,0.10220039403210807,0.10437922076503024,0.09698028896057823,0.11189121606233966,0.10139693766759951,0.08802114992043822,0.1121002173828029,0.09262606451794256,0.10241620331768807,0.0804236863324898,0.09897203282111065,0.10904894991578332,0.09394271344018423,0.10161793672317836,0.09803990832136712,0.08567164629573536,0.10953754126243008,0.10451064298551498,0.09713163168115008,0.09708466753236722,0.09679989069850983,0.11781398476056755,0.10072391144708835,0.12138177774441045,0.10101383632262866,0.09395965083739229,0.0927117135496435,0.09337097025760775,0.09140665787300917
Bengali,0.12883527600842518,0.1245434348729646,0.10383563634526527,0,0.1111007764984555,0.12145143818062488,0.1328599071767977,0.11511795915201067,0.11371868683934669,0.15084376399278784,0.13098132350118594,0.14088859663982592,0.124908051099843,0.11988715531257518,0.14214977718556734,0.12130528048768013,0.11729648234318017,0.10407486109170419,0.12053919134548001,0.14237407170063562,0.10793333020341986,0.1255405468585928,0.10206336552597287,0.11161932544893823,0.11310623257058229,0.08560979545476392,0.133190248981855,0.12019032775703394,0.11336416422050472,0.12535599537888145,0.12179944111111048,0.11487339642860285,0.1206761335313188,0.11274295880229175,0.12399944340370207,0.12297523221376769,0.14368863697519924,0.11272158784231018,0.12166372508358629,0.10981749049650005,0.09847117103050063,0.11517243864631865
Bosnian,0.10521874621813933,0.13224015571639763,0.09372621511582664,0.1111007764984555,0,0.07767501140872697,0.11188514790079218,0.06744479248520537,0.07689213836245673,0.11480003316484413,0.1114454044015689,0.11061242106805849,0.10718999143786628,0.1151798816560768,0.12268478222300871,0.10825325747249724,0.12299653526891371,0.1120824796419732,0.09516392690884766,0.1266211158891462,0.08966971553583812,0.0992128742560836,0.0842704040289123,0.0691792551295128,0.11790733664376415,0.10651496670293224,0.10831232560521291,0.11231888910817522,0.1001619114537507,0.0799427640551344,0.10753212947372684,0.10296705430900789,0.07313560543336738,0.05420714849715979,0.1408242622186514,0.07609929699123189,0.09323919844192495,0.10691923502282938,0.10238251395576935,0.07616398253104156,0.10893235708769604,0.08817937085317032
Bulgarian,0.12291974586488247,0.1426767283765827,0.1039310714993074,0.12145143818062488,0.07767501140872697,0,0.12436007353910997,0.07098532948378937,0.08872192703262138,0.11944435415619005,0.12561737129507933,0.11537601710933106,0.11541218504100802,0.12262590612220974,0.13494782606332814,0.11346796036838928,0.13857903099486915,0.12594052267582734,0.10785224622992151,0.14007051683168384,0.0935741797537054,0.11421942250364225,0.09769412925564525,0.0812012467413889,0.12972569078353519,0.1126148728376494,0.12262694725928791,0.12396931338342389,0.11235045154508749,0.1038053839427867,0.12475141262520893,0.10970437896360134,0.09378907821207721,0.08610757217347563,0.14500632564557783,0.09431295544276011,0.09739530169131728,0.11722847933542734,0.10960170695194442,0.09002665862011339,0.11581792021613149,0.08660298087351163
Catalan,0.12482571963060432,0.15570200024337758,0.11206032165044749,0.1328599071767977,0.11188514790079218,0.12436007353910997,0,0.11709895791591379,0.11765051740239532,0.13919067440793706,0.127698425369085,0.1328667069174304,0.11813702211230961,0.11441836309896163,0.14080665812597157,0.12552003312908808,0.13680033433901403,0.1354991770399718,0.11644040906177684,0.13876261338237197,0.09344630091411603,0.12823470257957956,0.1052790928456606,0.12081872064946995,0.1339233666730299,0.12357680536032294,0.13524209700326267,0.1350964361285149,0.12024506590750121,0.11988781603751617,0.10532031744802196,0.11065420448610837,0.12185746203392324,0.1197469198716252,0.16011211091663521,0.12046039916278115,0.13577693566707355,0.09655312481461378,0.12867087346045855,0.11763488978451572,0.13074367390529618,0.10876555711845891
Croatian,0.1164397219356844,0.13724076182307268,0.0983755850307625,0.11511795915201067,0.06744479248520537,0.07098532948378937,0.11709895791591379,0,0.0817465855616815,0.1151606251955314,0.12388293798950428,0.11038607446839853,0.10994517457106952,0.1146350998385193,0.13391382425106163,0.11155370369561932,0.13626761988545688,0.12308614810365763,0.10540402327247818,0.13479494811824927,0.08703745509927074,0.10883217942142152,0.09351261617554224,0.08290300736736189,0.12776806714921066,0.10732291712193254,0.11535464360282024,0.11665840910402925,0.10529854389054684,0.09274670396586542,0.1162783243482301,0.1033471622565901,0.08679699514744041,0.07361986834990138,0.13795389630750526,0.08355623825311188,0.09043643836886721,0.11431051406444719,0.1030153026316399,0.08712309807891781,0.11040256937478667,0.08368805612012326
Czech,0.11355632956296863,0.13058999613336483,0.09037276623746383,0.11371868683934669,0.07689213836245673,0.08872192703262138,0.11765051740239532,0.0817465855616815,0,0.12422651320286351,0.11674760146095721,0.12195183373148585,0.10993479613413693,0.11247921191800228,0.1253891860031275,0.10823260769353939,0.12333245612000951,0.11106832233393259,0.09722498200532662,0.12774303157691647,0.09496074473300299,0.10288110195290585,0.0886123118625299,0.08637539251508441,0.11927931023754428,0.10079127622744062,0.11074395022492757,0.11297454817878712,0.1024479016111105,0.08925858086477416,0.1106560757774346,0.105910130041929,0.08344511135439513,0.07907658116612214,0.1372490442789963,0.0686227190471087,0.10653365196467615,0.1054210779184116,0.10780715806331669,0.0794412404834696,0.10401048943308489,0.0937019984996696
Danish,0.11610118892152836,0.17274620539486715,0.11729124027092883,0.15084376399278784,0.11480003316484413,0.11944435415619005,0.13919067440793706,0.1151606251955314,0.12422651320286351,0,0.1236742434540681,0.10150801667777994,0.13364020730164014,0.14386633570494903,0.12706179802262962,0.13672104522570114,0.1617552915008141,0.152011394065993,0.10021403994616722,0.14694045367967187,0.1089443387744674,0.13430694757811418,0.11639786685138323,0.132308088645858,0.15362374031735418,0.1386931993285809,0.10555747711830986,0.14940001832454458,0.12661506645106851,0.1282264695795796,0.13948057942299139,0.13481702266544582,0.12934486329883285,0.1308513098914464,0.17746725869853308,0.13055122498482521,0.12617519947137856,0.1343586694502071,0.10929563592602437,0.12974414981187526,0.1430203631244153,0.09766430006744249
