,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.27552265230664924,0.23440333731623658,0.28003747881558705,0.2583354031679148,0.2743798269964261,0.28640030737774963,0.2673132963064522,0.2737209302592583,0.26533989731761115,0.19016567847255741,0.24065892397692767,0.2825000105598022,0.2720451922189299,0.24892216817532622,0.29848736434338746,0.2875594139778206,0.28191519873045545,0.23381443675972727,0.3038584617343624,0.2575382340741612,0.2840902577458859,0.23081847622154608,0.263474815419413,0.2899469916409577,0.2542050942460343,0.26122585786463237,0.2743944297915728,0.2611270232537644,0.273452138487607,0.27281140339716736,0.273570367237269,0.2690673253976433,0.2625938177171012,0.25218542524659643,0.2933350312520305,0.2916386758561487,0.2831915664057003,0.240209516391064,0.26661911375746467,0.27487305417492486,0.23479523013862386
Albanian,0.27552265230664924,0,0.22463430059991074,0.2678277358911173,0.24947341331147507,0.2734550199324118,0.29093672933837694,0.26561484571621996,0.27474778248735754,0.29607828830607325,0.274706191966885,0.278583627156131,0.2791913207751361,0.2668631365476621,0.28663878333258835,0.28548437911444124,0.28246744042027605,0.27321300407859817,0.26147999903677904,0.3032472203883478,0.2575785249009142,0.27485545789228627,0.22578264431276732,0.25690044639649046,0.28228696660997843,0.2380262569233649,0.2993281033138852,0.26449066435027213,0.2530695706672244,0.26614757504818415,0.27077514837115957,0.26361890630290463,0.2548447638459376,0.2576957264727383,0.21998236041693134,0.28351746507602266,0.2927517525695113,0.2817400072938375,0.2716009323309012,0.2529570373578661,0.26514396806498336,0.23258522208998555
Armenian,0.23440333731623658,0.22463430059991074,0,0.23229512037693106,0.2138658960517427,0.23902968678615713,0.25004370043207114,0.2241925130852502,0.23086593039340197,0.25818110377183573,0.23475153782715324,0.23342930248140287,0.2470346312593459,0.23825628074364033,0.24318149394738753,0.24417254578415887,0.24247111378935646,0.23831553973252545,0.21794005952214263,0.26229746538497484,0.22058151111790078,0.22696950648267622,0.19104186028897607,0.22162079658815562,0.24767151641775723,0.2121433664992564,0.25267593980134095,0.2286105836340374,0.21240418856743204,0.22471204676939033,0.2327647526825377,0.23126520464418288,0.22320915618952536,0.2214414219670943,0.2098343504870603,0.2445121743990751,0.24774662839409217,0.24270696215946846,0.23210681581440615,0.2214186910237124,0.22747507760984292,0.1994917124578286
Bengali,0.28003747881558705,0.2678277358911173,0.23229512037693106,0,0.2591982667009438,0.27139855936238083,0.2822603860601731,0.27219487676448606,0.2699282633652275,0.30966988739860785,0.2711254251897902,0.2627091679487684,0.28302347293098656,0.27929038637290804,0.28732489120115323,0.2829020565152707,0.236094405798497,0.23081477018792165,0.263529600167163,0.29952871687798627,0.2560245599781512,0.27428014163919445,0.2227025823606093,0.26240550421032016,0.24690000493660766,0.21047113040443147,0.3039381958274425,0.2703419189429331,0.2556437752091606,0.26066468484994176,0.2653987480632715,0.2747334870924453,0.26838586651559143,0.2646106087065822,0.24211800465896113,0.29113590853327553,0.2957373309810225,0.2673708098222807,0.27089123325991615,0.26620977231167675,0.2262615152551599,0.23554078937583914
Bosnian,0.2583354031679148,0.24947341331147507,0.2138658960517427,0.2591982667009438,0,0.2149674049291029,0.27313293235578945,0.16634156144310352,0.21746212807600973,0.27764158283440266,0.24883353319811174,0.2588896583111442,0.26926795725270414,0.2613930942073732,0.2636791692566891,0.26752977838858283,0.26760655915096937,0.26043313588550565,0.24375197795179224,0.2929269253377155,0.23286643825693384,0.23085981102362743,0.19879835767197937,0.17438141912555427,0.27079894874672455,0.22857814550227687,0.27025828678691527,0.25962816242609466,0.2375289297242509,0.2044584612881333,0.2512267174064855,0.2509309911519108,0.18846229520097302,0.14066918644458093,0.23567187644590343,0.20954860889686547,0.2138421800545828,0.25553828335374573,0.2535577281742193,0.19032645318402178,0.2511948938476266,0.2223472971655687
Bulgarian,0.2743798269964261,0.2734550199324118,0.23902968678615713,0.27139855936238083,0.2149674049291029,0,0.27719520575709516,0.20239163488526277,0.22569988310708244,0.29662296003106187,0.2606844987295003,0.2617626656564671,0.2834616764013978,0.2693417427856444,0.2814928132329001,0.28304288144067385,0.2773416748077033,0.2705765378034583,0.25835740340217284,0.30119223809436085,0.24290542460882855,0.27890359214802546,0.22607432422148738,0.1939196967592363,0.28030964968263117,0.2577787218305572,0.2997233439538781,0.27745284997844777,0.25941576831836455,0.2357838876089733,0.2628402160088825,0.271177764556843,0.2277944410831687,0.20812864933542063,0.2518882330358624,0.24177683071710998,0.2518262434187007,0.267657207689406,0.27057767298315044,0.22597118003535915,0.2650424534754332,0.2216101002864905
Catalan,0.28640030737774963,0.29093672933837694,0.25004370043207114,0.2822603860601731,0.27313293235578945,0.27719520575709516,0,0.27809130471360827,0.2835977847615831,0.30945518828873303,0.2775633552223085,0.26526919696202195,0.2700140251018748,0.2337970455933806,0.2916315880511138,0.29239585480696306,0.2871160860278145,0.2818028653024692,0.2731907523902843,0.3048538458955181,0.21689242198414044,0.30084519085885064,0.24117527568542155,0.27350146698993033,0.2893861455733158,0.27175756785355293,0.3042911613275894,0.2958449938513912,0.2736419524677231,0.28112464699012096,0.2261170637991825,0.26283414584349457,0.2814595038420643,0.27752501483330616,0.26717750581625216,0.30257394950183647,0.3035893613713355,0.2196631764646428,0.27981590418741287,0.2754320504439811,0.27778350152570974,0.23397041830540494
Croatian,0.2673132963064522,0.26561484571621996,0.2241925130852502,0.27219487676448606,0.16634156144310352,0.20239163488526277,0.27809130471360827,0,0.21178940633098067,0.2878973671753128,0.2592793184582442,0.25845676967838005,0.27777084456110535,0.26798189771591635,0.27807652988058806,0.283440620190891,0.2755194032413065,0.2673508465018,0.25320271464274985,0.30252487189788435,0.23665497928488946,0.2671590794584992,0.21149082782214526,0.1910401487388127,0.2781355877668433,0.24777090964286988,0.2886427317460068,0.26828069914810043,0.24816478099326275,0.2226596076824754,0.2621291589699991,0.2596436992709533,0.21230656288751362,0.15946200754688347,0.24463048796494122,0.21916179614810868,0.220675277671097,0.268029345115343,0.2649318179983868,0.20851971976187472,0.2617206738871439,0.22352529627290527
Czech,0.2737209302592583,0.27474778248735754,0.23086593039340197,0.2699282633652275,0.21746212807600973,0.22569988310708244,0.2835977847615831,0.21178940633098067,0,0.2840357412187216,0.2617370043706019,0.26002478273735213,0.28220738024601216,0.2755839845501209,0.27803291623541615,0.28499765036893604,0.28085622066170485,0.2748578644278197,0.2568040225630236,0.3035665536717433,0.24424304047642395,0.25951231795478774,0.22179063870115148,0.22103767871208532,0.28640794221930926,0.24737124694861434,0.2924747024741609,0.2682421213480364,0.25258727608338966,0.22062730289960872,0.26422669733823745,0.26674089351421193,0.2201307212422672,0.21576261506724212,0.2533474106247041,0.20789692835086132,0.2452138326516541,0.27197647902340927,0.2721057463071177,0.21462911338749488,0.2635235538915994,0.22487210950127698
Danish,0.26533989731761115,0.29607828830607325,0.25818110377183573,0.30966988739860785,0.27764158283440266,0.29662296003106187,0.30945518828873303,0.2878973671753128,0.2840357412187216,0,0.2656333288737224,0.2719335603358137,0.297195463188519,0.29477746029094937,0.2771734451150988,0.3225580722031671,0.3119799932053424,0.30767083288835695,0.24877322209144262,0.32094327491026164,0.2687325309495176,0.30529853169793797,0.2552747155212573,0.2861504364011015,0.31643478048911616,0.2716678321920342,0.2573808660669833,0.3003350602839916,0.2833081028430492,0.2913106505204502,0.2940125252306316,0.29455631063238635,0.2860859970070942,0.28915227812707306,0.26624768268271204,0.311394944048834,0.3062757670346283,0.30084518981667013,0.24957506327562184,0.2820714333026128,0.2993858598668057,0.24336824825658832
