,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.16212948532658705,0.13110065411543156,0.16929036886344143,0.14200999487143126,0.15904465576983615,0.1720088888660436,0.15353433248399362,0.1558245776259703,0.15546260522213154,0.11370082803235458,0.1340490705527232,0.1659085661672165,0.1604917484098776,0.14484289283233462,0.16262369476434832,0.1767899003649713,0.16890527643640424,0.13667235685483425,0.17468093958232742,0.140928640792821,0.15653124932833662,0.144732252362505,0.15170203868361135,0.17850536367484798,0.14197723501105827,0.15727479875453432,0.15746673068526054,0.14877334950906218,0.15171474525663195,0.15171281317742943,0.1579485195719595,0.14964961567780136,0.15152879176032333,0.14322237143369004,0.16365395031069652,0.16948284698631516,0.15271283573419528,0.14354608535437258,0.14894339111722346,0.16292863013666378,0.12835916877811107
Albanian,0.16212948532658705,0,0.12811729774607528,0.1573472518018211,0.13942852235232864,0.15325030639018375,0.1655892162969598,0.14502596912769056,0.1545823670184032,0.17271964134126486,0.1550110513833699,0.15498586371936154,0.15908825061993098,0.1531358217135696,0.16428916702387497,0.15094233726690467,0.16948335183577673,0.16062415079847198,0.1532921832866016,0.1725818584287311,0.1344824337389807,0.15584773788236128,0.13914135324014104,0.1456321214635028,0.165354893326619,0.13261529923789447,0.17561468437691924,0.15063689268791022,0.14442818231964286,0.14772461536316386,0.1498076641594347,0.14949503042763893,0.14341840339213827,0.14611001026399856,0.12473353251499546,0.15771088464187577,0.1639669400924862,0.14634269045051906,0.1564546766074553,0.13936590095922705,0.15285946287588664,0.12881191330566033
Armenian,0.13110065411543156,0.12811729774607528,0,0.13489671257626795,0.1140689592020926,0.1302427035685787,0.1407458367839962,0.12269258770320392,0.12899226713941425,0.14497387567628262,0.1295743775743198,0.12863537326311955,0.13839166065483186,0.13378680588725894,0.1335705427108617,0.125436627586989,0.1450728586250615,0.13832637138439113,0.11831728863328399,0.1431021242011937,0.11461012582291964,0.12321310137830366,0.11409389201854236,0.12280055423732773,0.14434966561372267,0.11873089383045704,0.14014701013567504,0.12867134861585067,0.11767592178173482,0.12378179140363478,0.12623506347331792,0.12625515315111782,0.12103427659246414,0.12290030459234816,0.11478636926780274,0.13273826191934396,0.1398557246177537,0.1266638600227429,0.13021080294565404,0.1202097722307719,0.13118270530443354,0.10697509970547263
Bengali,0.16929036886344143,0.1573472518018211,0.13489671257626795,0,0.14088122249894047,0.15106301074283143,0.16431502877067708,0.14675940894320533,0.1517072619011059,0.17181314691519045,0.15658097039922747,0.1494218422924556,0.16406853624112033,0.16030097729581508,0.16316585487431676,0.1499472217509198,0.1375701377986768,0.13081357566483576,0.15629512462759676,0.17561452918515313,0.134791049906774,0.15248117055734192,0.13799874242183433,0.14502202195797886,0.14294587083909435,0.11201825408841984,0.17443335727166878,0.15526413496653865,0.14730264766198728,0.14364170455369385,0.15070255606733676,0.1515563791302942,0.14829006741735792,0.14871451388638873,0.1333840052056766,0.15758982999422955,0.1617697104334507,0.14503721255028482,0.15517894723811593,0.1429684751649437,0.12699550252046643,0.1299943126786932
Bosnian,0.14200999487143126,0.13942852235232864,0.1140689592020926,0.14088122249894047,0,0.10866959770107919,0.14770851829879436,0.08324314709106874,0.11086541890223593,0.150351653109557,0.13418499093642636,0.1353013847564267,0.14328540062596457,0.14329070164995908,0.13867465426610487,0.13647255398465072,0.1507789281248561,0.1441204150964752,0.12906801604865403,0.15863723121712253,0.11548661542953799,0.11772469005337205,0.10822288631359268,0.09040524518904525,0.15150440215911767,0.11985176597187551,0.14804316731044054,0.1424865688608189,0.12845634757040258,0.10149334299632981,0.13071724360355888,0.1293989015021665,0.09558756805118357,0.07043361971882334,0.12640653879153663,0.10746020239150787,0.11435900202754364,0.1305466629811587,0.13581660058176304,0.09387838102474126,0.1374797037861758,0.11473573881016812
Bulgarian,0.15904465576983615,0.15325030639018375,0.1302427035685787,0.15106301074283143,0.10866959770107919,0,0.15686386178429804,0.10374845416220452,0.12388235659459548,0.16200617639408568,0.14554944962328514,0.14499778876743405,0.15519772297284873,0.15188090027883208,0.15381932931152856,0.14625554980013827,0.16263516236489423,0.1539857838398871,0.14449595795312906,0.1658932912723591,0.12212565324662497,0.1456397367240462,0.1272645604186295,0.10063032543283136,0.16232125818694765,0.13480225979815985,0.16814387242084325,0.1531055284631554,0.14331982963918402,0.12013572108920878,0.142092556743158,0.14282689969356518,0.11745995768533693,0.11035386847928898,0.13468229293284106,0.12692443436450906,0.13446394241384724,0.13659933857462506,0.14952434028307035,0.1146626022389406,0.14566713370467482,0.11803800846010622
Catalan,0.1720088888660436,0.1655892162969598,0.1407458367839962,0.16431502877067708,0.14770851829879436,0.15686386178429804,0,0.1505409349522118,0.1591431821851906,0.17190540453324193,0.15812415909336103,0.15099410827258103,0.14992311932623692,0.13115155277812132,0.16448681094685752,0.1536369124569914,0.17321227671995976,0.16704278248753227,0.15667216969445086,0.17309888693372566,0.11901581556825434,0.1614849414365278,0.1434080407060696,0.15150859634447408,0.1714409561064126,0.14762607385480944,0.17046540237343,0.167694548545804,0.15640505290300605,0.15111416134497258,0.12656218096363897,0.13865683272605042,0.15272867767502518,0.15545590581176896,0.14786436359119703,0.16006668876996671,0.1665735787994906,0.1162077882272024,0.15869411281112963,0.1468849415191076,0.1604736366295143,0.1329519090900061
Croatian,0.15353433248399362,0.14502596912769056,0.12269258770320392,0.14675940894320533,0.08324314709106874,0.10374845416220452,0.1505409349522118,0,0.11388952642477894,0.1535911407827491,0.1404256590860586,0.14039122974488757,0.14704928395052821,0.14425061556128335,0.1476390839666625,0.13994412013398308,0.15531392053082102,0.14937051273003127,0.140684346379339,0.16135882016677214,0.11606214015281358,0.13798012847976515,0.11932151277404868,0.1010646000136068,0.15393192780672915,0.12818712657362183,0.15918604325026017,0.1447150593065036,0.13450868148235218,0.11022746536009857,0.13848280759314616,0.13342939616682556,0.10974700930667396,0.08252504480532588,0.1273212620456511,0.11269648058342076,0.11234727424168085,0.13099792953946401,0.14317926742654438,0.10357174035668085,0.1411805637679115,0.11558671242473376
Czech,0.1558245776259703,0.1545823670184032,0.12899226713941425,0.1517072619011059,0.11086541890223593,0.12388235659459548,0.1591431821851906,0.11388952642477894,0,0.1570649223290363,0.14617354204287328,0.14212086994245973,0.15352543988263334,0.15303815267895668,0.15528969152212768,0.1499216410762569,0.16289522931436623,0.15643583033110448,0.1432306481668921,0.16772430094622884,0.12797799952063282,0.1363813951508466,0.12905527006877543,0.12015005116887766,0.16515552397227168,0.13146781359545642,0.16247145449174616,0.15044470260860063,0.14116190134606366,0.1110040866350492,0.1427173283181163,0.14342407856576148,0.11451632378392167,0.11463006499340682,0.1367434722455542,0.1035877824777474,0.13475196962607977,0.1401334862931336,0.14870130514972751,0.11037122638360017,0.14545857621172598,0.11967399721653924
Danish,0.15546260522213154,0.17271964134126486,0.14497387567628262,0.17181314691519045,0.150351653109557,0.16200617639408568,0.17190540453324193,0.1535911407827491,0.1570649223290363,0,0.1452067308723553,0.1343219141397545,0.16137500288110043,0.16496168353213447,0.1443946979976297,0.16231498592027752,0.17657513275535275,0.16881149431721737,0.13952998589546145,0.17313761896558438,0.14044292994305768,0.16846498933900073,0.15245249516205656,0.1580731180263186,0.17628743131611732,0.14109181777589427,0.13916307532485958,0.16562898044957652,0.15847815825035907,0.15499652337198552,0.15367476069566013,0.15797024541260812,0.15688029265932713,0.15913432096780727,0.15226845082500515,0.16269293560215706,0.1667356286018214,0.1519398532256512,0.13587669539727823,0.15110050096394853,0.15966662660186126,0.12853642310824687
Dutch,0.11370082803235458,0.1550110513833699,0.1295743775743198,0.15658097039922747,0.13418499093642636,0.14554944962328514,0.15812415909336103,0.1404256590860586,0.14617354204287328,0.1452067308723553,0,0.11915589365733698,0.15482773384235898,0.1560777347428974,0.12174714190581824,0.14674136801652898,0.16244222761668045,0.155432034051122,0.13292967272244155,0.1650640431821374,0.13045078708581767,0.14548838155229912,0.1342551651558695,0.13943527238289127,0.16288507619241918,0.1358383998356236,0.14469766626062971,0.15355652025188454,0.14234989366734374,0.14260241881806882,0.14148028572569682,0.1458874466065375,0.14114240874818626,0.14165534779897024,0.14069205267949064,0.15344127543390118,0.1540647359032477,0.14041462799596502,0.1317589511083239,0.13890220684788532,0.14901321335116796,0.12117614020545152
English,0.1340490705527232,0.15498586371936154,0.12863537326311955,0.1494218422924556,0.1353013847564267,0.14499778876743405,0.15099410827258103,0.14039122974488757,0.14212086994245973,0.1343219141397545,0.11915589365733698,0,0.14766580609537105,0.151561455153671,0.1298732454490269,0.14798770706662415,0.15684241464031567,0.15418954858888265,0.13128891288999195,0.15465660065024314,0.12556196720105012,0.14395552733867262,0.1345120889231627,0.14080108724801538,0.1582829828122859,0.13050215988296324,0.1386279067116292,0.15399066392685531,0.14213573543280053,0.13979832127253194,0.13572195589898817,0.1437213173868169,0.14000788662367317,0.14270368411427656,0.14124643025807135,0.1480203725741011,0.15453830161636278,0.13760564518805898,0.12996405112266746,0.13721726459760167,0.14443840003474567,0.1165778546314471
French,0.1659085661672165,0.15908825061993098,0.13839166065483186,0.16406853624112033,0.14328540062596457,0.15519772297284873,0.14992311932623692,0.14704928395052821,0.15352543988263334,0.16137500288110043,0.15482773384235898,0.14766580609537105,0,0.14621375949327317,0.16151113987551302,0.153944060659416,0.1751841410634101,0.16463398277323968,0.15671162235031882,0.1684565644739406,0.12151374584470874,0.1590535808045522,0.14671746747554193,0.1516201650380979,0.16940793015286554,0.13860779286904698,0.17035326887498853,0.15883957608452628,0.15220080757947277,0.1500559272352085,0.1373656851539012,0.14509782248945804,0.15086913741931865,0.15179059059246205,0.14384246675757278,0.15938406767569344,0.16261901061013703,0.13336494536600546,0.16052709125926512,0.14543303253885487,0.1559807152266714,0.12450346583631419
Galician,0.1604917484098776,0.1531358217135696,0.13378680588725894,0.16030097729581508,0.14329070164995908,0.15188090027883208,0.13115155277812132,0.14425061556128335,0.15303815267895668,0.16496168353213447,0.1560777347428974,0.151561455153671,0.14621375949327317,0,0.16439843380498387,0.15303413864467438,0.17150617824643122,0.1636152556856026,0.14921560645179455,0.16623603170168813,0.1145427755195396,0.162131099739379,0.1440407236061137,0.14543289884598629,0.16852549720725984,0.13660992411001188,0.17121038589428456,0.15500767939552781,0.14587663512031346,0.1500892414727915,0.11064171825221322,0.13906487199298734,0.14815131150872074,0.14935925226568267,0.13350904699499547,0.15851278849836584,0.16351834417041958,0.09530107978621088,0.1524739720682646,0.14297705962818302,0.15647716289336694,0.12639312176284032
German,0.14484289283233462,0.16428916702387497,0.1335705427108617,0.16316585487431676,0.13867465426610487,0.15381932931152856,0.16448681094685752,0.1476390839666625,0.15528969152212768,0.1443946979976297,0.12174714190581824,0.1298732454490269,0.16151113987551302,0.16439843380498387,0,0.15079819316240634,0.1704541578681543,0.16267378525779894,0.13838078542203097,0.17105773039117872,0.13213336838915113,0.15149868161817576,0.13816298388775172,0.1487556986995745,0.17025818055324723,0.14096692026929453,0.158076707359148,0.16348600500157176,0.14771672450235268,0.14848690797826694,0.1523540922422706,0.1499116636292726,0.14973395342838078,0.1489920334402822,0.14963439555521874,0.15991960305701922,0.16160413128250553,0.14846595676617,0.13893162796968866,0.14463102868031583,0.15678919117995854,0.12462681583836037
Greek,0.16262369476434832,0.15094233726690467,0.125436627586989,0.1499472217509198,0.13647255398465072,0.14625554980013827,0.1536369124569914,0.13994412013398308,0.1499216410762569,0.16231498592027752,0.14674136801652898,0.14798770706662415,0.153944060659416,0.15303413864467438,0.15079819316240634,0,0.1634034619374173,0.15235569902252252,0.1451048658629182,0.16503513969046238,0.1244547383582316,0.1450680357147536,0.13206485581165237,0.14335953895775308,0.1614156271283496,0.130005979891474,0.16785361116036712,0.15219099041788334,0.14349870999681233,0.14425059773481266,0.1430305683926915,0.13823680779874994,0.14252065674574035,0.14576540136326444,0.13141771988674614,0.1532136651580462,0.15773577070506514,0.13443644727006004,0.15175694930891065,0.13582187475696328,0.14531929105972857,0.11864278999554519
Gujarati,0.1767899003649713,0.16948335183577673,0.1450728586250615,0.1375701377986768,0.1507789281248561,0.16263516236489423,0.17321227671995976,0.15531392053082102,0.16289522931436623,0.17657513275535275,0.16244222761668045,0.15684241464031567,0.1751841410634101,0.17150617824643122,0.1704541578681543,0.1634034619374173,0,0.1196452350876639,0.16534395089078033,0.1856009974086758,0.14669181710077955,0.1652990559218336,0.1448126303837069,0.1561250652036498,0.12106683279038649,0.12491487752249587,0.18104132391137592,0.16320531957919568,0.15619899010663854,0.1535975154050319,0.1637239932830532,0.16035970912252612,0.1596370580485104,0.16011008066636923,0.14631679900557523,0.16770275453391784,0.17324559628058786,0.15437174065940784,0.1641751118469118,0.1545814470088101,0.1354936603176944,0.14160473580722538
