,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.19894068940096934,0.18207910752622108,0.22455645047204134,0.1917008221830914,0.21529457746892405,0.22275803054268015,0.21152007614552526,0.2021428139455933,0.2145296931762978,0.15829689567948788,0.19279090755773845,0.22608070249640888,0.21202759202847743,0.19533896284915894,0.2216199269626646,0.23274766807687247,0.2355457784944638,0.18345703498921484,0.2330162426199153,0.20018093274192103,0.19997475957633962,0.18823574717915928,0.20397758727613052,0.2368708563418159,0.19567717765935919,0.20503364155671508,0.21248857706524818,0.19188239403307236,0.19779822063304625,0.20337711987350662,0.21597229967807,0.19874088455643427,0.2046220256722405,0.19029082853021687,0.21174457131214847,0.22148513276781126,0.20679649664464103,0.19118417074128374,0.20133973858636176,0.21952805989935462,0.185733109483147
Albanian,0.19894068940096934,0,0.17182749148477092,0.19920347239405192,0.18145507824953153,0.1946531155333081,0.20348221232748281,0.18755660421547773,0.18977550196663637,0.2212023889983819,0.19489407518976506,0.20621212532465213,0.2013286559969136,0.19032521936954275,0.20623816732168965,0.1947303996259241,0.21151403333350577,0.2113988943345377,0.19285140930554956,0.21561564659554164,0.17741634390652805,0.1910391951935472,0.17792429717114538,0.18671018437023024,0.20828876942881228,0.17247239235407205,0.21403342274030132,0.19271112150085537,0.1769305169157285,0.18469861818510538,0.1889620517625561,0.19290323128327325,0.184177670193566,0.1877007788995129,0.1589789374865061,0.19573626698393895,0.20590223791157203,0.18509515433400928,0.19444726578818888,0.1806685872208528,0.19518467154232896,0.17527921202093352
Armenian,0.18207910752622108,0.17182749148477092,0,0.18804101576117122,0.15875461848143838,0.18385326104508717,0.19208651625233847,0.17694608007686777,0.17878707139297806,0.20811539117457373,0.18259854648206608,0.18834579158276024,0.19804254027586612,0.18698271805182307,0.1856204136063371,0.18087608531338611,0.19894998684805085,0.1995915179548876,0.16597635547031686,0.20199225280705793,0.16877468020605454,0.16536457089491957,0.15286297691114537,0.17255785612076718,0.20025976740102366,0.1718537134063473,0.19336318039135145,0.1843052067783634,0.1597543656050508,0.16731504760154073,0.18192743170251266,0.18098082115957875,0.1682934834964986,0.17120063595738794,0.16487887674628865,0.18095346264267467,0.19147556452386988,0.18285053252026795,0.18041417430958664,0.16966117558567573,0.18760916975182046,0.16151684675983435
Bengali,0.22455645047204134,0.19920347239405192,0.18804101576117122,0,0.18958133718836842,0.20208595023351866,0.21690831458845955,0.19955913502633313,0.19975009778058705,0.23373059771799337,0.21027986432325282,0.21183903215109628,0.2223963549640851,0.21241329581659754,0.2164929115355294,0.20503384194233176,0.18334272167212431,0.18341512922573178,0.2078031231200367,0.236790279446424,0.18799130955643942,0.1966930271249675,0.18239115679744972,0.19295042540985843,0.19135302344273103,0.15577043382470734,0.22735525232286322,0.2089616915262241,0.1906127969191415,0.18783631082147229,0.20532791026548167,0.20608547843782668,0.1962948177858036,0.19864617463446568,0.17950800628025182,0.20639841355535993,0.21557257163750895,0.19923136185730161,0.20339144599100908,0.19128242135199705,0.17268433203890288,0.1852548808926201
Bosnian,0.1917008221830914,0.18145507824953153,0.15875461848143838,0.18958133718836842,0,0.15396705275921008,0.19648017099996562,0.1264550370037607,0.1510592936710685,0.2112588912624426,0.18560214092561325,0.1955635139356713,0.20098429860671824,0.1961352966300728,0.19058960707133052,0.19157613254365194,0.20078134854339433,0.203400271233514,0.17352855905622405,0.21956579632832246,0.1659009732876723,0.15154729930194843,0.14041455727438923,0.13004586947933586,0.20495365874381133,0.16875873328301644,0.19680734106943296,0.1981796340706419,0.16775783476225523,0.1360273058941959,0.18326479864653972,0.17912944397438468,0.13279937824461288,0.10374155770097955,0.1735010362809306,0.1470014275598281,0.15861348721329216,0.1847964753776351,0.18211929191783158,0.13120824024627448,0.19042066796687152,0.166970437324844
Bulgarian,0.21529457746892405,0.1946531155333081,0.18385326104508717,0.20208595023351866,0.15396705275921008,0,0.206287570138255,0.14464110249004292,0.16587592156144437,0.22318194623908283,0.19735995871316522,0.20599444528942834,0.21029464512041168,0.20187095726574047,0.20560232236966317,0.19609268295536636,0.2131313495751121,0.21289085213941975,0.1950230875956962,0.2263460461611345,0.17022841972413505,0.18659652654532755,0.16825271175294584,0.14077523340369044,0.21487043831025907,0.18761686777896983,0.22205229724165454,0.20943641288388326,0.18501572757035012,0.15835084583265696,0.194387856763384,0.1937634496652817,0.16011555086401652,0.1534162912686265,0.1814286138421154,0.17024361911097136,0.1829462519614364,0.18502987324707762,0.1978022518391917,0.15609252481905755,0.19734061434248815,0.1708361405732117
Catalan,0.22275803054268015,0.20348221232748281,0.19208651625233847,0.21690831458845955,0.19648017099996562,0.206287570138255,0,0.20171618755494033,0.20372704747086962,0.2315422064480669,0.21151540191948004,0.21351315278911367,0.19983562612108619,0.17320818953784753,0.21497886627665708,0.20655147751699443,0.2242576317815003,0.2256036061391285,0.20443615233747206,0.2306919454509884,0.1659891947252883,0.2008686241476703,0.1815512117896435,0.19997227679121013,0.22389486389147806,0.20123908240388946,0.2204791481472525,0.21972284014755322,0.19636340779016567,0.19045374322392777,0.17331931671302991,0.18750827263749686,0.19941820864101387,0.20357215443962115,0.19324696275801628,0.20649145781571926,0.21949827815370962,0.1625750519514872,0.20633658003422298,0.19408860449586937,0.21489379544769757,0.1874557314986702
Croatian,0.21152007614552526,0.18755660421547773,0.17694608007686777,0.19955913502633313,0.1264550370037607,0.14464110249004292,0.20171618755494033,0,0.15398605652139408,0.21791263797557728,0.19272536657407285,0.20242415922177248,0.20481228840819568,0.19726819000977588,0.20124387623417112,0.19353172051311174,0.20668489824104735,0.21023191394580842,0.1927440062275352,0.22572620621368278,0.163845894608246,0.17787624873258254,0.15861556094847307,0.14425607915086114,0.20713856790458673,0.18183494426381686,0.21658925600782217,0.20264388306642958,0.17645816503972392,0.14573472023624268,0.19260818836311083,0.1842017179730429,0.15343768960262452,0.1213385764033678,0.17491967073776393,0.15486878918443708,0.15952206807891087,0.18277989647554507,0.19245313333611797,0.14437108243830216,0.19598388836862599,0.16945451436292372
Czech,0.2021428139455933,0.18977550196663637,0.17878707139297806,0.19975009778058705,0.1510592936710685,0.16587592156144437,0.20372704747086962,0.15398605652139408,0,0.21186780323014953,0.19307581237028462,0.2006658431522892,0.20144541073758584,0.19748732451415574,0.2041424609930444,0.19922265885205342,0.20884908007356273,0.21123078418087254,0.18764735741399732,0.22137971300906154,0.17475173794094534,0.1735449002120837,0.16545532799109522,0.15968902975102864,0.2142541431621648,0.1797859302998561,0.2093472200079057,0.2013167492451044,0.1793883758387487,0.14420279187568086,0.18927490411549092,0.190734942229076,0.15303481336650543,0.15249490435663754,0.17867391943757407,0.13444111835922337,0.18028469633741986,0.1853552731497131,0.1916068005213496,0.14692311969499589,0.19468487445613292,0.17001524391018202
Danish,0.2145296931762978,0.2212023889983819,0.20811539117457373,0.23373059771799337,0.2112588912624426,0.22318194623908283,0.2315422064480669,0.21791263797557728,0.21186780323014953,0,0.20333717457373282,0.19549020721877053,0.22859189008823497,0.2245313913436842,0.19908729909008305,0.23004688390515488,0.23478455776186208,0.23606629774440535,0.19282468221257862,0.24438356292373536,0.20513206771298173,0.2196997017760946,0.2018239681792894,0.21830969456543514,0.2384840185218894,0.20450745638093293,0.19317930487806348,0.23185782714557918,0.20669437904278362,0.20690048156444207,0.21471379396410395,0.22190488101272857,0.2158540092962751,0.21915319004323427,0.21179559906469103,0.22095726803123042,0.2292478123103895,0.21205207135408577,0.188482970759163,0.21100331689321983,0.2206730625259105,0.19202276274036614
Dutch,0.15829689567948788,0.19489407518976506,0.18259854648206608,0.21027986432325282,0.18560214092561325,0.19735995871316522,0.21151540191948004,0.19272536657407285,0.19307581237028462,0.20333717457373282,0,0.1736619296789871,0.21283981162318086,0.20810295907452964,0.16627549416341453,0.19921436569493106,0.21417490052445687,0.214388692504389,0.18217990938618328,0.2247368473501579,0.18227084545895034,0.189504882989898,0.1760569738500728,0.18942268110235425,0.2155636546313707,0.1879483272198211,0.1976343159600986,0.20823800998194353,0.18391328962521925,0.18700213547279698,0.19229692948964075,0.2001099837630421,0.19062313080166682,0.19328298219869494,0.18869576093401422,0.202200089632095,0.20816460737952572,0.19150588483851522,0.1797702026387814,0.18876067485768103,0.20361491688178154,0.1747210386463274
English,0.19279090755773845,0.20621212532465213,0.18834579158276024,0.21183903215109628,0.1955635139356713,0.20599444528942834,0.21351315278911367,0.20242415922177248,0.2006658431522892,0.19549020721877053,0.1736619296789871,0,0.21575739106281608,0.21171443140996904,0.1858646611364691,0.21272370855442588,0.2144471153845843,0.22087325204369335,0.18526509804297334,0.22615646465698305,0.18588138053021117,0.19703193626003349,0.183431625608823,0.2000026574374085,0.22067628796192384,0.19151118654005336,0.19842616097533616,0.22133034414849254,0.1921296460734001,0.19267391335907605,0.1953623706249814,0.2056009798572786,0.19721078125589006,0.20398374258962357,0.19734367802626454,0.20687878296833137,0.21731872796307755,0.1966678657211282,0.18314481921394293,0.1949988359377805,0.20797078192406124,0.17671431177034663
French,0.22608070249640888,0.2013286559969136,0.19804254027586612,0.2223963549640851,0.20098429860671824,0.21029464512041168,0.19983562612108619,0.20481228840819568,0.20144541073758584,0.22859189008823497,0.21283981162318086,0.21575739106281608,0,0.19797159672642733,0.21980370603928387,0.21379463957748612,0.2315938325735357,0.23167630738088665,0.21247905600258493,0.23234823503303176,0.1752851556648125,0.20416276160813282,0.19298072221403545,0.2065302969005998,0.22830692996248417,0.19758911516934974,0.22671869179729873,0.21996392312434873,0.19822323172985423,0.1974853448044142,0.18833335398472767,0.2026205671014121,0.2036784276782787,0.2078478347759578,0.19707527140295003,0.21150198652842955,0.22136810940971163,0.18414573454422797,0.21345983480947622,0.20031822855828654,0.21412499283244926,0.18422352436877854
Galician,0.21202759202847743,0.19032521936954275,0.18698271805182307,0.21241329581659754,0.1961352966300728,0.20187095726574047,0.17320818953784753,0.19726819000977588,0.19748732451415574,0.2245313913436842,0.20810295907452964,0.21171443140996904,0.19797159672642733,0,0.21645334582700979,0.2080364778616019,0.2219037501454169,0.22438009038535311,0.1977904202215332,0.2199937013207792,0.16528819455669175,0.206081257832885,0.18697785456478871,0.1938815125342683,0.2205545369212296,0.1905320623878201,0.22207522293494344,0.2061952943639803,0.1866948633962331,0.1928064663163695,0.15455092708908244,0.19237391269418752,0.19705093889338918,0.19974473753635896,0.1790243692823544,0.2064954928639168,0.2149275245818898,0.13420363841786126,0.19934961877616708,0.1925931412682435,0.20813846545293643,0.18233251364165962
