,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.004495210082594339,0.0040244245752029855,0.005170125905056427,0.004205320564855176,0.004675883187284999,0.005140534445157357,0.00439471384508317,0.004294929733477552,0.004403543512743759,0.0036849437252108384,0.004171935648588096,0.0048713321782899695,0.004667355245160247,0.004588461996163035,0.004996788617554092,0.0054834247080586054,0.005281389444922787,0.003954994534281071,0.005015516365749267,0.004594507169032408,0.004460204000404803,0.004159211555625519,0.0045019041202611874,0.005237639307418731,0.004329032292829362,0.004245858752847256,0.0048645185774814454,0.0045951325430006245,0.0046560427598663,0.004699606175478064,0.004704281298721674,0.004633496257403216,0.004548870836141055,0.0041228221747703275,0.004638938487648342,0.004829051826589979,0.0046919023452564445,0.004134766089101472,0.004313772859862358,0.004720254036730564,0.004208661918267734
Albanian,0.004495210082594339,0,0.003799974978417294,0.004708838187266012,0.004019402478355268,0.0043239513343816685,0.004981679401398922,0.004142984884016571,0.0041368712836648,0.004670693943026052,0.004572677774067691,0.004546813256516594,0.0044198363945442565,0.004367301403164577,0.004888003219354155,0.00471486889815489,0.005252029365118557,0.004912263732733006,0.004150870426299818,0.00449051726721913,0.004237321229309464,0.004551975212277016,0.004059104261987456,0.004267187325768367,0.004883631263214922,0.00398202273251302,0.004622977707360869,0.004578431726783841,0.004082925228276251,0.004392104112265115,0.004438732952572305,0.004368725919897296,0.00440660306054412,0.004209396152203151,0.0037680855960983443,0.004444273431775636,0.004489955547489446,0.004207279917530155,0.0042486558239900754,0.0038929325634537828,0.004302121920069263,0.003910989204145238
Armenian,0.0040244245752029855,0.003799974978417294,0,0.0044235994866608005,0.0036248544970463393,0.004020750115522119,0.004620359665411281,0.003876827020183803,0.003740607904753944,0.004400353582381897,0.0042019722517347285,0.004169749124312098,0.00430703323784376,0.004067535479470645,0.0042614772274518825,0.004098670827335496,0.004624625692380046,0.0044624399999906835,0.0036780690956907517,0.0041913260565530725,0.004095230829992995,0.003912597226858615,0.0034591906863978526,0.0038968742930219234,0.00442424747621156,0.003932464300806733,0.004216020593585804,0.004040213384883471,0.0037145177744311395,0.004161425250425638,0.004264895044764751,0.004014019110361487,0.003962359205749011,0.00389474309255437,0.0036671000300589405,0.004016766638457233,0.004253963013605659,0.004187240963119625,0.0038015126275359303,0.0037394526069888883,0.004005192896165191,0.0037052748532202186
Bengali,0.005170125905056427,0.004708838187266012,0.0044235994866608005,0,0.004377910421133772,0.0046420838878810525,0.005194557702420342,0.004496798555524008,0.004526857253847194,0.005367788657185136,0.004963701406451143,0.0049728235066798954,0.0049385036106556115,0.005008879234330937,0.005276263080446438,0.005138713180790079,0.0046209324516570645,0.004324990314854085,0.004814325840968285,0.005431401545315621,0.0044287811990465055,0.004827199616461039,0.004411401318695494,0.004596874822807665,0.00437215890245047,0.0037225196453144955,0.005343410104547607,0.0050053014388153905,0.004676119949741993,0.004593137264193904,0.004802482553986912,0.004798836623054233,0.004871882149643988,0.004715569610934847,0.004128267452104219,0.004933990238976748,0.004935693776003585,0.004638384111353024,0.004826458366441335,0.004463333569949439,0.00416380922142571,0.004399310798147427
Bosnian,0.004205320564855176,0.004019402478355268,0.0036248544970463393,0.004377910421133772,0,0.003486555145035739,0.004378864086000743,0.0030970047428059673,0.003340939116980593,0.004519329600982361,0.004383603729532356,0.004376224413746645,0.004276838337339533,0.0042091424191442635,0.004717893877564199,0.004403264128853488,0.004701643399834614,0.004581819262200735,0.003833420651285723,0.004594927213023535,0.00392127713645662,0.0038549076380354533,0.003452626036819461,0.003040220330508652,0.004529835936698628,0.003997475199975256,0.00425956020973976,0.0043234047335588555,0.003890473898661154,0.0034954102273194493,0.0041170735248079625,0.004074764599346669,0.0033136961227127623,0.0025312732163409227,0.0037928683256357766,0.0034447178263384503,0.0038349395911138344,0.004146731847534765,0.00396894012827958,0.003135426101021738,0.004165856806638212,0.0037927638463439257
Bulgarian,0.004675883187284999,0.0043239513343816685,0.004020750115522119,0.0046420838878810525,0.003486555145035739,0,0.004678022788235428,0.0032136697049239614,0.0035274671337403927,0.0045956065493463144,0.004685391258611337,0.004556583609539213,0.00443491478122513,0.004256911895726566,0.004998446277566664,0.0046416580322046755,0.005055206981631772,0.004840977158108319,0.004398113706581245,0.004625116408562935,0.0039426517366447505,0.004681661374865344,0.004086091208248899,0.0034748022048674576,0.004774930698943709,0.004041068479423469,0.004741898668771366,0.004614341972305347,0.00423953707245117,0.0041082705983081814,0.004411207697773034,0.004341998509958338,0.004057524130823867,0.0036811812803024153,0.003769712129619504,0.003925824559005339,0.0039782033851001085,0.003951541185832849,0.004407117792472999,0.003575169215465427,0.0042155448741979535,0.0036291608917499046
Catalan,0.005140534445157357,0.004981679401398922,0.004620359665411281,0.005194557702420342,0.004378864086000743,0.004678022788235428,0,0.0042452310318131245,0.004413539827607798,0.0053831952923954155,0.005083301826731207,0.004953918287524902,0.004545302137266377,0.004162208725050528,0.005555597069108265,0.005231690941790331,0.005667295413370104,0.0054323398774853305,0.004914882854392533,0.005230453328934489,0.0038677364371616507,0.004880585463797704,0.004335327139788238,0.004616890147001563,0.005303959695701856,0.0045293381841136245,0.005236256061838529,0.005135120908602839,0.00475998815168252,0.004678631492186494,0.004134214338994064,0.0043707945656184105,0.004853500986603821,0.004704795159366692,0.00441661159281083,0.0047544707380315675,0.004949982794188043,0.003786702602833541,0.004907298261154348,0.0044882773873729616,0.004902570122321822,0.00420732996310941
Croatian,0.00439471384508317,0.004142984884016571,0.003876827020183803,0.004496798555524008,0.0030970047428059673,0.0032136697049239614,0.0042452310318131245,0,0.0032771770043302593,0.004442646664684133,0.004463743605332001,0.004329039783649358,0.004237762733337001,0.004038660219523152,0.004846397753545943,0.004595820101467342,0.00485263591360866,0.004764330383795926,0.0041883717436655196,0.004374525576460371,0.0037532881007188226,0.004296034579820269,0.003926171648458769,0.0034642747575075053,0.004610661384290351,0.003936822164835387,0.00440117057454738,0.0043937074194745,0.004051104062847174,0.00363834264207089,0.0039809734272070645,0.004133775173709036,0.0037805339552831065,0.003157823269726221,0.003656697803970253,0.0034418935992980375,0.003639129175943494,0.0038414300679688058,0.004162636083493268,0.0035042282576730477,0.004075340510387945,0.003609817547878147
Czech,0.004294929733477552,0.0041368712836648,0.003740607904753944,0.004526857253847194,0.003340939116980593,0.0035274671337403927,0.004413539827607798,0.0032771770043302593,0,0.004545386769925304,0.004401122881747608,0.004408791030071135,0.004246167840289059,0.004092644676421834,0.004786462882197386,0.004504246809660232,0.004798500577660199,0.0046699966915657734,0.004047163412053038,0.004536158809687454,0.003868443205001158,0.004059946591059272,0.0038532217195150816,0.003610667060250893,0.004563863979506636,0.0039058008945449204,0.004359150314545269,0.004415720015651297,0.004189759735699816,0.003610239575592774,0.004177002903647922,0.004129796334191644,0.0036961886903645064,0.003475863923920907,0.003732376100553978,0.0030468007348125594,0.003869449584093537,0.0040091553512788146,0.004144764893092871,0.0033721299304211912,0.004079936003873469,0.0037174924555508386
Danish,0.004403543512743759,0.004670693943026052,0.004400353582381897,0.005367788657185136,0.004519329600982361,0.0045956065493463144,0.0053831952923954155,0.004442646664684133,0.004545386769925304,0,0.0046488021473205755,0.004263786468734708,0.005000657746321289,0.004627848640418061,0.00449779972453504,0.005206652314502096,0.005876036042344899,0.005535382546288586,0.004005163237816339,0.004804271984835523,0.0044663963596276385,0.00528702425347465,0.004651520953152468,0.0048599845742472204,0.005368829073058047,0.004378256892450521,0.00397088566989345,0.0051176367169649154,0.004579343376850692,0.005003168380430079,0.004837776429229156,0.004871275034992798,0.005132393455605824,0.004765985024782789,0.004124088794159984,0.004957458135382209,0.005055673837534416,0.004480348486891418,0.004092275714268567,0.004609613690495253,0.004762527374927856,0.004012417660720964
