,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.761080704503573,3.429019419037637,4.178725833271572,3.6078350250638254,3.9902419267522222,4.421237914505704,3.9134471502080594,3.9389438355154196,3.913947016819725,2.90349000300492,3.5182962556761392,4.193424576045937,3.9406677267707058,3.582397775153431,4.317143362651484,4.425665405875528,4.351394795849221,3.4399059145809527,4.302388912587091,3.6994959749045355,3.8361672533179263,3.5338946759431624,3.777058619750246,4.455350754829521,3.550348711455872,3.898834553790976,3.9153697759476653,3.635122940697963,3.825812524446448,3.8291953049162557,4.095770975197043,3.778237482622593,3.8146876384206494,3.4217543661889263,4.093514217349539,4.3432872141574945,3.971004600035807,3.5888037128138284,3.7472265806280673,3.986248768193306,3.361098707242543
Albanian,3.761080704503573,0,3.25085555361869,3.8189561615861227,3.4455348777984764,3.7960131545967117,4.128401007696135,3.712175334424211,3.8030567303790392,4.255929531318199,3.7908262177152103,3.949310738929073,3.9538095393905968,3.680641981027205,3.9556708214055933,4.035835942512573,4.136947037951685,4.112782296803215,3.687230911338063,4.097811955858537,3.550191451496627,3.6948692921483417,3.35627685685392,3.5437591538794844,4.055852488995999,3.320994388145816,4.211515280109011,3.6793528394337485,3.440346603112377,3.6658313487677394,3.658127524170142,3.861505083652802,3.546459485334355,3.6330544637421234,3.027257217071181,3.857245075836146,4.154711557007328,3.7526318207316067,3.824074054336972,3.481948395120988,3.71799819308119,3.3589189701729363
Armenian,3.429019419037637,3.25085555361869,0,3.455027257292687,2.996933594801626,3.3898707276978164,3.6879120402651195,3.2215842074737546,3.395384808200859,3.787320804141849,3.40024108173237,3.4071277009258347,3.6227216931377493,3.4592739165588924,3.448239387180009,3.4145397561741158,3.768317478284733,3.666647107512363,3.0833501830172367,3.74165468743948,3.069907480204834,3.1696230682952726,2.8685248333069593,3.1796413383229596,3.7495610642729282,3.1153709322786125,3.6193066823170845,3.385883173199082,3.039118225330564,3.168513149530049,3.2824063627010553,3.3607824970661433,3.1689735262264054,3.2076052711377847,2.936079313719777,3.4282563071445264,3.6936254829807096,3.3605734954717614,3.3595675844979733,3.1262924016596783,3.3626720880073964,2.841766135349535
Bengali,4.178725833271572,3.8189561615861227,3.455027257292687,0,3.599406176048551,3.9172679222587643,4.281868980551447,3.8950798096679877,3.922558272917886,4.439429631821084,3.992500936990926,3.919644909753656,4.2359509573869465,4.052804436041116,4.103664930026895,4.049064088330266,3.5856975822631663,3.492268808347241,3.917200484152066,4.443537467380113,3.620156140824996,3.8045396058535768,3.4289208549473353,3.710294379427146,3.72233920758592,2.9138432041956936,4.351578141558454,3.9944640764109485,3.681914085214978,3.676547764561219,3.82859829484353,4.014625936037108,3.809613603312223,3.826701931106393,3.3545320870430944,4.062120365795173,4.241007954538692,3.841845589410106,3.928571353363759,3.7089414905463554,3.2713662882385206,3.453075590312356
Bosnian,3.6078350250638254,3.4455348777984764,2.996933594801626,3.599406176048551,0,2.830933071030958,3.9037031486923284,2.2039683624142503,2.909830586931309,3.8707624493095145,3.470591549317869,3.569064907351571,3.714716048682949,3.6614564037356057,3.5107862612154,3.723228691983151,3.899090275759615,3.823185179708197,3.3165983317094794,4.050872591550301,3.085482658399882,3.0302298818164712,2.730647374195753,2.3686146843323876,3.9276646430892983,3.097045597172611,3.7751985779159454,3.6843406707993807,3.2499585966891775,2.63523544868809,3.3878252645104876,3.4369124265624516,2.5260099879870443,1.904200999373459,3.1727458705712364,2.8005938267682264,3.025396956671231,3.443781715898943,3.4908555875956973,2.4878388698529728,3.500697320801358,3.053606094999975
Bulgarian,3.9902419267522222,3.7960131545967117,3.3898707276978164,3.9172679222587643,2.830933071030958,0,4.154495328631991,2.8563165757376665,3.289928496256921,4.252501664139126,3.7757416632365977,3.863572099347942,4.0836767647569685,3.887166044124026,3.933293312989271,3.9800407468417642,4.222929877481366,4.116508713109951,3.691143882678939,4.313152028753945,3.3350360785272586,3.6868665305994752,3.2239369036004906,2.685511591061275,4.262434012302245,3.5122514669265934,4.22617640137268,3.9834985566736827,3.6401760402075904,3.1385994280609113,3.7087234284081214,3.82550566826542,3.0705888636952197,2.9258177040607056,3.4193257357111158,3.338962890625731,3.5516985040459264,3.6683812223453787,3.8496645666384914,3.0524134747164435,3.779682594475121,3.21013428982031
Catalan,4.421237914505704,4.128401007696135,3.6879120402651195,4.281868980551447,3.9037031486923284,4.154495328631991,0,4.063687190158974,4.188656737564697,4.529888904220952,4.142604548338243,4.084514919992342,4.008758734742801,3.4772238317650164,4.245601431523014,4.221113688379095,4.586117542753698,4.463566109536473,4.082672415317205,4.566249456423303,3.230585704995604,4.203203140408419,3.660483410885112,3.9894948719024654,4.541372225769769,3.8436547187016163,4.407703093283426,4.408803825030803,3.982167230265171,3.957650297240154,3.400830182551459,3.746908766588813,4.061576977336135,4.108111824691288,3.756321738810296,4.23988933586011,4.440628643955429,3.2046521508725205,4.117110866845404,3.903271863751072,4.198644819178006,3.5904408762875635
Croatian,3.9134471502080594,3.712175334424211,3.2215842074737546,3.8950798096679877,2.2039683624142503,2.8563165757376665,4.063687190158974,0,3.0497389944945477,4.1238544522264995,3.721174069172621,3.8094794502942584,3.9577224984455475,3.84189877059177,3.8296248056798694,3.902323521561904,4.1279783529602,4.0961658912218075,3.663525097705462,4.262371184708606,3.257844149465853,3.617224249184372,3.075117038401288,2.7144550179799607,4.117382397298928,3.4254044496723965,4.1227096399445164,3.8641913801399133,3.5002828914167035,2.913450405816148,3.63415867701976,3.6753188675487265,2.9251911188400714,2.254257995130497,3.3594659562853852,2.998568168524746,3.054302956579524,3.5791395559700305,3.790010997416868,2.8008562040984493,3.7751808638531443,3.17975443447957
Czech,3.9389438355154196,3.8030567303790392,3.395384808200859,3.922558272917886,2.909830586931309,3.289928496256921,4.188656737564697,3.0497389944945477,0,4.11504369276034,3.7608836072507135,3.837897417388535,4.029102986866703,3.955519939366859,3.9155207614408347,4.080266752893308,4.262089516813865,4.204962873347582,3.672886108617649,4.297367287131181,3.4605377238666204,3.517428467348598,3.2198915983798795,3.146188604607538,4.340814465322716,3.4311376334390715,4.14189755539847,3.936199758810594,3.5650122221386074,2.896558055934386,3.684348790563294,3.8814251040637546,3.049515175120175,3.0308864054026183,3.474586987710449,2.6786048503984294,3.58197839837855,3.698427172386123,3.8475257281885047,2.915536713275741,3.7654705285484638,3.2370493855147635
Danish,3.913947016819725,4.255929531318199,3.787320804141849,4.439429631821084,3.8707624493095145,4.252501664139126,4.529888904220952,4.1238544522264995,4.11504369276034,0,3.7851592443158584,3.698132544917107,4.294760353831166,4.247812479608631,3.726014853984027,4.441311172628177,4.607554365726374,4.538647229685747,3.565037641434871,4.524112195800439,3.8102909269342202,4.202997866987388,3.7984758034228405,4.07059147409084,4.628592202755126,3.736157224335857,3.622790179318969,4.316845792475514,4.0076908549978025,3.990050848616403,3.997213829420353,4.228689170674696,4.051322070343377,4.136004109047935,3.828043580792376,4.226675857169338,4.409651381905533,4.075213105932911,3.568414962670231,3.9502618287011955,4.1610368175745425,3.4924262989101043
