,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,62.68162462823071,69.02778897762784,78.71687789879137,76.82931155278406,86.26044760009331,96.89873547386429,92.73570729665276,99.98985167063412,91.16353400042753,68.28249571652377,92.70630735949871,88.50989776512392,68.97119417184898,76.57296676409372,108.49437379428034,87.94790655048378,101.60508888000844,60.951324200359814,83.16506584704025,89.92070231568648,88.86206003600331,61.99303837539735,74.41556815601936,84.79188461292664,69.38672044246032,78.6823510931749,73.14685628327287,65.63668228004899,98.29036724864753,84.21663144203484,90.31303843459418,79.13343929917947,76.22543686104137,59.728258588117725,96.40150345593771,105.49726470604371,99.13562542531032,73.3701396759167,77.47534950757894,80.8602496669174,78.05472619592604
Albanian,62.68162462823071,0,65.81070501963092,72.58561704480778,74.29197140187208,85.64235425843334,96.54764481496254,91.83924313663964,98.96956233011062,99.00400519107058,86.50668994986304,105.75156421521326,86.61777129551092,64.39101796163204,85.51206954336419,104.48414087639986,84.56415803515942,99.4625485166618,66.41055425254703,77.1121784781295,91.55242397573375,84.33497708818989,60.70692954109172,71.5136638102504,80.72279879182216,63.104364375648196,87.74871806261217,67.74079081567052,61.26745175510777,96.62920286302182,81.68399335377384,89.24704839752026,74.43022434695786,74.31914078767674,49.090331965500944,91.61165638574751,106.14500547595674,97.64286738069202,80.44078790346752,73.34292828744074,76.62978734348098,79.32068040481204
Armenian,69.02778897762784,65.81070501963092,0,69.15175432167683,66.48578991326877,75.71929026373425,82.13237700499685,75.8098633897216,83.04371548491916,87.71481757596415,77.92009585681505,81.81134496965089,78.91473565204903,71.42114828773147,75.450816742248,85.3096288745461,75.20201307707937,81.81363749225399,63.00102511459981,79.07258529804491,73.64907647898055,74.59944760516917,53.89806698670632,65.59229526305292,75.42166630229248,62.29247277209539,79.88980493840774,67.86613065970367,60.02541028318623,77.97373364498617,73.58503448087401,76.26551240405752,68.49793860257252,66.40747516945869,60.64907897171152,80.53106985326191,87.36024714765034,81.82424526990567,71.45212243754005,66.3723713551965,69.05578792761476,63.95484023013707
Bengali,78.71687789879137,72.58561704480778,69.15175432167683,0,79.85385777478359,86.1812950498645,92.73113328304208,91.61108847910279,96.24673227671292,103.79808950723205,86.34259170384166,93.65311643544997,89.13346089828333,81.55360870689726,87.3037237189741,98.3933034086195,71.96091103258215,80.90272235395442,74.58156596674965,86.3643955619178,86.49010104841724,89.64268897606058,61.35517790840136,76.41394854693243,73.98813528657007,60.149996579882256,93.26518049301922,78.18034528662037,69.93715212764495,90.17557376017227,80.56915049727678,91.38771215653624,82.21962575063814,78.43816839947739,67.07288524440963,93.88065716506122,105.53430687281701,88.84869472702543,81.71592638121608,79.12161397398806,68.0478164460455,75.48939888535695
Bosnian,76.82931155278406,74.29197140187208,66.48578991326877,79.85385777478359,0,69.97421972161798,92.99851740978472,60.86306355676006,81.60132817591114,95.66477929679279,84.77985763113841,91.76399786592327,87.46227497365821,79.96781058180503,84.32084999153643,95.51879052575244,86.25757731759036,91.66767128981498,72.69741462475376,91.73046634126952,80.06632086759656,76.73437587908008,58.7229435459928,54.02799341237119,85.23200605784541,69.53882260908426,84.73408630141125,78.49627291282319,69.54024232004595,74.08050297824694,83.82955495714215,83.79461365841956,59.31207227549266,45.152054620896756,68.57545249766757,71.45206883420678,77.37494501047344,89.5493387635255,79.32639533616953,58.753947599914305,78.26372598558984,74.01664627312832
Bulgarian,86.26044760009331,85.64235425843334,75.71929026373425,86.1812950498645,69.97421972161798,0,95.47448477453207,70.48411460808525,85.21918789365641,105.2167672824514,92.01945452386384,92.26764001312534,95.2654468183466,84.51244216543132,90.89201855606308,101.26133320902868,90.82180143033113,95.18703791265146,78.91648084936307,100.56884916767541,82.50154174870525,92.9152826045564,67.23363831321676,61.1162259498006,90.79758218638746,81.50172845534827,98.12579261314833,87.71312894503454,77.89027269623327,84.24493323163341,90.00335712000759,91.9334641289213,70.65185862380096,66.10139657428562,77.5562870927457,83.9449900419403,88.25589632113137,94.76661048741877,86.27597094155252,70.18717168111947,84.75396590164489,73.9424638487248
Catalan,96.89873547386429,96.54764481496254,82.13237700499685,92.73113328304208,92.99851740978472,95.47448477453207,0,99.63915619578724,105.74268153565238,112.88712680523943,97.98259208457516,98.7452987643754,94.33191441135179,84.32588883430401,96.12712664145717,105.06341497597916,95.64544662339911,100.8036544239201,87.9964640056582,104.87660921880243,74.38563330814114,106.4442753625991,72.43967957336467,89.70032918132532,96.7798352902289,88.50505811471616,105.30349810778051,99.94915046253685,85.3365358533641,99.34601867294997,77.12611049664054,93.01700682816477,94.69293536283043,92.05823124826755,87.97763094476616,106.55654036056778,113.77782472770518,76.28269141045904,93.64695931193401,90.48687484092065,93.55082136982463,80.30280069611388
Croatian,92.73570729665276,91.83924313663964,75.8098633897216,91.61108847910279,60.86306355676006,70.48411460808525,99.63915619578724,0,78.93576946902245,106.70082443625213,92.71441143922199,97.24885110605389,99.28921413537546,94.65134010187384,93.28768961193411,103.55105903224289,94.03570403298185,97.40369700283557,84.05551423180138,105.32200713590575,84.57409137071953,98.36520755730876,66.25094246009296,65.26872448118175,95.27187931527803,82.47317426674331,100.78463918546355,92.6519529466804,80.99634167510133,80.39101974865434,91.34959921206634,94.86453259992277,74.66600027623693,56.4756480661817,83.9543716746947,75.47612404620912,80.98539880309515,95.26941925776067,91.19268762490302,70.20814157006197,88.98132091068874,78.32342867711661
Czech,99.98985167063412,98.96956233011062,83.04371548491916,96.24673227671292,81.60132817591114,85.21918789365641,105.74268153565238,78.93576946902245,0,108.31452463986422,95.68101588576391,104.70727761355796,105.97341359627562,102.9526778521997,97.7471284161459,108.18081307859741,100.85153478002012,104.03059263641777,91.02228059183783,109.79958094819933,92.16405619895393,102.00658772644925,72.72188777155905,79.6991110258693,102.92367167630378,86.24629295202588,106.21524550358684,98.26967338403652,86.69097680751452,81.50495257442225,94.89719750197149,103.95775223259479,83.44708313686971,79.04928110903577,91.82610942816531,71.37658287875287,92.97045902665957,98.8636027046329,97.28293478870707,75.79060246383254,94.76082399629486,84.01260102725065
Danish,91.16353400042753,99.00400519107058,87.71481757596415,103.79808950723205,95.66477929679279,105.2167672824514,112.88712680523943,106.70082443625213,108.31452463986422,0,94.74357939760984,106.17138323513382,106.93316008965435,101.44043359379427,92.8280652916145,122.42701032865067,108.49362973882957,116.0494892781757,79.9313033052951,112.31615475971256,97.21621020723593,110.8176430723453,78.36702117604563,95.95112816994164,110.99649390643972,90.7082970978308,87.58968076552162,103.52438820568578,89.01535239378383,105.83489681865841,102.3541518205613,107.88436749576073,99.83947487246625,97.58673654760095,88.96668953061368,111.03540620146524,116.49609976032666,110.34904943876094,86.1793786140166,94.85006046044793,102.79779010939815,87.20153409032616
Dutch,68.28249571652377,86.50668994986304,77.92009585681505,86.34259170384166,84.77985763113841,92.01945452386384,97.98259208457516,92.71441143922199,95.68101588576391,94.74357939760984,0,92.2049408227475,97.09365043750873,92.38981054962993,74.05263860596125,103.99273223661861,92.1203022470268,100.72926553326076,73.9041825141504,94.99826250026781,88.987472696416,100.94626000470356,68.08453380334043,82.18628286994749,93.2383016386821,79.39429825134835,88.69417078501088,91.15128908288065,79.02002729474822,92.66623102909034,83.46090046877725,98.7893933364307,90.50062607184253,84.16946693057918,80.71366387742579,96.01634152969376,105.58732908906723,92.13771931981042,83.08049465280502,85.06880130076357,89.18977191636718,79.91253979410963
English,92.70630735949871,105.75156421521326,81.81134496965089,93.65311643544997,91.76399786592327,92.26764001312534,98.7452987643754,97.24885110605389,104.70727761355796,106.17138323513382,92.2049408227475,0,100.98895497113709,100.96049927970947,87.53724112851181,107.23645286564141,95.7359848554365,100.1111642157737,83.71604925733776,110.86184700915489,85.80277978166019,100.69878975042424,73.99714180505774,88.94872226388044,98.75300166764858,89.91773571045654,96.47644212575896,100.4909797065482,86.55363791429491,99.44426509377648,98.3387480738795,97.05737171505842,91.19499759421734,89.32356944130329,93.06298325028234,107.38732108522406,107.16655908978385,100.24606861089822,88.08588131857228,89.10423564484145,91.79877842301862,79.65244744947701
French,88.50989776512392,86.61777129551092,78.91473565204903,89.13346089828333,87.46227497365821,95.2654468183466,94.33191441135179,99.28921413537546,105.97341359627562,106.93316008965435,97.09365043750873,100.98895497113709,0,85.57163142015794,93.69751953612851,109.74026378147992,97.41925434661357,105.83599820781694,81.93595880670338,100.47084260204208,83.00277414066989,101.16437296069455,70.5479024007995,85.95832043618913,95.81869719275623,83.01493149176514,98.98650430616406,90.61347950805529,79.53165104017462,99.46546900206152,87.86334999189417,93.54362304630726,90.5287068947369,88.77459115966863,78.60194081548026,104.23645581856135,110.93010722959404,95.56919590702707,90.84964547318314,87.71942131313764,91.69319976148178,80.37064757071157
Galician,68.97119417184898,64.39101796163204,71.42114828773147,81.55360870689726,79.96781058180503,84.51244216543132,84.32588883430401,94.65134010187384,102.9526778521997,101.44043359379427,92.38981054962993,100.96049927970947,85.57163142015794,0,89.94055200251431,108.25501612684856,90.00685762679335,102.0382285521208,68.96504297248883,86.56312884193271,79.43781539493389,87.79695960801851,64.98834246222103,76.47837102156332,87.53721242665333,73.82439027514604,92.26427047498142,78.38471319249906,68.3581811414905,101.2511777717302,72.03914524213927,84.30519363804599,78.78588186820724,79.99028851705819,59.87553338672716,101.02888365687075,106.44324443871876,80.33984917542375,82.75764789714545,78.16418916074326,83.27203484003905,77.60954314100611
German,76.57296676409372,85.51206954336419,75.450816742248,87.3037237189741,84.32084999153643,90.89201855606308,96.12712664145717,93.28768961193411,97.7471284161459,92.8280652916145,74.05263860596125,87.53724112851181,93.69751953612851,89.94055200251431,0,102.65877454939641,90.78660555398055,98.26320209478297,75.00068015197117,95.0924776749744,85.74978755229813,96.77626183271097,67.23702957654862,83.40759013972274,93.06463294752207,79.27725500630615,90.57635402377575,88.70735919457351,77.8177504567117,94.36408044306798,88.81305299694648,94.03513011131058,88.78859651264783,84.81404456689374,78.7158303953681,97.06020375110201,104.05625292451526,94.9948085465971,80.23010025005323,85.22630871995811,86.84170390544789,77.77837982910705
Greek,108.49437379428034,104.48414087639986,85.3096288745461,98.3933034086195,95.51879052575244,101.26133320902868,105.06341497597916,103.55105903224289,108.18081307859741,122.42701032865067,103.99273223661861,107.23645286564141,109.74026378147992,108.25501612684856,102.65877454939641,0,102.20188313830103,104.4504967196806,97.26930550873602,115.97422272231415,93.09305027704086,103.80476464249423,75.28869902526048,95.19462446696431,105.45400859346384,90.79010229834932,114.9390880657415,106.9056420245708,93.22855735370234,103.5466311472405,99.04755786276932,106.8127033285841,100.11987962615972,97.14709749833588,94.67058950498858,110.73452770492273,116.32317529462266,98.28220465967395,103.08630596457134,93.97747069364797,97.84993286011796,85.40311682207165
Gujarati,87.94790655048378,84.56415803515942,75.20201307707937,71.96091103258215,86.25757731759036,90.82180143033113,95.64544662339911,94.03570403298185,100.85153478002012,108.49362973882957,92.1203022470268,95.7359848554365,97.41925434661357,90.00685762679335,90.78660555398055,102.20188313830103,0,72.35247530522878,81.11775625894964,93.85601852354661,89.66506308041131,99.33105165991445,65.89494562256218,81.97996935280587,62.49880671214106,67.53594631901129,99.75043073923977,85.49326415219804,78.38209631048792,94.87288182833996,87.60455118174477,97.57368145778484,88.30710267356692,84.78523538244484,76.04829361785984,98.23346435795503,108.87596138732087,93.36644196101294,87.22339292683445,82.82251524103442,73.00240767951841,78.44537496148217
Hindi,101.60508888000844,99.4625485166618,81.81363749225399,80.90272235395442,91.66767128981498,95.18703791265146,100.8036544239201,97.40369700283557,104.03059263641777,116.0494892781757,100.72926553326076,100.1111642157737,105.83599820781694,102.0382285521208,98.26320209478297,104.4504967196806,72.35247530522878,0,90.45973764680967,108.60456074529516,90.16703571447954,106.10517864065531,71.88720526763122,88.87968356230331,78.80687351464415,76.3281082837487,107.61832688504248,95.43512657933921,85.92798522474943,96.11367980712316,95.85500337446187,97.45203907519917,93.70423330530437,90.69592486556625,88.07441238241096,103.57268701371157,110.54662849707034,97.36029275260522,92.17702001999415,89.1932201209188,68.85096933007333,83.39387995797055
Icelandic,60.951324200359814,66.41055425254703,63.00102511459981,74.58156596674965,72.69741462475376,78.91648084936307,87.9964640056582,84.05551423180138,91.02228059183783,79.9313033052951,73.9041825141504,83.71604925733776,81.93595880670338,68.96504297248883,75.00068015197117,97.26930550873602,81.11775625894964,90.45973764680967,0,81.78314811163514,80.18516439493263,83.45395745767132,58.11695115186143,70.10315847616236,79.80186213935374,67.37041623983274,71.53688472439649,72.43442496730978,63.5254254976243,89.46556966408073,79.02325258251238,82.58307327095805,73.35088218104576,71.98729697911163,58.96877734785519,89.01683479474106,97.13275479787097,88.24612423003855,65.69413298692388,72.06282765639075,74.86031426435623,69.97439971179122
Irish,83.16506584704025,77.1121784781295,79.07258529804491,86.3643955619178,91.73046634126952,100.56884916767541,104.87660921880243,105.32200713590575,109.79958094819933,112.31615475971256,94.99826250026781,110.86184700915489,100.47084260204208,86.56312884193271,95.0924776749744,115.97422272231415,93.85601852354661,108.60456074529516,81.78314811163514,0,98.91368103972964,106.65533089262799,71.58354149988232,87.18633770881148,92.05348049981146,78.89351942227763,101.77425656558715,86.37393420141736,78.42749159172823,107.99441988469083,88.02074074915294,103.3285383636688,94.88908667488535,90.47416654355555,73.51177312097724,107.42967877803638,120.31822171201115,101.12994097902737,92.35894221741279,91.19775904726414,90.28469895432556,82.42008209089211
Italian,89.92070231568648,91.55242397573375,73.64907647898055,86.49010104841724,80.06632086759656,82.50154174870525,74.38563330814114,84.57409137071953,92.16405619895393,97.21621020723593,88.987472696416,85.80277978166019,83.00277414066989,79.43781539493389,85.74978755229813,93.09305027704086,89.66506308041131,90.16703571447954,80.18516439493263,98.91368103972964,0,92.40340579307755,66.60625347807532,79.59304262051344,90.28281618096128,81.23019232810778,93.52952187197207,90.38632616509507,77.49984534243957,85.27757720716315,76.53556940542326,76.97100894830311,80.06923863616221,80.6024345802807,82.37402692900145,92.67311476637617,95.0433611002802,75.40509827180075,83.51426534741681,78.83526602243292,84.94966062760311,69.29610398834464
Latvian,88.86206003600331,84.33497708818989,74.59944760516917,89.64268897606058,76.73437587908008,92.9152826045564,106.4442753625991,98.36520755730876,102.00658772644925,110.8176430723453,100.94626000470356,100.69878975042424,101.16437296069455,87.79695960801851,96.77626183271097,103.80476464249423,99.33105165991445,106.10517864065531,83.45395745767132,106.65533089262799,92.40340579307755,0,61.01467456740326,83.03660963750481,99.73553516102547,81.35274270978131,99.88833738501678,89.93564029013432,79.06957732512096,94.12008789854335,99.07245769943765,94.41710905596496,78.09239587563385,84.10093929245488,79.11696656097884,100.86425793279965,101.35149883805553,107.19224062738158,92.19095527557867,82.10711442082822,89.07789866629098,85.67393046075085
Lithuanian,61.99303837539735,60.70692954109172,53.89806698670632,61.35517790840136,58.7229435459928,67.23363831321676,72.43967957336467,66.25094246009296,72.72188777155905,78.36702117604563,68.08453380334043,73.99714180505774,70.5479024007995,64.98834246222103,67.23702957654862,75.28869902526048,65.89494562256218,71.88720526763122,58.11695115186143,71.58354149988232,66.60625347807532,61.01467456740326,0,58.08079145697033,66.62871778195974,56.797174674880566,70.72011584844562,63.512869215071575,57.20662672190328,67.80424758242455,65.83104621543983,69.11241272382559,60.19775793532116,58.946046848796854,56.65950387896395,69.23109735447399,76.41023893383286,71.13221524098131,64.08465722695296,58.70868398402211,62.61939216265477,60.67266136613779
Macedonian,74.41556815601936,71.5136638102504,65.59229526305292,76.41394854693243,54.02799341237119,61.1162259498006,89.70032918132532,65.26872448118175,79.6991110258693,95.95112816994164,82.18628286994749,88.94872226388044,85.95832043618913,76.47837102156332,83.40759013972274,95.19462446696431,81.97996935280587,88.87968356230331,70.10315847616236,87.18633770881148,79.59304262051344,83.03660963750481,58.08079145697033,0,81.26235614879074,67.42358549488142,86.93436932802636,75.72875768124636,68.3666951418772,78.47860742969814,79.6024455234437,85.3144751806077,61.678213778291685,48.767995535215306,64.66957884233328,73.95110588277731,82.26517006032138,87.48071697139584,78.42555320631897,58.73413941987426,75.66990297380806,71.21901644641024
Marathi,84.79188461292664,80.72279879182216,75.42166630229248,73.98813528657007,85.23200605784541,90.79758218638746,96.7798352902289,95.27187931527803,102.92367167630378,110.99649390643972,93.2383016386821,98.75300166764858,95.81869719275623,87.53721242665333,93.06463294752207,105.45400859346384,62.49880671214106,78.80687351464415,79.80186213935374,92.05348049981146,90.28281618096128,99.73553516102547,66.62871778195974,81.26235614879074,0,69.08183247767498,99.46682060829458,84.91220347296871,76.85301271830014,98.17651345014569,87.9437281774658,97.30445287416961,86.44894356008915,83.39105785869782,71.93651356195376,98.69646522005664,110.55604953425383,94.15057187113483,87.36673018666792,83.67915556438267,75.2672472610906,79.26225296870795
