,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.2663320417321107,0.22889669702351048,0.3191118312449373,0.24713782469332338,0.29548257363846175,0.32209001386644664,0.2814381232573338,0.2778028347256664,0.2847952038141702,0.20710612603642006,0.24603571670403662,0.2953416427666917,0.2779463021430254,0.261023782614557,0.27934588474618,0.3235248812729825,0.3115651650428583,0.2379777346742788,0.30026889963754994,0.24709700457175107,0.2702619392493092,0.27172888503622256,0.2691637253965988,0.31648619992700405,0.2396387653731138,0.2865140506810486,0.2660248828708547,0.251100409801711,0.2642982628521121,0.27267391596932894,0.2738613013274546,0.2577917285763667,0.2696844046029648,0.24186583694579786,0.28254601801280116,0.2885337293565752,0.2695848366509464,0.26504403195695847,0.26250194532153975,0.2846131951322719,0.22940552780220808
Albanian,0.2663320417321107,0,0.21680488345885787,0.27784786968861314,0.23276780218371623,0.25588113401744444,0.2829702848728987,0.23946990977430266,0.24939426018003524,0.2832560165876017,0.24646818752142627,0.2587361805089639,0.25328676393229554,0.24609606082393384,0.27005267776257597,0.2398139495125281,0.29487035911972764,0.286845638595732,0.25120902907760473,0.27409951955827483,0.21742212477295367,0.25933408660055307,0.25804086456564307,0.24112078419114374,0.2778029034075981,0.21307727113018723,0.2915836047113183,0.2415449884621394,0.22941068226772407,0.24188988652020849,0.2370745022818258,0.2433306624952138,0.23692437639435474,0.24407977979122866,0.19817020615300096,0.2513792282812656,0.2632976969848649,0.2288161535880976,0.26033877433569397,0.22842107724650315,0.24632531077063266,0.21541604971467224
Armenian,0.22889669702351048,0.21680488345885787,0,0.2504631031508779,0.19886993352876156,0.23653449753546008,0.2554749078423915,0.22554278280302506,0.2335460016999489,0.2544774620107365,0.22610611296834898,0.23052546296460524,0.24269434913283827,0.23180308406495717,0.2338752755297746,0.21554055184300072,0.26537512617279696,0.2551724524154706,0.2049250522075268,0.2473341148799951,0.2003040580688104,0.21846175717692573,0.2198770648549122,0.21797670142925435,0.2557851573152592,0.20212521128946975,0.249781223795685,0.22242489686976868,0.20332177442540517,0.21485831079548384,0.22742207377956702,0.21837006738913875,0.20996997724304076,0.21740485544040886,0.19902895718080751,0.22730905891308784,0.23815591838371092,0.22260937929941277,0.23247729142101897,0.2106807692173214,0.231405218676298,0.1915757979918736
Bengali,0.3191118312449373,0.27784786968861314,0.2504631031508779,0,0.25816997190627994,0.2867593694906568,0.31060678312799606,0.2742784228668952,0.2864045446472207,0.3160772319069119,0.2896261631358,0.28332379913701494,0.3058065176223973,0.29254498848032656,0.3034602532992912,0.2715031005033606,0.2749466816371429,0.26985159821432675,0.2864327225730659,0.32179251981647666,0.248712346675808,0.2840405342002756,0.27729470073872003,0.26761326909848226,0.2745291497279527,0.20917289257070537,0.33101282716996855,0.2842821025292918,0.266264162786136,0.2638481899284702,0.2810727824002436,0.275018497843423,0.2694315736970132,0.2740392597092538,0.2436363894766301,0.2832878936228054,0.28922370645589524,0.26808813711262064,0.28728095694153194,0.2583024736257656,0.24149497653870583,0.2433653495958878
Bosnian,0.24713782469332338,0.23276780218371623,0.19886993352876156,0.25816997190627994,0,0.1973153245383991,0.26789965213065625,0.16115055360055097,0.1953512593758039,0.2608683396034651,0.2328298949754442,0.24050786815158423,0.2469004336843481,0.24947193945353538,0.24176416383061408,0.22946048716487444,0.2710335225216452,0.26638908489323904,0.22134453757246897,0.27180698523084684,0.20047783739868483,0.20140145687667887,0.2037915001701962,0.16305135401208698,0.26915916476628937,0.20193717362031718,0.2610507101457863,0.24363809258654698,0.21484760694059066,0.17199262370562787,0.230368098274772,0.22137043478184418,0.16510472145857302,0.1280500435072519,0.2129907276061798,0.1852302950623263,0.19723955224297618,0.22945924705565351,0.2403534745513958,0.1610247977367575,0.24074240579059933,0.19893898026920748
Bulgarian,0.29548257363846175,0.25588113401744444,0.23653449753546008,0.2867593694906568,0.1973153245383991,0,0.28955668166687,0.177367366711925,0.21609576977448067,0.2800831967027251,0.2535478587466764,0.26111167123805634,0.26504926676754165,0.2707186684086841,0.2726258736219188,0.24183540442256315,0.30272837739058783,0.2939261514937084,0.26050576046821855,0.2941582998212405,0.20853955906011692,0.2571024759499264,0.24841835307792684,0.18507191221177896,0.29493282991120573,0.23194529602580427,0.3018591265833486,0.27125728752988193,0.2455180888432211,0.20480746033300923,0.244709858236459,0.2463670937630037,0.2052268528193775,0.19889630156502297,0.22819724428946112,0.21806450450931583,0.23702496586286992,0.23309226816405426,0.2684016026913889,0.19571451639272894,0.2542280370768306,0.20738000410409574
Catalan,0.32209001386644664,0.2829702848728987,0.2554749078423915,0.31060678312799606,0.26789965213065625,0.28955668166687,0,0.2755931817911462,0.28662763360844035,0.31217735853035494,0.2869567232767547,0.28304006360515566,0.2723586415027905,0.24231876574379066,0.3007472983891468,0.2695786897591926,0.33211134491531263,0.3261598217561991,0.2853801608578171,0.3157563350351318,0.21473898503045055,0.2905814891171009,0.27519566999755785,0.27476931800978766,0.3168162922043169,0.2587332635472971,0.31546284728602664,0.2990057101406417,0.27365446706570185,0.2654376733104327,0.23362688588109434,0.2495309478279509,0.2709393045760468,0.28265014638498426,0.2607892076620991,0.28121376400085524,0.2966852493578676,0.21659075824388532,0.29126323073593513,0.26014439892008423,0.29180430653193706,0.24173935705469948
Croatian,0.2814381232573338,0.23946990977430266,0.22554278280302506,0.2742784228668952,0.16115055360055097,0.177367366711925,0.2755931817911462,0,0.18833341343551455,0.2580774071735736,0.23861485555028575,0.24819556231844223,0.24160204870469149,0.25442264285244026,0.2571400768224703,0.223086065898656,0.2898745260810594,0.2856991153127877,0.25091474247301176,0.28042279726925445,0.19647866800629113,0.2432075572158595,0.23760317539916503,0.1847899212748219,0.2780895917411995,0.2155825055172422,0.28224247840220434,0.2521960037734841,0.22871227933689162,0.18681924924438595,0.228695349622466,0.22833130838154772,0.1941910027422365,0.15612391794316405,0.21193677541462086,0.18791523865685458,0.19815000482145423,0.2162172541193407,0.24992248641464632,0.17398551788178582,0.24283791629912357,0.19697220298486393
Czech,0.2778028347256664,0.24939426018003524,0.2335460016999489,0.2864045446472207,0.1953512593758039,0.21609576977448067,0.28662763360844035,0.18833341343551455,0,0.2663973784966942,0.24722312251744033,0.25392267655889406,0.2513146200291348,0.2649631466256367,0.27180534260059735,0.24370590240382559,0.29756016932462975,0.29296168905330316,0.25211409677101293,0.2876562708353473,0.21752530772516424,0.23811404043852452,0.24690286273344422,0.21176835404080788,0.2933812294850035,0.22557588206821055,0.28670964195072346,0.2583913368312628,0.23651337261212263,0.19016771680032482,0.23587382213083402,0.2468133330641992,0.20005124443292477,0.20109206891484838,0.22563339182933254,0.17336997853596559,0.2307954111025985,0.22988104188791056,0.26186594207746444,0.18609540910928643,0.25275250120802384,0.20614578578736328
Danish,0.2847952038141702,0.2832560165876017,0.2544774620107365,0.3160772319069119,0.2608683396034651,0.2800831967027251,0.31217735853035494,0.2580774071735736,0.2663973784966942,0,0.25147934044596715,0.2377493119559506,0.274657658014157,0.2866498012768786,0.2590138467382256,0.2606333076659364,0.3298143367974058,0.31350310881544724,0.2435053594235145,0.2999370646702336,0.23981439395140322,0.294158369937248,0.29027010210699233,0.2736575169495292,0.3164684563729936,0.23743591867528924,0.2591949758805676,0.2844855181441544,0.265955258378788,0.26178111058442016,0.25887288173265327,0.2686617678379049,0.26677114878708336,0.27569458071569375,0.25209945735127304,0.26788477816564493,0.2847042596178738,0.2490310490973751,0.24562589907441332,0.25399514033050297,0.27405432347705805,0.21873205699287487
