,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.670170927460138,3.2007403613728216,4.0397920272578265,3.3869641940843604,3.9406168938423694,4.1573873833353305,3.853672375248719,3.8170864912863447,3.729109930275822,2.6600832458179258,3.2402742731073153,4.116510375119992,3.7147984481802814,3.4889924238566574,4.162149528357051,4.140776220223757,4.149365989404977,3.2015805219574034,4.082961141110877,3.6651255298072845,3.6765587637225052,3.452974381866702,3.6348781192666606,4.155517281436083,3.454159810244352,3.653048580737218,3.718121975431039,3.5076900710424948,3.7155394717254513,3.7064967683953802,3.960396672880177,3.59990110140808,3.6621769357639216,3.342752878503058,3.9157297254997903,4.053947953620527,3.815808038517373,3.357033543770056,3.600370377390051,3.8926466351485547,3.3096838636561667
Albanian,3.670170927460138,0,3.109155166393081,3.6207483729513736,3.2403560989287286,3.6131981203653116,3.9339129304009286,3.4814368071849526,3.613199721034535,4.026281659535627,3.593417474921713,3.7093076322748706,3.72518437453749,3.4061177580220954,3.83494137463713,3.797958218321957,3.9037631729091027,3.868796267852957,3.5439369295479914,3.9057574391714427,3.358698598903932,3.5993065678130454,3.2707526271542156,3.3422408690053134,3.779873838099376,3.1362641306653267,3.974942000291077,3.4832781129677626,3.2606572223556296,3.529795653719033,3.470006064961095,3.6271294523354594,3.3733932504521467,3.391112521149763,2.8040288378007276,3.6373918155991882,3.8730432370357493,3.479930992554463,3.617637742234306,3.2464467943549837,3.495208676770699,3.188887343829517
Armenian,3.2007403613728216,3.109155166393081,0,3.289307124085426,2.8102022168497975,3.2728825738923932,3.438717729327437,3.097827123848602,3.2490460674360326,3.5508695557082675,3.168847180109646,3.175330440259767,3.4601956482256733,3.218656749566578,3.2674594572505384,3.2157685521354686,3.4605904709113156,3.4203761320510573,2.868853574181654,3.522448242991494,2.962466469859929,3.0364154051390146,2.7669602413756396,2.997997714980853,3.4581417751253123,2.985070237938173,3.431689675059087,3.182786838934228,2.8555606593692993,3.0733571866444724,3.1415230877481743,3.1559339847745984,3.009533925099316,3.018800717515558,2.8218214829172963,3.252805908656755,3.420994061988222,3.1678399295568354,3.1283157567985174,2.948978752470387,3.215620507441852,2.7214503569439694
Bengali,4.0397920272578265,3.6207483729513736,3.289307124085426,0,3.4611639396867515,3.814328529448537,4.080023993888093,3.745104912393896,3.832014999573609,4.314264799585932,3.859467584101106,3.780425004494088,4.105496661454889,3.814084775827484,4.092315020140696,3.8532379692862713,3.3008879902726345,3.2202341873870033,3.773939105594027,4.256415400385914,3.513583348795669,3.7746886241966693,3.383978150682065,3.5849828724754706,3.420762531066786,2.7034250836661755,4.28600960268581,3.7421710702953077,3.5292418342408785,3.602903599153947,3.7312696271543246,3.854433169478469,3.6836097601304436,3.6862192372442406,3.150058570667624,3.907740124951949,3.998112725248902,3.6229645774308414,3.777715031066232,3.5565944755352485,3.1043334834553775,3.3653136027867276
Bosnian,3.3869641940843604,3.2403560989287286,2.8102022168497975,3.4611639396867515,0,2.65345823812221,3.6801950416317855,2.0752857653734584,2.744379030576597,3.7527781903971222,3.29339576425794,3.381765893464163,3.616737855482485,3.410458456078026,3.454436511576015,3.5434624465859574,3.652991389816452,3.6285947502255187,3.103300300572156,3.8620539272479104,3.002486980330964,2.9324135701267946,2.612310137622029,2.1405950693384845,3.676344337354987,3.093573011664593,3.6478474951674116,3.4711957387535026,3.003348231455808,2.4844797559745317,3.257868676900433,3.2800080004313297,2.323540597919053,1.6473340822972602,3.031286525646561,2.6101227295762124,2.800705273234117,3.2949280919012387,3.2969013156135034,2.265561781914442,3.411497287346048,2.9240473423849442
Bulgarian,3.9406168938423694,3.6131981203653116,3.2728825738923932,3.814328529448537,2.65345823812221,0,4.065541225290337,2.6067143223827727,3.103376186876019,4.1211017307107465,3.6908195444288063,3.703115713439449,3.954352729753404,3.7441998637782428,3.9760408087659864,3.80722119611907,4.066837645609933,3.9709636484427557,3.6139010532249305,4.2263452620341315,3.212958862221672,3.6367544622808765,3.165659918745529,2.516052444850809,4.082071571475544,3.410181015574192,4.168208310623276,3.858065244776354,3.5173583448824624,3.0008385597871707,3.6282761492796984,3.6976367883086763,2.9254096677094554,2.7519796337209113,3.2545455560579732,3.157070091510061,3.3815198009429044,3.5359309679731465,3.739509179830105,2.849465196534165,3.688111634792817,3.0950927155702255
Catalan,4.1573873833353305,3.9339129304009286,3.438717729327437,4.080023993888093,3.6801950416317855,4.065541225290337,0,3.8980138426754927,4.03803522974431,4.386115463414347,3.989124087857547,3.9202049059638164,3.8492772430574678,3.1814524387046803,4.19842951582981,4.001538650116395,4.303552229923776,4.233128167423918,3.850875188777418,4.348184901007649,3.0955571266320727,4.0902606657242115,3.580217095992934,3.8321886925783444,4.250540000652336,3.636147877730519,4.3098733975980785,4.12519285731759,3.8135900133040406,3.814729049157195,3.2137179293020814,3.550344802394625,3.875802912339587,3.9287894753705466,3.5712000612859574,4.067292819510734,4.173918451506856,2.9932575330598366,3.938738576545106,3.7358742646570433,4.056606681223508,3.463357646398803
Croatian,3.853672375248719,3.4814368071849526,3.097827123848602,3.745104912393896,2.0752857653734584,2.6067143223827727,3.8980138426754927,0,2.8172110570938003,3.944400749598738,3.5859831853705235,3.6426187118563953,3.7887075536596786,3.628629295106616,3.8239604465410495,3.6670553721439196,3.9394814955180397,3.88796790984747,3.5441261300814184,4.163872358777211,3.056844784841211,3.551219281340341,2.9936090491089553,2.5589029010457396,3.918002420027404,3.2718329564395896,4.03749627161618,3.6867420245289693,3.33147317522587,2.7686727828602335,3.5089744176560558,3.4941056786076388,2.7981508841543627,2.07287357617623,3.1249196829218993,2.80195902232858,2.8731039447057856,3.3579519265476643,3.626053203143883,2.587049380396727,3.6031344109939862,3.028899358580203
Czech,3.8170864912863447,3.613199721034535,3.2490460674360326,3.832014999573609,2.744379030576597,3.103376186876019,4.03803522974431,2.8172110570938003,0,4.017864077699863,3.642948559465487,3.687244240364004,3.8918859559322208,3.7694730332995907,3.978618148218349,3.8870260395079064,4.068609813330786,4.042711290950327,3.56121442614447,4.135669093568273,3.394184330727997,3.4266823871842433,3.157453121098888,2.984713171196403,4.121062710368255,3.3885623815848502,3.9972244798791614,3.7878488002761683,3.4563711861915993,2.7430101683310464,3.5487850880515315,3.758621586735988,2.863678801178061,2.8582105721912074,3.2842175762917645,2.4125143419013253,3.3841772728382504,3.5190482987798064,3.709697240216336,2.7310891682646674,3.6639976933322895,3.161285882455574
Danish,3.729109930275822,4.026281659535627,3.5508695557082675,4.314264799585932,3.7527781903971222,4.1211017307107465,4.386115463414347,3.944400749598738,4.017864077699863,0,3.6415805054244457,3.450487788592776,4.17368075295257,4.024060529501795,3.7196428425980503,4.259593327559597,4.416917186543362,4.340258991886966,3.346359473753381,4.340770707469912,3.7226888533182048,4.207787387532673,3.758113470898125,3.9853128614220386,4.411343922014276,3.5840472550955664,3.4365422085167756,4.083463209623903,3.8353395104293226,3.9148236553044042,3.9389838768683907,4.136354516413312,3.966960824316416,3.9966549752136333,3.564871788124674,4.1125756688607815,4.207828354361045,3.9305171907454843,3.2907590963980415,3.8379149038346108,4.026257998027248,3.3650304692070114
Dutch,2.6600832458179258,3.593417474921713,3.168847180109646,3.859467584101106,3.29339576425794,3.6908195444288063,3.989124087857547,3.5859831853705235,3.642948559465487,3.6415805054244457,0,3.011651032371571,3.9347131422320234,3.768120174630606,3.026521962520121,3.822999825382132,3.990407958985591,3.957568312878362,3.1899269843328057,4.048584632948622,3.4349965695094555,3.588747418822675,3.2704944993987723,3.4829119037315808,4.0083800801986404,3.3674491412052334,3.534653241377525,3.7759750661388782,3.4065377752100545,3.5425238921425093,3.510464429213399,3.764829433708623,3.541371685526539,3.532812786569331,3.3138781500544487,3.7955126922483706,3.861238723781192,3.5952409278505106,3.1929546445995265,3.485218824691338,3.6936776516270244,3.1492846685605462
