,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.32973491115347947,0.2845934176548202,0.34051466050307055,0.28340928262062104,0.3317806996789281,0.35222550651003964,0.3173829932342143,0.31739149686002455,0.32030786647925674,0.23346856774164707,0.2892356760296073,0.35295159613180177,0.3327693665968784,0.30053017884080285,0.3515070895706824,0.35143143586550585,0.3507699153080796,0.27931353550304,0.3608961236314547,0.31576883375796444,0.3007481200503956,0.2764117521694288,0.3027445401961449,0.35444655776598855,0.310374473842888,0.3087648590152232,0.3340200459362438,0.30289755133568086,0.3040039964235735,0.3230390004549488,0.33292493080446356,0.30538131921599576,0.3013394726525975,0.3030584445170397,0.33378395109012754,0.3359776832512252,0.33227696551200603,0.2914063100240832,0.2990240011926749,0.3346228305289691,0.29800440442605663
Albanian,0.32973491115347947,0,0.2741514305690963,0.31182764915098304,0.2741810840636585,0.30836500266944994,0.3325602343720371,0.2953178541833535,0.30732481284990426,0.3580054125070072,0.31503869715689753,0.3270501572777155,0.3267321845557018,0.3130976293980862,0.32950995047511783,0.32874838938140766,0.3273023333524238,0.320719645542898,0.31433255290863366,0.35109565800703546,0.2921633555503901,0.29536954692723233,0.26332992719978465,0.2855842807264925,0.3255071023622756,0.28178892087581575,0.34474353778493244,0.317992593188553,0.2900775353183005,0.28799429483174416,0.3085676074153489,0.31027637931098323,0.2905392875667558,0.2865177702972833,0.2654034436137424,0.3177026060456322,0.325951966937153,0.30846905297471633,0.3153091100858831,0.279868072230953,0.3075784091689398,0.28389524188156884
Armenian,0.2845934176548202,0.2741514305690963,0,0.2837895319191306,0.2400306058721633,0.27915552448931874,0.2928523984001441,0.2625720414170703,0.2713909464059548,0.3112746222593039,0.27814449709833355,0.2833030764004171,0.3010636574727554,0.28551228191383005,0.28000950209035774,0.2769806302684494,0.29638085871158154,0.2899665758330704,0.25596511419839807,0.30396098272708544,0.2563580450089083,0.2508884908173262,0.2273425246251353,0.25919885892463357,0.29850349843900914,0.2646351410333608,0.30169662293780736,0.2851066367587836,0.24744896999692312,0.2560555009670678,0.27443948770501625,0.27200487343258184,0.2585944202382656,0.2606372484668601,0.253920977017639,0.28247658862817315,0.288635594567946,0.2760856075857645,0.27324422051117303,0.2534918136138785,0.2805956169955054,0.24147797619909298
Bengali,0.34051466050307055,0.31182764915098304,0.2837895319191306,0,0.28032974184859827,0.311437791966049,0.3385744593319772,0.30652086459714356,0.3149834028527476,0.36557894606174984,0.3246023241396647,0.3277412020951721,0.3424374043536335,0.3250649608747067,0.33881936760555786,0.32724257415184754,0.2714793138310852,0.2635386536698418,0.3185303912858616,0.3617423151477738,0.29846947046523675,0.2955054179161315,0.2619241605304962,0.29196356687834474,0.283743449128769,0.240226401778821,0.3539578210153143,0.3210815374212949,0.2955269921894778,0.28829111778563077,0.3165563670000916,0.31865674007330275,0.30018239368874156,0.2971862974613029,0.27096440997647825,0.3289382724944853,0.32648608851067334,0.31044938309751463,0.3180189193369374,0.29105050582778347,0.2654288161766421,0.2902668918148159
Bosnian,0.28340928262062104,0.2741810840636585,0.2400306058721633,0.28032974184859827,0,0.22021212867910037,0.2937642202455463,0.17772318084323335,0.23314737677502856,0.311103357151219,0.27741270251290095,0.2864510871746109,0.2967762178449114,0.281236709593512,0.2866617717307475,0.2872145992075364,0.296335798448473,0.2903253616944581,0.2609904906636734,0.31775198878634475,0.24758205559005925,0.24045348368867447,0.21705824002579893,0.18137888710570246,0.2974790096640753,0.26009670678728997,0.2977722834043408,0.29114073496558635,0.25604490769382926,0.207898404211625,0.27033643112869465,0.2684976194787212,0.20142218065532064,0.1495391197101662,0.25802976157614066,0.2282404711290176,0.23119864858840725,0.26797484272582467,0.2702081366742773,0.19741705117834332,0.2795427966795462,0.2490259609586963
Bulgarian,0.3317806996789281,0.30836500266944994,0.27915552448931874,0.311437791966049,0.22021212867910037,0,0.32734686249706135,0.22097107278834124,0.26233500281456523,0.3488851226165151,0.3142235284210908,0.32191509737676577,0.33088047054825054,0.31780454756604476,0.3278826978019606,0.32066426284577515,0.33001653549935656,0.3207708773934594,0.3076462367397404,0.3531762405902985,0.27567716627356514,0.2904780587944173,0.2509167476636087,0.21398324879205652,0.3317584191711823,0.29088662271780197,0.34473041174532476,0.3261983780304172,0.2950005092468274,0.24801162533127127,0.305569626186916,0.3070603681203125,0.2491743013321777,0.23168092751837618,0.28284147731888776,0.27079549685133114,0.2735553016685312,0.2970414526404321,0.3112888126860522,0.24060127347824453,0.31052916951371917,0.27003316388404736
Catalan,0.35222550651003964,0.3325602343720371,0.2928523984001441,0.3385744593319772,0.2937642202455463,0.32734686249706135,0,0.3117396685125068,0.3316174792549094,0.37468976761956224,0.3383832272042569,0.33892969584376365,0.3234037474714571,0.27351629466117605,0.34899204128844324,0.3355690982883565,0.3517608974113913,0.34596091569350973,0.32843761861561577,0.3671308781003173,0.26401087937618994,0.32126929098131074,0.2802132966931825,0.3118502474677654,0.35231917538807805,0.3099375079368781,0.3667962486960955,0.3537196948385271,0.3207193277514681,0.3062449699336468,0.2770360641047608,0.29640523852546485,0.3156217196968031,0.3150930448591872,0.30462256324708725,0.3352309983262547,0.3364382405674614,0.25184677946072487,0.33423248801580635,0.30536175510717406,0.3427920938506661,0.2966892642553346
Croatian,0.3173829932342143,0.2953178541833535,0.2625720414170703,0.30652086459714356,0.17772318084323335,0.22097107278834124,0.3117396685125068,0,0.2454638003830114,0.33351015271151824,0.3020122853513613,0.3120274933354144,0.3144825082299482,0.30262477216657024,0.3141687988968023,0.3075811700034959,0.3183446612213538,0.31344478973548284,0.2964801482181125,0.34140673650889103,0.2584231009776039,0.2824055060661345,0.2432829131161006,0.2148889224659497,0.3183594107021203,0.2824070892099425,0.33037563778688156,0.31161611936244027,0.28106225752249564,0.23064381794761715,0.296563570068101,0.28468133388432554,0.23561543940708218,0.18197612028035043,0.27478402461140744,0.2454875886108168,0.24156486674417962,0.28601329416469456,0.3000759825145275,0.2253330843041152,0.3054729634483809,0.26344999811677533
Czech,0.31739149686002455,0.30732481284990426,0.2713909464059548,0.3149834028527476,0.23314737677502856,0.26233500281456523,0.3316174792549094,0.2454638003830114,0,0.33797280743942254,0.30476006311022463,0.3124461197080873,0.3295788290146315,0.31872190028106184,0.32551491892524187,0.3268072358813001,0.33446119341289365,0.3306202711083881,0.2990916581788404,0.3472894745439833,0.28697081289064497,0.275139396282661,0.24891965735644286,0.2513506383709355,0.3376516970061272,0.2933339562053703,0.32991624354668275,0.3237603700968386,0.2896449507418045,0.23083987189286295,0.3025270311602454,0.30829950365294395,0.2447380801470979,0.24360639480321042,0.2863016313821413,0.21970368287012074,0.28154411343784874,0.30313410824865467,0.30731219528355086,0.2346973709809734,0.3094410788786899,0.27365480625532085
Danish,0.32030786647925674,0.3580054125070072,0.3112746222593039,0.36557894606174984,0.311103357151219,0.3488851226165151,0.37468976761956224,0.33351015271151824,0.33797280743942254,0,0.32011342800138987,0.30984152691959577,0.3644806740451987,0.3582646946162706,0.3144671578087618,0.3696808266895769,0.37435164165448204,0.3723461613514303,0.2922078752884088,0.3798802110600362,0.3232465455007318,0.3375356837331505,0.29907503500617877,0.33160690360842904,0.3785711066615816,0.32374567399204546,0.3021445018573459,0.3659963574791233,0.33034359487879933,0.3227675321699064,0.35001477050511326,0.34781250896945065,0.3314314773614086,0.33167280014465317,0.3244378140558724,0.35363678651814906,0.3520225491268248,0.3485326101986759,0.2920670918179179,0.3204375086089007,0.35632005883671214,0.306705776011941
