,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,456.1068112273965,514.5743395176162,506.1071365248451,504.67775938054257,496.60184646755863,514.1383374800548,500.39253121278017,509.74570728250507,444.3498254468477,381.97923386141804,463.779595506141,468.6872362414895,449.8881065713936,459.8868969494249,509.91182819165874,529.4470762910674,536.2373561360996,438.4428887895649,462.66483383449486,529.6298948336558,514.2728201243884,622.9276975082352,488.04823629413323,504.1920602253093,489.0673827062268,436.6142725361,462.2549177594646,511.80559940049426,561.8333615934939,474.85785786072023,502.87385475573865,501.00860054043994,488.51899282329464,466.092002950617,490.67469305401414,519.9152274437039,498.43901860613124,453.2422461550693,496.5103609877944,493.8362932402147,522.5516832318243
Albanian,456.1068112273965,0,510.8296226404185,493.1802737863872,514.2915436981621,498.5087999756977,515.2277241415358,498.4108572643572,513.2697001599546,476.4379127567758,483.9411330236379,525.2937614647483,463.38304442540374,437.9835518940808,496.66452230150804,497.0420211927688,520.7714641858166,521.8166595188882,470.56815359827567,456.2586013927398,526.0889166606759,533.0668584804189,624.5159432960126,488.5258765721294,492.7622875472949,463.8726689183033,480.92680025323136,451.10271444198287,501.7229865378704,564.3867569987575,476.1208928110304,491.0053491821342,502.63804425036557,495.3742385858856,430.01020665132665,490.36378547552624,521.751333525721,494.17330148905836,489.4284715680316,495.18341469501206,474.6259364972203,525.9880047376217
Armenian,514.5743395176162,510.8296226404185,0,536.9177268958332,528.5685432851087,539.9843950104668,552.7916922129756,529.587309798064,539.8708647207375,536.514777248053,535.0510055175258,556.4529789514141,525.906761870981,508.0413747069349,551.4507260259817,539.4167891959075,563.4591215540408,558.561312786108,500.1366024645565,534.8266150282199,554.7866467956501,543.8071186712867,617.2626584445915,515.1805760638018,542.5521435963651,517.1940108308921,517.9413044012147,508.2021936095293,532.749647368625,573.8322861518428,524.706840605053,532.9084081943754,533.805301570521,519.4071092631581,499.0932465871926,529.9621163710214,557.0016732985158,539.8695063144211,520.3279102344039,522.828141766156,519.8239696382743,547.6322605200221
Bengali,506.1071365248451,493.1802737863872,536.9177268958332,0,532.6340820875266,515.2766099613499,537.1496686169538,519.0882785867024,525.0762946669577,520.0146499586907,524.1639094653832,541.5975852219301,500.65632165108883,488.3172880647448,535.6001863645993,527.8104719970893,493.1196287094785,496.013924109213,501.3911884752565,508.8822536233341,535.3799821296751,550.2040027248702,630.525544678945,506.5420050281263,481.8714028645579,449.73844253507025,513.3458399055901,493.6760701206282,535.0454940130074,565.5654315389256,506.4189927934929,522.8836215851773,524.524037996485,512.6229851114651,480.97781493505346,515.4932855154699,546.6533635413405,514.2758975785015,514.8053562524184,513.6932572718919,456.2495181675389,547.6605997252459
Bosnian,504.67775938054257,514.2915436981621,528.5685432851087,532.6340820875266,0,460.9846810202221,551.8954158905813,397.4300036242984,478.75881260072714,523.861834382663,524.2703173296825,556.3203466142493,515.6747664957801,510.18107631807527,543.9598724814467,544.8837769636206,559.7819224621162,557.6643178578881,499.70996149260407,540.4335885833402,530.2964845223073,520.5023693314674,586.3223332930658,409.3463712312796,543.5936008697013,515.7847860756691,514.9172441844794,518.1952706391494,531.9422840983506,492.77746525776126,518.0035942458493,515.6896315787603,442.83659259788743,343.1020874497461,507.17172353801413,451.783291208043,471.19578529042076,529.2196612231428,522.1044185558536,432.3183915184242,519.7360603936447,546.5584415913096
Bulgarian,496.60184646755863,498.5087999756977,539.9843950104668,515.2766099613499,460.9846810202221,0,535.9084328256434,423.66969731839566,477.5663610646815,510.26210949099953,513.5810334196901,531.0826051570667,496.6288558337883,484.71742527219794,526.6670442853791,523.201448349644,548.3553307046902,540.9787091243204,499.6271980520831,512.1358649510627,512.1039326117116,539.73796662182,612.2595049592501,409.3531176573687,525.6251963165054,507.5814129896169,506.62240445039896,497.85216955844936,533.5778785209067,514.5422129260937,510.86468532907475,502.727756043684,465.9801486877868,435.1635425720831,491.6534290631326,456.85563177695616,480.07936380252823,509.1531159054807,509.3031603070757,458.12813597079696,499.1495882787949,526.6512233902915
Catalan,514.1383374800548,515.2277241415358,552.7916922129756,537.1496686169538,551.8954158905813,535.9084328256434,0,538.0256246163187,549.051244733364,520.5865695057436,532.090941873976,543.6788261893557,474.4311637791991,439.6816072738382,545.3169576516668,538.7615720550457,567.8449109049242,566.4996403346972,518.0747448036091,519.9304799820342,501.6898467877258,559.4352518319982,645.8208026255223,528.6206831208198,540.8546640183213,536.2444308030477,500.00006168683507,526.0786768192772,564.3167677544094,594.5072586935038,461.0758065936796,501.5998989667871,547.8415329349548,533.7509786481249,520.3583793030634,529.7954152489011,555.9273959443927,451.91314598234635,524.0369475592722,534.2168771128559,525.6199293859262,565.435764898643
Croatian,500.39253121278017,498.4108572643572,529.587309798064,519.0882785867024,397.4300036242984,423.66969731839566,538.0256246163187,0,455.9545933728217,505.5479601098787,516.4212907203434,534.7753893273024,493.1928980646575,493.72291268847454,529.2937641811372,528.4872219555042,551.9284965540246,543.51764408889,498.92019567147645,519.1903531515634,514.5496969530554,541.6382441758637,605.6897795725703,420.1885088676919,525.5204196204744,501.12404843867233,508.59781231978656,494.1120006780274,525.2568600130452,499.69219821995813,507.18287252289497,501.3240183516988,461.4758063363752,366.41294503056446,486.8250199125127,432.2509469768019,440.26295145785895,515.1603382372748,511.03059405916605,439.72868151867704,503.84845356828185,531.2173191939252
Czech,509.74570728250507,513.2697001599546,539.8708647207375,525.0762946669577,478.75881260072714,477.5663610646815,549.051244733364,455.9545933728217,0,510.3987067291352,529.6664052589647,549.6182859774235,503.5760412960164,503.3896111081381,549.6163318109092,540.5082561850384,562.1009304464661,557.9184712627011,507.0057609266879,526.5221011269588,532.8126075500401,540.1593735995782,627.9063479106768,465.8523280816669,546.663095104222,507.7345163249818,517.6088657401048,505.15058162976675,546.0585079147039,498.9286217491286,512.8800680362612,519.3464134175209,480.2308891659921,456.1746205314959,502.8744033244454,401.4594125019921,501.11750155796483,520.3335551829822,524.7231097374876,456.9389228943442,508.8340476418116,541.6224976279856
Danish,444.3498254468477,476.4379127567758,536.514777248053,520.0146499586907,523.861834382663,510.26210949099953,520.5865695057436,505.5479601098787,510.3987067291352,0,472.47887072459196,487.2556545798475,468.9940841603388,464.12817400424467,477.7179789217439,525.3612919786459,543.2562676540227,540.1144210126763,444.31054572834165,473.5880551561521,533.3440793282799,551.8331496338934,659.491428629463,500.9708710819896,512.0656534150417,484.7693013996696,409.2627248667538,476.3549674580656,531.8303269148845,579.5322903781291,497.53667895037916,504.8036657895386,518.4567419232418,501.8653228725058,469.69661571918755,497.2077402947532,522.8867196959302,507.372596409977,445.2371333141033,505.8295005226993,489.1791405237601,530.3781177779766
Dutch,381.97923386141804,483.9411330236379,535.0510055175258,524.1639094653832,524.2703173296825,513.5810334196901,532.090941873976,516.4212907203434,529.6664052589647,472.47887072459196,0,479.85733356718157,492.99347363050833,486.5997839262488,446.2451032592162,518.3242034283023,546.914784545491,549.6871231555485,466.6998441332965,493.7399256556675,543.7609243163604,533.9241191880695,623.8195668177029,504.51914237294153,523.5765327154478,507.1872909634907,462.32278293715433,492.9303480048891,527.5435541008495,573.271257254763,494.1813121350869,517.7499135518058,527.3022259104999,510.716036463164,489.89768870512614,513.6201192148044,534.1246986317877,511.54373252011857,469.0702743847169,518.1292210171773,508.1353181795466,541.6807923813332
English,463.779595506141,525.2937614647483,556.4529789514141,541.5975852219301,556.3203466142493,531.0826051570667,543.6788261893557,534.7753893273024,549.6182859774235,487.2556545798475,479.85733356718157,0,505.5651164542481,509.3708097416569,515.728817309305,555.0514527095958,563.2172560650533,570.1352604172429,488.6989745746749,513.9916953090105,557.0424594315994,561.1775885295584,658.4091145324412,527.4742267601324,540.3067544054096,532.1485812889936,478.3770517104691,525.7745238140104,563.049394008002,597.7543463512524,518.1667851581392,542.4871868532141,540.5535609690781,531.1906581002338,528.2243228843055,534.2555012371334,553.3460183053525,535.157171889552,492.0261878265243,536.5326812605222,533.2052477647708,553.342061102186
French,468.6872362414895,463.38304442540374,525.906761870981,500.65632165108883,515.6747664957801,496.6288558337883,474.4311637791991,493.1928980646575,503.5760412960164,468.9940841603388,492.99347363050833,505.5651164542481,0,438.9838731822497,509.6497070304566,510.524141176386,534.0075749310993,533.9224404102075,480.75546515655714,469.7027607385867,485.2394535332705,527.9902001566376,635.5735944700183,491.6573815802405,498.8123418052765,480.7037659541865,470.1619244406796,467.30946697676586,518.9618067630649,560.765787607998,460.7882622723401,479.1439329103978,510.2254814468298,492.48582722424396,463.265305384317,492.9133345988296,516.518797533606,472.62621913580455,496.99696291552374,497.9417825630175,483.49686842838344,510.80433755789187
