,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,8298.31521445273,11354.22932058076,10195.748768676405,11957.93055753223,11413.21551699548,11974.955047377694,12808.048887157564,14258.429769814431,10541.072142998517,9118.040021015544,12175.582493686376,10596.923715243602,8772.02914909238,10227.292331588846,13960.423221761044,11510.46658675611,13488.580538681039,8442.486192920263,9401.740319896542,13583.345483906884,12587.15029561356,11949.135249759025,10471.143471980955,10501.051782770777,10040.16388429631,9457.220050555425,9274.13119711673,10073.988894220296,15847.857151137643,11308.48010326166,12291.093012794305,11422.619882065794,10726.277766819674,8679.487502608528,12780.243830853055,13973.918315157465,12952.964583983781,9884.514001735695,11420.914986150723,10754.326269959392,12297.674125307452
Albanian,8298.31521445273,0,11287.58572352388,10162.387544829946,12196.401439955824,11940.350237938464,12722.968681459228,13434.874619105272,14877.29326725557,12187.989534267861,12210.427334684678,14456.771645863118,11088.707154905496,8685.175459489124,12010.991999185397,14270.593664517055,11831.00889429493,13872.620056480164,9637.208536932569,9343.291569075125,14218.507574303309,12890.316098989462,12426.430939613138,10707.90581160698,10774.98693211639,9772.09164342609,11228.040964498387,9251.696569353146,9995.365424720023,16467.48865297025,11685.933331303646,12746.389805138506,11361.931322876126,11058.969559360092,7905.750269699479,13126.569222702197,14789.270911669433,13500.868386983982,11572.147824798305,11414.443733145095,10885.056832874023,12839.387454738791
Armenian,11354.22932058076,11287.58572352388,0,12052.439639793434,12949.305714918893,13175.828023544518,13650.386658172325,13629.282885587345,15065.897977486055,13717.740450060228,13610.696083773671,14499.707267126845,12791.626875726484,11623.876213771764,13240.549446664227,14750.413951807905,12934.947665073269,14239.92334866609,11433.43416654949,12180.081694377404,14285.26595981868,13542.872945296525,12689.250756941294,11956.321336684308,12537.253246730352,11713.624273616739,12939.579944613668,11368.978144077813,11627.970226201678,15855.177307436652,12926.683997281092,13497.836566366277,12614.898471837774,11980.58515144012,11173.987307355808,13913.518535867659,15020.11983468365,14143.553354772326,12654.600316691163,12400.425438889562,12188.495706067122,13137.863260273312
Bengali,10195.748768676405,10162.387544829946,12052.439639793434,0,12849.46521126351,12132.115028689355,12394.81935987057,13247.715116251033,14425.60406464963,12900.53197041473,12225.384792166034,13502.453155371668,11526.625785417857,10702.977640282332,12322.565167589191,13831.569584483032,10241.358352369738,11701.388504308157,10719.065457638186,10680.439892416583,13826.035682447684,13671.928844534721,12400.677288075782,11329.011595280475,10059.172431140862,9491.45716567321,11971.394880595735,10435.682909627116,11081.958605000547,15286.300930832003,11527.29457778176,13248.511522876252,12415.131143683764,11486.028186235773,10323.72169749216,13220.40228553973,14648.363595390332,12720.00650369349,11744.190741607536,12171.615457374406,9908.794190054092,12755.691244282141
Bosnian,11957.93055753223,12196.401439955824,12949.305714918893,12849.46521126351,0,11541.596864133018,14306.279917982147,10323.425607221074,14015.533815771205,14104.414158312586,14043.336391764373,15292.812521492126,13250.693789781779,12389.010951044911,13912.853704384483,15453.060116121173,13920.124463883256,14984.628534193213,12167.224656899662,13332.248896293711,14527.752718791668,13570.788627564367,13174.220472677182,9534.300190909162,13397.728403352332,12448.42130697025,12811.48054133624,12442.307067211903,12495.75354230772,14328.801889722961,13880.632157660051,13870.484447105739,10662.97718847441,7983.335443116031,11948.861191391159,11974.947155957338,12811.177572942817,14647.712521937701,13154.035812933666,10675.361225238012,12948.28582518905,14210.250700253682
Bulgarian,11413.21551699548,11940.350237938464,13175.828023544518,12132.115028689355,11541.596864133018,0,13010.779445679938,10989.334976332964,13244.222411213988,13467.945214841575,13306.295530970045,13816.56567592944,12576.65631374396,11313.33040779399,13144.990152499247,14472.522072458882,12683.7433804107,13649.974892730279,11793.310472990712,12502.360712332014,13674.307965570393,14126.043073243896,13431.333146169452,9460.213018493618,12185.07809606783,12338.44519781436,12736.268798881063,11884.883896862339,12320.53160401986,14557.502882650517,13112.328756525094,13277.989187535613,11276.249822262407,10188.720529071077,11691.0199099742,12053.270666369343,12864.246573318796,13650.945868961662,12531.51254331889,11254.344029064901,12035.906696222546,13035.307791609026
Catalan,11974.955047377694,12722.968681459228,13650.386658172325,12394.81935987057,14306.279917982147,13010.779445679938,0,13948.91735791076,15265.038341433123,13496.742669180961,13410.788371838718,13977.220144814932,11760.114842472942,10625.768103660152,13321.100878401574,14569.312385076108,12949.015439113975,14000.737516399024,12296.430800053193,12478.489000101526,12377.323348083806,15073.123922616982,14053.211313614067,12737.15662806685,12471.623719410574,12956.61455783093,12815.85469659638,12578.358164574744,12948.759454698524,16163.420827308455,10898.619224297607,13095.789590052487,13724.41802532399,12922.97431913508,12601.712598790964,14177.701612259669,15082.826040191665,11143.135722680647,12767.601216092584,13398.591850049179,12674.271470078767,13631.680861952878
Croatian,12808.048887157564,13434.874619105272,13629.282885587345,13247.715116251033,10323.425607221074,10989.334976332964,13948.91735791076,0,12507.54022711964,14235.52346247232,13940.567198003708,14908.558180601745,13615.863818808455,13148.147913090621,14008.631350627511,15191.303377086662,13746.688849310229,14521.638635800053,12942.386709224986,13653.010043752007,14443.468021391755,15204.967171105318,13673.685544255017,10518.74286042984,13426.101350447658,13106.737413190931,13610.325287267773,13045.538433729263,13256.800764750895,14293.225432272417,13781.319975589151,14225.327930390844,12126.704947846005,9022.642758303327,13197.407914759659,11370.09069774526,12368.57023499509,14304.8646041632,13627.600798113928,11488.028707638972,13175.219218664002,14199.57181215417
Czech,14258.429769814431,14877.29326725557,15065.897977486055,14425.60406464963,14015.533815771205,13244.222411213988,15265.038341433123,12507.54022711964,0,15043.074300303422,15006.008047967129,16320.83848328783,14936.026916666373,14569.853172770447,15145.94321810777,16261.213178541853,15031.568178579944,15768.549845550406,14248.532006690411,14780.421888017909,15811.194464628057,16365.375138331596,15217.792692616222,12914.045767529567,14725.087018882874,14088.126322949222,14865.545538941753,14274.763809762193,14636.180452264081,14659.441853798777,14767.084236201228,15611.344943082004,13686.993909667508,12660.46586561216,14745.046247788267,10920.837484072614,14204.31275219812,15227.872529972308,14930.656982695296,12708.22305946844,14372.603982965915,15515.534874154398
Danish,10541.072142998517,12187.989534267861,13717.740450060228,12900.53197041473,14104.414158312586,13467.945214841575,13496.742669180961,14235.52346247232,15043.074300303422,0,12401.080992259378,13778.789652352494,12648.2806940928,11887.515277975192,12128.400672044083,15621.444194396527,13648.4961795511,15010.802787016493,10582.103623968778,12130.132167796877,14758.149502377939,15220.37607974849,14560.210207679564,12911.333769846757,13069.14337661279,12606.789363351678,10195.363514303994,12272.052355654887,12783.378981900278,16756.76177033673,13310.21391653882,14043.371595184983,13794.39341547637,13051.205758156293,12030.895368929283,14132.817105339554,14939.576229004897,14158.723454795338,11305.666155478593,13349.857388313012,13097.521708984068,13828.033464996899
