,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,527.9483564804713,593.6548446869907,574.3581904088902,578.9101700042523,539.7108810418171,558.8043968357957,554.5035267073998,550.440090866578,462.8926714142085,403.8787224760513,500.48114328274045,518.2786898652918,510.86502096175025,482.333879478862,566.1490489417367,598.0750527228266,613.4060491142085,484.06496400003294,506.4909398171699,592.2673257851703,592.7340059463128,711.087516003572,546.681851465568,570.1035693538291,534.6545655206676,468.33513043700765,523.2409330132538,584.0869127714325,641.2411647046085,528.7368730453206,567.832734921845,564.9137692115704,555.0338148280733,523.5121785447108,539.9948538534086,574.9307913191675,543.2952319137461,493.77215378042155,560.7466037664819,555.4583839108702,565.7642354600861
Albanian,527.9483564804713,0,598.0262981555336,571.2114474421472,588.3148766707372,553.0282377418253,563.1466526548398,559.9181429503317,571.5658330787737,545.1862419010656,555.5019995575419,591.9261799425154,514.8802217302351,517.2020888441571,569.0680398132404,567.0770809816829,608.263973743831,608.2805798043664,559.2313705744224,523.4287733491266,584.2471575218424,612.7326804934562,717.5880109125875,553.3858286600985,568.7435343756875,533.7164064437617,553.0084060073575,532.9278071444014,590.2418038172102,647.1661336174092,536.5840161869716,567.1408764618335,569.375790271013,567.1352648915971,514.6493308031895,551.8939872135627,580.1726819066133,541.3113599937387,572.4300036617594,557.095266475532,555.1418353306868,579.4641859009269
Armenian,593.6548446869907,598.0262981555336,0,636.2598873671758,614.9621556877904,615.0312200348428,641.5987114322514,606.2963187005912,623.6583964788547,621.8381393520925,623.7393883115449,648.2661993846253,613.4847390218572,602.4881053924662,627.1211046833051,614.5684976988829,673.2928054181544,677.4140825258468,583.6749984863684,602.4466197024317,643.4546632673273,626.8323051841144,702.9199294211791,598.6817719311489,646.3444659288373,609.5559535978771,608.0344803364259,596.4706315560502,613.8805342965625,678.6605313761714,612.241157269333,626.6728027041819,611.7726493489802,603.7235790351708,582.7531492594214,603.9189790942407,645.3038315133122,627.1908590350249,619.5854553340054,604.5162300923,622.0854319432117,630.5854255268023
Bengali,574.3581904088902,571.2114474421472,636.2598873671758,0,606.5381331738723,564.138669758648,589.2146526943716,578.1023820210119,587.258424698478,577.814827895799,582.4949346662274,601.97893017738,562.3732552383301,559.8405796150116,593.3617879014683,592.5697034192162,508.9646739239518,511.99180157525194,592.1273602392464,573.4714551716642,599.9083817475077,632.3031945995447,728.3969683918716,567.0322140987947,509.9572347082248,475.47152039260857,581.516753411588,551.3728271734883,605.7585756489395,642.3165717192064,572.0239930817248,599.3308773795263,600.71492647655,579.5901354124504,539.6414441874732,575.7724647271579,593.3109881779708,563.2229110781051,592.1943177057695,586.2778678720806,493.92902955342714,612.6012607292434
Bosnian,578.9101700042523,588.3148766707372,614.9621556877904,606.5381331738723,0,475.4735438565813,613.1117199202769,383.8018665077788,501.6747072051652,601.1320216018352,602.5246453161515,637.5766283644755,589.735487549031,579.314025452663,614.5487106223651,624.9582323603887,647.8967245869703,654.1258695795581,576.4459036126605,617.6619678939385,588.0413720197334,583.6785823236423,650.2893605768018,424.9887193403024,627.1780856557223,585.8612296872606,589.7909748569473,597.5639965039718,602.0077073081399,534.5929564652307,588.5174991281189,587.3765193735055,467.17302095484814,339.472353614309,566.6405459093809,473.11730295623966,505.8494140789402,589.9095192249304,599.2012205356125,456.94060772372427,607.0737155630562,620.4603946011546
Bulgarian,539.7108810418171,553.0282377418253,615.0312200348428,564.138669758648,475.4735438565813,0,562.354543870863,440.63505071012224,494.5722364464496,545.7068830361811,559.4623362670803,591.3478710656357,548.1153390296755,527.2761195851953,574.0859252992163,578.4570866830062,587.961663642026,590.506904478446,563.2295991359152,550.1935963648783,569.5734534039257,606.1101750566255,680.5171788540712,423.33968583202017,566.200991195394,544.2348044543488,556.0205870041929,546.6130059330419,588.600836554913,565.5113859864786,553.216117099406,560.2112989500856,500.09862709849085,456.55540588819986,535.8110024204298,474.2407547491593,508.5229642609177,537.5005990248229,563.2343227718025,493.8773317755272,550.7018763478086,576.570769917669
Catalan,558.8043968357957,563.1466526548398,641.5987114322514,589.2146526943716,613.1117199202769,562.354543870863,0,573.0620383054396,590.9076339734253,549.6503815905407,573.6666139006974,586.3789457542113,495.5240124435353,445.1798263987022,589.0596368511274,586.6302584111468,626.0216602750377,628.1909425184067,583.8584896130064,551.9543466963379,532.8505555466069,631.6974052237972,727.8604116008805,570.8497797151242,592.098900569573,574.6500426221636,545.7885979261974,563.1754279279058,615.3508897743067,654.6565678840112,480.5061638333829,540.2873928113769,599.713679844477,582.5738297232936,557.2740102793476,562.6203210618997,588.2209757892493,454.950126735147,571.8888993973487,584.1295089322548,583.7354085414961,611.2705661107656
Croatian,554.5035267073998,559.9181429503317,606.2963187005912,578.1023820210119,383.8018665077788,440.63505071012224,573.0620383054396,0,474.76304500217043,559.841189819092,568.2923247109567,599.4253670596876,552.7489781248195,540.6034258357028,577.0342949567379,581.0161033271548,603.7653212035726,608.6427771182773,571.7035136911504,568.2421060948556,560.5989696556982,593.4149279580633,651.1426797521115,439.03120412167783,578.2814576623657,556.5060432519812,563.6664216262643,559.7120002871513,582.4928357824041,525.4074265596436,564.36965367429,554.2785568463192,488.5414005711444,368.6991477356713,544.7500624036736,450.67836992249494,465.67303874938324,552.0449859265271,571.8301197480292,465.98370462640827,570.5854302628898,586.1190846628706
Czech,550.440090866578,571.5658330787737,623.6583964788547,587.258424698478,501.6747072051652,494.5722364464496,590.9076339734253,474.76304500217043,0,555.6506871601439,579.5729141769383,604.6102332049676,558.7456578807562,542.1727161441662,594.3041453410998,598.2469724077505,614.4233109553991,618.9785656768294,568.8314452239805,573.6222838874247,589.4487853414043,592.6873290545592,684.138013962965,497.41495288605705,594.7179238477227,554.8551632544679,566.645633645918,560.9122438076779,598.2729114189859,527.8188547429199,569.3024687951847,571.8215543539523,504.0129327423273,477.78275092381904,552.7760987376846,397.4108604141827,524.7136552130479,559.5925468930565,583.0636507050166,477.3451760795698,571.7918802134628,592.450014242535
Danish,462.8926714142085,545.1862419010656,621.8381393520925,577.814827895799,601.1320216018352,545.7068830361811,549.6503815905407,559.841189819092,555.6506871601439,0,505.5267956220643,499.8704006230992,515.2064663400508,507.9275232382059,481.7697878214484,578.2440423051969,593.0161091053495,607.2109546305819,484.25058681727813,488.1083481013404,591.1675086784616,641.9620514871611,749.2227556077337,569.2866222098703,560.397517591062,536.5027488693597,433.60983096242904,524.5349625566745,589.212400291181,654.3138355601034,537.1845560719449,563.9310683464101,590.829651073789,575.956893793377,528.8222039321147,541.5632808251437,572.2073254580758,535.09447120729,471.69827886162597,571.9040319056476,549.9131110674765,560.3763162049362
