,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,115.17005154372693,142.05800439709094,128.61722115843514,134.04997367027016,119.3713597079165,122.34694096235776,118.3160834253757,122.04307824277399,95.11917555474713,92.09442136206577,100.23750641188843,119.24664038105989,111.38893758617942,111.16607357714977,142.92383282997073,123.9503882157105,124.43141668066058,103.66162422764866,120.70280223640894,124.7051900402633,179.67854103789287,184.96286909421784,119.55141028159187,115.77130571036537,112.77991766668822,89.68207542432593,118.02031162926217,136.0909779200766,166.00335506342776,129.486150453923,125.566903965182,135.7027109350071,119.84669138897289,109.52396742278331,127.4032737008895,126.74698781587547,113.44476686584647,95.16660745509732,125.7253074640218,119.68778731893833,122.05771195576095
Albanian,115.17005154372693,0,134.25337594136835,120.10795671085361,137.07737425205065,120.39945981409235,122.15463636479171,118.45876941910348,124.16353215086495,127.94085775347189,133.60849311760128,135.69300875858463,119.9675080161352,108.47139607460832,139.61907997251924,135.33856752070102,120.5768645458952,116.78081308804167,127.52869034283111,115.70009877208639,123.70332130357181,182.30520782973906,189.00797664468521,122.56966395327278,111.47539721679054,109.04597111439887,118.67805813446078,115.39725655970419,132.4304510988243,168.0282950677916,130.46593804161196,120.89232676890198,130.14755436243263,122.57639225742551,99.89264218017719,125.82348134203696,128.2099644576422,107.67766874914777,120.80969827913316,119.41784918742381,111.46149961360719,118.45679539341727
Armenian,142.05800439709094,134.25337594136835,0,152.81480449639432,152.23180825057227,142.33886924863862,150.51830700307846,136.8519821943695,140.5294690736633,153.83206587607052,152.1351447284519,156.13924678824534,149.976116488534,139.81869918010236,152.69177944733994,153.54092488614037,147.76603647953914,149.9519113729477,139.37736237713062,143.65816773989164,149.61528173647946,183.57565115965133,183.74482025612355,139.978636283703,144.42347221778454,142.7055233346696,144.683865430341,139.29672264396353,144.683947060289,180.83632218424188,154.53186543258482,146.4003044150072,147.69236514955594,141.2801308745652,132.6823016405131,149.39456179415262,150.31207207528968,142.91157879471857,144.91717939884057,142.30487878125254,142.4511119430429,142.89208709728288
Bengali,128.61722115843514,120.10795671085361,152.81480449639432,0,146.97678050378508,132.22348875521968,138.6908371336082,128.52238935350897,134.0168544199175,138.02757960128517,144.3682168646017,144.74476609953805,132.44745987419054,125.82315409038667,151.87860458603353,148.36277042423131,105.84304211024643,103.59073340269462,138.97990481037354,131.19863230276692,136.45744180448884,190.49155342879484,201.55512232564513,133.17480193080553,110.2523499454759,97.29085771463821,132.85937346892786,123.97502464688911,144.08697974420522,173.96893120726108,146.93108103478093,137.60139771509805,146.82193947131773,136.23652147017606,115.77206359079136,140.61587876438588,139.72300461420267,124.3925903117909,129.22782271470848,137.90574276559352,106.70357885243187,137.71731287772238
Bosnian,134.04997367027016,137.07737425205065,152.23180825057227,146.97678050378508,0,104.58846410636335,145.37423800801736,81.86610167467208,110.18280981171422,147.61239159453444,149.8603317955649,151.03868293017766,143.28156912693998,139.0173799906245,154.0676943779564,160.68931717726338,150.5601664467503,146.34947408124447,141.89622008056773,150.6276613516067,143.15708532243045,182.48542117024067,182.2418586811283,96.68586193308933,143.75943648846788,134.7886860293096,135.27900699733135,141.77734690471465,144.83258702547337,135.52695919374884,153.28479025555896,139.27906575554698,115.33828252929342,76.86519619968482,132.9064370821142,109.00832024538181,110.4382851257821,135.14457125316156,139.7577858081173,112.09919599845287,139.13022251295067,145.81417373138603
Bulgarian,119.3713597079165,120.39945981409235,142.33886924863862,132.22348875521968,104.58846410636335,0,131.834473435279,92.85624357236156,104.55251041129935,132.4968554119991,136.09283258654193,141.63183445224206,129.32536833102785,119.16105926061093,142.7958943653188,146.3988890247473,132.42915763115946,125.62123860574424,129.63938999538917,132.61478989912052,128.68644841637425,181.21239875031503,182.9537503581253,86.26343456332866,122.04196410442128,120.80681601059676,124.1417698970531,128.8964794086875,138.65550889176495,142.96185896076838,138.87719838913014,129.27532408078474,114.4583840025257,95.53304748896856,115.22637750563942,106.6766621664925,107.67662410618755,115.93976471762599,125.45828759661633,104.8562295145265,123.46766753977039,130.21231986110433
Catalan,122.34694096235776,122.15463636479171,150.51830700307846,138.6908371336082,145.37423800801736,131.834473435279,0,126.79940297376253,135.2850750869231,128.13727899256548,140.91681626679056,137.80199642573575,115.13972714992492,91.5926042138926,145.4321412434233,141.86858304717984,131.73025963054337,132.66806952701913,132.04207807319793,129.8213032119929,109.12144533131861,186.33298313167913,189.22883478594875,131.70847632432537,127.56729610642957,126.35192977679874,121.08855691197988,129.87233762671724,144.91358162057983,175.9878698995355,118.56045508396525,116.23298317902258,142.03205757672427,131.50705205394698,119.13621139127284,139.0080879658316,132.9215039855957,92.75265599183699,125.87876126765205,132.78943446730813,129.92891357139578,132.90888160242176
Croatian,118.3160834253757,118.45876941910348,136.8519821943695,128.52238935350897,81.86610167467208,92.85624357236156,126.79940297376253,0,95.29775434090851,127.90770647246036,134.70369528232507,137.66552550329595,127.06428371122027,118.81769847705368,137.467084188421,143.1226965975178,127.90630712857964,122.98992613157658,126.73006690454463,127.61579638061063,126.98406839697748,177.94544774107428,179.12899849487204,89.32863460512581,122.12007358993166,115.17289969524354,118.99093936229625,119.81646912042969,131.77481778510818,135.56874472355818,140.1715974220496,125.98618443933633,113.09605197962831,75.24009821239797,110.90647360301176,99.99271342835118,97.54258686830786,114.30707030835389,121.7185256184604,102.28893245949237,117.68239621587627,127.06145676894002
Czech,122.04307824277399,124.16353215086495,140.5294690736633,134.0168544199175,110.18280981171422,104.55251041129935,135.2850750869231,95.29775434090851,0,130.80155441336862,138.89173890602333,141.67964394841925,130.49634356447817,122.50785544621705,144.05761558672955,151.60843485984097,132.25315027691076,127.33605442516105,132.04449628888483,130.94563298001032,128.46395742719866,177.81429028413822,184.31677725453955,104.4174854661347,125.08278513051273,117.71803120575927,124.8070736492007,125.81046830066688,139.0309902435763,131.3744021677305,139.99956686967505,134.04416879457267,116.48502704022809,97.46570426057625,118.18443257853927,86.81931346575614,105.95456362315166,120.61302085102425,127.36006980804584,101.77717008423355,122.87644680175099,130.87057668559044
Danish,95.11917555474713,127.94085775347189,153.83206587607052,138.02757960128517,147.61239159453444,132.4968554119991,128.13727899256548,127.90770647246036,130.80155441336862,0,120.96428206728764,109.80035439068345,125.98930569425411,115.74125908658806,118.06911167962724,154.1517643350685,128.87546464952607,130.608778011548,109.84578264886426,123.61652100740471,129.46127952956135,199.09629635859648,203.47036246525113,133.93696559353242,121.93190946837458,118.62960282718086,78.82203460162367,127.15447683947872,142.19962001133447,178.37674015816233,141.74017572249076,134.02587416210628,150.91888092101254,134.14166907713684,119.13940671107603,136.4060485488252,133.0969832460541,118.97710488672917,88.63504259020115,135.36481320868455,126.95362052904126,127.23655831134383
