,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,542.840730241839,608.0873718298313,590.1324147074744,588.4441215949615,563.2955692478677,582.2224664051738,570.4297329480279,560.8935783565859,474.4497899442239,407.342584595418,508.39238199402575,541.4286308662463,528.1437164379813,502.4130145813037,582.0297641705712,614.4056184222068,633.9092882017635,501.1264293077734,519.519037704498,623.1594428785985,591.7683653760624,734.446576910035,566.0264163116664,584.7326614419391,551.0991921653441,492.0423638027231,535.1407519455806,603.8827677405862,647.8742100892451,541.3086240799097,593.14905913069,580.6237016536604,570.2057822759832,536.5254786808391,555.5873345540831,598.3526975411743,567.4440657523572,510.5927141329241,578.8915881949366,570.2554467862767,588.0614274233898
Albanian,542.840730241839,0,604.6083870359563,587.9982804139026,593.2587145196347,571.7750798927945,584.3295620441571,571.1138644969853,581.1037252869601,561.6867771543854,566.6078702541703,601.9315546036617,535.1742733723403,530.4438020560646,585.0476422666675,573.9923774447432,631.333744930236,627.4246278399382,574.6552241089967,532.9804069921064,600.9412664719732,612.677592715061,740.3919162612586,565.3860082374723,589.4093413561435,548.4885741051974,577.1962264503584,543.7061537627577,603.6493106538408,652.3225877237687,547.6226004663902,585.7313463114675,579.8489699298542,579.0355366053278,519.008371162127,567.4788403107929,605.1559394452395,558.6224728965734,587.2907115779171,568.9986090197501,573.3802693786039,597.0331713077424
Armenian,608.0873718298313,604.6083870359563,0,652.9988305732898,627.3566819227017,632.5311497897927,658.7659877990524,618.1128335903052,632.72435178517,635.9840532581853,633.5483652604763,657.5241548860171,635.0644378266056,610.5106825791343,642.8829274010532,633.5845733378884,686.6820419277622,692.426046094001,599.3175612490595,617.4905367868021,662.9854204785823,634.970692060972,728.8399680050284,613.5610856099742,662.3802049723837,628.231053839166,633.3171619309805,608.7581018947476,629.2112570199206,685.5106539486669,622.5492841034935,641.5476941175449,626.6202283548216,616.4763465506579,589.1755151974357,621.7169272127626,671.7835516403657,641.2227791178345,631.8887947548185,621.5125058646421,636.3950169582301,638.1081131011449
Bengali,590.1324147074744,587.9982804139026,652.9988305732898,0,629.6884827691208,589.2458894228031,615.6138024668484,598.2006338769626,606.1392853314951,600.6657107103148,604.66742146701,621.7011733035471,589.366462492797,577.8523753082721,620.1075814122489,606.1219028249333,530.1820108473122,535.0451032186656,612.008441182639,584.4787755956853,634.2922468636202,641.9568334622603,755.5911715340065,593.8579923576073,529.2783385298247,489.9851843941237,609.8671273544292,565.9859256547414,627.3595397069596,663.2588024230679,589.760928625141,629.0141691709003,625.1662746357189,605.6080150954542,555.6455819052045,598.2359961401485,621.6703862549439,589.558502880103,612.3628171454227,611.7747362155178,508.83135985951327,640.337553564821
Bosnian,588.4441215949615,593.2587145196347,627.3566819227017,629.6884827691208,0,490.18548570780973,639.4517725456752,385.62119838995056,507.26025978339504,620.6068795118855,613.3212599551953,653.6747044832134,619.138322420841,593.4609858147337,628.5887071481875,636.8041593457853,665.2246948430763,675.4109062786201,586.8842911336828,629.233141718507,617.6651230440995,585.4377427007311,662.6884236589246,431.01255373144306,648.5147636591927,610.002529423036,613.56019254484,608.7699432877243,611.2889331029294,539.2633077936183,604.9979807824205,607.7909985780502,475.49856716944197,338.49015241709316,580.0358149616749,482.5061437545321,522.0912451877579,610.9467630686863,613.5715812898305,463.04015179370424,628.7413291105811,639.0820170135476
Bulgarian,563.2955692478677,571.7750798927945,632.5311497897927,589.2458894228031,490.18548570780973,0,591.7561278405379,447.78326626909916,510.6534975151547,575.203678195117,579.6395967297195,612.4041007596679,579.8912211621956,551.6856342458044,599.123148960742,589.5475921251427,615.9121622910313,620.596861725142,585.8578565740735,569.6154515599916,595.2230063970932,614.6367366437927,702.3739113842589,437.2412161857258,595.5198519120489,565.8307303538603,595.4570140954797,572.5267103422053,614.8583141207499,573.1903326383482,573.4568667100721,585.3244668273785,516.0871272770725,470.43297785375967,549.6522543796707,490.99887877921554,534.8530025204468,561.4477122784776,591.5928783467976,512.9320231221232,574.1937523636599,599.6331290393485
Catalan,582.2224664051738,584.3295620441571,658.7659877990524,615.6138024668484,639.4517725456752,591.7561278405379,0,597.8669131709084,610.5153343742938,580.6244454635496,600.2986303518887,610.2668585870592,520.6907420449736,459.1190468676067,615.8044135843655,601.3968420471078,652.1926574009022,654.5085078895038,606.5660856889633,572.5563779679823,556.7730679974196,643.7330345507492,760.8318965590892,602.2293981783553,617.3804688160939,599.6266037270017,579.867343854326,587.8380756564899,646.1699930616369,676.6780017128929,493.8367789404189,562.1258598251393,627.2317045694679,611.4645886440887,577.6482742382999,588.093784557544,623.1148657323863,475.8529802745347,600.6130819483702,615.6532839706019,607.4003663583204,641.2583775898254
Croatian,570.4297329480279,571.1138644969853,618.1128335903052,598.2006338769626,385.62119838995056,447.78326626909916,597.8669131709084,0,482.1118273001453,583.1709086460959,582.0968558533265,618.4423993775097,577.3151930897515,557.8897521027209,598.3757571688701,593.1487859327445,625.2788534682143,637.1920709887158,589.2504930376393,581.0846048720344,579.8881423222325,600.4798066128113,668.5396475763041,451.9775425680787,602.0235735220026,572.4278035932795,597.3484513402674,573.386145995811,599.0226051189521,534.0047958389429,580.5133562454272,576.4991113994903,498.63291243080397,367.7262111705254,552.8883237457836,462.0621900500234,479.699792723203,570.9753527700839,594.5903985995309,476.342106593264,588.9687384205246,604.362025151894
Czech,560.8935783565859,581.1037252869601,632.72435178517,606.1392853314951,507.26025978339504,510.6534975151547,610.5153343742938,482.1118273001453,0,576.2822227811677,594.1831563514543,619.1104297839347,576.496445116404,554.532337532009,618.3333471013364,612.3810898872466,630.3842089672851,640.462439527543,583.019170195458,580.4971121468242,618.1894728758851,592.4052260587061,702.133925377704,509.41247558299006,613.0211419012159,575.1433674965272,594.3389934943109,573.1477463330772,615.2344701289916,528.7687567163862,582.5549195390507,591.7821407991929,510.07655822299904,488.9896547963202,557.1456734783725,397.9164182842865,551.9281322534268,576.0958629216769,602.7372041843829,489.3634938963605,588.0136972368479,613.6121867221123
Danish,474.4497899442239,561.6867771543854,635.9840532581853,600.6657107103148,620.6068795118855,575.203678195117,580.6244454635496,583.1709086460959,576.2822227811677,0,520.9445920882529,517.0408530089136,537.7944654968222,524.1786351975359,502.2382016102107,589.4828997900466,618.3053102970023,630.0383690542294,498.45641358409677,504.320282811073,626.7940351461441,643.2335019165549,775.1635204436496,591.3576860015891,585.4694024828841,550.2303609128531,452.8024238206508,537.1203856240725,610.5824263609461,668.6171255920992,551.0271133004723,594.8823286161522,611.0438158717819,594.8056864812954,542.6608804161169,562.7831273619852,600.3354723003871,561.1277134973832,489.9773624165111,595.3153455959732,567.80699032442,592.1897014590205
