,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,35.394429334095896,38.75093522606568,42.565938023208766,38.32843419830442,36.86209914835246,40.66127991921331,35.52774786271234,35.17398753813868,31.472204997269298,27.202115499471688,33.1650909918723,34.733418731187356,34.60912098034616,33.8122237896637,34.9131357969405,42.870629913433696,42.94256859869783,33.018942738319225,34.13365162677734,38.06588607595067,39.822600872206614,53.54377908353639,37.05999992813987,39.46626201796099,34.650003857635355,33.65204456157338,33.974025706904996,38.444757295213854,40.95703085822752,34.51869776009087,36.989386668391624,37.04597481655849,37.271059359155906,34.19455509752577,35.227315757996664,37.60769923046201,35.21986339612691,34.6903318824717,36.99892779658357,36.92996491595716,36.32925250037413
Albanian,35.394429334095896,0,37.78634190386354,40.591619968648494,37.86641767626024,35.542108369801284,38.514627753392816,33.698252378149625,34.937556773506394,34.538058974341,34.81438046387478,37.045863247612395,32.20091751423263,33.108174995875714,37.133368350580966,32.549289469125455,42.507218684333225,41.58610128307723,36.11772302984065,32.92803207359596,35.00982456867303,40.42206701807119,53.47046496839456,35.71402565401603,38.039891260161376,32.949179194689286,37.57369737044618,32.914350663085195,37.38123496136556,40.33858553723107,32.69048606233985,34.846762840900944,36.281286375044196,36.7306620378306,31.130149777492885,34.2419880391148,36.48443553171098,32.449450803434786,37.44788685858451,34.939250647122755,35.213075784369494,35.51453362714926
Armenian,38.75093522606568,37.78634190386354,0,44.46226741015514,39.75885852941127,39.393410732783465,42.96017236628242,37.75742224313406,39.15119256583799,39.19684367959122,39.3766280620373,40.83242452408478,38.98119350243417,38.09382658334293,40.37878892519322,37.05265151098454,45.619702216060325,45.216829257405436,37.40066252293288,38.18429715255469,39.84393001625938,41.737686221054574,52.72523356423874,38.79669067666512,42.266874101265735,38.498422907689154,40.500225996951535,37.45921346698027,39.16050820370109,42.36752888310526,38.50268231734106,38.996119455639366,38.89834438116344,38.93547107823034,36.605178969575036,37.8966115558681,40.81826822299007,38.73275835491117,40.47581226185091,38.426681950464896,39.891337199574785,38.71372865108786
Bengali,42.565938023208766,40.591619968648494,44.46226741015514,0,43.618137340153346,40.99667650105411,44.16238648873428,39.67635617692767,41.41552296929967,41.06495575516132,41.98510746474561,42.838467466378276,40.581852812916935,40.36360307244168,43.273322242527996,39.51599733213964,40.33895478244938,40.383815885050325,42.64570809780905,40.62543422585643,41.88253402844725,46.275667163502774,58.244253502566764,41.252545583919456,38.6671801601591,33.96350415357501,43.94132781384708,39.31360163061777,43.13914648214708,45.09117975466729,40.290713370293794,41.87040898937529,42.71181499323792,42.13530857351047,37.99732665601866,40.252597335944245,41.85712784432678,39.89557306308028,42.84672192924044,41.35577130621167,36.21304761432656,42.84569251471258
Bosnian,38.32843419830442,37.86641767626024,39.75885852941127,43.618137340153346,0,31.76828444490243,43.14226337736711,25.388044423741647,31.65701206289481,39.40387483503021,38.70618910423752,41.39718733421282,38.756954607336226,38.23617757389465,40.162183800503165,37.837674601125634,44.43274694691094,45.12525294065226,37.42400576036576,39.418935269893616,38.390044788110785,37.6712336219737,46.904514119047995,27.994607121422693,42.31004600992051,38.13470771821733,40.45657205417848,38.10465882626606,38.16858774337783,33.29467778197058,38.06952378959193,37.65587307996812,29.741828968342077,22.02138905146583,36.43261765062741,30.204644699761992,32.31273245156678,38.0435545714373,40.03989987574623,28.406303991792022,40.18945966504223,38.964565955496575
Bulgarian,36.86209914835246,35.542108369801284,39.393410732783465,40.99667650105411,31.76828444490243,0,39.864376642266215,26.979166472390627,31.918736497412024,35.89682225973629,36.22007569806279,38.66145001406536,35.49806221768315,35.37035970238149,38.098615155602154,34.02067955537108,42.38311581300507,42.16632792955817,37.18764409411433,35.415941546279164,35.41593770321204,40.13528645301404,50.97515171662142,28.53669279341071,39.43567397243385,34.635212524573575,39.21845365466733,35.65148297229198,38.290549581071836,35.60072948797622,35.07548726329746,35.699861094029174,32.14112068731843,30.266473257833685,33.685399031777344,30.22791894034057,33.05059179530608,33.86502251158059,38.55589676141891,31.546514364370438,36.20184998294592,36.52335519004073
Catalan,40.66127991921331,38.514627753392816,42.96017236628242,44.16238648873428,43.14226337736711,39.864376642266215,0,38.837292007381365,40.26071881542948,38.89907077717397,40.29141424649802,40.89564873486868,34.37932045473318,31.640448309931344,41.49651553772388,37.54475402513063,46.89213286013881,46.406935308588636,41.10020854627405,38.49809828835929,35.3712039234938,44.68362869066054,55.7692236261541,40.85775759236712,42.82070924673966,38.92351573289073,39.87545802184425,38.814240645890166,42.56117565676822,43.98815351798922,32.65082291971548,36.440572266570086,41.334153111591476,41.422316504088606,38.17823471065683,38.57545085490424,41.05500822948879,31.433899390322477,41.00953337865474,40.2434770413903,41.122439769985945,41.39693663310984
Croatian,35.52774786271234,33.698252378149625,37.75742224313406,39.67635617692767,25.388044423741647,26.979166472390627,38.837292007381365,0,28.30083830968051,34.139407034973146,34.416324242874715,37.12371066360015,33.02720593698494,33.85531332827872,36.23013186187893,32.250698012106646,41.391833436924124,41.846255213695876,35.8914310457839,34.042641302345096,33.39843784160085,37.70368742171622,48.407589799912024,28.36323419744638,37.98286273217064,33.01403276720894,37.57564985225113,33.70895873451091,35.86415947579175,32.30971791335249,33.36708855953583,33.832342237934995,30.25730942317503,23.572510592526456,31.733346340575263,26.825353851626076,28.048221104481623,32.389836159935086,36.63452575220786,28.039086790552428,35.28147459565234,34.751114723977544
Czech,35.17398753813868,34.937556773506394,39.15119256583799,41.41552296929967,31.65701206289481,31.918736497412024,40.26071881542948,28.30083830968051,0,34.88563291667872,36.042491971832135,37.816505794492784,33.6769563382367,34.38608397579453,38.75697048410197,34.51937826334041,42.09379661521953,42.41261067303552,36.116129938674575,34.91565308355619,36.45630823119668,37.34521660642238,50.13770990778462,32.18626945064718,39.36191959467365,34.518275697277446,38.371877015185184,34.284373205288695,37.41052000951067,32.53654001458315,34.39936232270817,35.733607879048755,31.23005496321952,30.592076816065948,32.98486833305884,24.116678922584903,32.95973684950467,33.71125048113813,38.26866529840382,29.56326443464813,36.29231613785556,35.824973873683184
Danish,31.472204997269298,34.538058974341,39.19684367959122,41.06495575516132,39.40387483503021,35.89682225973629,38.89907077717397,34.139407034973146,34.88563291667872,0,32.67302511172356,32.24985478380951,32.370953269659786,33.12364247865687,32.650041075604996,33.01443028366491,42.46333129318089,41.51019846635013,31.634574636300275,31.47099856836798,37.188917601055294,42.312756136460486,55.88554019070245,37.4939783911696,38.35344158348775,32.98223417953103,30.59430729730793,33.02573845194215,37.78978888275143,41.30317689607132,32.94383535640349,35.931054266323265,37.66056493334482,37.51063085789662,32.67929221627172,33.905381867829156,36.48416503634979,32.46577779845539,32.4510139409565,36.23037270755563,34.9778183945381,35.323875203217554
Dutch,27.202115499471688,34.81438046387478,39.3766280620373,41.98510746474561,38.70618910423752,36.22007569806279,40.29141424649802,34.416324242874715,36.042491971832135,32.67302511172356,0,32.3089312353075,34.859723361273005,35.37531315272226,31.630642744261223,33.69546610826825,42.6150995642751,42.2127271913939,34.2749079711465,34.478047194355845,37.35433821559102,40.26434940755602,53.05058903769848,36.77195224798753,39.11092665585655,34.22924332802001,34.48993091914538,34.34526045798488,37.70701706527115,41.212380561773074,34.31517430789633,36.92382131679322,38.16146123276104,37.493856055229024,34.31262060065451,35.74150471566693,36.96765184400769,34.41211111830728,34.10045092741561,36.905987300122,36.45564926756612,36.190121571942456
English,33.1650909918723,37.045863247612395,40.83242452408478,42.838467466378276,41.39718733421282,38.66145001406536,40.89564873486868,37.12371066360015,37.816505794492784,32.24985478380951,32.3089312353075,0,36.168940641711764,36.225956701763835,35.40174783036679,36.79842122499576,43.1976195557269,44.415258719993304,34.879100554493014,35.36755519971869,38.67080475157458,42.51017223752581,54.85937422297207,39.348922793300126,40.71083480642464,36.00835528502012,35.41916680379567,37.1127077773457,39.839607253756114,43.123370247449536,35.15673270400832,38.83897311228246,39.58518546234391,39.90323322655618,36.54886319606936,36.899333695180445,39.50830687686968,35.80155828880493,35.676243351753264,38.60896100029391,38.379049261943194,37.81161857856901
French,34.733418731187356,32.20091751423263,38.98119350243417,40.581852812916935,38.756954607336226,35.49806221768315,34.37932045473318,33.02720593698494,33.6769563382367,32.370953269659786,34.859723361273005,36.168940641711764,0,29.306913727361607,36.91528336299563,31.85368384972529,41.877739903505606,40.90952383181342,36.069441545250164,31.188804204185743,32.3505527667183,40.50120029863963,55.10922672615925,36.61541756541901,36.90905853836209,32.17695899048499,36.32524696401972,31.950659798005077,37.58834608766809,40.235469955195015,29.452459923085552,33.66127159079864,36.95662339217493,36.75157481261614,31.72364016813157,33.37313314970311,35.96166990869225,28.558777879222628,37.31730826392338,35.741310283539086,34.59333498927316,34.37267772987188
Galician,34.60912098034616,33.108174995875714,38.09382658334293,40.36360307244168,38.23617757389465,35.37035970238149,31.640448309931344,33.85531332827872,34.38608397579453,33.12364247865687,35.37531315272226,36.225956701763835,29.306913727361607,0,37.182770609665845,32.74301667754652,42.395585667067216,41.524655584796605,35.21506987268969,31.764623583853936,31.163378087400403,40.82731380230303,54.074416631906985,35.93006612458507,38.07079192416831,32.4776845246799,36.405289414088095,32.757229878487955,37.19081182672492,39.88640113902477,25.536191699850477,32.88312682711957,36.71764192406833,36.95041785531372,32.32590904967097,33.67405495967852,36.57360140520429,22.63589843463944,36.442863308205766,35.87633426424995,35.50728955751403,35.42547912765578
German,33.8122237896637,37.133368350580966,40.37878892519322,43.273322242527996,40.162183800503165,38.098615155602154,41.49651553772388,36.23013186187893,38.75697048410197,32.650041075604996,31.630642744261223,35.40174783036679,36.91528336299563,37.182770609665845,0,35.20287142335885,44.363531771704885,43.89014062883348,35.31472459589735,36.43324685903584,38.11452760828892,41.98376896502813,54.25522303192879,38.80688175130269,40.83481888991321,36.66329663783121,36.871131815447576,37.11290739174871,38.841405254167306,42.55905323201404,37.5027482214916,37.700659323783945,39.94560506790031,38.963119056744176,37.0536512178417,37.43117270145984,39.0701126759016,36.696632481204084,35.9032534934016,38.63871422245451,38.96105359509007,38.305430867325875
Greek,34.9131357969405,32.549289469125455,37.05265151098454,39.51599733213964,37.837674601125634,34.02067955537108,37.54475402513063,32.250698012106646,34.51937826334041,33.01443028366491,33.69546610826825,36.79842122499576,31.85368384972529,32.74301667754652,35.20287142335885,0,41.686462659995996,40.91770579515132,34.78427287074034,32.251836407618114,33.59440701131448,39.483993923576136,52.30731300056544,35.76197535430176,37.783833858620405,31.885614470480906,37.619687707118395,32.251203228999756,36.514849520661784,39.52098297790347,31.99874831457953,33.65760468354411,36.26923474800163,36.48544325541733,31.194410375012303,33.66553307079037,35.845586123252346,31.158685278131944,36.41677684216382,34.40904101147001,34.58604597371419,33.428660207644086
Gujarati,42.870629913433696,42.507218684333225,45.619702216060325,40.33895478244938,44.43274694691094,42.38311581300507,46.89213286013881,41.391833436924124,42.09379661521953,42.46333129318089,42.6150995642751,43.1976195557269,41.877739903505606,42.395585667067216,44.363531771704885,41.686462659995996,0,35.7245200832492,44.07634835607868,42.55782307732135,43.895613614065546,47.08611990671281,57.860484146126325,42.862669139890365,32.77243305844342,36.030281166667116,44.63893903512134,40.2744569816677,43.74645549039854,46.272545175629254,42.9059100801667,43.239030715910786,43.92503008511248,43.47141399522245,40.69529243869689,42.24904089824385,43.93848347638221,41.583001341638216,44.99720364473096,43.26391629876081,36.93042132026238,44.99551216257343
Hindi,42.94256859869783,41.58610128307723,45.216829257405436,40.383815885050325,45.12525294065226,42.16632792955817,46.406935308588636,41.846255213695876,42.41261067303552,41.51019846635013,42.2127271913939,44.415258719993304,40.90952383181342,41.524655584796605,43.89014062883348,40.91770579515132,35.7245200832492,0,43.62924490003845,41.35614222587646,43.613069189224234,47.202337216034906,58.47157260172923,42.42864592086444,35.51929340376717,34.93110589210018,44.09955352333106,39.07845518454437,42.58184607468876,46.40577741182352,42.152261773915406,42.22169952174546,44.18934267246498,43.971648800690076,39.19350977440096,42.280448323137854,44.648189988534,40.92708121256144,44.47298703836995,42.77560645973881,32.167933198903896,43.99891088348851
Icelandic,33.018942738319225,36.11772302984065,37.40066252293288,42.64570809780905,37.42400576036576,37.18764409411433,41.10020854627405,35.8914310457839,36.116129938674575,31.634574636300275,34.2749079711465,34.879100554493014,36.069441545250164,35.21506987268969,35.31472459589735,34.78427287074034,44.07634835607868,43.62924490003845,0,35.963709611795224,37.08872157418302,39.50963922262498,50.58740904312444,36.905763652851576,40.89903823477965,36.062089814417156,33.2142790526839,36.22849286827534,37.37673215809003,40.16881175552025,35.68864530082706,36.50379649124507,36.40284267812246,36.57426624872918,34.628522795534444,35.566149538170116,38.25016556591884,35.60477414786021,33.05136310204797,35.41199198938446,37.69590942201624,36.89302780520811
Irish,34.13365162677734,32.92803207359596,38.18429715255469,40.62543422585643,39.418935269893616,35.415941546279164,38.49809828835929,34.042641302345096,34.91565308355619,31.47099856836798,34.478047194355845,35.36755519971869,31.188804204185743,31.764623583853936,36.43324685903584,32.251836407618114,42.55782307732135,41.35614222587646,35.963709611795224,0,36.961441437025705,41.567024026102,56.7063129335358,36.5187574471339,37.81776676260583,31.869606752840774,37.07469821788598,30.95812382555976,37.60600249832919,41.30934420495787,31.694884532462655,35.67322937035721,37.59024907429647,38.50647882247931,31.566152894069308,33.892225733628116,36.31868588068537,31.296668904285774,37.00030373641211,36.66369465505662,34.74397055111348,33.43408967984217
Italian,38.06588607595067,35.00982456867303,39.84393001625938,41.88253402844725,38.390044788110785,35.41593770321204,35.3712039234938,33.39843784160085,36.45630823119668,37.188917601055294,37.35433821559102,38.67080475157458,32.3505527667183,31.163378087400403,38.11452760828892,33.59440701131448,43.895613614065546,43.613069189224234,37.08872157418302,36.961441437025705,0,41.92326095402931,52.46358902433271,36.66109488644568,40.0353758485139,34.43821210260992,39.624534071336214,35.95825798202201,38.68953207560466,39.61117680063987,31.895061595987595,31.37103111554074,37.72836058300765,36.95919491483791,34.16296696605227,35.59217235497229,38.081834691242015,29.621955574254777,38.439435113128866,35.9182781792879,38.191998537795165,35.244531024411934
Latvian,39.822600872206614,40.42206701807119,41.737686221054574,46.275667163502774,37.6712336219737,40.13528645301404,44.68362869066054,37.70368742171622,37.34521660642238,42.312756136460486,40.26434940755602,42.51017223752581,40.50120029863963,40.82731380230303,41.98376896502813,39.483993923576136,47.08611990671281,47.202337216034906,39.50963922262498,41.567024026102,41.92326095402931,0,42.8222007085254,38.34701620742554,44.16242735303701,41.642862636124946,41.85756625029146,40.667155548353975,42.17775332421023,38.99985912604108,39.85083991184479,40.59345399136713,36.81500991836337,37.047717328717226,39.334886195209464,37.29804377899796,39.54747906172877,41.41361355936154,41.728133769366245,37.0361235889594,42.348744971406155,41.42781293766997
Lithuanian,53.54377908353639,53.47046496839456,52.72523356423874,58.244253502566764,46.904514119047995,50.97515171662142,55.7692236261541,48.407589799912024,50.13770990778462,55.88554019070245,53.05058903769848,54.85937422297207,55.10922672615925,54.074416631906985,54.25522303192879,52.30731300056544,57.860484146126325,58.47157260172923,50.58740904312444,56.7063129335358,52.46358902433271,42.8222007085254,0,49.879514189597856,57.53857721770837,54.587903484683395,53.712686394076954,54.10509394536801,51.26928533121757,49.340273380447385,54.19652555879432,51.634353908395006,48.36161853140508,46.91747774555327,52.30766161198497,50.65994476829083,50.346065136437225,54.33682344220133,53.63428842593135,47.495576547332504,55.884795546731,53.71933116182163
Macedonian,37.05999992813987,35.71402565401603,38.79669067666512,41.252545583919456,27.994607121422693,28.53669279341071,40.85775759236712,28.36323419744638,32.18626945064718,37.4939783911696,36.77195224798753,39.348922793300126,36.61541756541901,35.93006612458507,38.80688175130269,35.76197535430176,42.862669139890365,42.42864592086444,36.905763652851576,36.5187574471339,36.66109488644568,38.34701620742554,49.879514189597856,0,40.098729715666074,35.292426805042936,39.50763519288006,35.41893665790827,38.273201775207404,34.477405157863515,35.74275081982958,36.16896159025705,30.838980286297883,26.84523625666433,34.32983965248904,30.30364498915033,33.76371491476551,35.106660077390785,38.57879400612271,29.800823146671114,37.12514028287922,37.69908233944675
Marathi,39.46626201796099,38.039891260161376,42.266874101265735,38.6671801601591,42.31004600992051,39.43567397243385,42.82070924673966,37.98286273217064,39.36191959467365,38.35344158348775,39.11092665585655,40.71083480642464,36.90905853836209,38.07079192416831,40.83481888991321,37.783833858620405,32.77243305844342,35.51929340376717,40.89903823477965,37.81776676260583,40.0353758485139,44.16242735303701,57.53857721770837,40.098729715666074,0,33.193128510139495,41.342916877269964,36.012266960967374,41.1804517457369,43.68583752400817,38.235034647418054,39.738187411048514,40.70982292033384,40.70757003772602,36.137671087407554,38.44576557296453,40.39709030890932,37.270484488073,41.39107830853286,40.11431392900346,35.12112497100483,40.39393541674106
Nepali,34.650003857635355,32.949179194689286,38.498422907689154,33.96350415357501,38.13470771821733,34.635212524573575,38.92351573289073,33.01403276720894,34.518275697277446,32.98223417953103,34.22924332802001,36.00835528502012,32.17695899048499,32.4776845246799,36.66329663783121,31.885614470480906,36.030281166667116,34.93110589210018,36.062089814417156,31.869606752840774,34.43821210260992,41.642862636124946,54.587903484683395,35.292426805042936,33.193128510139495,0,37.24841444275154,31.118168397667528,36.547969230452544,40.56405072637651,32.96639408816003,35.02121402202374,37.14681324074483,36.86787476810071,30.03177548888217,33.76478739579829,36.306798035732896,31.432224863070818,36.20729579799047,35.528399255489525,29.604918586048335,34.897889276403106
Norwegian,33.65204456157338,37.57369737044618,40.500225996951535,43.94132781384708,40.45657205417848,39.21845365466733,39.87545802184425,37.57564985225113,38.371877015185184,30.59430729730793,34.48993091914538,35.41916680379567,36.32524696401972,36.405289414088095,36.871131815447576,37.619687707118395,44.63893903512134,44.09955352333106,33.2142790526839,37.07469821788598,39.624534071336214,41.85756625029146,53.712686394076954,39.50763519288006,41.342916877269964,37.24841444275154,0,37.116351307866154,40.38239761752719,42.19692443739841,36.328310255475984,38.1759627348295,39.52733659893809,39.37716240814026,36.91922173573595,37.176263055897195,38.79975678633084,36.47889066501563,29.039147419327627,38.59512624879884,38.06719226559365,39.85318353535497
