,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,475.64484622768066,534.0588481334835,524.5134403661943,524.067077542527,500.9862203956557,516.5910775868292,503.33847277257513,497.94468562891706,414.45384260265087,355.12925081454966,437.35596027128594,481.3423364125744,462.5989729918206,450.5643984594676,517.5430670471338,541.9954164873631,554.9407105914082,442.79231684104906,458.41425866039276,560.5615708788546,530.0108466091206,670.793321994511,505.30046442229474,512.4103967444898,488.9081291410744,431.76155288414105,467.76982461030457,537.6482511229456,581.5793741331677,481.3478049388433,531.0556468535225,516.0424923022084,508.47227845638497,469.00571425379485,494.51906892428735,524.0944437383846,503.17488212867386,446.334097077329,516.1150709823455,503.4749776418542,522.6948072445933
Albanian,475.64484622768066,0,531.9345209319615,519.540052360762,524.0484341738046,501.90511751334066,514.9680104502369,497.4598106688164,515.4659053892487,493.55364612932425,503.7358018016891,523.9989180982383,470.7962057550478,457.73055754507095,527.7325047899129,505.49178660083544,552.9848741013783,544.4695054096005,506.64841805096347,464.71999666783336,531.4096739970107,555.0852049557316,673.9723849952508,499.45086210877827,512.9117440164287,481.9408281184881,508.74765305301077,470.09913271067325,529.212197742752,585.9883130676452,485.78294674971454,515.6884415985279,514.9946762013666,510.2100850896464,446.57250923217117,503.50652510990943,531.5844295069664,488.5239647570569,519.6715457076,501.03984803501606,502.9074471972845,528.3102526884538
Armenian,534.0588481334835,531.9345209319615,0,578.9765088134383,557.4813167096323,559.0546187737883,580.6777600813884,542.6625862550886,561.2645087640052,560.0835474791882,562.1110336211591,577.3666690285087,561.9372341439554,533.5122969302981,572.4607965382311,560.9763925642103,601.6560337709245,602.9727423495708,531.2990485514915,546.0281582760335,593.2673981242598,571.8734433846571,664.0109633488148,544.5321852906818,580.0045181714129,557.6010651429654,559.9300721510622,532.4611945145344,555.0880381144593,618.0896713988725,554.4162334799563,568.8342130230794,560.9085261362545,546.5342784549997,516.6999955719432,553.5899550841579,590.4142042270375,565.7453589170725,558.6481686026593,551.9595035574897,560.8106860669939,565.2284210243353
Bengali,524.5134403661943,519.540052360762,578.9765088134383,0,566.2333509992085,528.4413180483598,552.1346451240756,533.4338784303491,548.1560017710194,538.7911034312084,545.4527241600044,553.7690223500608,527.063072869366,509.57680680602954,564.2649210729551,543.4095045436823,470.50954449100925,468.84912101847954,544.7563483091345,519.6096078946874,570.4492202183994,585.7699174416323,695.461820680254,534.0492292336259,467.5608892572436,432.550234449972,550.220492922273,503.1705733497932,559.8965050433729,603.6218730771959,527.7418583390574,566.4090543740664,561.2745600357953,546.2381149550619,491.5600308465463,539.2863633807083,554.1578273077891,525.1808795882888,550.0385231178615,549.7259372690962,450.72150281261196,575.8270603513768
Bosnian,524.067077542527,524.0484341738046,557.4813167096323,566.2333509992085,0,434.85512315846347,574.557007831356,333.9987242426996,448.83365456958825,559.5047693672809,552.8204315820268,583.3980364497551,555.3506423038522,527.0599611021437,571.5483115531579,572.662595381994,593.5564376068914,599.5657002836565,524.0230917526216,563.2984004178952,560.6519710124862,528.5222542930829,600.5136444014439,381.1951660897675,578.520931081884,551.3644191376669,549.7565898778481,543.5092385419761,540.9665438737134,480.99316195285365,542.7577097616035,545.906608225921,421.7581894400275,291.0801607875859,518.0283284748326,426.45257304457766,457.24107354543213,546.0518641199934,550.8899144745218,407.7614749022513,562.8030190156514,574.2873191103156
Bulgarian,500.9862203956557,501.90511751334066,559.0546187737883,528.4413180483598,434.85512315846347,0,531.6849493821496,392.2583426177551,455.7288203032787,518.8882944908131,524.3175787786336,549.0771741464581,517.4717272319623,488.68512725005604,547.4923444165984,527.3911273246639,549.1243753344854,553.178193824083,522.2936499168275,507.50956732920264,536.7277806386734,556.1047713815514,639.4707021983628,384.5617185439574,531.8781542250539,507.7742974437585,536.0103533887172,510.1011714542267,546.5716578854989,510.1700006622405,511.1094893786352,526.6098379843376,456.9972492197422,416.70191251033475,484.2358535309656,434.9807088809974,471.98721413282,499.4005253216504,533.1137126309206,453.02890165611615,511.9733987656038,541.6111092283057
Catalan,516.5910775868292,514.9680104502369,580.6777600813884,552.1346451240756,574.557007831356,531.6849493821496,0,531.4299907785621,550.9310568248173,522.2530825303611,541.4925186502973,545.1337314629052,463.5013373911245,400.23970021788205,558.3407019022858,537.853343051475,584.1208374680629,580.5696837514159,537.9392633494327,512.8271476449177,496.30303724818424,586.0549906556324,696.5910827651134,542.9189319841677,547.9266154013704,535.7444742615994,521.4766795964783,520.1171647998401,576.2839717158843,612.4391157230955,439.91220998593536,501.7765452739418,562.1886582587665,550.3403638670943,512.4037876505739,532.9406709706159,553.7076627890723,422.56285075658167,538.7156363560728,552.6722321027725,544.9751440055167,576.0358176071237
Croatian,503.33847277257513,497.4598106688164,542.6625862550886,533.4338784303491,333.9987242426996,392.2583426177551,531.4299907785621,0,421.38271310554586,518.9717900720159,522.4307804366341,549.5806156782833,511.45826406298727,488.58341088321447,540.8523123146242,527.6215508461592,553.3808735162103,563.3097602776194,521.1276788763188,513.2325271846623,520.2911406330901,535.6817333651402,601.723920390441,397.92921021666666,533.4074205612208,507.8751723457867,532.5771235010144,504.4890306754261,526.2412613850462,475.01816734968764,513.0299040103417,513.6352034275303,436.4371674081332,316.09174558044555,482.13730761783916,405.4029446397495,416.74089618702664,501.8509692118061,533.2979040101914,414.85136043338593,521.7130230783348,538.9143963324921
Czech,497.94468562891706,515.4659053892487,561.2645087640052,548.1560017710194,448.83365456958825,455.7288203032787,550.9310568248173,421.38271310554586,0,520.1691033159783,539.2107926606852,552.0892002405204,517.0872792408866,493.34507984288075,566.1421853528547,554.3033902037854,567.2288100652149,573.056935463902,523.5123053429497,517.1024368986047,562.3962723206,530.4801179622352,638.1641071505635,456.30587907651574,551.5236986864192,517.9734968131759,535.8926306754536,511.526997451323,552.158116017719,472.99386886063127,522.1582826171979,536.4030464385605,448.3192039740876,435.01603240646386,492.36629565645785,347.15291076124595,487.0637861213804,517.3620126314145,546.5897863616167,436.61965256768485,528.3174862182408,551.5588550829204
Danish,414.45384260265087,493.55364612932425,560.0835474791882,538.7911034312084,559.5047693672809,518.8882944908131,522.2530825303611,518.9717900720159,520.1691033159783,0,467.01052261807916,449.7985410074943,481.86903726774716,461.90936738204897,457.8525424863161,533.4062237526945,550.5877762620919,554.3303929106501,436.3298654885578,447.94675239154594,567.2029212913446,581.2186287392268,711.185111076008,533.2478196412667,518.0016610041648,487.9648216630907,398.6419308308407,472.9897720458737,541.9615039370848,608.6883241553921,493.7203186988328,540.6173929609929,548.291351257553,534.6185529229864,473.00554474436376,511.1729742404515,534.3152205767436,501.51521348689704,431.48728448889165,535.2058606399029,501.77482393572825,531.1234718274957
