,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,83.76708987280489,89.34503849518148,84.84449184460203,86.28627620544503,83.50589901705672,83.25870750198807,83.76409826743084,83.91313727926796,77.28188057758787,69.08115614625227,79.4289767114097,81.45900182534923,82.15105380253641,77.95339651562045,84.78430469043292,86.19951475630042,87.4487546112532,78.09016283786247,80.62351102401215,89.5453361371156,86.89562336770311,97.33250727354522,83.47527428618183,85.33197462927005,86.7140569791117,76.27805278841186,82.7065917220184,89.76830177261364,89.48361053779293,82.78849506862953,85.27119008779742,84.44571908454654,83.77295825808352,86.82629823144764,82.7259484110634,85.07860634525797,85.87409098537331,78.17990591883637,85.06431616541063,84.73917934342226,88.28332945577965
Albanian,83.76708987280489,0,90.76610345967998,86.8840407941073,87.33297014887964,85.87341197508192,85.37117769475628,84.8467433882628,87.68795557254778,86.30643232541162,86.3631300306513,88.87042469138159,82.72080887801246,84.21049250198142,86.87091273463979,86.89471600306113,88.90813721647005,88.89697005529133,86.75904120460415,84.50958308211516,89.41543879375024,88.90773433970672,97.86498252001984,84.53134548708411,86.79014974209863,88.21260978432888,84.6645409382417,85.72285783138153,91.91990271855515,91.32075428325945,85.07917772004934,86.88323205694745,86.30567389768972,85.09575436458573,87.99398178332585,85.46131399734489,87.01970627216497,86.45328328322188,86.55572844337325,86.30376796812284,86.88704324492096,90.89804134633691
Armenian,89.34503849518148,90.76610345967998,0,92.93750976024162,90.80040056253011,91.6828493378665,92.57574709728763,89.97206658258229,91.8075819969896,91.75634922809515,91.93664267133627,93.78750974323707,91.56982760082283,91.36527562912364,91.94922456643305,92.4153293370836,95.84860177165719,95.71416372184758,89.12201728394967,91.29000480512988,94.60716084665864,91.41598044743182,98.02174021141963,89.85260464944717,94.76602711924224,93.28878076476542,89.89697033142902,90.39281639292169,92.96061512601234,94.91110494724244,91.60710619539577,92.59753491596435,90.37537337363784,89.84469878942,91.9496231671003,91.06638574243306,93.9889991584845,94.09789229593633,90.55511620524376,90.72198197495094,91.73651656247884,93.70131592543231
Bengali,84.84449184460203,86.8840407941073,92.93750976024162,0,88.82014610320441,84.42341612278734,84.68692648714192,85.49595446076387,86.8950140318848,85.59547584190742,85.94842236424792,87.12871227723069,83.3011568957656,84.44426663500754,86.31668041516171,85.47449679751783,78.30615206672631,78.67001878084484,87.40779260687027,84.50465729949791,89.14773851353802,89.10783376115185,98.89784138722595,85.76079608356466,79.17876347550998,78.99044308944126,84.26609826917937,83.33046074719505,90.76653988420958,89.7611396428945,83.97490748022041,87.47451411579549,87.41772451571718,85.71012449174957,86.43617622334496,85.1760366377393,86.10871004305967,85.34789510665905,85.72507854135769,87.42025610791666,76.91591799041285,91.22016934963692
Bosnian,86.28627620544503,87.33297014887964,90.80040056253011,88.82014610320441,0,77.77210062164866,88.190969094498,70.01736644738963,81.46747328938078,88.86392187285824,88.82533932993395,91.68781029459836,86.79999085749692,86.61827354036947,89.21662280826641,90.70957060666893,92.38054779572896,92.76018971324727,86.29196035641264,89.91904202485007,87.73195422446251,86.09608643253274,93.41585519285849,71.89128705771114,91.28210930393288,89.79079732244008,86.18918253837211,88.73479795902749,91.90842698880721,82.72668682981951,86.4203475256068,87.88653648081753,76.1778372502502,63.54519093542025,89.27900049411309,78.51458000062439,81.03646283719297,88.70173028463978,86.99169697222386,76.0420655720252,89.36467510652454,91.92320961833634
Bulgarian,83.50589901705672,85.87341197508192,91.6828493378665,84.42341612278734,77.77210062164866,0,83.42303004944421,73.43053837213495,78.4382883584513,84.03340584709916,85.86572665560047,86.73121169772834,83.39148069885788,82.8041038139199,86.28193061028723,86.11811085729774,86.18455936754825,86.5662671704386,85.5396228924708,83.94759888335975,86.89220704628465,88.36012198875117,95.20772532895208,72.93188700708986,85.42700430663196,87.01164541441976,82.80409536775178,83.87704671919258,90.01929730324116,84.59356325867394,83.90293284067243,85.16821228804858,79.20638446912201,75.58795738469537,87.39270749231562,76.93341364136758,80.22325022039325,85.17528429408773,83.87981994871274,80.0383767663604,84.38531952620377,89.15706494499078
Catalan,83.25870750198807,85.37117769475628,92.57574709728763,84.68692648714192,88.190969094498,83.42303004944421,0,83.54576083367411,85.22181084937786,82.20929336949249,84.51017879616305,84.21939325372837,77.90888476165934,74.48620225465122,85.02745826001605,83.92837237868535,86.66223711444712,86.36642708572006,85.82254045960728,81.77344456782943,83.47942590678343,88.36641845008097,98.02162439438581,83.88407461118636,84.84516286328963,88.7686145665383,80.22345723587524,83.79712310469341,91.51053904373303,89.59587368126618,75.5361320420352,81.27697465872254,85.76165705030273,84.59666396209641,88.21048098467486,82.2082619146778,84.1077006453539,75.61399567350288,83.2085461140048,85.79327155602716,84.49518658397983,91.1575546213694
Croatian,83.76409826743084,84.8467433882628,89.97206658258229,85.49595446076387,70.01736644738963,73.43053837213495,83.54576083367411,0,78.14065234696228,84.5570458922431,84.97468909522475,86.39944206720452,82.21271530022209,82.93937734261466,85.12443593540556,85.09234336334033,86.5013907722641,87.70827552570405,86.49174280502149,84.25361307300264,85.03407137287168,87.2521660689888,93.45190758512935,74.03584103031885,84.91663227534433,87.47868011592792,83.59138825504978,84.23521270782112,89.98161800763273,81.2935540357459,83.87667688586394,83.51113738696266,78.50068275039067,66.9269695470657,87.53538879997843,74.10090410395028,74.83299647133046,84.48928474131738,84.82257088403331,77.20355566728544,85.18334366870772,89.81651231620712
Czech,83.91313727926796,87.68795557254778,91.8075819969896,86.8950140318848,81.46747328938078,78.4382883584513,85.22181084937786,78.14065234696228,0,84.51823975406619,87.26708468233298,87.99860391224615,84.15666993719577,83.11926146250899,87.78587584807507,87.71347895405874,88.80774788615008,90.16754523277966,85.67136701398,85.19100264610196,88.32756374131998,87.09329256423085,96.83957782641636,79.7955943589408,88.26524651309195,87.75519299862708,83.55109158029673,85.57144696082483,91.33894455096413,82.29459539890256,85.01812827991165,85.41030457378123,78.8470265906338,78.69220727152438,87.64713119979425,69.55058507116165,81.81002577249897,86.26658111803641,85.77789257543971,79.18415771845298,86.99745445847165,90.68900883459747
Danish,77.28188057758787,86.30643232541162,91.75634922809515,85.59547584190742,88.86392187285824,84.03340584709916,82.20929336949249,84.5570458922431,84.51823975406619,0,80.47389863919517,78.66977566926721,81.06579234253641,81.88762348342878,77.1283532640087,85.34018126658772,85.5408899721243,87.61587186868462,79.01304827441531,78.60386489037869,88.7655217158179,90.60009806152159,100.53611871557699,85.83364309395101,84.03930106803338,87.39606822117743,71.86047887347671,82.70435666098616,90.72202111004866,91.3573755921032,83.13887983767123,84.69138145994462,86.87843892183562,85.5300610093133,88.54406409387906,82.7750023416797,84.19679972170827,85.33319943004352,75.80928355417313,86.74419292396772,83.95657914888012,88.4516711858634
Dutch,69.08115614625227,86.3631300306513,91.93664267133627,85.94842236424792,88.82533932993395,85.86572665560047,84.51017879616305,84.97468909522475,87.26708468233298,80.47389863919517,0,80.18182425005757,84.00128901304745,85.24089362946171,76.5698865050617,86.27977979125977,86.73399724903469,87.63932567460112,82.17727659899144,83.31142855405083,90.99347030687038,89.5204170792153,97.94179409353964,85.7696347353638,86.03905231587771,88.60866876440106,78.85341862625414,84.82021424676833,90.74633323664175,90.95925792084878,85.08414472929934,86.62414753317978,87.7486480867906,85.81551325585328,89.5789725774321,85.65963236653614,85.6669730086213,87.01336111554957,79.94905462247225,87.46094897009702,85.88940501300307,90.90962839247851
English,79.4289767114097,88.87042469138159,93.78750974323707,87.12871227723069,91.68781029459836,86.73121169772834,84.21939325372837,86.39944206720452,87.99860391224615,78.66977566926721,80.18182425005757,0,84.54105960524389,86.12404388046656,81.7015477503611,88.01016217915094,87.53774114318968,90.81442677713433,85.08282517919731,81.57181270465199,91.55489068423104,90.97435706377401,101.1445453171663,88.54527853557114,86.73651117258129,90.16491671478104,78.0653141811235,87.23287345816061,94.12494723000867,93.60284781210227,85.3617498787794,88.32561216128153,89.0392635608598,87.43471471086653,92.27769647277763,85.02089673525637,88.07539522074563,87.85833217098359,81.5024410166097,88.8114045188759,87.20342046026025,90.84690791502668
