,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,93.24166891035192,99.134393437923,93.37598383183855,92.79100213986808,90.22613984429364,91.19561384575816,90.70515710584492,90.465393082979,77.6171308314106,69.0926774601019,79.40581281877363,88.36949275451718,88.0995074066357,79.38496033845499,95.13674377355255,93.36763781314147,97.96139365839323,79.43874593807138,88.65511553608184,98.89036603269895,93.44631297782793,108.0775250258975,89.50965097435558,91.75203896385345,96.14048099874985,75.49453140437097,91.09924498148371,97.7256053789017,98.0060842762923,90.78633571170585,94.1803715053841,92.56218273718204,89.65412161551004,97.29141000854025,90.9387911361977,90.27036182825044,95.02549811784377,81.3430507894228,92.19856890723449,93.60699019437119,99.27295340815856
Albanian,93.24166891035192,0,97.06613730705136,92.69726296321443,95.03914888419264,92.37185655506927,91.85392696905076,91.49635263716374,93.82101674665016,96.27343818521499,94.98388993509393,101.33213468905988,90.18529476638614,89.4543725796377,95.14340928369481,94.69052007829761,96.15285797626616,96.51260626203786,95.50706330814833,93.31910983481862,98.27467219870344,98.1574970094917,110.34583219883163,91.60928533458701,92.8643644385153,97.24026729262317,92.45629184103267,93.08606328531091,96.2787934171236,97.80126629620631,93.30963361274885,93.45536076161775,92.79298746008759,91.66032114263784,96.58909336672771,92.47079174256118,91.65333135469626,93.8338773444285,97.07253547877042,90.82246476522774,92.54497178139452,101.41078750529175
Armenian,99.134393437923,97.06613730705136,0,104.61733727203833,99.33460233736555,98.83997018496693,100.82454012785342,96.7219010156884,99.38656130601947,103.8336920064607,101.67700036243849,108.91309542387896,102.38589167923914,98.78190181296331,101.60250166894544,101.22325955399775,103.54845455683935,106.2543406678054,96.98604912671527,99.68410817363724,108.10049754556503,104.4512357636295,110.97524767963381,98.18179141700729,101.55041491714934,108.67774754305657,99.15947388000711,99.54042615594706,99.2461272248403,107.27976162163606,104.06755923157749,101.75746398811205,100.7367277433957,96.95792483650641,101.78085460869693,101.3247713518416,100.23089680396296,103.6952547271196,102.26643868293364,99.59619955657419,102.87720712279663,108.26931611880414
Bengali,93.37598383183855,92.69726296321443,104.61733727203833,0,95.68148235383458,90.55378549337162,93.29782495741152,90.276357967937,93.26358049223442,94.28430118897131,94.31594125431356,101.248086958787,90.37167255841729,90.9529442353497,95.24215576770456,94.5492932532182,81.42436389549361,81.44336520269722,96.13238042980487,93.44692447739105,97.13546386755328,99.83904896967427,115.3536517459777,92.34205798437424,84.6167961790734,82.72149536198083,93.89328920205425,89.6984777972001,97.27181474391442,98.39383555580174,95.2658318512275,95.1458476730389,96.06403081678097,92.18613335508107,95.73064273125073,94.43605469722844,90.09657158226433,92.84187452784302,95.31709187831021,94.14496294938854,81.53208693380607,105.33355621608469
Bosnian,92.79100213986808,95.03914888419264,99.33460233736555,95.68148235383458,0,76.43380178020512,91.2022341823047,66.58773335232819,78.99251329080008,98.229370089818,96.84964994018715,103.47048417111652,92.71421778819047,92.05981542190545,97.7407627804591,96.86569520746734,98.73175924262536,99.93433088507958,95.19042791268232,97.84028119937895,98.06189831598007,93.66009130397724,101.75411630480255,72.02334535935515,97.62360296277038,100.4085218649928,91.25236936508952,94.56641754232379,94.75548004910729,82.69282825591426,97.23121691899232,93.6997736325296,78.07220292006889,59.44548454058963,98.92870682253552,77.67077993625473,78.90992011918553,94.8178729307081,96.91901836591043,78.80709093092051,96.11593283208514,105.74318560230495
Bulgarian,90.22613984429364,92.37185655506927,98.83997018496693,90.55378549337162,76.43380178020512,0,89.19343486913962,73.22689068352972,79.3389979821881,92.46764634545332,93.40703939122767,100.15815607908402,90.38532384377173,88.39491694667343,94.12163962782112,93.40916270797392,92.28614831027757,92.80360932824027,92.81626930821606,91.53092409976355,95.5912071985348,97.10307055716459,106.19949436140419,68.86017331224846,89.7521608676887,96.17640509761101,88.19532617992519,91.14352270337156,94.38296095788435,86.21817224653816,94.11067650172112,91.79055247555827,82.10158133893005,73.85584970281306,94.92707091593857,79.10830577597609,79.16928973856714,89.03792221116436,92.6720922841543,79.71579743654246,91.16664210054184,101.02439024358232
Catalan,91.19561384575816,91.85392696905076,100.82454012785342,93.29782495741152,91.2022341823047,89.19343486913962,0,86.7274770325838,90.40589090502401,89.46077796817316,91.79507191123862,95.7428394605134,80.25771111455089,74.95803878422802,91.42596759733476,89.95781379067894,95.54173338055251,97.1695167747709,90.66390944273633,90.92736488062602,84.71086861724592,95.35587585047666,105.40430598562104,88.6529542849867,92.20953366606537,99.97660716013978,87.53157534847023,91.10772025211222,97.06936802601308,96.20833386283647,80.9224509014482,82.70886335970678,89.82852708880294,86.45684123854826,96.90336818684389,90.32977225973096,86.99481477644008,78.35344310323742,91.93753401438298,89.3359541034478,94.13969355076688,101.42504405145024
Croatian,90.70515710584492,91.49635263716374,96.7219010156884,90.276357967937,66.58773335232819,73.22689068352972,86.7274770325838,0,75.62078723781256,92.53284714598871,92.45092553460282,100.25240899968792,89.27872576992527,87.61733118074397,92.63152185493851,92.51025556091307,91.89653254639552,91.68150122517748,92.21261694596848,90.96075090206858,93.88923516066963,96.56543492846683,103.54752676202023,72.17478091939174,90.9235666561891,94.85904390035611,88.573127203916,88.46585110676375,91.40051401972188,83.34381245276452,95.06694991725061,89.94023730845042,81.54545315158101,63.72868456578253,94.19855262635161,77.60364190913548,74.8497559251959,88.83232615076284,92.21410090837024,78.33647219677009,89.52619223039694,100.55879206837183
Czech,90.465393082979,93.82101674665016,99.38656130601947,93.26358049223442,78.99251329080008,79.3389979821881,90.40589090502401,75.62078723781256,0,91.91938680919935,93.63270495015543,100.50470089213496,89.86177042991508,87.86041959811665,95.34373796987703,97.08224104403031,94.69419178569214,96.27023212221921,93.91307736429235,91.53635718653338,94.59859064067922,96.30906267384702,109.4397756060739,78.50078549405949,92.14431533403211,94.9427463486804,88.7788270484646,91.14435592111604,96.63208072671945,80.43434938160667,93.60629246604726,93.86997760216704,82.53188765100049,74.57379866894895,97.15658983465076,66.76298526765493,78.89077393929459,91.27990563985026,94.47529346343221,78.37512861597313,91.94036043717117,103.01140603538546
Danish,77.6171308314106,96.27343818521499,103.8336920064607,94.28430118897131,98.229370089818,92.46764634545332,89.46077796817316,92.53284714598871,91.91938680919935,0,84.22361815208355,82.01118906121069,88.06130612367684,86.90658208464798,78.04960030257548,95.503368485587,92.73214738985152,96.21605948366228,80.83102356565391,85.09377815601498,96.39753391895395,103.67613862399065,115.99251927910193,94.060584458064,90.40141429692528,94.31225867885168,68.44045677674455,89.96955150991897,97.20145770083013,100.91418469179483,94.10335943516452,94.47092352739548,98.46551697150352,93.76717704664097,98.80577030830419,92.93600994528555,90.49700654060479,94.1092625880524,73.77497762998635,95.38159703870068,92.8862021252088,98.83693598601891
