,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,91.1893699411472,97.63858148841547,93.36925439381167,95.09190783377957,92.5836633139768,91.01857582984795,93.66831638219392,92.80449660670187,84.79677660469568,77.388175694021,87.38758317088588,90.0271659204587,88.77492914165548,86.59831988551902,93.2280607353893,93.35543380533572,95.86463128825359,85.12857296650148,87.86380573018906,99.76251190325985,94.99313578360324,108.61856595310337,92.30608346490675,92.41388459382169,96.71773533830054,83.91097009566013,89.62800346769824,97.47992481420411,97.44239177546753,92.20354492414965,93.39025770930142,92.75092610730415,92.25597055791773,94.89347759324262,90.3625006402192,91.8011352980326,95.13497599930221,86.84802977718378,93.85998618008789,93.5128815905918,98.73012992711583
Albanian,91.1893699411472,0,98.82742345221239,94.84765675028234,96.25052841021784,93.41852093343589,92.8622737758823,93.00352900659934,95.4298858223436,93.72282653068461,93.60592024693206,95.66059317234215,90.22791720146071,91.29681063617458,93.57776966686721,92.79213483502637,96.27506193889649,97.33436169392351,93.06170907671569,91.60018696129414,97.09199393784475,96.59904257158979,108.58732846873214,92.47053727282405,94.57967242227402,97.06728849283591,92.22566574543796,93.1844436864974,98.5422970873029,98.15925856369792,93.00928418459605,93.96457138835487,94.16489673872836,93.2648497120834,94.02775925180542,93.28973417470641,94.21310035792966,93.98550426970158,92.95503872357627,93.73438445111138,94.9709675830106,99.4739284034615
Armenian,97.63858148841547,98.82742345221239,0,102.76834480990647,100.84423001318774,101.90300243979378,100.88271289407083,100.88552403229257,102.35924751026336,101.8468525589883,101.18574956432617,102.83350844633081,101.27329684198276,98.9174553082968,101.12849284037162,100.79607962574474,104.10112050009002,105.1590777699302,96.82455631148751,99.52941788626289,105.5961180838294,101.6313620717345,110.99654625660857,99.40746325823635,102.95215639984008,105.84228726003607,99.39124670920314,99.28043532004206,101.50559598279982,104.5021175756548,101.60121401988705,101.18081086916668,99.97643233391393,99.14862500490814,101.90408971946869,99.75442712832952,101.67680500453059,103.96358135243909,99.13863834752905,100.28910118503639,102.80785805916399,105.11939219519988
Bengali,93.36925439381167,94.84765675028234,102.76834480990647,0,99.28865584886375,94.27670393110917,94.1023516868694,95.45281963527094,96.7604439962619,94.47922052395333,96.13842920891466,97.41713146316087,93.53439109032314,93.10172199371688,95.63558412945068,93.72986616073007,88.17166915673391,88.46388568279986,95.71339819650754,93.21605697588905,100.05516517086481,99.3145102033583,110.89178196479527,95.09326888563078,88.5656982012538,88.58325846447022,93.15967826455989,91.76378296435679,99.34484068493033,98.84089455048323,95.63699681850139,95.8032986734371,97.47604903228802,95.97356278209342,94.60290448077161,94.51889764590635,94.98892782575783,96.31130075663442,94.31888983829124,97.26113068729202,86.0210086512344,101.98597680134196
Bosnian,95.09190783377957,96.25052841021784,100.84423001318774,99.28865584886375,0,88.68335049837442,97.76551640613441,81.90370628191096,90.90856860983534,99.19938601090305,98.98308876447983,101.4359251042052,97.74685335614551,96.01270977409412,98.44037746339161,99.00240472771472,100.6894331315641,102.26289455419733,95.030593480551,98.57324354017982,101.18257092634903,95.35792595473967,104.49008813685171,81.47870193454608,100.00417056048502,102.20808288417628,96.27244206993683,97.64891025701014,100.01782276954307,91.77427614002673,98.32049577828825,97.2888203730624,84.83556097225664,72.58703244092574,99.20408738160559,86.97282189728338,89.06347819516246,100.00320354097832,95.73222087998222,84.21661841152682,100.2860912490573,103.13399933373829
Bulgarian,92.5836633139768,93.41852093343589,101.90300243979378,94.27670393110917,88.68335049837442,0,92.29154013335011,80.28707577489321,87.62116878849457,92.96803298676375,94.19563980960966,95.61793592753429,91.70995956488092,91.95636433607818,93.45910346258624,91.31325948552221,96.51911231103468,96.79331664781249,93.59645890601108,92.98905143647707,93.65975744525706,96.04757956662534,105.71072675207066,81.81344727897257,95.49526353319338,97.65712807094853,92.60866120497928,94.01312542314814,98.53412522730582,91.32849460459799,92.98218525975535,92.91798253804737,88.66821561248689,84.3930561427401,95.28169445786584,85.43957553443965,88.99674798371383,92.48972171432682,92.75273171989842,88.005489693481,94.21718125105086,98.35577395379492
Catalan,91.01857582984795,92.8622737758823,100.88271289407083,94.1023516868694,97.76551640613441,92.29154013335011,0,93.04155396486206,94.3328781959687,91.46114350727655,94.48909196922706,94.46896376135727,86.88400101128018,82.5367990571685,93.40801050049554,92.04420498411763,95.70449590513185,96.60256025200128,92.94279518656181,90.81035712442008,93.14508956318214,96.13029474020348,108.36926929572068,93.50207689576148,94.14386839185686,98.78747952788873,89.18279139166806,91.8827756413399,99.23459473399214,97.76797845369114,85.35243212136014,89.77024650825003,95.2077115544754,93.40540605946912,96.66213213597621,91.10418170212132,93.20538135638218,85.62919496074304,92.07841107424545,94.69011509423457,94.74464243345959,101.42637721580445
Croatian,93.66831638219392,93.00352900659934,100.88552403229257,95.45281963527094,81.90370628191096,80.28707577489321,93.04155396486206,0,86.66927924035006,94.79498369162859,93.45953262500232,95.44087242611401,91.16354287462053,92.85590640049234,92.92444527672183,91.87624190160737,96.66511533774113,99.24088779446247,95.03371994239582,94.5072739636998,92.93236082102717,94.76354525179161,104.14058211796772,83.99758249408949,95.03580448761814,98.7380443279613,94.52503965575211,94.90477956694849,98.8419518048713,88.46883328037441,92.95917271749873,92.21825717817208,88.00835265621959,76.48440697064007,95.7770672700096,83.17015876128625,84.34751029698062,93.05953589790253,93.8291985946436,85.86068916315286,95.85664796643881,99.2408683344625
Czech,92.80449660670187,95.4298858223436,102.35924751026336,96.7604439962619,90.90856860983534,87.62116878849457,94.3328781959687,86.66927924035006,0,94.41015413663821,96.33871319567113,97.40081473436727,92.66921232517834,92.78800538910146,97.00962004325123,95.44256052386916,97.41938259383103,99.8639574494069,94.45537691292088,94.51783270128804,98.56034180834439,94.97414728061698,107.37758444721167,88.95689346248015,97.40535404643974,99.48112451954447,93.87354458977993,95.30707010024248,100.77787578581908,88.81711440346174,94.02540056565721,95.06034605397194,87.52419189549366,87.62720054368384,96.86536713547848,76.93688253290502,91.27002264455231,95.28716405287093,94.52018210907065,87.9952746410401,97.29970434466382,100.80797061306006
Danish,84.79677660469568,93.72282653068461,101.8468525589883,94.47922052395333,99.19938601090305,92.96803298676375,91.46114350727655,94.79498369162859,94.41015413663821,0,90.01606620866261,88.11673130360053,89.55908396840844,89.65583352288675,85.89016514041118,93.08119627872954,94.33435557828678,95.84442289585867,87.29168749675266,87.30084626828638,100.52088309690359,100.23300762312773,112.69163767628551,95.01951783286626,93.03530219747603,97.04652571877683,79.19303222052034,90.88606511688185,98.80906347527898,99.64397776174755,93.33488856031204,94.85746421849834,96.4842402248766,94.45433092043989,97.56456660732456,91.59270722417008,92.60521708309523,94.39691951670477,85.3314787669994,96.26842321709582,92.63471950059841,100.14742753842103
