,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,84.87733574159414,89.71569769591187,84.73688213470147,87.3046733751588,84.17244515709308,83.01540151907965,84.67987361545917,85.06134525752985,77.26637776667884,65.88959024678013,78.18053968561117,81.33853472379884,82.6083777367454,77.684823841862,85.23873903884235,85.42369449860273,85.75281805358401,78.13711649884821,80.64123523084926,90.33135719616966,85.89267677622551,96.49068564663023,84.54137215789027,84.63172871932342,87.94938637526094,77.40460502758044,82.21885321661048,90.40731071133277,88.92191670775671,82.55394093413447,85.16826089066733,85.29819449204307,84.69978593632273,87.76522249152794,83.4436755816332,85.74345930704825,85.9459674349294,77.53526914026116,86.13116250647266,84.87961264303024,89.1138514327404
Albanian,84.87733574159414,0,91.63466239828874,87.98617814066175,87.86774791966081,85.79558996371442,86.75126018366514,85.71854438552063,88.90121694472019,87.5953706446143,86.59116078881294,88.32325349211281,83.74359191086928,84.93139885778257,86.66771276870568,87.52892131719983,90.6143249244139,89.03413151157274,86.84279553800664,85.8374403816112,89.2035939171524,89.43035238333795,98.03228672706149,85.0324673111667,88.5251369806863,90.27728716983935,86.45749766336645,87.56634057559154,91.76602078847279,90.63381817388013,85.73141865484193,86.94449619727799,86.65056641594434,85.49834909738667,88.13059703565511,86.66161427022536,89.0308411582775,86.76008861075975,86.28421783605275,86.05659979699611,87.97018243472108,91.41456647571064
Armenian,89.71569769591187,91.63466239828874,0,93.41377794814274,92.422785346181,92.71148321401927,92.96311555434092,91.29011844407343,93.02153380428298,92.8770319316833,91.1920799018432,93.33102568237688,91.56231774100561,91.47335397935502,91.6356204017223,92.5345160737309,95.7218163518453,94.73351444766166,89.38261487274285,92.17119493530552,95.0487407159749,91.47593277078707,98.16452092747149,90.771097579967,95.13201363007478,96.24370406518607,92.59347882811149,91.822415779601,94.04546982101829,94.98033705882906,91.1422554077108,92.1946851151191,91.68765657578709,91.07809509107575,92.83171575821187,92.30587078795422,95.47087260118998,93.52336048136989,90.18286873835754,91.77383809860757,92.84995178851575,94.76126366643336
Bengali,84.73688213470147,87.98617814066175,93.41377794814274,0,90.93099042457962,85.69832294406233,85.09834810093118,87.55438166683342,88.71779503779304,86.32413557036683,86.00673140623402,87.13980256689567,84.36743053423767,85.31674728560054,86.23706478850795,85.64301274690565,79.47320031833173,78.02087228905992,86.57896359044976,85.08260121376064,89.65300073955238,89.78027536676262,98.04165576217119,86.86352576318092,80.23053021210917,79.97134483706681,86.4752288500244,84.41921051901866,91.3128573947297,90.49848085494502,84.5985910185341,87.7496538138444,88.58590421501003,87.6146796664938,87.44352318768348,87.26900909906668,87.78859594986315,85.31348135759721,85.65401834138764,89.02653609637363,77.23371053080274,91.60346517417182
Bosnian,87.3046733751588,87.86774791966081,92.422785346181,90.93099042457962,0,77.83787564941063,89.9324149807325,68.77984605232008,81.46993130207181,90.37751806997267,89.38850646122296,92.04885629762403,88.30702921731026,87.50016098915997,89.51846829580263,91.72527787852067,93.28704639931122,92.87702487902507,87.412911579872,91.3825961452148,89.62612650404601,87.56756162314188,93.73059272400756,71.8546310490745,92.0522691354051,93.36300091748912,88.49347821641277,90.63930271029939,92.23145901769398,82.75623154569607,88.16242020774904,88.02201257517055,76.61182798713419,62.64166572297312,91.25865448408084,78.79579132106856,81.11250950390338,89.20422723877161,87.99070705843583,76.02748550166665,90.91700782870484,93.36043529700007
Bulgarian,84.17244515709308,85.79558996371442,92.71148321401927,85.69832294406233,77.83787564941063,0,84.66966913048634,71.72318029822962,79.16279940233728,84.94330629765892,85.79939617518004,86.54561583866581,83.83209790719665,83.33121280127925,85.57288342337311,85.70450264634758,87.52796351985761,86.5491015676369,85.32611213010975,84.9483214891306,86.06139391333805,87.96156154633388,94.12242512006969,72.16140738254353,86.76749131039945,88.58549939467359,85.15004084050203,85.79719071384596,90.95124000684199,82.84924585307563,84.1293631701828,84.69502166931566,79.24071073902074,75.10783506707818,87.11942062099537,77.09635577984918,80.56592233025535,83.88380677051639,85.43829737262472,79.19133721517765,85.01014832703886,89.2450568244607
Catalan,83.01540151907965,86.75126018366514,92.96311555434092,85.09834810093118,89.9324149807325,84.66966913048634,0,85.52613944235952,87.22676483052734,83.23011346941722,84.62076622953485,84.84935830278152,79.2688484008483,74.49594553094535,84.78485570224545,84.34361366601722,87.10058962968274,85.81240583915987,85.12665700661717,83.23185746331366,83.08407870702985,87.67173693662177,98.1151305017604,85.64259749485515,85.05727954423914,89.99573520113023,83.19801021211286,84.83332141325333,93.09729831294625,90.65566176769984,75.87640213653192,80.79881587757446,87.00020560184865,86.29764683263193,89.67099005622099,84.39276873318114,85.68456189439286,76.15833306897954,83.60933959607816,87.4776015319358,85.29802473351177,91.66486024700887
Croatian,84.67987361545917,85.71854438552063,91.29011844407343,87.55438166683342,68.77984605232008,71.72318029822962,85.52613944235952,0,78.08609480183048,86.4346146276891,85.53967340839432,86.62541408521604,84.093431345937,84.19494445248226,85.26507922452937,86.77352356839003,88.31786822051897,88.94260058586096,86.9723836783563,86.288327513387,84.91016440645345,87.12606130324426,93.00863879312094,73.5164086013246,87.13346315309055,89.64299876764517,86.52143481857534,86.32497421897283,91.08460131948932,80.31502122164427,84.74299381013208,83.98098272968336,77.5149885745489,65.06044345353995,88.79884763514099,74.5841808806153,75.78360426669202,84.93151192752474,86.51781518348565,76.75911305839412,87.26863706264211,90.04587472130876
Czech,85.06134525752985,88.90121694472019,93.02153380428298,88.71779503779304,81.46993130207181,79.16279940233728,87.22676483052734,78.08609480183048,0,86.50520480833646,88.64847683664688,89.2441958947022,85.69124051647724,84.28798674825806,88.69000172859961,89.5274518021006,90.64835671476416,90.63316613586365,87.05386563388703,87.1250167537648,90.1909653944535,86.7013779966466,96.10658609610402,80.75540325622045,90.07108502271716,90.45655530588164,85.72771174338098,87.47114167380778,92.50747560373382,81.3361189585304,85.99810329923326,85.99022339263378,78.9495885592288,79.38331222661577,89.25052655892749,69.06154474259078,83.4787984515055,86.950867780666,87.9653713109967,79.80506838180527,88.60825370251587,91.83306978531796
Danish,77.26637776667884,87.5953706446143,92.8770319316833,86.32413557036683,90.37751806997267,84.94330629765892,83.23011346941722,86.4346146276891,86.50520480833646,0,80.5913342932975,79.112765768699,81.69672990200804,82.23528595814945,78.02592083845042,86.09062926814843,86.52036197733348,86.37047275797056,79.0391501150353,79.85766010879236,89.92259967358171,90.47776553079632,99.91721750861987,86.50992444119703,85.16422014624429,87.72222016645826,72.67773305751565,83.0613641830929,91.64517739456535,91.58951645746232,83.49797667860832,86.15646835710669,87.90599575773267,86.3381420550278,89.07052268481705,84.5325889962009,85.42339829711464,85.25104731357077,76.87036002305419,87.56510097512319,83.96368357864642,89.06812270707354
