,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,86.78305359992449,91.68609907123813,86.90929303810815,88.70874588044526,86.1771921332923,85.50230252409627,85.53168375964968,86.40821900024756,81.72466813629076,73.61221345189155,84.48434463330621,83.89563899139316,83.4435845549302,82.64656183738659,85.76505186026942,88.6991752211388,88.82665619256223,81.73575813278993,82.62417038732887,89.54624631792993,88.81367464365206,100.86938745725497,85.96546608008886,86.5840124803949,91.02302343374744,81.40508810821758,84.49343131234146,92.22129049776616,92.62089308201789,85.84763039613244,87.12302476933718,87.4938887370719,85.6257302135692,90.41348273590937,83.70320088841292,87.34291634581479,88.45740543659464,82.8088479639372,87.35848217492558,86.94244776939796,91.50067580159136
Albanian,86.78305359992449,0,93.074406976613,89.74293893326272,90.22886189822512,88.3267771553379,90.00832419343594,87.91710935515793,88.01513792929633,88.32152790248355,90.22703145944426,91.60752614365617,87.13032816792132,87.10502408941461,89.19871009333667,87.85006579855876,94.1327873269493,92.45412238859967,87.29957756427723,88.12073544850541,90.66394391003838,90.97949901856256,101.02460163276723,87.56608671186878,91.50282316886835,92.67537404762496,87.67437070161176,89.03774475022242,93.60128937956132,93.59949974701236,89.15805786534409,88.93972671507167,88.43535777448318,87.73032803370522,91.72025253867703,87.4157596757513,90.35546273435871,90.36697883524549,88.21677074906555,87.7779940478696,90.12006204964689,94.63530372768686
Armenian,91.68609907123813,93.074406976613,0,95.54611234955492,93.75930006657009,93.9152992174961,95.11938741488198,92.9862707488392,92.90102714069529,93.84083206002225,94.7441069157813,96.00044662313736,94.86430986973645,91.36049165368563,92.79116336468793,93.27974070288472,98.30225982010127,98.65982250761672,91.43391826989624,92.9504525898332,94.4619038623865,94.23753652680696,101.87422334894387,92.52481583730723,97.03165788347081,96.90148802707112,93.91672045605735,94.30800021367646,96.13419196328157,98.13645686069235,94.5609238575018,93.2412877205663,93.11908034767468,92.09156656602366,95.08368929338737,91.7935751286178,96.58317798468173,95.48552941143258,93.86842844536044,92.6957767198088,94.8307982197752,96.70302706462674
Bengali,86.90929303810815,89.74293893326272,95.54611234955492,0,91.36631300759541,88.73566407936666,87.38035554929111,88.0309986391922,88.32045715732711,86.97553984322502,88.98103698976401,90.17537596676367,86.48423394339147,86.84682503822687,88.28060779974764,87.96991001923357,84.11929565200842,83.38433969515613,88.61878031714356,85.28855415382007,91.2410077679498,91.17887316582609,102.46122019440689,88.23231242823371,83.4151980879904,87.22584354756884,85.94397911507214,86.61221816100665,94.38196726709309,92.61041672461336,87.60222607335578,88.70378764254816,89.98332045018242,87.90487318796404,91.22370303734142,86.10454453382884,88.4839258947194,90.33231151007196,86.6501591699373,89.3830622749774,82.08397169896323,95.5530064204065
Bosnian,88.70874588044526,90.22886189822512,93.75930006657009,91.36631300759541,0,84.5901961691784,91.60488561262272,80.08581108888163,85.13616022903126,91.29384372709036,92.90060418799504,94.86852066503035,90.66777460140273,89.18541130297082,91.9999831141326,89.33297711183288,95.13727174100073,94.13654812171248,87.96144731778661,90.97141467347228,91.0371540102017,90.77655179728633,99.16342670035975,80.1891844711266,94.07016196309516,96.2955205965169,90.73509720601011,91.56187259630998,94.34946644631069,89.66869399376102,89.94780697039972,89.34566997332217,82.37065818449202,74.9422213745707,92.91971890210553,82.37540727988522,89.85774854044806,94.02352533638756,89.63307847181866,83.2116627372738,90.83334973318411,96.06273991236537
Bulgarian,86.1771921332923,88.3267771553379,93.9152992174961,88.73566407936666,84.5901961691784,0,86.97183794463105,76.54551817172921,81.87183395607944,85.62183741739778,89.11746484378969,90.02269898526858,86.39157556079942,84.72247853706516,87.24964946199475,86.54405136704601,90.24262755698251,90.11786773982209,86.53828463979971,85.58013962074409,87.88494119498236,90.93091559470321,100.44824114843937,79.686588537244,89.54284424048615,92.41202905542374,87.1840959412275,87.2111661356258,93.44275523674439,89.21636970430244,87.37865285209142,86.73665208458927,83.52642153110308,80.20938727424739,90.0198582850276,80.2624407744645,84.82544753225875,88.30050371996872,86.54825218234778,83.13517779722766,87.87555874923618,91.02855650473523
Catalan,85.50230252409627,90.00832419343594,95.11938741488198,87.38035554929111,91.60488561262272,86.97183794463105,0,85.1826176441855,87.84178663873337,84.80152157515772,88.95665174425855,89.3014858641629,81.80225314047547,79.83564202851059,87.75541017396922,87.76424725594491,89.73243039511232,88.93564736661799,87.54049503571997,84.31070300936015,85.5347717368746,91.92130281114434,102.92890092200156,87.00300679187941,87.20859118738042,93.87147629347632,84.58558166236206,87.55278989204463,95.62238285762773,94.20900997775574,81.98629001122652,84.94148837532312,89.29134314921282,87.68408315485809,91.54998540077035,85.08405178963996,87.3211496034863,82.8382154633833,85.38123904808056,88.5828240284102,87.34311975783949,92.84308439500194
Croatian,85.53168375964968,87.91710935515793,92.9862707488392,88.0309986391922,80.08581108888163,76.54551817172921,85.1826176441855,0,80.96717387015283,85.70628556896874,89.46392029121289,90.27565823022479,85.43355039527482,83.90489209525977,87.78005778411482,86.92399776784356,90.77261069720251,89.52334154903261,85.6458316900918,85.23245474576656,87.41225134370185,90.13601279306653,99.60796124001293,79.14322564125132,89.14399375036531,93.53921026753113,86.00452936593298,86.86994536090073,92.32189574268912,87.40611070337577,86.26503783167354,86.52405186503424,82.36818847750287,74.57869905811253,89.53498784998447,78.4327466077993,81.69544333244409,88.82613935620567,85.59292423962246,81.6962758825155,86.9740381355752,91.2157082332013
Czech,86.40821900024756,88.01513792929633,92.90102714069529,88.32045715732711,85.13616022903126,81.87183395607944,87.84178663873337,80.96717387015283,0,86.75489951263164,90.44662489986678,91.8134294786113,86.08119352971063,85.67576035539416,88.78633515809595,85.82528254298086,90.68259487284372,90.27418553675517,86.60134596149804,87.23993235727565,88.89918177135286,88.72955863934209,100.90963797795257,83.40696605559974,89.98353114348785,93.47340156403317,87.91503436908569,87.39012787976465,93.16929211650921,88.30063354999986,88.0386794112847,86.77763655159147,83.57492536746928,82.24945341418226,90.23226430106143,75.85997235031354,86.53467302835784,90.67034682834205,87.82130437092935,83.46468379244992,87.18866562009515,92.34201958116013
Danish,81.72466813629076,88.32152790248355,93.84083206002225,86.97553984322502,91.29384372709036,85.62183741739778,84.80152157515772,85.70628556896874,86.75489951263164,0,84.07711187283304,84.31848152457997,84.66865398889536,83.51841445925754,80.69603927573169,85.85602186518342,87.29212161387846,88.15362442968944,82.01328643348474,81.41030238207436,89.13857043771618,90.73099058367222,102.27449579457081,87.29896091736191,85.5647838879434,89.8888329278216,78.52165210549634,84.31765729916803,92.46022712702475,92.88801585939633,85.47179567157517,86.22856531600267,88.65390798985916,86.98843249481355,88.96605424329886,83.81368663308398,87.59630646762213,87.4871886428403,81.8464300659134,88.22897092289816,85.54858415181428,90.18944812159593
