,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,756.0729230916278,803.6024817464522,752.1484022858544,778.555926688504,723.8130936900388,727.6699990532013,743.3288503795243,716.2233154009177,642.0142367363131,552.8911239951124,627.158947118239,717.7283663301221,712.1954694426448,654.9823453118935,771.6574413035464,743.0055884436363,774.3993191806912,683.6591687268781,697.0121989556548,829.7641227550686,768.2283683686261,872.7424506740936,744.0472360114826,732.6792013176866,786.1377163061215,638.1009418057217,719.3746881993712,790.1222952683678,790.7597060690873,720.3465750259007,781.9100620345938,763.5324956837162,742.5045385092347,798.6681424407155,722.3745799001396,743.743881281887,742.4478413486221,657.221175955878,775.8012670793555,742.9351645993953,776.69953372978
Albanian,756.0729230916278,0,818.9865160731979,764.9069154517708,801.3908095217098,756.5742255897901,743.0114287699574,763.9387021174675,750.9166864415253,752.1135672143773,753.7059792427924,747.8916089801427,725.3424352876128,726.7125521414097,769.0965440668723,774.9845069461368,771.2519202838616,770.8016753216675,780.570543635469,736.1715891940112,809.5878551091287,803.0764041471878,883.1417155062613,764.8874475394307,741.154487772393,783.0409435089776,752.2101987829838,746.4421464811521,801.8881277087372,812.5860033637409,744.4338140096089,778.5939120324134,784.8347283402143,775.661985465027,784.6504525956575,750.6433363530004,768.0332847076223,755.2755427100329,772.5549261780441,780.7461712427967,756.8461250740744,804.0029597841137
Armenian,803.6024817464522,818.9865160731979,0,819.7505294726203,815.0285549023146,804.139359498074,815.2604120308989,794.9019005356561,812.2821177766316,811.4049255942539,813.2040532337815,813.5137050304203,818.2294100231641,792.896776098445,810.65298883216,820.8374257318662,825.2826934651921,834.7671564649646,788.8135049470293,805.9590413067904,854.9566247968611,837.2802317536381,883.3186182743119,799.239749125107,813.0219419409725,853.090930442613,802.6079423171265,808.9244446311179,812.0336469022697,838.535376191338,807.7096774162636,827.4047341830051,823.8693163356019,800.2221360219868,837.5275184588645,798.6222749719811,827.4857744848351,819.723181423869,801.6563099425086,817.935407611047,821.987343670607,833.1592168236521
Bengali,752.1484022858544,764.9069154517708,819.7505294726203,0,787.9652454884905,728.1199360992036,741.4554290677866,746.7181171479041,750.5890218496609,746.869666712019,754.5197019534736,742.9029074084358,729.2968065228906,738.9563293459096,761.0126687867719,771.9349450797205,632.3471632969138,641.0518216471789,771.7989264569133,734.2201396409969,809.7136562492713,791.8447745718307,874.3024413370048,738.8568446143645,648.1216455974063,676.3602076242414,740.5208719635258,722.527008486966,799.4111197400358,793.6162731604832,737.9682624684128,795.4422216354611,778.9180844642042,751.2158829400789,772.1187384085982,741.7073808563591,744.5238022885901,747.0338003610098,751.5916655059036,780.4450096027351,647.3924768518443,818.572748991019
Bosnian,778.555926688504,801.3908095217098,815.0285549023146,787.9652454884905,0,646.3957240122978,795.7199103163792,523.4613900677161,668.069902876835,798.812443428726,788.2014025196219,802.6971324531195,797.1245588460993,776.1320864262498,799.8696158158467,814.2324474179441,787.9161048788394,815.6149237307923,768.0655715391542,813.69284229792,799.5732609685911,746.3800875705558,780.8690479789984,590.8326832001583,790.5518030480087,834.58922895647,783.5886101850195,801.8807547676687,799.1541586163677,666.1479731494867,783.9229365526197,780.3739577617152,635.7033329039873,477.14104620951093,812.9582168465405,625.3843408438132,660.803521685642,784.1040859708314,779.3501497902752,624.47731750718,806.9926354267188,832.8303943838549
Bulgarian,723.8130936900388,756.5742255897901,804.139359498074,728.1199360992036,646.3957240122978,0,719.8399182305105,600.6833726861147,656.8175207179805,725.9394722949685,728.8196728874381,734.894350309725,732.0257269655549,708.4913989171946,735.7860017455638,751.38594710229,722.3049114259453,737.3892539685968,744.7515580388061,723.1245740129649,786.7489255762366,768.507884756741,822.1611220785735,580.9686977675381,720.045513553517,778.151834200443,731.4019874872474,741.5753417178762,781.1985453541213,694.8411882869542,723.0585410912156,749.762192100015,670.383891772573,613.8003556732984,780.6492638310986,631.7135451912164,669.266901209128,725.2584882429103,732.7035175525511,675.1945877392059,730.6373232934515,777.5376698457156
Catalan,727.6699990532013,743.0114287699574,815.2604120308989,741.4554290677866,795.7199103163792,719.8399182305105,0,736.3710028993102,752.3546532684088,705.2579924205999,734.8398440236635,714.8338532547499,633.8866609350559,587.27141169923,734.8712763113518,758.1676654383975,755.7118331579869,761.0435448071344,749.8905804779739,704.3275919316774,713.4580876070584,800.6811993157459,877.1950202182898,744.0632524508418,731.6381974924338,793.068882003776,692.2613857811301,736.622281574601,791.5100432986711,788.9491054928126,616.0457276465878,710.5227995032398,780.5856705934244,745.4380413471032,795.3822265783268,721.6538213924673,743.7974812874174,610.7426974433603,717.9561025109832,773.2616763810336,745.822716088274,794.4889211866587
Croatian,743.3288503795243,763.9387021174675,794.9019005356561,746.7181171479041,523.4613900677161,600.6833726861147,736.3710028993102,0,626.2147941658343,747.6622746656693,745.9052492495508,754.1853474107843,741.1239780786177,728.6284042465508,755.9684138690483,759.7753951395755,745.3333128243308,763.4535098756837,750.455097431874,750.791995649513,767.4688384110997,747.3106643252241,772.587977385508,601.7845855770805,740.166047550703,787.9065606244227,749.6861483815973,755.0341276250272,765.8427867873758,658.5926817825289,744.4131521939023,741.576825597883,650.4786201353439,504.8028537634992,781.4252094839698,606.3240145966721,623.324201633243,740.4799645973712,750.1872304442782,631.8292383309159,758.0494121778208,784.3557064320587
Czech,716.2233154009177,750.9166864415253,812.2821177766316,750.5890218496609,668.069902876835,656.8175207179805,752.3546532684088,626.2147941658343,0,718.846257973098,743.1426388164787,725.9671957308497,718.5773568391024,721.5090846122711,770.0565653116776,779.3963915527843,741.3573535295919,766.2416424432253,742.7745309040045,730.6128920886392,812.6930969304722,718.3984792388428,811.2606146908132,662.6186858978789,734.9515088539881,779.854651264742,730.2009585542404,735.7909636892426,798.4601898253367,663.6036171430957,733.5407389575854,761.5360242369285,668.5484052601016,630.6926497544002,784.3544856163417,536.5878067235144,684.7486495233669,739.9576164177528,749.3593320610457,659.94220047157,735.8913803698102,788.3199801645857
Danish,642.0142367363131,752.1135672143773,811.4049255942539,746.869666712019,798.812443428726,725.9394722949685,705.2579924205999,747.6622746656693,718.846257973098,0,669.0341856184984,620.3668186960534,694.4357185732905,691.9872203147,653.1567804787089,772.215756640739,726.6628267542018,741.6568491429503,658.8488739927551,660.1766613223214,823.5378628069685,800.0306788505592,894.5094222109389,758.453001168711,716.4832242672614,769.8102220705892,593.917407529181,702.9705265269774,770.9350142047701,799.1681340674478,706.6140570972615,768.4632470105096,783.2028809385212,761.9589813555125,787.2770923170739,721.8858635067396,733.7317668389076,721.6790140666349,634.8482529401109,778.858872730818,713.9048207604434,762.2727339247549
