,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,494.7823177029491,555.6308240098648,555.6361228147277,547.0239409625401,544.1386485269805,581.821503001309,548.274855992268,562.4146419307272,490.56933414435565,427.4579690275572,518.9839046183434,516.0289421687928,493.11700117826996,510.21678644237846,566.8930727426253,598.3400417046868,613.1542761047949,471.6997808283192,509.86512101408636,593.1281627718454,570.6676402264894,683.0561950250845,528.0551960829418,562.5390139511202,528.3891349423367,477.46014893058515,495.3667036474005,551.7890704078109,614.8339776644202,527.6767755697952,558.6364512377597,546.6640283003412,530.4285991916236,500.04106212660787,536.8281274214364,571.9996659329032,556.3726227486715,494.98319526454213,541.1232401949107,540.9313726425041,582.1873041847036
Albanian,494.7823177029491,0,557.0521334723344,550.6545432053432,564.5032513269074,551.7441993273972,588.2716204416654,552.8935335363788,572.7664631133493,537.8554151628649,545.3055422792542,596.0092085590405,514.4879131935343,479.08682242914983,563.2590120134829,562.1104419346749,602.4944806991906,614.8926139674475,517.0082801212124,504.7020329459093,600.9358427279539,595.7836327198266,694.3311329158668,528.9394234047919,560.5647057747285,513.5159198529182,531.4553658192473,487.4232128430608,545.7163542960493,626.6413454795012,534.7193147420089,555.1826300412847,553.8708312002692,542.381052752751,458.3355092734936,541.5535202370289,581.9608745135698,555.56850364181,541.4110241348809,539.3830625405737,527.9852004751621,597.998390822499
Armenian,555.6308240098648,557.0521334723344,0,575.5753679514298,574.1583439590829,580.1942432208691,607.637773924446,566.6124075787051,584.8230087456301,588.3216416684776,580.24462694835,600.3988667284237,567.0292826225597,556.5189412580797,595.6848356520181,581.2176982931458,621.7180831788404,622.7144396602718,533.7072949557926,583.320788335034,611.1981991372988,590.0417177678319,661.6585698242791,555.1409552896106,594.3095897489893,555.181360263379,557.7761239699963,539.6917965784345,569.5701437499116,615.7318305431314,569.4403176764694,580.87306367068,576.5710030428916,560.0962109203978,537.697306630018,570.6587719218941,605.1809544419498,590.6313663249589,561.7095288429106,564.2300903384403,559.4287148024893,591.994683534438
Bengali,555.6361228147277,550.6545432053432,575.5753679514298,0,586.4678886628711,562.4520533893734,591.1056402246677,564.793495053725,572.8263224973538,578.336919447802,573.6982351200508,583.7504388074863,549.1485176070606,541.148688449179,589.1951350322289,574.4670772986508,538.8765515284197,547.7430373229091,549.7774838460954,560.264983564571,597.2917383633053,609.9261382993602,689.9838632886504,554.1240343420791,519.0873217345559,487.1542102569074,559.7984270003003,535.9831501005021,582.0819498569366,619.2514534129534,556.174734933725,568.8817224194486,574.0869020393557,556.5829962642849,535.6502264210329,560.6176224909406,597.2495483128795,562.4407994910628,562.1946367756949,563.4764749991119,490.1981427343925,596.9908067283604
Bosnian,547.0239409625401,564.5032513269074,574.1583439590829,586.4678886628711,0,500.9909904756017,623.9677692023153,430.8232481476531,526.376729024011,577.9431076023463,576.736457257858,607.0712757717566,569.9174797737054,561.6357145555402,597.7517344155489,599.8599063342642,629.8506573294545,629.7459721009386,546.0651615413691,595.6687453222646,591.070676371909,573.5969403291837,643.1914268020704,437.60915425262357,604.8655758839074,554.2659424978106,561.7562648281071,559.3645260363483,581.0996126650356,538.4825666570829,570.6114932691866,569.6321075069224,478.0559931396204,365.4968500167209,552.6636795081157,488.22886087248395,517.3201096799761,584.7847468928582,568.116146295064,466.58666672239906,568.1461859357146,602.2784043089658
Bulgarian,544.1386485269805,551.7441993273972,580.1942432208691,562.4520533893734,500.9909904756017,0,589.056522366311,449.9390040283813,517.9622911366712,557.5634488846028,560.7256120718365,572.8207101837844,545.3757217703494,531.2764179749552,576.9374847340646,568.5747371267614,601.481609605329,604.1826270568736,540.9878371430093,564.4428380889187,564.5547590001174,601.1999650981641,672.2050724527628,436.0156280028101,572.789484470759,553.0670240315782,547.8496455929227,539.7928407605324,580.1265092224634,560.3922074528508,556.4123452723583,553.848752044862,501.0567890970615,463.5463542502363,541.2469950235608,491.07062228323326,513.197502891376,555.7370612472107,553.9692835411536,495.5477057808822,538.4533461930474,571.122876144293
Catalan,581.821503001309,588.2716204416654,607.637773924446,591.1056402246677,623.9677692023153,589.056522366311,0,592.7104076736232,607.8533990541861,582.6110864657097,589.5758986523794,590.3865642502094,526.8908616471033,497.5509905484001,607.7624148092758,588.4926369329127,622.6640271214046,630.3424165364756,580.8026286536107,587.7202100456335,549.9911726574297,632.033793214211,713.0843876349468,588.1478514489721,593.3912247039112,599.0629825244238,551.6620212320518,584.484661418015,620.737560727426,657.7150330270587,513.8429585544012,552.6490050449911,611.6224722128519,593.9411846536177,589.8341115967075,587.9812296994086,613.5660008092469,495.6405584143528,580.2468298357556,596.0975414106264,578.3068528258833,623.9903437791971
Croatian,548.274855992268,552.8935335363788,566.6124075787051,564.793495053725,430.8232481476531,449.9390040283813,592.7104076736232,0,493.9339077736278,553.9798328229165,559.4285589168837,575.6644890938608,540.1529727251886,542.6266036862405,578.8160557616051,569.7687244462552,605.1856032703365,602.2376543005963,541.1862671260342,569.709729767717,565.2969363739433,604.7017188357062,659.8969982871002,451.331432534182,572.1342650295148,548.5578755068286,549.0671881576841,535.1373432342818,565.6672915594897,539.7799503415866,550.8395967936088,551.5866047596899,497.9351681576293,390.245120959428,536.4887020877414,459.7932116558034,470.71881939208913,556.6179347415946,555.9778498125371,473.81432753549615,542.2569602463881,576.4758807030012
Czech,562.4146419307272,572.7664631133493,584.8230087456301,572.8263224973538,526.376729024011,517.9622911366712,607.8533990541861,493.9339077736278,0,557.3624258631836,572.6088100778675,592.8003421781352,553.3856704348485,560.3299774556733,597.8602063239596,587.0838568539551,616.0110955567045,613.3628322408493,557.3293585536696,584.2289558290387,586.4041245332421,599.4045316625405,684.7561393324471,508.53985413809266,596.2089041760672,550.2740249413816,564.3333845657833,548.7401077211082,592.5688602648955,541.165867045427,561.9150269446582,571.8585370975096,524.7332845107284,492.16573363084694,566.3378659382608,430.3232106110556,539.1649045702898,575.4699007935181,571.0035668504275,498.9184841792734,550.9237764146765,587.6518301413846
Danish,490.56933414435565,537.8554151628649,588.3216416684776,578.336919447802,577.9431076023463,557.5634488846028,582.6110864657097,553.9798328229165,557.3624258631836,0,515.8678057025398,534.2325139846782,519.8456199629771,522.6837667219062,519.233809609725,574.6903919235546,609.0863358606584,612.085145120254,487.4574699944219,533.9408898702527,585.2043216390047,612.67098412104,714.5986623779354,548.3687016326094,573.3856158002745,537.5584519297238,447.0331605060125,525.4385302289166,584.6180341139267,628.4157170349579,548.1859455228143,561.5363621122407,566.7639573934938,550.8173258859484,527.9079426728546,544.3548146604139,569.6119576193588,565.068643877613,487.90511045311075,553.4131432966991,549.0280785461937,581.6983042108844
Dutch,427.4579690275572,545.3055422792542,580.24462694835,573.6982351200508,576.736457257858,560.7256120718365,589.5758986523794,559.4285589168837,572.6088100778675,515.8678057025398,0,527.8818723202894,543.8303137508221,541.6776163767935,489.3240237618257,567.6583749714357,602.4222386726378,608.2081981004817,510.88654877701384,547.9117233769808,602.0063956376724,593.27797150492,682.8598717126346,548.5574514450656,575.0050510687192,556.1627980746013,502.6949607834703,539.2823115710967,573.1902039868703,619.481201067385,539.4140844325074,573.4127190356219,578.1927471817773,554.5278882992079,548.6439569251833,557.377052291736,580.8207640651424,558.9650251720203,516.8329322859532,566.195081278862,555.7556861541942,595.4418787982672
English,518.9839046183434,596.0092085590405,600.3988667284237,583.7504388074863,607.0712757717566,572.8207101837844,590.3865642502094,575.6644890938608,592.8003421781352,534.2325139846782,527.8818723202894,0,555.3807700686826,568.4257853044948,553.9588472596288,592.129994432605,606.478302112271,617.0522687877175,531.2883452105676,577.4045608065201,600.0702996391086,610.8674648372545,699.5670580704123,572.6501873165964,584.4994242422308,577.8646183971991,515.674015978298,575.4480278582421,608.7422682724203,641.8925510999765,571.3456775848325,583.1598451153507,583.4619859513334,572.071303868825,591.0000676799185,576.3973090129905,592.8513651200504,584.564421653689,530.6527608306183,582.7160941884455,572.1238710590629,595.7009908337982
French,516.0289421687928,514.4879131935343,567.0292826225597,549.1485176070606,569.9174797737054,545.3757217703494,526.8908616471033,540.1529727251886,553.3856704348485,519.8456199629771,543.8303137508221,555.3807700686826,0,486.8913168166181,557.950823447041,559.8361996105666,595.6343527305868,600.9496644847158,523.1399538502383,524.0898660911681,534.5985650530841,588.0867768446448,690.5058606480846,539.3375784881498,553.4962036524647,530.0510273014112,516.0284161271854,511.22597009020876,566.03000530199,613.6730443894552,507.0716210037625,525.7917615876609,558.9236376530686,539.1023841201966,509.18565732067293,539.4058949178793,569.2883901195399,521.5956978343235,542.1830016538107,545.6080317404184,533.6815248732066,564.4560139548581
Galician,493.11700117826996,479.08682242914983,556.5189412580797,541.148688449179,561.6357145555402,531.2764179749552,497.5509905484001,542.6266036862405,560.3299774556733,522.6837667219062,541.6776163767935,568.4257853044948,486.8913168166181,0,565.5841046173482,550.180835792043,592.7562508085997,603.1114904572207,498.3312777102942,499.530029842526,531.4370969778237,588.6922804966072,701.0729061082804,529.0787321032844,551.6857127040194,524.2025669319778,518.1933656447839,495.2462067556472,545.0179031753879,621.387207488903,443.69850652232145,518.1041562268884,551.5659023225643,539.740940324216,482.687455110307,537.5157818392222,570.9541829342213,423.41732046835875,529.1389092973294,537.3136970632954,526.2327034720442,574.6423254535227
German,510.21678644237846,563.2590120134829,595.6848356520181,589.1951350322289,597.7517344155489,576.9374847340646,607.7624148092758,578.8160557616051,597.8602063239596,519.233809609725,489.3240237618257,553.9588472596288,557.950823447041,565.5841046173482,0,585.5297831954989,622.7115515245794,621.2319515735782,532.8231556747193,568.8592702792971,607.6659213896374,604.9482449685767,692.3897199070615,572.7283382031746,592.5619418839731,563.6784162463036,531.2969270936957,559.6930521906286,597.2676368098186,637.3376846470674,571.9214265673545,582.268478530006,597.4359719611932,573.9747316564175,564.5877774525837,574.0335209139881,597.1669736554157,592.8164791858073,534.3420757489499,591.0811851532168,577.9579783749369,609.3747125179054
Greek,566.8930727426253,562.1104419346749,581.2176982931458,574.4670772986508,599.8599063342642,568.5747371267614,588.4926369329127,569.7687244462552,587.0838568539551,574.6903919235546,567.6583749714357,592.129994432605,559.8361996105666,550.180835792043,585.5297831954989,0,603.4611087623274,605.9604684589189,555.6298032317166,570.2332763153923,598.2232060959791,597.491234647699,680.208752862362,568.5072496195037,580.5555669510902,559.4467897853071,561.4427679726409,553.9444208493286,596.8298664563544,636.1121936883387,557.5128393887503,572.3353081710708,584.9390019792537,573.6910896376327,556.1320442214383,573.17614893378,596.316782547784,552.5614984618273,572.0612723761537,573.5161024230815,556.6571263751049,594.7352748938494
Gujarati,598.3400417046868,602.4944806991906,621.7180831788404,538.8765515284197,629.8506573294545,601.481609605329,622.6640271214046,605.1856032703365,616.0110955567045,609.0863358606584,602.4222386726378,606.478302112271,595.6343527305868,592.7562508085997,622.7115515245794,603.4611087623274,0,493.26328111376165,592.9136853471728,605.2955015644931,637.5102423748268,651.7122723832526,718.3464923979147,600.2565252654657,454.1959705098328,547.8896366277606,596.8892374249742,571.2409079341903,625.2668174674769,655.5786117588638,600.1045994486096,615.4459951734658,617.9400588645744,600.5132929134215,591.7504644239677,600.879154890496,636.1265181411832,600.0790375259795,608.7779078817218,603.6081097407352,523.5630549233398,641.4622371336088
Hindi,613.1542761047949,614.8926139674475,622.7144396602718,547.7430373229091,629.7459721009386,604.1826270568736,630.3424165364756,602.2376543005963,613.3628322408493,612.085145120254,608.2081981004817,617.0522687877175,600.9496644847158,603.1114904572207,621.2319515735782,605.9604684589189,493.26328111376165,0,600.8271943430925,620.1900105417448,631.5746416165734,650.5649300138763,710.946402846613,605.8523564905989,505.22416024640756,548.4245985421122,600.8302550283363,580.7731687802136,620.9381529211437,650.6545590262235,607.6830586365794,596.5415710241027,625.6921210904004,599.5484098061787,592.96940129664,601.3141702287528,634.3636419527797,609.6463936586647,607.6147960239606,608.0770935597069,480.54534580688363,642.7141451275879
Icelandic,471.6997808283192,517.0082801212124,533.7072949557926,549.7774838460954,546.0651615413691,540.9878371430093,580.8026286536107,541.1862671260342,557.3293585536696,487.4574699944219,510.88654877701384,531.2883452105676,523.1399538502383,498.3312777102942,532.8231556747193,555.6298032317166,592.9136853471728,600.8271943430925,0,532.535195867308,578.259312121283,574.0021348586403,652.5537612442838,526.4805142983263,562.3519634723916,531.1872633373109,470.3525375812361,513.8018607481548,543.619821746638,603.6917732900096,534.0448591221651,546.7091196279024,539.3562555852517,525.9460852481069,505.10721911582203,538.7063410333916,574.1451127889916,546.2839994212313,480.23304582008706,532.5923851191611,534.2750749852877,566.9497861435697
Irish,509.86512101408636,504.7020329459093,583.320788335034,560.264983564571,595.6687453222646,564.4428380889187,587.7202100456335,569.709729767717,584.2289558290387,533.9408898702527,547.9117233769808,577.4045608065201,524.0898660911681,499.530029842526,568.8592702792971,570.2332763153923,605.2955015644931,620.1900105417448,532.535195867308,0,615.0569993253671,608.2658980080605,722.5203460278315,554.282698979475,563.5342675820748,538.855598313391,535.5674132269644,502.4269583857892,575.0311202403733,648.4320978980048,528.2406395077975,576.4250394651643,583.5768494082265,568.1659040246633,512.289273684767,554.6141864168301,593.6375949980915,543.7956628118442,553.5489702308943,575.5364352590003,538.4697051233238,581.1755439714572
Italian,593.1281627718454,600.9358427279539,611.1981991372988,597.2917383633053,591.070676371909,564.5547590001174,549.9911726574297,565.2969363739433,586.4041245332421,585.2043216390047,602.0063956376724,600.0702996391086,534.5985650530841,531.4370969778237,607.6659213896374,598.2232060959791,637.5102423748268,631.5746416165734,578.259312121283,615.0569993253671,0,646.0051711945639,708.0660109545728,566.6435130915729,608.2995439756634,577.2078657616978,573.7401724455702,582.1123513368748,605.5201028222738,621.3583051524708,549.7475845362951,530.9293838417581,587.3141753281666,565.9652327162096,585.2663039700835,579.417248123053,604.8191108643488,527.6449412108393,583.4574970903388,570.6160905318774,580.1062280762354,580.4948577607063
Latvian,570.6676402264894,595.7836327198266,590.0417177678319,609.9261382993602,573.5969403291837,601.1999650981641,632.033793214211,604.7017188357062,599.4045316625405,612.67098412104,593.27797150492,610.8674648372545,588.0867768446448,588.6922804966072,604.9482449685767,597.491234647699,651.7122723832526,650.5649300138763,574.0021348586403,608.2658980080605,646.0051711945639,0,580.5829627359103,569.6892416995362,623.4617141386299,589.4590786298188,579.2328326351633,582.5439339816509,614.16955289324,616.2772097860658,586.7855726099175,598.4269302392817,568.8098872762577,566.2953068047226,581.0252706996594,577.6546478183044,606.8194179403307,628.6012545159318,583.1802698768082,579.8327962637693,594.7042979048432,636.6505448852068
