,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,9972.65548990852,13178.834109261226,12105.930549610152,13993.571329845989,13440.648458331229,14427.245357351154,15062.297460566662,16893.898448415835,12857.171752187141,10982.328324943188,14765.144311320062,12909.247260804781,10194.38203391612,12120.069039847662,16980.192764373784,13686.374077231807,16181.577536951447,9723.15118827609,11579.631141216058,16455.98889758179,15478.797706834543,13764.553374853258,12150.041592305208,12653.255694408115,12068.739296442052,11235.138565029201,10807.463526988175,11583.748825157461,18407.682208719914,13560.918525387753,14572.493582005713,13289.432245463613,12443.165099514305,10346.545215297367,15103.738081394462,16505.71903058524,15946.569295471856,11546.904561471529,13246.420064126536,12719.667538663667,14840.904459901254
Albanian,9972.65548990852,0,13322.006243864354,12016.922317415656,14511.197621128314,14412.224796047338,15557.907301702397,16117.829745762678,17931.600754267667,15252.908845768006,14873.761075604923,18219.25030436659,13817.8572127949,10282.010926331064,14579.846402463068,17593.200412253416,14155.151661600807,17126.30287669682,11471.374924946587,11716.45618152642,17832.564410612304,15932.876652523806,14227.409637677294,12582.336293348446,13040.280118673907,11748.932799540524,13609.510127350122,10870.393534572584,11582.913114896019,19411.042549846574,14152.043100099074,15591.819399014112,13467.02384488839,13065.862272077366,9084.88282329746,15595.151058472837,18035.65711413188,16798.997465365075,13740.665249312018,13411.011344888104,12965.247767328126,16026.098714177322
Armenian,13178.834109261226,13322.006243864354,0,13701.829701653325,15033.78752427451,15143.835662234684,15791.759294507503,15550.723116566453,17450.33048684763,16270.00607938127,15818.967881035376,16766.541833716157,14992.526102820015,13601.263042484608,15232.780877566716,17022.573347021636,14946.123428923842,16630.77865811657,12942.7008758157,14442.19493154966,16733.28446909989,16411.373759808183,14288.422726654957,13617.45368265759,14594.876153090525,13545.791058263158,14881.287113069755,13045.301755824517,13171.564715861992,17993.67828745476,14919.429425955012,15694.50559643244,14572.927021655267,13720.173315490445,13045.353936735175,16036.481881708434,17435.45871110084,16676.267739300438,14406.935384328706,14148.564520371494,13871.960641346337,14979.992478259883
Bengali,12105.930549610152,12016.922317415656,13701.829701653325,0,15185.92338711738,14211.14411180166,14562.131529933624,15569.084686529954,16929.588018200808,15506.8726556394,14453.32569518144,15943.542200313093,13857.451645009463,12616.784100065523,14567.927209042677,16271.206019366247,11843.402107982578,13674.635588020043,12558.538905054273,12716.643033108749,16651.89322396575,16691.612307589203,14179.898540460754,13133.026820079434,11734.27762416577,11038.047077339665,14070.432941947021,12206.479571673302,12828.067578130516,17670.68947676153,13525.591861826944,15550.382069482508,14530.37822227983,13380.746943122112,12007.038102666726,15478.468896862696,17331.93283726023,15070.972502008244,13630.642449983687,14124.957086175727,11309.74892180699,15013.799251150898
Bosnian,13993.571329845989,14511.197621128314,15033.78752427451,15185.92338711738,0,13480.582107602157,17142.98319929276,12109.648695057094,16398.388256441,16883.29170593384,16437.812978582053,18004.508734703068,15838.043176617597,14591.206015114594,16257.636086000968,18307.30255721491,16468.558543687424,17867.64280950198,14277.452362401671,15918.252320830947,17446.737386270495,16082.41664637388,15040.44686770538,10787.89029739932,15827.890778056966,14535.916507622562,14986.892057050596,14540.43953620226,14608.261562084916,16455.43140668378,16250.772820583004,16572.956924835515,12145.646031875778,9006.862108910917,14221.28344458473,13785.007364659208,14799.261425082423,17556.93983308309,15358.184070813206,12144.719079006612,15120.738990694987,16713.172334149218
Bulgarian,13440.648458331229,14412.224796047338,15143.835662234684,14211.14411180166,13480.582107602157,0,15123.20624228086,12286.911782149322,15066.647324852896,15793.416384724558,15417.433100452014,15716.549832639173,14756.28015985772,13183.460599339001,15168.432520939275,16788.437347822262,14974.316520538976,16119.315482906246,13412.516535722396,14863.43592953515,15914.364070447771,17273.004273846615,15561.256493495697,10627.751504998898,14413.820527008762,14942.839221707043,14882.77634061945,13827.100667596165,14308.516341429538,16575.209956055514,15145.532210976206,15651.200704836352,12673.820263338428,11483.130859496468,13952.962942539301,13878.923153624115,14710.766832333251,16057.385891569604,14428.007860970736,12706.330566432433,14108.853719944886,14836.496756941888
Catalan,14427.245357351154,15557.907301702397,15791.759294507503,14562.131529933624,17142.98319929276,15123.20624228086,0,16226.044661947144,17831.223543754095,16136.617588823608,15788.31396079005,16118.717295068698,13991.29041520233,12545.140475260801,15519.907733667,16705.92144835229,15124.03375589635,16324.513296549578,14402.905705879508,14803.553146056769,14071.616248408698,19069.946748199498,16405.112593144433,14901.064723603278,14664.190719088248,15574.151329273594,15150.6618619648,15012.821039395754,15255.862515357205,18763.736155073657,12527.470264785237,15183.161424204764,16185.694034291242,15202.0551129966,15220.588286516524,16657.85643249796,17702.039529315447,12548.28832023252,14838.337796367414,15542.77649843275,14868.67807857451,15568.890485533517
Croatian,15062.297460566662,16117.829745762678,15550.723116566453,15569.084686529954,12109.648695057094,12286.911782149322,16226.044661947144,0,14237.660372994927,16615.794170061512,16106.929623222233,17047.043338706608,15953.795575181339,15417.34766595132,16190.74191514285,17646.10985288049,16073.014918542682,17003.71415827577,14881.625757244772,16216.107925481101,16734.99032678581,18810.32725359639,15779.784529386063,11887.196914717179,15689.522219932507,15584.493318932624,15756.66445620192,15198.211268247365,15451.32949017935,16190.56576155598,15835.931237165152,16767.228673533387,13827.261758211693,10194.018425290426,15686.975045599347,12870.635319154762,13740.54229832346,16668.920102027543,15734.353923448783,13064.265565190499,15272.39298483521,16187.674890614026
Czech,16893.898448415835,17931.600754267667,17450.33048684763,16929.588018200808,16398.388256441,15066.647324852896,17831.223543754095,14237.660372994927,0,17448.34435112642,17229.762376198345,18763.730004113455,17563.69468314497,17308.57866057059,17325.5516596521,18740.460525625953,17745.578994776555,18583.341522881055,16508.24281497339,17535.265438569575,18443.75381162559,19824.147722599635,17661.2015701844,14790.022352898919,17543.137365669216,16747.338527064127,17267.96125372341,16736.42653712067,17067.04255720248,16615.51201785668,16980.967757977174,18512.088409070504,15695.951965236236,14482.756436532947,17775.292379197082,12303.789371138642,16036.597986788647,17886.351427663143,17304.08364121632,14360.327324737304,16752.652950642114,17706.659930217946
Danish,12857.171752187141,15252.908845768006,16270.00607938127,15506.8726556394,16883.29170593384,15793.416384724558,16136.617588823608,16615.794170061512,17448.34435112642,0,14528.88165034713,16440.910302998578,15103.567437651265,14526.582876231683,14176.940331040974,18383.248450796294,16399.17362551482,18027.239428519457,12489.633356167926,14991.222556817193,17268.29954251943,18912.666593970847,17128.817115583,15197.783790287505,15958.106140720007,15317.249682820728,11916.972150079511,14854.9413851866,15374.889942499703,19273.20807200549,15866.381406195667,16827.144060195482,16325.854236436579,15428.028452515273,14878.067488697341,16556.82430104558,17340.416812921067,17081.007948518443,13180.232389599854,15589.682059045812,15706.40469332225,16317.502881741117
