,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,622.9274188108776,698.8798825446859,683.2657998802911,710.9484931632492,644.0192043609184,677.258914433037,672.5999740325916,694.3629751063309,619.5926095647312,550.0056493950256,601.8458122592627,646.7804838749315,612.7753154804537,610.2808424504047,699.7464259274672,701.696088258129,720.9543476422007,582.9493885856552,646.0874760450815,717.3257772915375,780.828961832553,847.8640596981995,658.624850511665,684.6546495628278,672.1456425833395,562.8693972554756,623.7396861250975,681.161914507489,779.1655478401759,675.9348176354474,688.0044528378436,675.2904790675057,662.6904035552112,644.3691597433282,679.6355618133,717.1720735043157,658.9689466143369,592.2192495829648,678.36541441471,672.9817577108487,694.8119821088247
Albanian,622.9274188108776,0,692.0410856298196,674.7167391211719,746.0974940387175,671.1432174974007,684.0404293773962,700.644039891128,730.106087814112,752.8993510335711,728.2005924281799,729.0435316357804,686.523504900718,619.7960671977598,737.9646267758412,723.7907780211373,710.8668393503228,732.358090577794,676.4606758832982,659.8258008191584,749.5653941263398,822.7150018526886,852.0988770803954,681.6698110959079,673.4893628086623,692.0375994942862,689.9729912011751,625.5465570495141,678.3939782709448,807.6549165310179,708.135897314258,726.8019150821675,696.7612985231041,688.2314644908412,597.6983401419885,706.1246181360829,755.21922186412,676.1202309931248,683.635199437724,691.6042463323992,673.6832384119888,737.3665696864722
Armenian,698.8798825446859,692.0410856298196,0,764.5293858265579,720.4812338980764,744.5932386829265,785.9326453062369,741.5242632163202,790.6917849762365,826.9123544692584,808.46846646038,791.1779271147155,762.0245347453945,737.2741598837873,787.1309234026203,735.9847034620643,814.1694547380677,800.7040455828571,701.7134047088429,760.7020792774235,770.7371011545666,807.1422420201538,853.8345813569331,751.2194649113993,789.2523526394502,745.0480461651886,736.1066900027604,708.2811812534005,727.1573562746876,839.3889016099631,788.692483408615,765.2314474049997,748.8028917171458,739.7289173057035,701.9076809358953,767.8254789254436,805.4739440863434,770.4042880726445,756.3836660204915,753.3999397863244,756.8426532213243,772.7907643357263
Bengali,683.2657998802911,674.7167391211719,764.5293858265579,0,739.4216645980578,624.3368604762259,654.7453943754781,653.2226556748279,680.8339996338285,681.2956100435083,680.0900338656733,660.0584868941435,657.2164560223464,635.8492169800761,669.2274072371442,679.8196460871154,572.505626003705,590.5506860977943,664.8670672359402,665.7363148314383,686.3024495886754,768.4923678015632,814.2421766924717,620.6336026042791,573.9129580133314,619.034994841978,695.620253529834,634.5617466857851,688.6583755220556,726.7635985131863,670.8430771073449,669.8007246570655,672.7676126211171,648.642371202234,652.6890018038205,668.0147249995404,710.4267504510391,638.9227763750839,652.1985113597968,655.3145014769574,560.2355372714351,682.7699035899988
Bosnian,710.9484931632492,746.0974940387175,720.4812338980764,739.4216645980578,0,631.8596722603056,772.1413035403222,545.8767634703694,663.0720327721328,754.3358963298917,777.7885080202669,762.2060538978329,715.674417771904,755.4423506396968,750.5654003129666,747.9809593084565,804.9948521511816,769.4659791130207,724.1534151655333,811.9394087318993,713.3167977286104,747.2565802902086,816.218950094422,587.3571122695312,788.2954093092854,665.2910630805327,699.1502737545267,764.1210441471507,776.3862543505089,660.1069130211009,742.6266937943593,707.8856715951346,593.5374234197592,482.0046392428312,752.7789151629725,604.7975253238361,638.7652483512785,742.3613561542578,741.4550137666083,608.123435514681,731.4140722803403,750.2582573984564
Bulgarian,644.0192043609184,671.1432174974007,744.5932386829265,624.3368604762259,631.8596722603056,0,618.0423384780516,495.28524056890126,579.7948565251645,640.8933540160516,639.378607615332,630.257061364941,634.7981591682026,593.0729076250083,641.2244365554302,661.0966818802556,651.4587467562444,664.2268511314393,623.929872578851,641.6911468046485,648.0744049544404,767.7271184114543,773.1045065779164,460.71913927877847,620.805187847494,715.9718775298907,663.3445434750213,628.1363146415116,671.8121882668441,640.4166525416476,641.5512357616274,646.3142741523087,558.5998251469166,519.22574845033,666.4016368714117,560.6246655403643,609.267371574018,593.299280071068,624.4928197115825,541.430896673838,607.6074807821711,627.9466759875602
Catalan,677.258914433037,684.0404293773962,785.9326453062369,654.7453943754781,772.1413035403222,618.0423384780516,0,635.01632237213,694.8670507985731,642.6553081853793,657.4437103034845,644.1578725628459,589.3596339684509,519.8922592510748,668.5261886920936,669.3906310326238,679.4267499772711,701.7355878754475,664.1595507003655,637.1588308918497,618.2582960496586,812.1473854331232,827.7029652998949,625.5220347971043,641.4572485167548,744.2551878507634,645.947737813274,661.6606256931244,714.9142698835929,746.2025426584464,568.1769940263836,613.2578520082596,678.5971402762137,659.7118998258883,695.7533657398264,652.2823719746096,687.5974726866256,502.5080185054365,632.8994662454287,653.8215839406672,653.9018010052304,678.9180730012686
Croatian,672.5999740325916,700.644039891128,741.5242632163202,653.2226556748279,545.8767634703694,495.28524056890126,635.01632237213,0,568.4488174471959,652.44935760875,667.5612562099532,669.893866691472,641.7390315647639,631.1578334208014,659.487256393433,662.1519334738523,684.1961203804581,682.402320611121,652.4775799780168,678.6746849115657,648.6647925096765,773.6353112436485,780.3335210238242,506.93809929402903,655.399790784133,724.1490699834129,670.1524691025569,658.8381851427579,683.7425485426804,604.7867081643259,650.106846862424,644.7428866632204,569.8994870886521,452.36555039236185,685.9107807844138,534.4538185597552,554.3741199492949,620.8083598813669,645.6955389207966,540.259151759125,636.3420767037252,659.0991195440257
Czech,694.3629751063309,730.106087814112,790.6917849762365,680.8339996338285,663.0720327721328,579.7948565251645,694.8670507985731,568.4488174471959,0,659.0933506343086,670.3618258786224,690.12734697912,668.2507229913869,672.5223672158038,668.7243198655138,698.8723140325716,729.6115854127808,729.1053498880971,672.2553647021938,718.7423658154845,685.8851826240434,773.0963372149863,822.9594553949245,582.2448967284557,712.6673772940127,714.2960602564455,704.3197964444413,685.3864919543369,721.2871883120703,628.905379413458,666.2023607882776,692.8804943711098,592.4079649810996,564.6035185054196,750.8321351219444,492.6454087002694,630.9403580264793,658.8663571493914,667.2816394600362,567.3628627594977,664.0233239937614,686.1476071534706
Danish,619.5926095647312,752.8993510335711,826.9123544692584,681.2956100435083,754.3358963298917,640.8933540160516,642.6553081853793,652.44935760875,659.0933506343086,0,595.4759054834516,566.5127334672964,617.0673671170354,644.0733448912135,560.909026706712,680.9254164584228,687.8160452886478,696.7971871704209,594.6626676277675,647.6082527720781,671.7579964690373,816.8968538469792,881.1232740686911,658.915068128594,660.9006903215941,702.4573502209903,531.9067858516775,678.1464508105229,744.1460240468746,742.2350221034512,632.1542962551862,649.8118173351253,688.9043292691283,681.6491805645893,757.127602929198,631.0456870987526,667.3591382967286,628.6762861631564,555.4254836174566,662.3613420115059,656.6133699782221,652.5275317355608
