,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,633.5261456765046,697.4849869854949,699.834180945359,708.4690509214021,652.4650254366597,692.5292847638347,676.2613252299757,697.5501870675589,609.1224966649133,510.49848472988447,621.8579855474308,649.9800122166047,611.9508124633229,607.8483318055836,714.8066813349342,727.8530105326647,749.0241264858213,579.5008000848806,641.6120321100226,728.3261974868169,760.515701749061,847.2326543980397,655.5276271719104,705.7189387758361,671.6190571069628,585.9144183568476,615.3769381387076,679.9295225940382,775.4070609726085,658.4587460795632,696.8790418486683,679.3932005154172,665.3587843460735,631.6850454638432,674.2490297126549,705.7707881375045,673.8445828848497,598.7890379523583,680.7556339438448,681.7911936718887,708.3717434992556
Albanian,633.5261456765046,0,712.2523005960867,693.3697673298657,743.0499916582106,686.4589812268526,702.2410986567611,706.2226060112525,734.5540999388598,743.308998254278,710.5656189458008,755.2292137432232,677.9110403631797,628.10531302611,738.7278686292493,741.31752112721,733.709676641171,758.2711946336411,688.0466921968028,669.7307603319542,758.2143298326387,792.9902162200059,850.3701316654918,678.0421550044549,693.9058599267959,689.9085066818833,703.9153211608235,635.4771333125626,689.3152495289816,796.8560354710617,692.4826180857018,730.6025008786199,702.4467908973152,692.3392144948675,603.5537361673079,699.2575335999801,745.4201257027801,691.7891451331094,697.6821373346099,690.0590896477536,689.5407685948473,759.4309889083354
Armenian,697.4849869854949,712.2523005960867,0,759.0963401646877,726.4473508782075,730.571746031647,774.9291425687742,715.7319673656085,766.8724675211562,781.9133172844863,764.0652618420548,781.7716290508024,739.4624696743213,718.127242410063,767.2203249947945,727.4164929095883,819.3283425725388,812.0072095121892,675.3052972197712,736.3868254916554,759.2938399468618,781.5776271396687,837.570873018246,719.5875250726727,788.5008358148199,751.4124091548682,738.6641078700123,692.742737224155,713.0795454601014,801.8280736779988,740.2756000388085,750.0063922692622,727.5984505972237,718.9987781627445,680.1341763923684,734.9225699721908,783.2837624059246,751.7600443612088,744.287429966628,722.7000332590962,747.9347201321057,750.0728980269423
Bengali,699.834180945359,693.3697673298657,759.0963401646877,0,735.0741059690541,669.7521394377549,700.879116204815,696.6312901175469,714.448570911288,709.5865382058079,707.4506151503713,710.3706152073933,688.7662403558376,669.5542075111465,710.3849995159632,718.6724962727353,609.1823836965822,620.097765997142,699.4655574312234,701.0014692955698,727.5352616811336,773.2336252299933,846.3397449051065,667.063621560404,616.419652231195,587.2037308863535,712.0709414655877,666.3969996847244,717.174127851784,752.3920584009993,689.6595520399638,712.1089414520816,712.2951307225732,689.3745200992936,651.481094722889,692.2449718749019,725.2210048767295,686.5785455270825,687.2484868571495,699.1754376456065,578.037052976887,729.7854069242595
Bosnian,708.4690509214021,743.0499916582106,726.4473508782075,735.0741059690541,0,583.1593192999467,764.109743466402,481.30573972173266,634.1083761976457,737.1337440703497,738.6946300738513,757.8474604134666,709.793410207998,719.3319111522903,732.3748344471044,756.2188697997766,802.3256422242716,794.1963783557082,697.715224227076,776.4661395771842,705.075152591169,703.8857905994967,767.124016885857,518.5951510563009,777.6306522625716,692.5038589173138,716.5784969869422,735.1401317945766,746.1935940079193,626.890804231994,709.8140219851082,704.0474569661205,552.9206919346313,409.10376007870775,715.976586785669,568.5154250238825,604.9191106553377,729.5585656457581,725.5826590653722,553.2155327336967,719.8325297060903,741.157744447847
Bulgarian,652.4650254366597,686.4589812268526,730.571746031647,669.7521394377549,583.1593192999467,0,664.2440046504091,502.28941042186926,596.5601589873726,668.4868347653577,664.3979926040037,687.2496604265282,655.6964851992061,624.8919768002764,681.2577881696684,694.3755069503435,710.619739341462,716.51227177878,650.8546799903663,667.198561796139,671.5992089713093,748.4307547942365,791.9620292105841,475.3035547150111,681.8879803729978,705.2320405234817,673.7198889211552,652.1987903812932,701.457395784299,652.6785952098445,653.9010048698772,672.7575972304375,569.1542069944171,524.4234262243318,664.8881555593904,565.1006094236675,600.0857028347132,640.2639499523833,660.5987708754764,564.9258577972247,648.877447802697,674.1403785866437
Catalan,692.5292847638347,702.2410986567611,774.9291425687742,700.879116204815,764.109743466402,664.2440046504091,0,678.9442834654328,724.6764585703845,683.2936633622658,693.3129980136564,698.2636814587996,609.0502438424476,535.1939595773697,714.2968215164843,709.5912843724303,746.1791976809681,758.4835107790909,693.7122799689618,670.7123131394758,641.6820812773441,812.4474312516951,863.0265254775298,673.313657949345,702.7435363898376,739.3425073353843,660.742854947476,690.0359308391863,743.6547303381149,776.3728713187816,573.239683567686,641.0218266289017,720.7510973545078,702.7323875022878,691.2917189331959,676.0697251005838,711.6411339718852,536.3368036077654,674.6810221738604,694.4342123950521,699.0331398751615,734.0293325807245
Croatian,676.2613252299757,706.2226060112525,715.7319673656085,696.6312901175469,481.30573972173266,502.28941042186926,678.9442834654328,0,576.3084198242725,685.5674189158749,688.8327762531029,707.4266197136494,660.2265976976644,647.6939408538557,691.1640215442477,696.1430721318324,736.4874032579179,745.0130195338021,672.7100645200584,692.6071080856997,668.2667766645058,758.5628128156363,777.9472516821793,510.415756259267,702.6974736912688,716.6600378327739,685.2711438504527,673.5655828767144,701.2430401527662,615.225917996818,666.3321281260506,670.7981838923088,570.9877284322943,431.2675963205631,676.7786136429872,534.3734096733041,540.2933562720385,653.4165511622836,677.3634703397724,544.0007947667874,681.0729051231849,690.117646135781
Czech,697.5501870675589,734.5540999388598,766.8724675211562,714.448570911288,634.1083761976457,596.5601589873726,724.6764585703845,576.3084198242725,0,689.191621117844,698.4693795229467,730.0815033502053,690.040915440603,684.1622349860343,709.8843414389389,733.4486136582094,774.3681814113345,785.4528815865709,679.5923336959066,726.5884272842129,721.7866419491313,762.4531376092493,828.785674071446,602.0471420055047,759.7190116320307,704.607054745835,713.4952881582176,695.0576218154762,735.1080198421735,633.7016161502037,686.4613012632925,721.8090299763383,597.263547595512,576.9065843863555,726.6490085275349,478.20700524953463,637.730054223369,694.0270123141938,698.6766559477466,574.9285467347922,696.3010352040387,715.6946388647773
Danish,609.1224966649133,743.308998254278,781.9133172844863,709.5865382058079,737.1337440703497,668.4868347653577,683.2936633622658,685.5674189158749,689.191621117844,0,620.2546899640224,593.2049742962819,639.6855683911804,653.8181390258084,585.8745849157754,712.8980095337383,738.0036043271456,750.4061894488561,598.101995263928,650.0084841468655,709.6616722437363,805.0085834483048,890.8382718816434,689.5188214307814,707.0650131127227,684.7785582692209,531.2173508924863,679.5643443115331,747.7612996956943,773.0442529602908,655.8207333234935,686.0099729169195,712.6961439909333,703.3648402629028,724.5370706507216,661.6769631764979,693.73935049421,669.2508280224539,574.7287598757064,691.2136271298252,680.9087103261551,681.2537281666714
Dutch,510.49848472988447,710.5656189458008,764.0652618420548,707.4506151503713,738.6946300738513,664.3979926040037,693.3129980136564,688.8327762531029,698.4693795229467,620.2546899640224,0,606.5346376161059,670.3502941943175,667.8676620033228,560.8410959251777,707.3425615468938,735.559132357119,757.1016552032077,621.3491537215316,679.7028291714795,728.7202101148338,778.1905673445373,845.2036658205734,667.1244792583379,711.2285938400393,710.3407040645342,615.1166525700397,678.4758913554532,719.0591005391235,771.5678484222198,662.0871939295163,702.8617781263788,710.2692308137327,689.9265438108087,714.6612271625194,681.5413408258406,701.3158270269412,674.5484596457453,612.0793140516422,695.5311054563298,692.5530994382598,713.5019624985832
English,621.8579855474308,755.2292137432232,781.7716290508024,710.3706152073933,757.8474604134666,687.2496604265282,698.2636814587996,707.4266197136494,730.0815033502053,593.2049742962819,606.5346376161059,0,674.9959870657158,679.6923605656026,626.0925819934245,737.8468901325572,736.6045642609497,773.837649427191,648.1909658746015,686.6191768951029,716.9019595289267,803.2799683415011,874.8131627933475,701.3421989697202,724.0596836819946,716.8760896194492,605.7162217755355,716.6975238807645,760.265294969767,789.2998044763797,690.5899380149059,710.1722934657132,720.0778623075842,715.9209441863499,744.5299105115631,701.2604990300756,731.9866061337111,696.305928110795,621.1030617000401,706.6255306154949,702.1581270478522,704.9751881640228
French,649.9800122166047,677.9110403631797,739.4624696743213,688.7662403558376,709.793410207998,655.6964851992061,609.0502438424476,660.2265976976644,690.040915440603,639.6855683911804,670.3502941943175,674.9959870657158,0,585.0974379233134,677.715882131634,679.4315204899464,737.6470053729887,739.1752312164618,667.147765593178,642.1402044300578,627.3324327298247,766.742121872552,855.1045796016709,660.7072326352003,687.8403165753009,691.9427184278275,651.7298132276962,650.3949956163873,717.0069964432246,751.5962288202677,598.4757104486669,649.5720443660975,687.1055277271334,673.229352636489,678.8802688264018,655.8042821699833,683.5021845104912,593.7226081039895,682.4745942996324,675.1092719632818,669.944924742742,680.7729790957942
Galician,611.9508124633229,628.10531302611,718.127242410063,669.5542075111465,719.3319111522903,624.8919768002764,535.1939595773697,647.6939408538557,684.1622349860343,653.8181390258084,667.8676620033228,679.6923605656026,585.0974379233134,0,687.3262388998753,700.8245033621681,717.4525065288988,732.7024751149467,630.9725303727239,612.4926604388587,612.6658287558209,782.1152801246724,845.721854682946,631.6209501364651,676.7415287217979,681.4770623057441,652.6775337166991,617.1657341179322,664.9707749648259,760.5629473312075,500.1807583563697,636.564433705572,677.303148186623,657.5073848554117,613.25628876228,660.4296874895298,690.487505763736,445.7119282824261,634.7031304978448,659.5467482614592,665.9908092968396,682.806752643451
