,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,119.44798777460838,146.65675205813682,135.0161217826951,140.08429507765163,124.5541299660621,129.6575699889794,124.5519048940614,128.49534570936564,103.11099235595638,97.45535352485963,104.97425602458385,126.23369149391466,116.04167404576093,117.10795388802251,149.77218248335936,130.60180371945606,132.29169982985223,107.92814927036204,126.8444148493111,131.29802118762095,187.15376630526958,190.34581888463669,124.95678636166345,122.85062726566763,120.28330108845317,95.42155166078058,122.62428598266291,140.51103662570168,171.96831253400867,135.39070106904055,132.33542029775236,140.48831109012076,125.17755376010163,115.34033283083724,133.67222284733214,134.39261852731647,120.25276075858353,100.0383710742302,131.13198535897013,125.39893216306199,127.40167589112917
Albanian,119.44798777460838,0,137.30909750166725,126.4076023822092,142.41615400480256,126.3016016627172,129.5785656791421,125.02809041441795,130.7577058512385,136.76193183283405,140.35324598155,141.99384710751585,127.42965231854173,113.57190263147373,146.9180254404818,142.3841978655062,127.55211265423621,124.58847093916604,132.48481289756646,121.64142479080033,130.89797264194212,189.110499300948,193.54035533858433,128.62269094744968,118.61869716765369,115.42748546624175,125.18699197060016,119.88399948762049,137.13084327412764,174.48220945428614,136.5060537892306,128.62430142188796,135.60631016494912,127.83807493273223,104.40611120803212,131.5605119488091,136.12288286842337,114.49881219664938,126.1737062686632,125.08822684675101,116.5994679680894,124.81804470436396
Armenian,146.65675205813682,137.30909750166725,0,158.86403596472394,158.31328873936823,148.19802801133707,157.59892262347154,143.71159393488162,148.39096353795776,163.19065402149113,159.08603417285727,162.66764761064314,157.6910397322476,145.10102935516815,159.30717283568887,160.0663161523164,155.26560950020666,158.20953898224855,143.73290898331942,149.59622981104383,156.49474676082644,191.20260993008486,189.5536131303103,146.33344665843765,152.26997297388763,150.75628230725565,150.94739781429254,144.02451513522348,149.31289802247682,187.95258527916812,160.72936980007708,154.1132506099805,153.73853584219424,147.38569843923847,137.14910523029874,155.80815180708709,158.17369050960215,149.7744725786319,150.43728900491953,148.81186660396133,148.13212414021118,149.18581317822532
Bengali,135.0161217826951,126.4076023822092,158.86403596472394,0,152.96146309210425,138.90912263829892,145.7854803922622,134.9482054959386,140.03270950362983,145.2323206958864,150.7379750532366,149.98663209543622,139.69157845885033,132.32471516297974,158.54899626498346,154.60740207177017,110.95293457695152,110.05920043744884,144.6538648677214,138.0099838113433,143.28128905696587,199.02731040839478,207.67201554173897,139.2191835662821,116.32919834053853,103.33291099168335,139.10470092297052,130.00476044771023,149.90797890901973,180.10497295424298,152.61946260186184,144.19774155962173,152.59485976777475,141.98794121135393,122.93331015860609,145.8896556136432,146.9677999668532,131.1730307560833,134.55591839554177,143.6391120961999,111.61298548300397,143.29839522543386
Bosnian,140.08429507765163,142.41615400480256,158.31328873936823,152.96146309210425,0,110.66069969429164,154.49722612378213,87.68732913899339,116.35312765572897,155.5801575588534,156.15023695098847,156.4377657958571,150.8328869015089,146.7983831375592,160.10078521020475,168.40436620088025,157.0217935887417,153.46030798472626,147.9647937940199,158.51469621271627,150.56012622882827,188.4992276959075,186.96601213712958,101.95425938155003,151.27986992431653,139.27506305970644,141.10369353015722,148.79301066086995,151.2548244986763,139.49687260070203,159.1553994201451,145.77978621667972,120.3014463253125,80.52291392781264,140.50228167462842,113.23050619709448,116.25794320145035,143.0949649741804,145.78503216879534,117.797581787551,144.3450962219737,152.1536594853679
Bulgarian,124.5541299660621,126.3016016627172,148.19802801133707,138.90912263829892,110.66069969429164,0,137.62259665826696,96.56058223696493,110.1027138541706,138.8001288256727,141.28126338330424,145.48187088674743,135.4046375997606,123.32698136578581,148.42901757401387,151.38864198977942,137.7224893872989,131.42418668570338,134.2875299187701,138.43002886957922,133.80723493190382,189.50747847960272,188.48842638162154,89.29348627591017,127.29682078314349,129.20472771483344,129.8628599426126,133.45482596512005,143.8101365661758,148.08304585516774,144.04179786642004,134.93166219496885,117.80960794826792,99.35887500716314,121.80640867307969,111.36553218454438,113.71922332873709,120.85782955109869,130.25578354906256,108.44976095586098,128.52256506351497,134.03878135115187
Catalan,129.6575699889794,129.5785656791421,157.59892262347154,145.7854803922622,154.49722612378213,137.62259665826696,0,132.8504719216409,142.9621930624225,135.03731074974715,147.34322831157874,143.16113655019478,121.55915117815518,96.78535537982572,152.71590593250895,147.0700585604314,137.69555473846688,139.7769124343915,138.21524709971305,136.35423629280467,114.43990975888602,196.89695040593148,196.1902598646736,138.01003407610528,133.5832532453401,135.26683159749757,127.05176582409622,136.09151511423522,152.05296417400882,183.63956296580818,123.38199560070085,121.79655625424134,148.55931453145476,138.5146971953224,127.69359588498223,145.07971328423824,140.08165000707086,96.83024524901339,131.29501418435305,138.78070408399606,136.0681123122309,138.71203640063322
Croatian,124.5519048940614,125.02809041441795,143.71159393488162,134.9482054959386,87.68732913899339,96.56058223696493,132.8504719216409,0,100.84933443475329,133.9493960935902,140.61899499411976,142.47267689940045,133.54831526328442,124.28706678200231,143.86204967147665,147.83638557445255,133.3412395280165,129.25581469324456,132.67041963719942,133.58137852096684,132.4994135170134,187.5948922406881,186.27702450267506,93.3439674581889,127.81997921549606,122.84202815050203,124.9830626251483,124.73741379852834,137.86240912347066,141.0219269541178,145.82604459505177,132.22369730030687,117.816153205813,78.7075422513509,117.70000615044526,104.30941197957232,102.41728201132986,118.98424995014362,126.69004697366225,106.41879541677935,122.77793378050606,131.91277106608152
Czech,128.49534570936564,130.7577058512385,148.39096353795776,140.03270950362983,116.35312765572897,110.1027138541706,142.9621930624225,100.84933443475329,0,137.73072284080038,144.61802132496766,147.4027192576151,137.57516689786965,129.03829629105175,150.65660002425875,158.41612642064493,138.64183437250838,134.76382282730683,138.88126952877263,137.80053593687717,135.0896591059521,186.5807427673774,190.9775961914534,109.46072323743759,132.09886491418342,124.55429758242099,131.3996385844428,131.76044101700575,145.47868390137333,137.02848019994286,145.72102327039588,141.49926391856104,121.22485199093227,101.8346573041454,126.57150317830555,90.55962174037293,111.97950321206612,127.0788415567415,133.09090796466833,106.45529514207237,128.5743711578218,136.59540239065913
Danish,103.11099235595638,136.76193183283405,163.19065402149113,145.2323206958864,155.5801575588534,138.8001288256727,135.03731074974715,133.9493960935902,137.73072284080038,0,126.63079732751694,114.2656571823734,132.8161336988879,123.0243080764935,123.81702814783044,160.289719889506,134.2618753112394,136.56123272833463,116.8422712352033,131.6981429355929,135.22949396393273,209.5993837591228,212.44001052406747,140.10761089418915,127.76968306501473,125.65252757439205,83.4542762969563,133.88579055155125,150.45323177932477,184.78954115434075,147.90031473193724,139.83847850661382,157.61282499634976,140.7570680242588,129.31811322427902,141.99898534123727,139.12022193194173,124.9529210515623,93.44856893959509,141.33570346275746,133.0300031969118,133.4347428513319
