,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,41.58574357254199,43.68901578754358,49.916134548524816,44.286736926768086,43.45951924064228,48.18138325573657,42.168157599718036,42.36326116837804,38.08424599931548,31.77605391261602,38.46033261703406,41.48168440407294,40.56972419698873,40.076770639574015,42.280379714175155,50.39160562230833,50.26051422212673,37.661854353343955,41.07794761169347,44.184473145507965,47.22893397105376,60.54149639979051,43.111903958301994,47.012389724965665,41.40843963222179,39.395693756120174,39.40932356739695,43.895130911713906,47.286424091914185,40.77449395733947,43.53593245043008,42.866472550608925,43.20622555786972,41.249806090400305,41.735963963488445,44.23980282071422,41.905140039750165,40.65907313886415,43.3981259324539,44.23806610725998,42.62658707164111
Albanian,41.58574357254199,0,43.377975551505514,47.08418829569337,45.04824757918168,42.24472883190879,46.24424486182692,40.020351893131156,42.224750077239214,42.71071030099547,41.63173872623247,44.33575234070583,39.91067178008869,38.86488949066857,46.17035404148119,39.8172478473743,49.67047074022732,49.144748490503844,42.72418287439225,40.70106587728622,41.92278583486486,49.21072526603118,61.06790316897925,42.29194968081515,44.72374147881246,39.2171927282388,45.33004971052075,38.366562049693044,43.170288586363824,47.61802856895621,39.900011053403944,42.02802163830094,42.74272152982349,42.85804091897239,36.30481803676419,40.92281429721487,43.86234462612971,39.20068263222028,44.22504058033546,41.313312013497395,41.59351100454171,42.766215558811815
Armenian,43.68901578754358,43.377975551505514,0,50.7472435252521,44.77624048138116,45.64648040547998,49.658560205574034,43.54163076710821,46.18479758883808,45.9047474588813,45.401542542109475,46.98076201417207,44.93941735037397,43.860902862203005,47.129294331677606,42.184094959421344,53.372143419670486,52.10868263867834,41.73923633969901,44.908430451535686,44.726635735727356,48.64794592765832,59.720537745871454,45.039789973846275,49.62940220950785,43.85498000776809,46.053180161800626,42.62576851789695,44.417424123832504,48.63535562731934,44.48805268939464,44.34973340877238,44.48724456231243,44.71872796729395,42.27926522567042,43.98720200596045,47.08230234269526,44.672250417915116,46.84256174808314,44.23355627162892,46.20655214626977,44.035783603068836
Bengali,49.916134548524816,47.08418829569337,50.7472435252521,0,50.292191151532386,47.28782992139745,50.62909135122617,45.704519877516795,48.2649151043752,47.75834070552118,48.69527999616574,48.98339130878604,47.28901456266472,46.492749941710116,51.16219567331606,45.63157771231964,46.256457387832,46.309352449870545,49.128462210848724,47.90688163690452,48.318970699735544,54.01519235935424,65.56999418350834,47.123570547039165,44.569861801379595,39.24752065513676,50.91185771071089,45.710644357131045,49.6552120286402,51.45866282803945,46.433507652120646,47.910960003272585,48.74963783416654,47.9951095152397,44.69516730632443,46.37054775084812,48.53507949954434,46.136335932841966,49.06569905437812,47.13189240436674,41.10846866204054,49.03465594848289
Bosnian,44.286736926768086,45.04824757918168,44.77624048138116,50.292191151532386,0,36.95866081883486,50.50173042379855,29.804174284735854,37.2171046252531,45.815843599663445,44.870627946781454,47.2156366429792,44.535534832647315,45.344404653450894,46.73028811952479,44.02616912786034,52.32161934157319,52.42324706033183,43.06282868126817,47.05488424636763,43.85279044300562,43.15236967284661,53.05052303088642,32.42818660617144,50.03379707895271,42.7963904915326,46.076567855082416,44.9400205818336,45.24817968827692,37.476456590367256,43.946606707821104,43.52180501638702,33.6975489288109,25.210704934060594,44.192054989196755,34.75254274284448,36.88459149690408,44.733012860731755,46.68653470594505,32.91450370433617,46.53240882298213,44.785717761599564
Bulgarian,43.45951924064228,42.24472883190879,45.64648040547998,47.28782992139745,36.95866081883486,0,46.012277446342296,30.443825461530324,36.81833143673036,41.88070314355595,41.51145468634289,44.045165025739216,41.01432399096855,40.73965540941786,44.58152545325921,39.84695556057575,49.44894006295563,48.96241644065179,42.39182638230711,41.83509267879372,40.11619495486343,47.160814435000475,57.19586989344824,31.43715592369725,45.96861778686236,41.886473398360664,45.46746689281019,41.400003412666074,44.29195064971571,39.78484526617279,40.44215421507159,41.23188335141893,35.95929927410427,33.896461262647804,40.531461969829735,34.932294794902276,37.910623316062086,39.164460243834604,44.51879311214799,35.11011576854118,41.8127303378222,41.26136346732516
Catalan,48.18138325573657,46.24424486182692,49.658560205574034,50.62909135122617,50.50173042379855,46.012277446342296,0,44.91960574556016,47.2847395835783,45.50261444192148,46.599050978237806,47.02498213477696,40.537859901502756,36.47657911278483,48.66211322355698,43.95586670577336,53.659709350211095,53.61217983580378,47.1063511135254,45.128174863729136,40.526894910077914,52.99922423521218,63.045242713906255,46.61941446093249,49.27122570130251,46.77377449537438,46.28702196686463,45.69209535854286,49.30868483345106,50.571121822291666,37.42475946441678,41.54505420967684,47.47943707727395,47.77798505657297,46.04530210401536,44.61441493810243,47.93393550433808,35.75674001717314,47.28323776830382,45.9508593648561,47.70267999406014,47.4993386980568
Croatian,42.168157599718036,40.020351893131156,43.54163076710821,45.704519877516795,29.804174284735854,30.443825461530324,44.91960574556016,0,32.676302473357,39.48090665442873,39.94855348420924,42.64813065775985,38.30989690907572,38.83663257544491,43.26133264618244,37.38751441350327,48.30280235420767,48.48148718038628,41.24662336157185,40.38746612213285,38.10056644777674,45.61028781097067,55.55795200542285,31.83373615168279,44.14396384028956,39.0182012948037,43.79120527518479,38.803514720099365,41.813609376941265,37.20319553543775,38.77851305290955,39.12594035530001,34.274714412341694,26.41020192046261,37.817215631113356,30.58119887570928,31.474726760952823,36.92300356104825,42.40546777912978,31.502589038537675,40.4741840383531,39.266005158213375
Czech,42.36326116837804,42.224750077239214,46.18479758883808,48.2649151043752,37.2171046252531,36.81833143673036,47.2847395835783,32.676302473357,0,41.35172916882725,41.9491641883043,44.25734263261236,39.821888214063186,41.07564815512813,45.99115558285973,41.11963838771228,50.29921396821818,50.64772199488419,42.22469564278816,42.209121564109886,42.333056736696086,44.74474576234179,57.766058444713195,37.15714147485589,47.46339058970191,41.501813943397146,45.17023578611247,40.85989863141389,43.95280165361157,37.18911961487124,40.15509258023643,42.63842105696343,35.48246018858116,35.05237068125954,41.336642742675274,27.53718845376099,38.252215605435495,39.89881556502014,44.71053009780047,33.783576550529084,42.715659230970026,41.540897099492064
Danish,38.08424599931548,42.71071030099547,45.9047474588813,47.75834070552118,45.815843599663445,41.88070314355595,45.50261444192148,39.48090665442873,41.35172916882725,0,37.850009901458336,36.90183423347001,38.231115487304116,39.422150474990694,38.6798557718501,39.08481742441822,49.51072134408305,48.18309493462039,36.603905383130694,38.78090806537786,42.36731515282759,50.180544507034966,63.42689302590322,43.119496864379904,45.10161392145329,39.45818591041583,34.94543793549017,39.62612864537044,44.68457080034956,47.32235010941167,38.75735871552542,41.476642055605055,43.263937593627425,43.20193247550356,41.14571545665533,39.424547169873655,42.1921733102374,38.142412850824584,37.221369177871466,41.58373968517138,41.15211490178359,40.777132972553254
Dutch,31.77605391261602,41.63173872623247,45.401542542109475,48.69527999616574,44.870627946781454,41.51145468634289,46.599050978237806,39.94855348420924,41.9491641883043,37.850009901458336,0,36.54599315733215,40.66362798100832,41.200893454800436,36.218081637308515,39.77846876443046,49.48984391572194,49.33249297590099,38.85229993789945,40.86521096502852,42.77121651638471,47.29248305126585,59.48071060401363,41.584304849681224,45.722086285501554,41.37264558824143,39.537323205092534,40.42131531205302,43.61046401294182,47.029658627748745,39.559419011092544,42.601519053012275,43.3038395830781,42.62873100766664,41.91074421974595,41.16937307397823,42.727422621162255,39.823814944096576,39.17123654075806,42.035060852392334,42.777658125340736,41.5496432658971
