,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,602.4193756591712,627.9843485795654,639.5907102260692,624.5087452885219,625.4030923585661,635.7339103724785,642.4060984298723,643.5082011428011,536.7121071391041,428.90526300678346,527.7370066764588,612.3700515797248,556.7567043294492,552.3010488705913,664.18314944475,657.0520042929645,685.430206977758,517.8973875203393,573.822820549847,685.4593108489515,655.472938839839,778.9578486505769,605.4096913396546,632.8609257260489,618.3320830868142,525.0162768819914,566.716305073587,632.6461960432713,694.9046545195164,590.4976273673736,655.887058058547,620.0262966497716,607.8710407557546,607.8002864153458,612.9957854025376,636.2215419546195,626.6091402692622,536.0973880159003,626.9564810975342,626.8452027326086,649.2452186732268
Albanian,602.4193756591712,0,638.5987419608482,618.7233161365323,638.1038909879063,615.4835757639711,650.640027113535,607.8705420849111,639.8872657147726,627.0418119468502,622.1632685258528,655.616723928236,596.2954235043983,550.2073545095591,668.4333140399972,639.1963462083723,668.236442055652,675.7375801852676,625.4417495908085,603.3172969168918,658.5032981117582,703.7748896767546,784.5728784502985,599.4522902098643,619.5589246803327,586.2464012670554,624.5998817236679,566.6007337351713,628.4119238047368,709.6107467533787,597.8041790194632,639.5023566675893,622.9692154471182,604.9383319680423,525.9304719972857,611.0604222162151,652.6284028223093,602.5868285801031,624.3847486282655,596.9658698737936,598.3574404853786,653.4909432881205
Armenian,627.9843485795654,638.5987419608482,0,666.302125617868,647.0897985693118,664.7875501328842,676.47612067022,643.9488276227928,686.3600200534437,668.4417289617652,652.6846463265875,665.2666754676601,660.9531932026389,619.2253199267774,670.4060314366276,647.2698694493965,701.4238253415517,707.5849149921789,597.6739193776136,656.6327592698345,677.9624836441009,691.7587811664531,754.8109707183723,635.531483139052,680.1799737998762,656.1389682294009,646.5815074612867,619.8190126359182,636.817603866797,717.942952738797,638.7000112542446,656.4525723473157,651.52400531411,634.1364729207995,616.6425372669695,653.8227907365869,684.3975906165244,653.7341268968294,641.79733553641,637.5699325199027,652.5164348871874,647.8009331791297
Bengali,639.5907102260692,618.7233161365323,666.302125617868,0,670.7755426339907,644.0996706924867,660.4969655743952,651.3704281297796,676.3092191863091,661.9188727815064,655.9811157506952,658.2055684418388,647.4452846843649,606.1998703637189,695.6032631032509,650.0431928674129,555.8223506003347,557.465612015043,649.762961674506,639.702745415681,686.7308934569218,719.3462894951625,798.0766469849714,631.9113110069901,556.1954859136171,508.3763261448562,660.7310925060548,601.8172358903479,659.9377025898018,712.182033674531,631.3131299057079,672.3718151962393,666.7604196746998,643.5333322061352,587.5418041605388,649.2039679740155,665.8279260709412,629.0038397507706,644.0181902266987,649.3504656542407,529.0369271870027,687.5315354949403
Bosnian,624.5087452885219,638.1038909879063,647.0897985693118,670.7755426339907,0,511.2153265792613,691.5202926196746,408.36218501612956,548.8608003108785,672.1916881399638,644.6082022578197,673.5012682727071,660.8871615124513,630.1927011995792,673.696108868885,687.8295112287185,708.0125803963838,724.7319176369343,614.6136256230415,679.8226866534626,665.1319439824193,631.7563161887603,681.0354321191363,430.4500594100238,691.0366022044708,661.3717500637072,650.888604140173,649.3137368502364,638.8665913537585,546.027596332829,632.9683924665203,656.8900178859286,478.97662909298066,325.7321659692494,647.6213508608267,498.36533610133307,525.7222860971713,652.1363846128044,646.3351055474011,469.27857148995844,666.8653467489432,671.1952469164369
Bulgarian,625.4030923585661,615.4835757639711,664.7875501328842,644.0996706924867,511.2153265792613,0,657.5537603550808,454.0762012519309,544.5881772736919,625.0848968869802,625.0705753754007,640.6910511908989,622.4679904129381,590.4981993914874,672.9468029998012,638.3092223116918,688.384809154673,688.703124073653,621.858296829887,637.8378904719134,627.5165293170355,691.4936442080545,745.7270172463677,440.9027811976567,661.2560291486959,636.6305317065909,637.9278975781236,619.7675198251908,653.5040241924561,592.073323701313,611.6672423280545,637.5213454882165,529.250866944822,480.7264943868469,603.1066033355726,518.1340002590533,555.8200302253745,607.3982184923248,631.430486133358,518.4014256005785,622.6769967923468,629.7934340768271
Catalan,635.7339103724785,650.640027113535,676.47612067022,660.4969655743952,691.5202926196746,657.5537603550808,0,657.0493130872283,691.5680083718092,646.6194961349277,654.1179776697676,656.0429981851943,581.6824400193508,483.3300207421095,689.4076045247743,651.3359460550649,701.996353925887,707.8733716448627,640.3670565311927,629.5357534518096,589.1992832218633,748.3629489950828,821.8563169542016,652.134149024366,665.5552853478843,658.8596065996364,632.8560640145533,637.2116634477972,690.3681877265636,733.8597854611728,526.1168606009768,595.5944422576183,680.2938333706595,664.1676488251273,643.410346291952,648.7210442903805,668.4687111723194,501.1638800115275,638.4202834603058,659.3957038844846,664.0805529558384,686.2426818048564
Croatian,642.4060984298723,607.8705420849111,643.9488276227928,651.3704281297796,408.36218501612956,454.0762012519309,657.0493130872283,0,501.3687430394891,615.9470300045504,632.5855081050562,653.724082915128,616.1247673119196,595.2562075922339,676.545680214363,630.2422684970562,693.5049116184409,698.6290359199161,634.9860244995954,654.8540569992883,609.0527835601786,704.8947432248879,726.6543689371608,465.4771387506575,660.6012209259449,624.490167916768,642.2167412393864,611.8934327427922,639.0277136089802,566.0805070328887,614.2597958531056,629.4676956724979,521.66276926628,370.64701322449287,590.2448780666429,474.6461790127502,482.8666979851265,594.9151429713277,634.6690459458183,479.66927451761285,626.5716486803722,624.4318958368739
Czech,643.5082011428011,639.8872657147726,686.3600200534437,676.3092191863091,548.8608003108785,544.5881772736919,691.5680083718092,501.3687430394891,0,641.8367702426899,653.363774920411,672.0768673231024,638.1061459258086,623.646879613767,708.3788918269631,675.3977242417657,724.2969083112788,733.8760624126056,643.6877687198479,658.8307978010099,680.4189298078071,680.7355008008531,766.9824944149908,549.47275896448,705.8771687847707,658.9891836847542,648.4415546406359,642.6741301777522,672.2326152278047,555.6341458556909,626.7086661947243,680.9452986683084,532.5922280289316,519.6957275998235,634.2420027913299,399.586689111498,584.4796440673575,633.8030466278875,658.6429513532581,510.1570486353845,646.8456236662518,662.1689188387659
Danish,536.7121071391041,627.0418119468502,668.4417289617652,661.9188727815064,672.1916881399638,625.0848968869802,646.6194961349277,615.9470300045504,641.8367702426899,0,564.2429363271896,545.6017665503958,596.0172875913469,579.2886666114298,576.2630831260612,648.4957955393587,687.3369677251801,693.5467640775614,529.0809782918567,590.9172670343283,667.8242558284537,739.784147055821,834.7896641908512,640.9285681407983,653.0087607637194,612.8678520163412,471.66053130242295,595.3022674652011,662.7101182086071,721.5117003348782,608.4970296850503,659.9782176839174,659.4281076895845,638.9931172340446,607.3274182319075,614.9655462717508,634.1248068355113,617.50985157145,504.81927966229927,636.3343572732066,621.6128940831412,635.2695288657533
