,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.047549791172434,2.341052991030726,2.077990557819773,2.324169198206924,2.07250902531522,2.124022534790719,2.0837654579657565,2.073990765831014,2.049322437918032,2.0874915793641686,2.1568348717188903,2.0439485632760306,2.018140311845743,2.131685718313814,2.1369457229259092,2.216977906668907,2.224112853972947,2.1448136119411205,2.0269592864809822,2.258715493562331,2.313196100346473,2.6103688395101985,2.138716156053205,2.128862136178509,2.193556997762664,2.040432357763645,2.091855935937574,2.2511718836566508,2.3913412354412107,2.070933745164794,2.139710768127276,2.2025178867702766,2.126677651425776,2.0834642542884247,2.1045253871561456,2.2621608808547835,2.053766574069252,2.093335260554398,2.1770707630332637,2.048176906728003,2.3109261319470766
Albanian,2.047549791172434,0,2.2639531597679756,1.9900318705250728,2.2087561156362647,1.9507821531444298,2.0522968354582325,1.9756529406695211,1.9555057333595476,1.9812913862135937,2.072973869083702,2.077460496050997,1.956180746521774,1.9388842839754594,2.1006331107548037,2.0534312233607026,2.1781866334652036,2.192299793741747,2.103309043454468,1.96120772692883,2.168239068848571,2.211175528603469,2.5196158096361794,2.0293894600510534,2.069844405013119,2.0895210022792736,1.958968607077875,2.042867309799961,2.141146136362815,2.3186960070345712,1.9732900535743283,2.0295967025577237,2.0782922728699855,2.0086616172188476,1.9545665945114463,1.9890259552658647,2.157438358749337,1.9244926923558265,1.997877938657325,2.0397113387566925,1.9292484854425211,2.20722734213216
Armenian,2.341052991030726,2.2639531597679756,0,2.299171561761658,2.435318105975671,2.3015311721068823,2.360759926424897,2.2877368418849686,2.2675310645229287,2.348257375025642,2.3292812924396085,2.3835041534560006,2.308512235293302,2.2794374593013944,2.3567206892714045,2.3285606521697453,2.4140973466843056,2.415790382227943,2.3472187771806308,2.334178681827427,2.372850618616416,2.436766551369283,2.602186217885638,2.3213511230446002,2.3600800413103245,2.3293868572468956,2.3488381020403994,2.329812417882602,2.3575601346321515,2.4821952682841717,2.286773016353729,2.3388665847349905,2.366042079035097,2.3145411863551857,2.2630435487451894,2.3400326429396907,2.4520709565338725,2.258820520524673,2.311308921837661,2.331592009334737,2.265126825322665,2.4039120533990572
Bengali,2.077990557819773,1.9900318705250728,2.299171561761658,0,2.2347236227427287,1.9918973566624494,2.0897423125527994,2.006300967214444,2.0186803687008843,2.022551692508041,2.1041435103857165,2.1013935185612733,1.9958539263931292,1.9960015962311237,2.1321625235917243,2.096441297922708,2.1785067172599186,2.1857102910257877,2.1341331658676785,2.0095778747886035,2.1988569090806416,2.243693443073966,2.5470562599820825,2.060666743217666,2.082610197500479,2.098855402828633,2.0149594659230994,2.0770003166847677,2.1931231120002908,2.3419300388084383,2.023252662103986,2.080951699847626,2.1238221579712397,2.0510446292982114,2.015767374448123,2.0539811979982696,2.1983319887150756,1.98982665572507,2.047131923401727,2.091408492047672,1.9628236491505993,2.23433298558232
Bosnian,2.324169198206924,2.2087561156362647,2.435318105975671,2.2347236227427287,0,2.1685766198830945,2.2993233481563933,2.1504167727845154,2.197065067371953,2.2590831741233104,2.297480028729365,2.273705207402379,2.2425162426684113,2.2295778273002314,2.327439149357633,2.2831354697666106,2.403275691964048,2.4037178568228357,2.331781776320437,2.2770583057774245,2.325472036049099,2.3760886726612784,2.5880591843574865,2.1869707621483863,2.3373258541292037,2.279073783316673,2.2493177194035865,2.326953070170846,2.3297521891927433,2.413127381370146,2.2360911463739295,2.266238242016078,2.226845639402312,2.1437799442524623,2.228604044603743,2.231156317282012,2.3357340623713156,2.204739245041407,2.2409076572919457,2.17465770996914,2.192851353905152,2.3459045686414703
Bulgarian,2.07250902531522,1.9507821531444298,2.3015311721068823,1.9918973566624494,2.1685766198830945,0,2.0687994605148248,1.9175209819368153,1.9460661822112093,1.9669387816086805,2.0709870203095,2.042762191241933,1.9533162036320761,1.9677889623313767,2.1076831724480583,2.0670340064614425,2.19783156304592,2.191716623433072,2.123459716211395,1.9785566287698308,2.1501758224796172,2.2147950539499406,2.5286711228491474,1.9977521501005875,2.090655258382171,2.0841501838611514,1.9662852161437991,2.068289640204434,2.1679482807986012,2.2957574027506698,1.985479090705228,2.0300172039153086,2.058802100255967,1.976481403673009,1.9741107644929006,1.9809372761833215,2.1574449808520604,1.956578819428332,2.0105674858459905,2.014243841444623,1.9363546009301285,2.176715306286258
Catalan,2.124022534790719,2.0522968354582325,2.360759926424897,2.0897423125527994,2.2993233481563933,2.0687994605148248,0,2.0859183272764223,2.084044366477127,2.069161483817265,2.1487440878656265,2.1663033346140255,2.0408697301587364,1.999558583801855,2.177420930015397,2.129549600222797,2.2491378800656388,2.258898808377149,2.190615135612055,2.050332609781705,2.236657300298431,2.2964308919753122,2.6067966450953945,2.142719383187754,2.1513894869873957,2.188434855653742,2.0504479598689547,2.1226241471499465,2.2447218126415858,2.408377380230794,2.0477940157282877,2.1135510963202075,2.195603571586225,2.122952743769502,2.0963392193712114,2.1019510698980444,2.2450094739978432,2.0095151741485333,2.0876751452917452,2.1662646633144607,2.0415512016646247,2.303264801685533
Croatian,2.0837654579657565,1.9756529406695211,2.2877368418849686,2.006300967214444,2.1504167727845154,1.9175209819368153,2.0859183272764223,0,1.9541494267505513,2.0055783837052363,2.0810773568708227,2.065875664906632,1.9792846175246988,1.981718412808367,2.1062377640679326,2.0771358417306156,2.1952991628945786,2.194243049139281,2.133988660428808,2.0014664253313255,2.136506741614922,2.2203343722206865,2.4980073135575775,2.017783727992092,2.104090762756405,2.0851921565437035,1.9998039497511184,2.0855773968953844,2.1587134000943546,2.2783223759793785,1.995378039147983,2.055260777874905,2.072446032791429,1.96983565883709,1.9892070219050288,1.9985278520288614,2.1681482861368435,1.9760099317700732,2.0224637349526002,2.023778659541106,1.95724080771946,2.1826532202415434
Czech,2.073990765831014,1.9555057333595476,2.2675310645229287,2.0186803687008843,2.197065067371953,1.9460661822112093,2.084044366477127,1.9541494267505513,0,2.0223067556627567,2.0707626004519035,2.1032974126187947,1.982844088890074,1.968317187549134,2.0881177325992324,2.0708598877963613,2.1967509755175048,2.190894144461311,2.1193023325993483,1.9988181430014897,2.1435391360686276,2.2212674053393875,2.496116464945539,2.042376856903859,2.10910955977001,2.085580040006208,2.008310804541866,2.073692739559989,2.1481538682753465,2.259631799899737,1.9881814172126446,2.050813811885142,2.084710531219691,2.0141769658368722,1.998991482297168,1.9728101598002923,2.204142544069026,1.9731687002775615,2.0282375969832187,2.0440516737608028,1.961954863775663,2.1968284127497872
Danish,2.049322437918032,1.9812913862135937,2.348257375025642,2.022551692508041,2.2590831741233104,1.9669387816086805,2.069161483817265,2.0055783837052363,2.0223067556627567,0,2.095062571463954,2.070214636539863,1.964973431741393,1.9639517804730766,2.1093546478217893,2.1072156604349335,2.2194156015726323,2.2263200280189834,2.126764141501263,1.961597951946522,2.221070875892815,2.263723340856519,2.6249632051021865,2.0740774898276975,2.09946518671197,2.151542880315426,1.8976806479816999,2.074255389401694,2.2133502563717857,2.3900177464834513,2.019916903847631,2.0669659957755404,2.140173745118463,2.0410179415011287,2.0137163763130084,2.0208097995007175,2.175186791578943,1.9831368952074475,2.009689974746281,2.0970225726179073,1.972200632179914,2.262604095250493
