,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2328.8508281054246,2621.4280787804264,2620.5968448012545,2642.63333239424,2457.6920829123865,2603.360207936062,2436.4688794677404,2477.762015298151,2032.9195886324571,1775.8972990268667,2149.8579793031386,2299.0086027712177,2234.7659289240937,2167.0612677997365,2496.4892777693126,2700.9165711414803,2777.3167817170784,2151.62990673082,2242.9456783109463,2657.719871958534,2708.365540741044,3245.2302775736903,2498.3701117696637,2536.1794955231453,2408.4754560841257,2154.9377652687135,2235.1010524733615,2542.685683248579,2830.3904829760695,2288.8521506183733,2603.070601621714,2522.9622230811137,2541.752777399788,2344.5702723266936,2412.2595650822623,2507.7916298747828,2421.6831966750465,2202.187355488766,2577.674406182835,2493.2721031831757,2496.1411298117696
Albanian,2328.8508281054246,0,2634.2955769699224,2531.456411666173,2681.472433867616,2490.3844883571883,2554.5065599733794,2420.7894482181437,2537.7780041077194,2380.002295417574,2461.9712665942498,2553.425990810957,2276.6317415923736,2179.312029153459,2572.402904897219,2442.7967216934917,2658.1475057832263,2667.9419188227175,2482.0388753900065,2283.0149998290285,2588.7289171116768,2818.520417229468,3257.3429645897168,2498.3340046998146,2439.5568070085505,2314.39957669025,2527.2746474287264,2210.41410326205,2551.4046463710615,2857.389431311472,2328.54273314579,2514.923077570148,2541.8486486859156,2573.1383097473754,2140.302486132866,2419.00361599682,2540.594781039914,2387.9285944645153,2574.7356624424747,2524.4263316417073,2428.0118348588644,2581.5563487582886
Armenian,2621.4280787804264,2634.2955769699224,0,2792.4873992083867,2760.5418425173284,2729.278105464446,2856.456844091487,2625.8347069259853,2765.1566269750087,2706.2449804273347,2743.0213065137436,2766.367490986587,2706.3259693653154,2605.070053247984,2742.93905923144,2683.2552132974856,2924.2815307763626,2957.8954993275975,2575.962217482016,2668.5878295285474,2801.8613209214436,2869.0823589580605,3185.504834932851,2696.4545510083644,2799.5320302089413,2693.022811594415,2734.5872839569633,2577.516638375498,2653.949401669985,2940.3287089137607,2650.310657569226,2776.0449722493513,2751.9315257242924,2733.749445282964,2589.3207962394267,2665.5638269324004,2813.7459037573567,2737.1407606030557,2735.8381072590996,2744.9241394059213,2735.626769548416,2703.826223622181
Bengali,2620.5968448012545,2531.456411666173,2792.4873992083867,0,2794.0599872325156,2620.605329407858,2746.261144935731,2578.9950453924753,2709.0357857939553,2637.7445411821755,2683.25725564856,2668.600253940303,2556.7318663517917,2508.18771999608,2741.64093348752,2615.7050960503248,2285.58717634573,2306.487038502509,2672.8276699781795,2581.6573227328563,2746.4010811733488,2904.6744969444017,3289.146993157887,2619.117587383085,2281.2789824505726,2129.63736116261,2740.313113704436,2450.9612111839165,2729.530429219386,2917.629015721742,2538.426393626891,2766.4840682942295,2719.3375309198514,2696.714278997156,2452.257894513753,2625.403562302343,2662.013157626426,2562.3362887886256,2711.9733995173556,2717.132485534002,2229.9289053708144,2795.7294173197733
Bosnian,2642.63333239424,2681.472433867616,2760.5418425173284,2794.0599872325156,0,2202.9549120300276,2924.448304155332,1677.6279481897677,2261.728291094123,2718.5380320711115,2704.8329861432085,2802.642566572662,2702.4385477283254,2667.496783471571,2759.3336114432204,2757.6962771329013,2915.8508242906864,2998.9649163749245,2618.1597342563527,2787.259512112959,2709.1937366970947,2592.5461102787663,2817.5758315907055,1945.960243975966,2864.4631184930026,2687.420731335637,2759.665213619191,2717.0674977018857,2687.5904209880737,2292.5051907679663,2641.306276558789,2709.4302456928262,2081.7967168838277,1521.095470257741,2648.494511342197,2064.1648315687976,2205.657529570493,2715.7609096480755,2751.4136231090138,2046.1278701194499,2777.079561370863,2781.7338974954314
Bulgarian,2457.6920829123865,2490.3844883571883,2729.278105464446,2620.605329407858,2202.9549120300276,0,2651.2397457152333,1939.6931245521937,2256.5328488968444,2495.3673278535352,2511.396287273945,2592.0262626704557,2503.2280168519533,2390.117423721174,2610.5035305177116,2540.191309614409,2698.9822827981598,2745.6094373708825,2522.1316344916063,2480.6809688211397,2604.265627606353,2777.8039117304734,3076.5708659998454,1923.647065266297,2597.9306999518303,2546.5180719389873,2649.424439510689,2481.781376840746,2639.1465879944535,2478.777808498066,2441.19931488347,2613.8537613245517,2206.83816992568,2080.038189794539,2474.380144670332,2132.593572046593,2266.6613499298014,2467.455118120823,2624.469055772374,2248.8288149585023,2520.041832192697,2582.2441771751705
Catalan,2603.360207936062,2554.5065599733794,2856.456844091487,2746.261144935731,2924.448304155332,2651.2397457152333,0,2625.023348408358,2798.751175212691,2565.5825745711422,2669.306094564718,2624.5116812999304,2258.4717621069967,2001.0004553070319,2723.779845253123,2630.6432183425222,2877.316497197555,2918.0378868120056,2660.6578665359643,2539.027716953077,2380.5551505386393,3046.517563846064,3383.5869386600766,2719.1105021343274,2711.4946215483315,2671.903002279124,2590.093524854811,2582.023484477804,2785.4529133726637,3000.1974306979505,2142.1988581050564,2502.2528413704713,2796.8712987226418,2792.4413048478586,2597.8588443981703,2642.8336826339573,2739.8622666985757,2068.108530402129,2657.9421557805545,2763.1591092863096,2713.9692467747986,2788.1574661215736
Croatian,2436.4688794677404,2420.7894482181437,2625.8347069259853,2578.9950453924753,1677.6279481897677,1939.6931245521937,2625.023348408358,0,2070.8531968853376,2455.9899232822168,2505.285475323224,2577.665629729824,2437.4211640347326,2359.8661006191355,2590.684405496734,2499.439796001294,2653.4818953843874,2711.202153493608,2490.613813153808,2478.862099037941,2519.3045897926877,2646.457707178415,2799.823541251192,1938.8462030710025,2544.9902872390935,2473.314915756974,2570.5876685138314,2418.083040370096,2499.081341891887,2270.985743609479,2432.692186551354,2516.072570122597,2100.8212162113477,1585.9320519099902,2369.7045035042224,1970.2670683278182,1987.50095224794,2451.8321991372786,2573.6054251969563,2030.9374700097903,2516.9867984981433,2556.41571273637
Czech,2477.762015298151,2537.7780041077194,2765.1566269750087,2709.0357857939553,2261.728291094123,2256.5328488968444,2798.751175212691,2070.8531968853376,0,2487.474849976728,2571.5471783584667,2581.2319155524065,2497.6001223246317,2485.9171326117557,2688.1031159203785,2650.073659871022,2790.2019839358168,2823.0498303953755,2557.9887801802856,2571.691677032162,2707.6660849687155,2563.7448812439325,2976.5807126543145,2272.529076528016,2712.743252683007,2563.880956916185,2667.7902622070887,2496.1808228580644,2663.9113702077966,2297.7069954625736,2499.8603902588616,2661.4865123280924,2218.4542576525664,2163.2408719106998,2530.2802303420854,1775.5089000978485,2325.9084309372283,2556.417023229792,2695.295580199442,2192.417514114856,2578.803805050527,2624.199231462534
Danish,2032.9195886324571,2380.002295417574,2706.2449804273347,2637.7445411821755,2718.5380320711115,2495.3673278535352,2565.5825745711422,2455.9899232822168,2487.474849976728,0,2226.865632212397,2154.762959301997,2236.341666189066,2227.938076093901,2210.688023397028,2525.0309136571395,2700.201572974981,2741.2119873937895,2092.935554657239,2162.6561341303086,2679.710520070055,2810.025678555129,3355.8284983476447,2575.0581919508195,2532.9557143629404,2405.193362438264,1978.790042974647,2265.487520874014,2568.7560141036097,2868.1002263084715,2281.85024504261,2596.948805179393,2581.8192057229658,2632.5933103351017,2361.7646752170544,2404.694236353521,2493.282020698231,2407.9331061499233,2145.882307814983,2588.260935226466,2451.5712156480836,2514.0346508862194
