,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,27.93650239011958,28.383705921851046,28.738969150522898,28.081600597282957,26.370975483552925,28.164168662628285,26.778835648087384,27.360851197902328,24.807258977458755,22.470323502320607,24.46479777274224,25.782242064239767,26.384173559757826,25.01248970121312,27.236979796091006,29.649183578828858,28.971496524696,24.692574110509465,27.043224361536183,27.59687270616799,30.585424953522246,35.7258366550148,27.32056630611581,28.916500429385913,27.28582793504323,23.522254295976417,26.06592593671837,28.972523417578625,30.236319043354026,27.391622268763463,27.22210353199827,27.369779849645397,27.22177153892883,27.955190282561695,27.32155628307223,28.301336655086452,27.028309958938458,25.368918585785863,27.684332499855252,27.835569525815547,27.15892715762131
Albanian,27.93650239011958,0,29.2632954605441,30.141615299639906,30.791351301369506,28.970783072001947,29.83461241959097,29.100363305510776,30.35188023035637,31.435358883747075,30.853161593369443,30.758640920369604,29.0017040274429,28.11598225012139,31.248710442086765,29.387069201751522,31.867678942397447,31.362212588225326,29.50621442793339,29.44810332121806,30.009468198043894,33.761955748073376,37.01086466439433,29.54410510530767,30.291724548979268,29.88548212340381,30.188937386698363,27.717842734102895,30.211958986460843,32.387766128096715,29.792689531604132,30.02840684360055,29.425688113325954,29.518713627815583,27.54693841182822,29.797784740654606,31.054205208158177,29.033631420517136,30.38689758148347,29.422664420760885,29.763723779466126,30.225893286705833
Armenian,28.383705921851046,29.2632954605441,0,31.24861418277096,28.37394513014739,30.030256250703665,31.901503857835873,29.477071303494007,31.23093857665813,32.47059798532795,32.18992593206339,31.454318278596492,30.0123597729146,30.458537975483427,31.491449603607435,28.9460887078116,33.30069939542484,31.922729383605272,28.63735633588242,30.966807163129822,30.0095232863087,31.73116682822399,35.39312949129754,30.5447354138944,32.18514522335873,29.74573536095451,29.588204474543637,28.782711411294077,30.01843431021107,32.651488609359696,31.355802979300474,30.199306075929215,30.033492342486763,29.907978855758483,29.229174751948666,30.601113825555235,31.59133264182196,30.997914286918363,31.193986806674523,30.458587279036806,30.74517624873156,30.484430195488457
Bengali,28.738969150522898,30.141615299639906,31.24861418277096,0,29.076131154671074,25.38695196923586,26.73532077431126,25.904101949702916,26.693727457995184,26.622444399960813,27.041967783769056,26.304801531900754,26.16521133940298,26.921551221879625,26.665077108000258,26.49574262757536,23.842562195301475,23.62460575262531,27.66333307329384,27.52757312918667,26.32433697256887,30.07353000020031,33.94891037808111,25.376655210016093,23.78390565243547,25.183411977088078,28.286290735466586,26.335379908290687,28.9954370490235,28.002427097588953,26.78228025196413,26.37768666576134,27.067814708039133,26.184196456431813,28.166773107916917,26.48844114517997,27.592439507217144,25.845407607930646,27.20342835626457,26.415167920925523,22.93007194911454,26.824988101605587
Bosnian,28.081600597282957,30.791351301369506,28.37394513014739,29.076131154671074,0,24.692238817156284,30.179559837423056,21.105718800866455,25.270862189361452,28.321704187834797,29.873157067763774,29.109359030952643,27.058821439996656,30.03192706670557,28.778826814782807,28.154730185409694,31.567402266234023,29.426777932330683,28.737230695529856,31.57627606619832,26.741502512800004,28.209294507981056,33.104955284485,23.162084548851706,30.78847974846553,25.258802620156693,26.964050292249013,29.887153488464563,31.112046963317983,25.20890728190757,28.457987794264408,26.908324939226826,23.11500117473975,18.89322161248144,30.290211018323074,23.317379477319285,24.226080067209416,28.716444222248963,29.52506460429994,23.831671354311318,28.361889029627772,28.438502926278137
Bulgarian,26.370975483552925,28.970783072001947,30.030256250703665,25.38695196923586,24.692238817156284,0,24.733824101959083,19.467876208949228,22.44226407037381,24.548241369599147,24.940295901066737,24.785139579622427,24.662538542103903,24.598005077398376,25.315384518000815,25.390882128800566,26.459487372031685,26.132623851559348,25.519465622109212,25.684631242503723,24.665810742750793,29.42698106311999,31.88702296930392,18.720682403203735,25.18852826479165,28.36611944159773,26.3908998189854,25.370546620614594,27.616910330284203,24.53053326208212,25.033083572775784,24.999479167344933,22.29634738398768,20.862245715744372,27.98005587398579,22.05236379813031,23.644793742175217,23.629250926794665,25.56358211593499,21.750543097180255,24.30595135856605,24.332818398435055
Catalan,28.164168662628285,29.83461241959097,31.901503857835873,26.73532077431126,30.179559837423056,24.733824101959083,0,24.94160435616703,26.999184041932242,24.886682895386468,25.89925525932636,25.41991788381094,23.145188949006183,21.83378398059073,26.48375729547537,25.90053452571538,27.800305287553716,27.734511645983112,27.418850426990023,25.967071019234286,23.69649095718129,31.31053177050225,34.27173000349893,25.251183977619263,26.171920422494757,29.770843132157562,26.04010760897243,26.87598308789984,29.687922955217086,28.676896217682394,22.599346142178202,23.93627586924472,27.09468953390037,26.413259760344474,29.372034923508497,25.65815158030545,26.61859237515274,20.26778603742352,26.148186434451713,26.178290622311255,26.273154546375725,26.43980914860773
Croatian,26.778835648087384,29.100363305510776,29.477071303494007,25.904101949702916,21.105718800866455,19.467876208949228,24.94160435616703,0,21.956765932714333,24.645009347203327,25.74393848609635,25.69155879556998,24.448458850301613,25.228675846020305,25.486528556132793,25.12698410262685,27.03453266390042,26.27126779005745,26.096127415663467,26.56353452522694,24.34518293567949,28.925086536985958,31.49603479926181,20.061540787223784,25.774540518036318,28.139431618679822,26.12624360335661,25.987042707958818,27.47615272511504,23.04772971800943,25.252833915150088,24.569580710768594,22.253724146091567,17.824418607928653,27.84468190604691,20.85004966348397,21.249808406703046,24.32980395593821,25.759173672324977,21.273969668271413,24.86062147220848,25.13597941398947
Czech,27.360851197902328,30.35188023035637,31.23093857665813,26.693727457995184,25.270862189361452,22.44226407037381,26.999184041932242,21.956765932714333,0,24.59630574415605,25.700090789079624,25.932529100410314,25.1488380704668,26.573084727757024,25.701602283971685,26.258859903400477,28.48286155594596,27.772361000965926,26.641682439798917,27.91512494631535,25.49167515259712,28.657166063092863,33.31973086722752,22.757491167656813,27.59062541080823,27.60724027443322,27.19846199623003,26.694708159928485,28.69049728342326,23.899078984747746,25.63039740160917,25.939752951664346,22.74535483858881,21.929522938330113,30.250049294844853,19.23700058843541,23.92680806709525,25.62959738136308,26.435946409740016,22.246640062998008,25.60935832389118,25.81374501707603
Danish,24.807258977458755,31.435358883747075,32.47059798532795,26.622444399960813,28.321704187834797,24.548241369599147,24.886682895386468,24.645009347203327,24.59630574415605,0,22.68868942313207,21.41454636720225,23.04070770196907,25.655546322018235,21.4313713478915,25.255631901677372,26.924369169637334,26.216354202730596,23.784716990584425,24.828381748404095,24.839267850814558,30.490577795268205,35.56339700889793,25.491572426638317,25.626786214588975,26.658299944418395,20.903788818112048,26.238321357303303,29.786365593485268,27.65293583912214,24.039998271741037,24.396685326150806,26.249783725255313,26.19374921043825,30.671495438246918,23.78192887518652,24.995211734978124,24.10814197167579,22.244013953065295,25.55714025810107,24.981408198900404,24.350987299581824
