,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,25.55920450888915,24.884017392567163,26.147190024006285,25.51718311554967,24.556015333288574,25.623225414103988,24.38787486051414,24.88317774087537,21.486617245924585,17.736928258381887,21.374969202011503,23.915358033008225,23.331911219746033,22.33347428749137,25.076254175316226,27.301043025545756,26.90899246419398,21.568411026799517,23.774537473453815,25.604317138259283,27.27631535167915,32.00232292684146,24.49330576748962,26.34186841097743,24.554629988371847,22.001853136148263,23.231779230457853,26.13943395075391,27.68762433799476,23.52568616204177,25.167519765680048,24.96000811520534,24.455591244872945,24.443317561246914,24.600674061491297,25.849876319751164,24.326480157883083,22.27079468382719,25.063444204874887,25.446384346907035,24.395945161283738
Albanian,25.55920450888915,0,25.809810022175363,26.371551528739957,26.979081305236594,25.762569417845096,26.760520123016384,24.989278511395817,26.617731122827635,26.38506210235072,26.15074336398177,26.821941339976874,25.071096056083395,24.22187185635553,27.72202202175108,25.171560922253207,28.417180791242913,27.46200121041066,26.32668117247705,25.80745431864686,26.073044252351952,29.311209805752934,32.49941196338529,25.543134243825616,26.563298649485763,24.635278174024247,26.933653339382097,24.144098032127186,27.136064049087704,28.96215006491656,25.395679054924535,25.749378134545715,25.813354150124063,25.577695665704407,22.841524568278032,25.81915753851089,27.226494531838807,25.09888972881934,26.402428492899737,25.233285320549445,25.82287408201774,26.114567799422797
Armenian,24.884017392567163,25.809810022175363,0,26.78687204562857,25.651503301665606,25.93719393385539,27.04111417020664,24.910482768692326,26.37211191092879,26.63541797238313,26.01985332787217,26.38599845168131,26.015255114931875,25.28024304536694,26.73124289952657,24.904018337683127,28.840336110081747,28.024618397746806,24.07186849105338,25.915684132453023,25.86578849689838,27.051684821708996,30.332197729593947,25.341521375806757,27.82212782708196,25.78788583193345,25.909717161369834,24.617248246483232,25.73151149404286,28.14886991280595,25.26401526963483,25.605638201287658,25.592931770050203,25.253288230112794,24.482644985611266,25.88776101575322,27.513397905636932,25.80133190044254,26.14517688485461,25.51177442334226,26.23218593836234,25.034452728335253
Bengali,26.147190024006285,26.371551528739957,26.78687204562857,0,26.87204260595651,25.07741754963297,26.100886911483475,24.87275388424595,25.856664315896595,25.711180152385726,26.038895132957478,25.520827328040188,25.300390404971257,24.963573247673708,27.05152110065988,24.817970352972832,22.702765445535565,21.99818008170326,26.406380745083684,25.771493245848646,25.88279699408941,28.31176831135665,31.87594627549114,25.054422886163525,22.725083117637215,20.663600568362792,26.30520052703546,24.432837632205068,27.135375766832812,27.821582141876977,25.041195631255142,25.717139661924946,26.249936069380066,25.49328517842802,23.99778466754591,25.531423162757285,26.443371867870106,24.698711415579005,25.88753075810947,25.617094087851832,21.22386075248628,26.050715937080238
Bosnian,25.51718311554967,26.979081305236594,25.651503301665606,26.87204260595651,0,20.727164978116004,27.26571849656188,16.126672394591143,21.45741927378815,26.281300266942367,25.700922207942398,26.514019936823335,25.73321952557047,25.99267459399172,26.445858848553794,26.043307093286924,28.73591265674291,27.999825800704844,25.120401710309118,27.367211414387082,25.07768901760144,24.84096088587046,27.71874613022137,17.908389959395667,27.884982555619747,25.190270869280166,25.932692033003594,26.225162240884824,26.93458419698129,22.028771424510797,25.09896332020087,25.158535689059107,19.384749484001823,13.837066334279474,26.07341700837623,20.040004418051623,21.252565862079685,25.52527423935196,26.072374690617842,19.189802774067783,26.422254493172236,25.84623746445309
Bulgarian,24.556015333288574,25.762569417845096,25.93719393385539,25.07741754963297,20.727164978116004,0,24.90869955708936,17.690310208597946,21.097121221541588,24.113304133783526,24.122628930599983,24.71685970775213,23.984969970878,23.55800909863532,25.396005621295647,24.063028716210752,26.959428456936546,26.021845274904756,24.407781109493865,24.43954249228978,23.52139443864727,27.030666091875883,29.44377429697869,17.457100509086303,25.749124907037956,24.768259826869542,25.216595484376334,24.113843932022192,26.32144830605015,23.276001846701995,23.61272671102451,24.063888808281757,20.90127566044636,19.069689108923285,24.217190708627168,20.457372344699415,21.91826637547771,23.119406729597017,24.758175265835852,20.644717413129722,24.223792864218954,23.643408384642346
Catalan,25.623225414103988,26.760520123016384,27.04111417020664,26.100886911483475,27.26571849656188,24.90869955708936,0,24.634364618328778,26.170209502817574,24.655116962403586,25.296634754567787,24.844939015232818,22.14765422014959,19.528693579858793,26.228800964822433,24.470024652998806,27.554381357250453,27.018197244475104,25.581190047808334,24.459337728939172,22.24882893377078,28.888343953556227,32.2487949764963,25.175776077524066,26.15940271221892,26.159349622359564,24.55942103429738,25.359229740109726,27.892796041767706,28.384220879394707,20.37775907648843,22.65637509564016,26.200919124895023,25.728866246855418,25.581582277072222,24.88192851634502,26.25822376321873,19.083740154407113,25.15719084016645,25.420438845538133,25.750015340534738,25.821512597058472
Croatian,24.38787486051414,24.989278511395817,24.910482768692326,24.87275388424595,16.126672394591143,17.690310208597946,24.634364618328778,0,19.79751812375705,23.638711730623417,23.974431703910625,24.595742479015712,23.297338587413204,23.06794353646259,25.059143914332843,23.642677331095985,26.39824453853715,25.875730910359973,24.391194434879452,24.433133135125246,22.769334855894268,26.245077417517255,28.01171975098811,18.01025867612099,25.058957976726706,24.0918025716926,24.643788523249615,23.461159921021917,25.319745000747996,21.854056237945244,23.615500514615682,23.260509038366237,19.944833135294317,14.58504716320868,23.519367883410872,18.722227179295018,18.730097166850857,22.743817362282996,24.47831099359746,19.030144241294874,24.104708283192444,23.610109399021674
Czech,24.88317774087537,26.617731122827635,26.37211191092879,25.856664315896595,21.45741927378815,21.097121221541588,26.170209502817574,19.79751812375705,0,24.311896381624376,25.033186080415653,25.141931648302652,24.24968303089133,24.418096809086826,26.280333958231196,25.28004072018808,27.85085498083994,27.207974561202512,24.869630734091807,25.491267750802738,24.935956887258566,25.926454688348443,30.256894547094745,21.351240056192776,27.181792320156415,24.74084734175784,25.45097986455976,24.666558691723065,26.68419883788583,21.730401629220797,24.325813647600693,24.894432009117512,20.59843989002528,20.24019987559492,25.395853537147858,16.59227887928719,22.800626414902606,24.50185322037672,25.415180636487165,20.12936243494482,24.886048420380487,24.500670621159372
Danish,21.486617245924585,26.38506210235072,26.63541797238313,25.711180152385726,26.281300266942367,24.113304133783526,24.655116962403586,23.638711730623417,24.311896381624376,0,21.837905211184676,20.812625207049322,22.460009927880638,23.132671987474836,21.514998373069247,24.223726897732366,26.497435570947175,25.98094965697395,21.51145760316769,22.788879668323766,24.764602939279854,28.45808229364895,32.89310960582317,24.783862100952053,25.184570197060495,23.59027732888253,18.760247966836143,23.51109339396717,26.92478124357992,27.76455193220853,23.238895935861073,24.301374594694554,25.366278880055226,24.86267651876428,25.06445227128288,23.73516876244122,24.70275276661783,23.474270941307843,20.451118747318237,24.666860181900894,24.106348285030272,23.853068965661382
Dutch,17.736928258381887,26.15074336398177,26.01985332787217,26.038895132957478,25.700922207942398,24.122628930599983,25.296634754567787,23.974431703910625,25.033186080415653,21.837905211184676,0,20.596433440801928,23.908973039973073,24.393609453679026,20.14277598588868,24.24762142500978,27.049618553391035,26.39156936337677,22.551798701644607,24.2665425226289,25.140940550324444,27.11589695232733,31.20258388558369,24.229950109853437,25.9549110815372,24.945940427687535,21.985701110663268,24.31669489299822,26.460090693986434,27.653883660024942,23.538713487069995,24.87313253515474,25.282127602868812,24.58398002308073,25.50783416906241,24.826692292590007,25.32889784541621,23.979356656108685,22.06893284913614,25.02461572590115,24.987181234422877,24.377665299129674
English,21.374969202011503,26.821941339976874,26.38599845168131,25.520827328040188,26.514019936823335,24.71685970775213,24.844939015232818,24.595742479015712,25.141931648302652,20.812625207049322,20.596433440801928,0,23.574883144154736,24.394960782797554,22.30502582995998,25.221137735718727,26.711689600357648,26.999494639999774,22.939941207993293,23.419691929482322,24.88543043503455,27.422627088351035,31.873876151127206,25.010434836026963,25.927412935075445,24.633553901287733,21.659702507582075,25.150374250741987,27.282830392940177,27.912639183933358,23.27143232830379,25.22405631313992,25.595441538712663,25.262980995646966,26.295282083596362,24.709361704340868,26.045417981619785,24.094812903279273,22.313279130688535,25.25864004465465,24.883229959192715,24.01375811520973
French,23.915358033008225,25.071096056083395,26.015255114931875,25.300390404971257,25.73321952557047,23.984969970878,22.14765422014959,23.297338587413204,24.24968303089133,22.460009927880638,23.908973039973073,23.574883144154736,0,21.058372512759416,24.84600105748153,23.636830325426335,27.125752576315577,26.0209783758342,24.74966524156908,22.87106337234988,21.89613849428159,27.60767159394861,32.19859199641197,24.581245472267142,25.047997381256344,23.910513298908747,23.845427303554317,23.313585019838683,26.405582184041073,27.220176175311394,21.173384593281625,23.00662920109852,25.031856980609888,24.412337108614636,24.37813456833978,23.73772598295685,24.928984014552825,21.122101997950438,24.826020493519753,24.496736441240387,24.282050992948133,23.603765928756953
Galician,23.331911219746033,24.22187185635553,25.28024304536694,24.963573247673708,25.99267459399172,23.55800909863532,19.528693579858793,23.06794353646259,24.418096809086826,23.132671987474836,24.393609453679026,24.394960782797554,21.058372512759416,0,25.58663142093891,23.76849275933652,26.69414680170838,25.969385787251195,23.7166289964595,22.783431748137062,20.995591601665218,28.514426814929315,31.876945571146127,23.711411402809688,25.094281311220794,23.67548385373655,24.21846283912967,22.907892340556042,25.501623508380433,27.488236919017442,17.52879066770376,22.29350364300287,24.812706899835334,24.2826497575348,22.735861648845496,23.887146112773394,25.203812892644855,15.199040371397244,23.795398927175967,24.16210190523449,24.518073873498956,24.047002415500756
German,22.33347428749137,27.72202202175108,26.73124289952657,27.05152110065988,26.445858848553794,25.396005621295647,26.228800964822433,25.059143914332843,26.280333958231196,21.514998373069247,20.14277598588868,22.30502582995998,24.84600105748153,25.58663142093891,0,24.7384033937178,28.365054209133632,27.719803997016996,23.417919584385974,25.103228911350325,25.404084077486594,27.97465681855741,31.857257899347932,25.646961844954884,27.210555936885186,25.879292788991638,23.84229185339316,25.86356486673783,27.204792226211804,28.70913273533163,25.24116807546018,25.474385315949874,26.54889284596714,25.629175548413833,27.10158316080618,25.64615493715483,26.498165784029794,25.3085557255532,23.023117112187162,25.91863255647455,26.204185716539676,24.97656561321215
Greek,25.076254175316226,25.171560922253207,24.904018337683127,24.817970352972832,26.043307093286924,24.063028716210752,24.470024652998806,23.642677331095985,25.28004072018808,24.223726897732366,24.24762142500978,25.221137735718727,23.636830325426335,23.76849275933652,24.7384033937178,0,26.945048276309915,25.737189453744072,24.291316778872435,24.17190681320418,23.779825567066467,26.672547115330854,30.308060613326575,24.656094942271608,25.595268410292533,23.809195220786115,25.238730185682005,23.87215741530151,26.443063904816388,27.811697139931063,23.587016769859602,23.35014946600702,24.99657323375626,25.018611822096638,23.60870821704664,24.456822986891325,25.878125771849486,22.791260508987307,25.151646251243406,24.182763915283104,24.191262680672384,23.661036020165962
