,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,18.372372605562553,17.80349853570213,18.878290571048428,18.407227982963875,18.2090557512351,18.19180489834926,17.905668000695815,18.26445377470972,15.092599892075826,12.294303075088578,14.84566032477985,17.369351184567446,16.562724937678478,16.148358509149777,18.100119548145486,19.144445752609297,18.964369311211307,15.314606774536742,16.880816625887274,18.91531638126844,19.69577267108347,23.14672903877778,17.78631166388954,18.317257699897503,17.690036472462726,15.50638309046794,16.571360359795108,18.975550316507796,20.272367282800307,16.977613204381488,18.34928064817031,18.03886634674645,17.735320956086927,17.635828435446715,17.727233949997885,18.250918254982764,17.5604565318025,15.565010183477415,18.089222868750653,18.238055804587216,17.863804322626386
Albanian,18.372372605562553,0,18.422576905919094,18.603287092564734,18.9678170254719,18.09392042831744,18.909403776424064,17.189721774706996,18.49398672632632,18.119123442459706,18.41581373275387,18.716290558441393,17.129281504730244,16.43909757503963,19.740503447739393,17.579483206930586,19.672720190197058,18.830806818286383,18.717472047276544,18.07117645229748,18.24522786947904,21.24429770488716,23.543888805206315,17.852172093847166,18.197682936868187,16.971794875832693,18.662239860969123,16.74849148219481,19.04461707276419,20.91394198995304,17.50511878494399,17.864428155994105,18.247466270712934,17.85544933260308,15.382397016088083,18.008641092120037,18.973968729074436,17.17135407591105,18.448517684622256,17.463401557267808,17.60703608765666,18.324799380718638
Armenian,17.80349853570213,18.422576905919094,0,19.027316554872602,18.467005833067347,18.856734169448387,19.06669875212625,17.893143039479277,19.031149771892306,18.61612167200329,18.451963216477047,18.53575379203079,18.506530274783895,17.639727461194912,19.107564444549887,17.79835455532913,19.845882714961704,19.46642362738256,17.15272928197098,18.438928973106425,18.792922757719868,19.607739831970175,21.862871728186605,18.06677055255572,19.191988455119258,18.467040454261642,18.55430711315117,17.457487003637677,18.26024733417162,20.55012468311538,18.042316594519736,18.26256628307286,18.394884836894956,18.006404175091465,17.49488109971024,18.461922303409203,19.2838530438966,18.33947032441613,18.30458814340426,18.089506561826173,18.4863960603532,17.967964421095488
Bengali,18.878290571048428,18.603287092564734,19.027316554872602,0,19.658446958911405,18.732341561347745,19.06672416120224,18.3742710705523,19.251544100198654,18.92448974080658,19.084656795825193,18.78710501939228,18.479901735704672,17.734522503149893,20.273963947452412,18.053950967728472,16.067758664571045,15.462812157353728,19.09515328754871,18.669636698867585,19.073531809908104,21.111054275475887,23.506777739565788,18.493690043971146,16.025574870645215,14.546796794390206,19.450536162316347,17.462849690568905,19.58945239609566,20.83741927488964,18.365365852382354,18.91141318616758,19.2823049673438,18.77654919494296,17.033881744207157,18.8544371722223,19.111080482584807,17.863204496528613,18.821901649282722,18.775360519647748,15.352640850869424,19.34248485477496
Bosnian,18.407227982963875,18.9678170254719,18.467005833067347,19.658446958911405,0,14.834757895092777,19.844771474139385,11.322493037849911,15.427334076575598,19.10479277326004,18.636454315123174,19.202513569361777,18.872294740310565,18.413130441094307,19.5971329617582,19.062804445310306,20.5271800923608,20.196632086102472,17.987353171949074,19.749716670192182,18.48909158026118,18.38370648224636,20.025661561466173,12.531252161851253,19.916402151618254,18.93766375390327,19.0234657752022,18.81557652994335,18.86538132654517,15.866124750235327,18.265144508559228,18.385021412808946,13.780904272200793,9.415384982528462,18.744238458890113,14.28779240860103,14.97620617135397,18.508616162079118,18.75213379460354,13.497022943077317,19.294140388251837,18.84311222394161
Bulgarian,18.2090557512351,18.09392042831744,18.856734169448387,18.732341561347745,14.834757895092777,0,18.815989348012934,12.668129867369096,15.290194570729533,17.664621725759783,17.984701251643248,18.248127119094452,17.66234891924277,17.17592588106427,19.51297173256756,17.663656983871284,19.88859461252494,19.204363419586766,18.101211735557214,18.38087188319904,17.456747880521387,20.133946961426126,21.84362308945823,12.785671535203903,19.015436111383732,18.10340183410748,18.67448031696969,17.83059719763824,19.13104913797703,17.147820024098856,17.580941489808694,17.891901395089985,15.300954522685224,13.911803835612561,17.34154775787128,14.849999504598205,15.94353393483198,17.247182927117198,18.27546696660886,14.943744586770217,17.9172780126573,17.590622166802508
Catalan,18.19180489834926,18.909403776424064,19.06669875212625,19.06672416120224,19.844771474139385,18.815989348012934,0,18.403291436947345,19.51064436872485,18.177891386569375,18.628386770856206,18.291733849272138,16.3207984663907,13.740801242062373,19.67449922545833,17.835355448763615,19.925675489330963,19.474553927137777,18.369773009384353,17.933934078902173,16.26027432755734,21.403470663656776,23.79788979969146,18.71920886086603,18.855101254889977,18.571733339534614,18.247628897862135,18.11639826057213,20.04598360170272,21.12025524333997,15.037284121564799,16.608638012596607,19.27993649271361,18.989325437866746,18.34208997831592,18.57654326744801,18.999178805258417,14.112880436257802,18.35579051607539,18.752216765621924,18.901619637189437,19.06903576414035
Croatian,17.905668000695815,17.189721774706996,17.893143039479277,18.3742710705523,11.322493037849911,12.668129867369096,18.403291436947345,0,13.933411345145057,17.05570369191398,17.691552455130864,17.993094882347286,17.00152124661007,16.516731338562533,19.017214745752042,17.274495376774613,19.355614675640844,18.957648221464762,17.873957012458995,18.22741904706767,16.67223318138623,19.428357435357732,20.64560915992784,13.089344781704925,18.341759242855513,17.373653390719657,18.159539327817335,16.96547762384654,18.02131368151134,16.063205591760074,17.309239275305433,17.108990664082057,14.427589559397433,10.311450739703963,16.44318170861195,13.38478742965246,13.527201848621923,16.674272003391945,17.895366789002964,13.498434131840144,17.528008086674088,17.214777650742082
Czech,18.26445377470972,18.49398672632632,19.031149771892306,19.251544100198654,15.427334076575598,15.290194570729533,19.51064436872485,13.933411345145057,0,17.895960874110816,18.58516408489587,18.45898593042113,17.752008270418543,17.558853568291532,20.06979839320937,18.463349313055375,20.33791352728949,19.900097426520308,18.330373889515638,18.701002668419683,18.586001649998476,19.07635836403311,22.053150632718754,15.574681196165672,19.71299274866294,18.471252243655005,18.57994499420599,18.009616908531225,19.25822908287677,15.780698153581922,17.801184865330082,18.426514625115967,14.85843964594257,14.647299541526948,17.700526749376,11.55199184937504,16.45467848282417,17.781802579795997,18.73975587219762,14.408453075756,18.236735370352193,18.16632312387249
Danish,15.092599892075826,18.119123442459706,18.61612167200329,18.92448974080658,19.10479277326004,17.664621725759783,18.177891386569375,17.05570369191398,17.895960874110816,0,15.873347203327425,14.919877656295427,16.451797555667508,16.371672175122978,16.340588561998917,17.69017645066232,19.276658441046564,18.826252617764453,15.09433143672663,16.568373367955605,18.271920711152948,20.91156490881669,24.090778228950377,18.218758083968613,18.181311964145376,17.081720789463386,13.563957847648323,16.659464217889447,18.989706983485977,20.62726702988672,17.19030661279815,18.08416994288436,18.493273535349836,18.113116264194424,17.09195829550943,17.49737902273447,17.834968718376203,17.235803494292142,14.435871033497591,17.964311308303536,17.493304632015565,17.378579044982963
