,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,15.443567491068395,16.418668778589872,15.5599136899257,15.498964538708456,15.32367752816226,15.480442673986017,14.900929153828287,15.431600279828102,12.851196130930619,10.901058430227167,13.71179212615707,14.775745547459046,14.129300608994026,13.886169653446364,16.013459531988282,16.07604046398194,16.44640305055907,13.188238683410134,14.424973823579013,17.448818910736794,15.889016070835009,19.164602186061106,14.567979163413268,15.435804751793682,15.899515892801501,12.822045175163293,14.401914084073569,16.07867807241053,17.41335147364775,14.911280944396806,15.66949035135641,15.143676050869438,14.444161229680049,15.390824539569099,15.15260230374751,15.211667459764085,15.754810314272175,13.505911140077389,15.144837352450917,15.480188736196427,17.1977864118051
Albanian,15.443567491068395,0,16.822976616397124,15.478372890444229,16.09647275956685,15.528914079535006,16.058144389674748,15.084929598088902,15.955697421976584,16.02398573869115,16.0517348274401,17.021075096608985,15.093995978595892,14.502151175517096,16.869054393362834,16.24310277305365,16.248992620486632,16.14053800966458,16.206885441780358,15.5615995620014,17.376068392619967,16.95645080483088,19.254965608492814,14.944560709421403,15.334716170108065,15.37742966725123,15.679746700485952,14.907205555866264,16.425117889041164,17.80427072518452,15.663065083383383,15.796112314242583,15.540320097552467,14.910006084556098,14.260435859822659,15.70540641794277,16.218060393465525,15.811629962546467,16.04561314301968,15.162345794158336,15.290352336352669,17.626133357154718
Armenian,16.418668778589872,16.822976616397124,0,17.15779972626712,16.567924440811247,16.950305091764267,17.20922170163321,16.064506082210567,17.110847862639396,17.385445700036342,17.139257522660284,17.784713102189574,17.20008398904049,16.317766349575496,17.103788267079114,16.49426049650855,17.887167847526246,17.77715912581559,15.962119912708319,16.80840211970201,17.75444694765812,16.972714573608574,18.961007867200394,16.252736317673534,17.508114936255,17.37456604631915,17.037206482684528,16.504840578403844,16.604246312761695,18.303106763724156,16.730408783961302,16.600373511359074,16.58819171929734,16.2678012973831,16.499456258202105,16.829768703659067,17.210257268500694,17.11443049077707,16.78611883168592,16.354336561962956,17.100971991468317,17.287265475499073
Bengali,15.5599136899257,15.478372890444229,17.15779972626712,0,16.235079887942728,15.567643766029716,15.954209040580595,15.333234348989658,16.336451175053163,16.01995833396019,16.232622378686827,16.82103302633035,15.54235388271884,14.870608419571793,17.0221035607279,16.004550560601857,13.325942168257104,13.090796045762794,16.136227590392174,15.638396960730745,17.508917266355187,16.737921355403248,19.067159584639583,15.039747855636433,13.314939820440989,13.034555724959125,15.883490808126535,14.830002541277445,16.499366492332342,17.619873036297673,15.80173609734827,15.995527493752832,15.82824043500267,15.149065894440986,14.485619828089451,16.058600033148902,15.819308431549798,15.755117362674307,15.970857708136885,15.57253599685818,13.128544159928461,17.82781809841691
Bosnian,15.498964538708456,16.09647275956685,16.567924440811247,16.235079887942728,0,12.71880221732565,16.478562038573205,10.166472997425418,14.024310714290186,16.352917108563,16.23312665802241,17.15585633482139,16.105395942354868,15.39442792058878,16.67308416346453,16.37532141973226,17.15562351190846,17.066728720295608,15.440429157716293,16.706933761754197,16.448411945562967,15.623037860470962,17.538417999396113,10.900632766354823,16.59953437842713,16.51990431943617,15.845780298577752,16.199568436987118,16.426174648488914,14.176122224862002,15.846001786887264,15.61562125952062,12.339716924703984,8.832095243864881,16.172098312394297,12.986374598600536,12.975577556431448,15.93635324582312,15.783149105923815,12.122611792414665,16.355266000533238,17.250021579275984
Bulgarian,15.32367752816226,15.528914079535006,16.950305091764267,15.567643766029716,12.71880221732565,0,15.649963062880312,11.107017264647084,13.669210466462097,15.3700027934099,15.778016635422118,16.546022458368817,15.270215846418845,14.744394891086753,16.420314944977775,15.714124464298687,16.401123313732775,16.188549846360797,15.642657578621563,15.615602493018368,16.18076484878207,16.428803360377362,18.210724888682357,11.132333794879312,15.78449851445982,15.981257670308002,15.608702154868212,15.349069577952402,16.452070024035752,15.072894776394168,15.440418845418028,15.416831326634993,13.332829376884318,11.949476355100419,15.320509891751842,13.239266350558756,13.436779866630388,15.239205663879897,15.583115996610916,13.010664634252043,15.566697866073973,16.506425741740372
Catalan,15.480442673986017,16.058144389674748,17.20922170163321,15.954209040580595,16.478562038573205,15.649963062880312,0,15.258285459303982,16.72269268568559,15.807243253529286,16.210741736604266,16.58910672677271,14.22218210560848,12.016503253962277,16.801149032078865,15.694670597590935,16.62793556968802,16.63953057826835,16.01135662358122,15.39866964385643,15.116326453403799,17.422248843352335,19.64930781171944,15.514955268395024,15.897198291747378,16.351238378276705,15.673009341365312,15.790128622450615,17.23292239545146,18.018907957270912,13.39950523206399,14.422317680152824,16.186511257649034,15.588949254104419,15.926621515026952,15.82468492615343,15.76662980400007,12.400074915600399,15.922021055847823,15.81292307228414,16.384643244774168,17.59254668265741
Croatian,14.900929153828287,15.084929598088902,16.064506082210567,15.333234348989658,10.166472997425418,11.107017264647084,15.258285459303982,0,12.807145496038029,15.018004490805142,15.365873559354393,16.21525787510905,14.747786674130039,14.284484104099436,15.903498772380468,15.340300698045757,16.005184788787126,15.977152281393616,15.314153749017459,15.398636132196692,15.267879261951542,16.064794260116848,17.567339109519686,11.24663459768882,15.312553403024552,15.688718692782459,15.148604966537672,14.888627474850148,15.755174974784374,13.972714478342022,15.135472895123694,14.576880864066005,12.655277389234259,9.394726638064073,15.108705862394736,12.144323097880033,11.903467373061485,14.887458411168828,15.309649740439896,12.227273834655167,15.44725828054861,16.2460852641159
Czech,15.431600279828102,15.955697421976584,17.110847862639396,16.336451175053163,14.024310714290186,13.669210466462097,16.72269268568559,12.807145496038029,0,15.715925426369562,16.167347974667578,16.913261873141405,15.649792986192749,15.386192569887953,16.89993792305927,16.49983749866718,17.297518418215176,17.216604243952492,15.891432214622103,16.06113172740849,17.178584203549477,16.24366135433281,18.59095532387334,13.644453474815561,16.77903599376024,16.66129004075138,15.806700050840785,15.999844700202454,16.84896460497048,14.342475226532382,15.816312757529188,15.951880681621628,13.418426846940637,13.076839406754516,16.12782852087872,10.821017723562408,14.567966409385587,16.244977909111547,16.325610595495423,13.081301144927519,16.11609808324568,17.352388324486206
Danish,12.851196130930619,16.02398573869115,17.385445700036342,16.01995833396019,16.352917108563,15.3700027934099,15.807243253529286,15.018004490805142,15.715925426369562,0,14.289906638866308,14.15032451443761,14.67600698232344,14.547245758613128,14.036012241305531,16.18860845837556,16.46953223554778,16.735493726462554,13.344923682877731,14.529045061144455,17.311960662912796,17.119699472879937,20.21868292580636,15.329054105722399,15.787371042906829,15.840968884479086,11.686035060819972,14.971255863113404,16.703584317563344,18.071423686139987,15.61987281057004,15.692399332787748,15.85849518437488,15.264411939109214,15.746758139496183,15.437763647627522,15.242859384990043,16.022255726338894,13.062605464038526,15.537025850583637,15.754340011350425,17.128251617124022
Dutch,10.901058430227167,16.0517348274401,17.139257522660284,16.232622378686827,16.23312665802241,15.778016635422118,16.210741736604266,15.365873559354393,16.167347974667578,14.289906638866308,0,14.202339131901171,15.523777126703099,15.429224985247165,13.334441101668979,16.219180222805075,16.74130538555302,16.811212734111983,14.270688802376377,15.620769291488347,17.62071175473729,16.65994838145052,19.417690597166935,15.417781072833929,16.140170400481562,16.576247126523093,13.99317016875489,15.657098196214314,16.6275108530903,17.65677229132808,15.545733298722974,16.210191366604384,16.040914568576657,15.428179258267027,16.18317733897562,16.175287118141792,16.072591929372383,16.341050808476787,14.335170512319188,15.991850903745538,16.14422711040603,17.448503258465344
English,13.71179212615707,17.021075096608985,17.784713102189574,16.82103302633035,17.15585633482139,16.546022458368817,16.58910672677271,16.21525787510905,16.913261873141405,14.15032451443761,14.202339131901171,0,16.142096509408525,16.074599870816723,15.115601776926454,17.16088884766332,17.421835489471377,17.906955300511463,15.191943099874983,15.792299102143891,17.989907783123158,17.421152647701067,20.18827945975717,16.515751635408076,17.050350275761744,17.15450492279467,14.568294044349086,16.793747411884432,17.618621198248594,18.5401984977721,16.186152185862355,16.961985940720734,16.769056114884393,16.43101849518477,17.36667778209783,16.492651076416642,16.632558996321396,16.789651089643556,14.927079769609724,16.689586291806894,16.985802661996107,17.638593266829186
French,14.775745547459046,15.093995978595892,17.20008398904049,15.54235388271884,16.105395942354868,15.270215846418845,14.22218210560848,14.747786674130039,15.649792986192749,14.67600698232344,15.523777126703099,16.142096509408525,0,13.199852057697772,16.06722450105953,15.85766584926285,16.43098378726819,16.380180068871102,15.700499855790952,14.728174772026748,15.297923768920997,16.858021962894583,19.596384779305325,15.152714045968551,15.478182399056223,15.787351359318976,14.87641560436894,14.910789762829008,16.47335894184268,17.502064276636105,14.010645855089328,14.74859598160916,15.70262467839847,15.00892079332744,15.583601358729345,15.383823249825346,15.609746578844588,14.39551658008814,15.68234130454862,15.418380126022951,15.580878557882006,17.1360029413669
Galician,14.129300608994026,14.502151175517096,16.317766349575496,14.870608419571793,15.39442792058878,14.744394891086753,12.016503253962277,14.284484104099436,15.386192569887953,14.547245758613128,15.429224985247165,16.074599870816723,13.199852057697772,0,15.981292041986059,15.522066184444315,15.844785825668747,16.00950683409532,14.84165670754023,14.21119241337505,14.506624273627049,16.325407371141797,18.801830252677124,14.200725824394922,14.9998449533505,14.995133638012446,14.449475335282768,14.318587115026721,15.820534976931455,17.301333450896006,11.552719423660157,13.923843518677963,15.028482965044283,14.308200213963106,14.271607986657466,14.863891337776707,14.94423718551537,10.155813934783428,14.86993807048771,14.722073196386248,15.096280371428838,16.731753147712837
