,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.7086278829405402,0.7657375997475957,0.7996111109180544,0.7585717740203537,0.7281495332672269,0.7659842642789068,0.704435186911304,0.7003262996421188,0.6130980246442391,0.587266334208932,0.6690336577825629,0.7056587227585355,0.680390810109927,0.7127976563759234,0.7800414780815934,0.8605930014658973,0.8521821503968234,0.6285714733771497,0.6899868346598684,0.8335105384327396,0.7876526393405826,0.9247970619401917,0.7334611007168089,0.782620114473601,0.7567469555159073,0.5996078422091319,0.7226388693697262,0.8078522600332644,0.8612917043625286,0.7359022915858432,0.7558498601041926,0.7770762284029937,0.738933960810127,0.7067004580272758,0.7108381825971201,0.7444743728589258,0.7492134201397098,0.6473322133829786,0.7321567419443769,0.7426237217202902,0.7981049383590821
Albanian,0.7086278829405402,0,0.7660429816661272,0.7925584431404761,0.7793951355724758,0.7310558863326609,0.8014862308623396,0.7162846416954866,0.7203127692606036,0.7159244473444126,0.7779421658589263,0.7869794942876971,0.6981957906532205,0.6947104207686146,0.8277502123932089,0.7906710272207328,0.8896600435009615,0.8485929685649353,0.7177644748775958,0.6790844483996578,0.8256373438972279,0.8605991787998641,0.9519481010981281,0.7538611379580504,0.786196475853989,0.747949351899324,0.7103452213779667,0.7347780577007733,0.772054348623393,0.8674516715666569,0.7565144036760336,0.7570694374976021,0.8006783268139182,0.7389569921599836,0.6940463460020443,0.7300099183540184,0.7491807197126322,0.7246309929134763,0.7173236041116102,0.7064307983885072,0.7286094370548404,0.7924110508396315
Armenian,0.7657375997475957,0.7660429816661272,0,0.881344671219285,0.8157664337376868,0.8048418257411892,0.8861059408247077,0.7886019364495562,0.7714248351817685,0.8088000724743201,0.8474996860137005,0.8545716461785067,0.8171361155132641,0.7749318976868859,0.856696224491274,0.8175956937723411,0.926873489611373,0.9172786633725656,0.7518919585709225,0.764191930339659,0.9237017844510421,0.8637787487706343,0.9203376021366599,0.8074668532155844,0.8577885868460009,0.8578024723038914,0.7815319050576313,0.7757474742231826,0.8172980555990539,0.9535687457192732,0.857558712797718,0.8189953101270472,0.8439399264876334,0.7999899455078658,0.7839750017152768,0.791501990354698,0.837044162301663,0.8526816256659036,0.7636266960738873,0.7933870893196913,0.804110174112821,0.8669904546311636
Bengali,0.7996111109180544,0.7925584431404761,0.881344671219285,0,0.8357752764478799,0.7701085231187729,0.8215555811222001,0.7684075173628736,0.7848746177249081,0.8082958506101244,0.8312824508395086,0.8442610304117472,0.7710974550554448,0.7868732190077969,0.8840171991850294,0.8581636494838399,0.7658096384861072,0.7279036527524655,0.8148804616235321,0.8031350248228218,0.8528335505949511,0.9007464675994449,1.0234603343399857,0.7970916135502876,0.6974100697641668,0.6848000725789501,0.8050391149903791,0.7833610043790266,0.8649218417964639,0.8990436257325674,0.8064962032111073,0.8177084720376491,0.8737139424440347,0.8115262445753599,0.7478244472640015,0.8061397799162037,0.8058634858877809,0.7886716500206378,0.8020826585170879,0.8008239710416708,0.6944592112141916,0.8841569558865551
Bosnian,0.7585717740203537,0.7793951355724758,0.8157664337376868,0.8357752764478799,0,0.6678872076306381,0.8071135468170247,0.6020646486589989,0.6621482060791907,0.7941340211841903,0.8478569439845708,0.8607628294359624,0.7730185751782784,0.7676522774135358,0.9080754418423465,0.8458954557475166,0.904960945015293,0.8917384886364927,0.7486305572406678,0.8005431133690244,0.8578085212468655,0.8194226377913688,0.8900012375673504,0.6000389688001461,0.8371775655831932,0.8435312561632632,0.7494055217645414,0.7978668685002187,0.823102576658701,0.7672258232317788,0.7914577724592815,0.7989561005977077,0.67539165513157,0.49619050533644704,0.7858651791717131,0.6492734102695106,0.7193884997283466,0.8140058505665365,0.7607318520156857,0.6423399086350206,0.8054880043247628,0.8560843223202554
Bulgarian,0.7281495332672269,0.7310558863326609,0.8048418257411892,0.7701085231187729,0.6678872076306381,0,0.7427365659614611,0.5504580224242113,0.6137847459470556,0.6900227548637987,0.7881357876961949,0.7785132026679317,0.6932715459792818,0.6652058971789696,0.834564497149993,0.7749950858464988,0.8494007917827091,0.8250740378583021,0.7490308311441222,0.6863719981804528,0.7610744976285018,0.8790838615487641,0.9507274063177884,0.6033405278926961,0.765568295945621,0.7476322404858315,0.717198382572404,0.7291994799256334,0.7841555702845662,0.8057637498931772,0.7414122625713124,0.7413610121269397,0.7316988504202775,0.6383171606809568,0.6809559962215356,0.6423072510711069,0.6531791200303102,0.6712955786679786,0.7356182958413616,0.6478852164670057,0.7034920765304754,0.7301595801782444
Catalan,0.7659842642789068,0.8014862308623396,0.8861059408247077,0.8215555811222001,0.8071135468170247,0.7427365659614611,0,0.6964942261800238,0.7347448524030348,0.7695537163955243,0.8160437199887097,0.8072733587859635,0.6786925700894623,0.6196476704058622,0.893134317293423,0.8338961145666203,0.9042658447573334,0.8838608317630569,0.8027601153757786,0.7381432458463527,0.7224691975438668,0.8813418489241538,0.9755571923844782,0.770375520264566,0.8101311261623957,0.8034694842704488,0.7536835177944227,0.7748235681127862,0.8581330627607406,0.8862654901555491,0.6701068799387906,0.71113380618517,0.8351954951622383,0.7819390508992737,0.7682259232739248,0.7431340903551185,0.7719646856767426,0.6217804800524039,0.7779112236908243,0.7746574812566532,0.786915219157482,0.8206614320788639
Croatian,0.704435186911304,0.7162846416954866,0.7886019364495562,0.7684075173628736,0.6020646486589989,0.5504580224242113,0.6964942261800238,0,0.5827201185307206,0.6924726276050668,0.7736816421420525,0.7606256479668041,0.6804338230498156,0.6536349494233535,0.834302684836966,0.7895747051672843,0.8370337467005295,0.8309049771587798,0.7361587176305207,0.6706667530750356,0.7434991673467439,0.8255114247552752,0.9258604844008759,0.6156455973110594,0.7600288935013111,0.7451086271821138,0.6879431792378482,0.7169385261084784,0.7765942357097881,0.7255082507331195,0.6825429661249727,0.7271476860731954,0.6905079075582882,0.5594297799280898,0.6797977799713023,0.579313278474934,0.611375184886277,0.6740809537272763,0.7164231863126298,0.6483608393441254,0.7025899402681288,0.7450575262398503
Czech,0.7003262996421188,0.7203127692606036,0.7714248351817685,0.7848746177249081,0.6621482060791907,0.6137847459470556,0.7347448524030348,0.5827201185307206,0,0.7174074854091729,0.7737161153996757,0.790306005365318,0.6883235735181676,0.6657481526998337,0.8233603675897128,0.7822900008577216,0.8392597353688864,0.8325532441559881,0.7186033844446383,0.7043406552813116,0.7637643974956944,0.7865715584965113,0.9120029933777515,0.6537161649054,0.7651043951735761,0.7513298532223402,0.6944518044883974,0.7294329882904533,0.8046018437628921,0.7277569613604054,0.7252331187994926,0.7328374026603544,0.682383763442163,0.6250781189572262,0.7020414197881494,0.5108601017871418,0.6647089262519844,0.7114066480159839,0.7273401101966973,0.6299246926899692,0.7124222953329138,0.7692888960024852
Danish,0.6130980246442391,0.7159244473444126,0.8088000724743201,0.8082958506101244,0.7941340211841903,0.6900227548637987,0.7695537163955243,0.6924726276050668,0.7174074854091729,0,0.7036450495139913,0.6604337336362746,0.7077629049281676,0.6521584181185679,0.675296987857194,0.7838129851899227,0.8864318691457114,0.8591271962985132,0.6186193817543966,0.6367337915184845,0.7945459354518616,0.9044753802668329,1.0023130503165416,0.7645412475930013,0.7797868763498199,0.7369276992310965,0.5365935684876025,0.726721657930713,0.7787050374136155,0.9094179053097471,0.740691463951158,0.7547941063890983,0.8401382695427714,0.7507952791437237,0.6869745311818705,0.7334102187384194,0.7544515860015923,0.6960020033467053,0.6146462860795336,0.7560629765602126,0.7197446627960711,0.7473848504840721
Dutch,0.587266334208932,0.7779421658589263,0.8474996860137005,0.8312824508395086,0.8478569439845708,0.7881357876961949,0.8160437199887097,0.7736816421420525,0.7737161153996757,0.7036450495139913,0,0.7213171427986892,0.7799746965852791,0.766342204208671,0.6918728289218026,0.8062418711920132,0.8956838599449187,0.8645247258456895,0.7066161208019821,0.7734402370369418,0.868117490658164,0.8894802894806132,0.9895464467123269,0.8098350179825567,0.82549411511294,0.7992784420328383,0.692182074514846,0.8215219864966189,0.8604085986432644,0.9119464374760327,0.8103681775557895,0.8107784798486981,0.880599083046513,0.8129290052349066,0.7723771420783171,0.8041191229396393,0.8028662104067776,0.7939523754073204,0.7003190229519956,0.7998766503261769,0.7876539803798086,0.8462400506680554
English,0.6690336577825629,0.7869794942876971,0.8545716461785067,0.8442610304117472,0.8607628294359624,0.7785132026679317,0.8072733587859635,0.7606256479668041,0.790306005365318,0.6604337336362746,0.7213171427986892,0,0.771677952395294,0.7413402012348679,0.7575353540043939,0.8570556602262432,0.9136470088663288,0.9053676340049954,0.7121086515644044,0.7216586097345296,0.8441971266468504,0.9367070892327021,1.0412744760764732,0.8307594150708608,0.8514481974949374,0.8230034823310046,0.6598994102061255,0.8078742439340418,0.8577591195487648,0.9446284983932982,0.7853325111408392,0.8147060689366878,0.8796068308547383,0.8367805038213518,0.7795630723665884,0.790161925428485,0.8121087798152176,0.7778422397059025,0.6957659904655596,0.8149475664151086,0.796257514916435,0.8231286101313177
French,0.7056587227585355,0.6981957906532205,0.8171361155132641,0.7710974550554448,0.7730185751782784,0.6932715459792818,0.6786925700894623,0.6804338230498156,0.6883235735181676,0.7077629049281676,0.7799746965852791,0.771677952395294,0,0.6190624146949785,0.831499836053672,0.7770984092595115,0.8493964857682118,0.8274923282232358,0.7348979612739762,0.6651156154380982,0.7309487825848379,0.8374056432740845,0.9747678237855325,0.7342521151426813,0.7481160545120936,0.7446373443483204,0.678420561918653,0.7121603982075362,0.8039558223352402,0.8544712278574866,0.673002395161559,0.7024610168141364,0.7971138353555096,0.7372966438958182,0.7105727900530374,0.7030320205952457,0.7406882988203342,0.6448736735991626,0.7333887763933582,0.744571211737115,0.718146459526157,0.7880132728785203
Galician,0.680390810109927,0.6947104207686146,0.7749318976868859,0.7868732190077969,0.7676522774135358,0.6652058971789696,0.6196476704058622,0.6536349494233535,0.6657481526998337,0.6521584181185679,0.766342204208671,0.7413402012348679,0.6190624146949785,0,0.8039145098331104,0.7801656050206609,0.8789701220066786,0.8480449992993999,0.705933070648578,0.6376647419888591,0.6796963779638984,0.8632468805463471,0.9697693114043968,0.7313312999033758,0.7848114284386027,0.7220709008079397,0.6801614123143348,0.6993697302355342,0.7648998804335958,0.8974576104879126,0.5800111449428155,0.6939473347838983,0.8114531227468788,0.7306819854605336,0.6709822146668699,0.6900201068394436,0.7310541326820305,0.49797753651206506,0.697359904347213,0.7260086231741044,0.7085516542103628,0.7203698268257183
German,0.7127976563759234,0.8277502123932089,0.856696224491274,0.8840171991850294,0.9080754418423465,0.834564497149993,0.893134317293423,0.834302684836966,0.8233603675897128,0.675296987857194,0.6918728289218026,0.7575353540043939,0.831499836053672,0.8039145098331104,0,0.8210860008962689,0.9681166917357683,0.9150784391385512,0.7339887965217943,0.7639953745940797,0.902171603146107,0.9638885022664662,1.0188432880977754,0.8756993101293347,0.8825946453439031,0.8424881854190521,0.7305487505181485,0.8411581474669769,0.8566597840820023,0.993951013023994,0.8778265491031313,0.8577710683366748,0.9489858707694251,0.8872280384063811,0.8088462771890237,0.8573927041205042,0.870717932349113,0.84228995635081,0.7123746572354935,0.8587559883509325,0.836486150950426,0.8656177091903597
Greek,0.7800414780815934,0.7906710272207328,0.8175956937723411,0.8581636494838399,0.8458954557475166,0.7749950858464988,0.8338961145666203,0.7895747051672843,0.7822900008577216,0.7838129851899227,0.8062418711920132,0.8570556602262432,0.7770984092595115,0.7801656050206609,0.8210860008962689,0,0.896405564651573,0.8853049781363128,0.7506664752528659,0.7800506280617049,0.8951150608693208,0.8656134954033199,0.9170706680865188,0.8186721331774345,0.8369985441520563,0.8276460382023563,0.7874011616923621,0.7968628351034174,0.8387796270308121,0.9572605704274629,0.8243119785233897,0.7767960720074639,0.8724363916937826,0.8238007449116653,0.8006676173142754,0.8334950567391585,0.8595688862231483,0.8023110220576574,0.7622994841862233,0.7898318279582843,0.8019849132024409,0.8430778739089371
Gujarati,0.8605930014658973,0.8896600435009615,0.926873489611373,0.7658096384861072,0.904960945015293,0.8494007917827091,0.9042658447573334,0.8370337467005295,0.8392597353688864,0.8864318691457114,0.8956838599449187,0.9136470088663288,0.8493964857682118,0.8789701220066786,0.9681166917357683,0.896405564651573,0,0.7373621976752773,0.8749789282789463,0.8889939818788465,0.9594666862150558,0.93737748273503,1.0510331459978515,0.8545028040620436,0.6739872748643783,0.7824298327832772,0.8742777779957434,0.8645305971959448,0.961480564255513,0.9588872246010478,0.8864424602207744,0.8872420063020502,0.9160571499148559,0.8679506650586253,0.8592345945621515,0.8499423720809084,0.8970945245195245,0.8902790950599833,0.8671235867154156,0.8545230089376313,0.7475574652566134,0.9579832452787465
