,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,749.6506341728042,788.7719584948874,760.6644491674537,790.5994731260388,722.2005834003854,726.4521942962882,744.6053813804812,720.0655576805515,625.9064022753514,534.89377783964,618.2968318643016,709.5686992993523,693.9061759866299,644.1887992631775,777.5402298885651,754.8007952078191,787.1493789466433,655.6077587575608,695.8685457597325,820.0930972994679,790.7750506745111,894.9827393288422,741.5993687281745,742.4652406953991,792.0581276793545,627.1803871593116,708.2981086102274,779.1375651121485,806.2629221571601,714.4396755596109,780.6962361626051,759.7569142795517,745.2638205454462,771.2774644092589,728.3668135093834,743.9376892882333,742.6635353431928,640.4673558766525,776.3858139326014,752.1330208321418,766.9904211040545
Albanian,749.6506341728042,0,816.1005011590968,766.5148568733522,824.4026415183295,760.9045472992409,750.9108800445829,763.4935701188853,762.4766400882394,766.2029715281445,766.426879544736,768.6018731042717,737.1739583441138,713.0611493282912,791.6536557932363,790.5699301364659,772.9005164011501,779.8371015571048,784.3498756634775,750.6096615466912,823.3578646199954,844.7189304175749,907.4767297504147,768.7727995718903,742.0897230557474,787.1725906147888,762.8453544187647,731.988622446027,798.5118548866155,829.9327533660611,758.2256806128229,784.2889993168271,789.4411965404931,778.6317370844013,733.3936206352441,757.5738609044279,781.548081119285,765.3299196942385,773.112348389873,784.8219064763958,761.9996782177678,814.9029485007438
Armenian,788.7719584948874,816.1005011590968,0,815.7504557727036,814.3340087967339,801.9628701828888,813.122994132612,789.0849229327853,808.3341494356148,815.7768468683967,810.840935902499,805.3802087073078,814.6953575417272,789.7166365389317,808.1274888769559,816.4006709536827,832.0786393365096,843.5016541873256,773.0537673471034,808.4775880004399,847.1430603899285,837.405053965368,881.3279559330379,796.8214721611444,821.0579028285465,850.5519864851426,795.1504520695615,791.4733562146695,796.6689831411051,845.4468365430511,805.3379602815687,824.8657687724099,820.2443959153619,799.4891086972578,814.661323531953,798.3824366781687,828.0687835217108,824.9609849600917,794.9324252409858,817.934974496904,816.588973919746,817.5570121423501
Bengali,760.6644491674537,766.5148568733522,815.7504557727036,0,808.8163208924785,742.390811229147,751.8137121321884,756.3874524330569,761.9655929620958,768.2623983036627,767.9091896979164,748.8204831505794,744.0704823796666,742.1821280237419,785.173276070138,778.497723863218,630.7765064014656,640.4558386950756,781.8272774142654,755.7704123345726,816.6181468995683,821.6930472357024,889.9425415998835,751.8363306721814,649.4969510863209,663.9784852847569,761.8843913168386,729.8638813844769,803.6375062390665,809.6447331375673,750.4326542017744,801.2222558377209,790.7120177857989,764.9611437700202,754.3644227938418,763.1814813289246,761.5214295834138,751.780547359428,760.8053681118204,792.735259838304,643.8065827022732,821.8367481414799
Bosnian,790.5994731260388,824.4026415183295,814.3340087967339,808.8163208924785,0,645.8814876392132,818.3214342094553,517.9328196230765,669.9497618903952,810.7621650069849,797.9878833756427,808.7145388900204,806.8689185602649,796.8394495083651,813.3078127388268,832.308357605058,825.5745501148846,846.2801289927118,778.4238133814648,838.4473383858633,810.4133481851488,754.0538714843711,790.0543899461627,579.6837818833905,825.8352326747339,839.2632836871934,793.5232953468985,823.4137621344921,814.213517796881,665.5522827813064,793.423778081757,800.4749406902071,625.7392601509439,461.5200292585059,827.9536180390959,624.7866315705589,653.865733751887,808.9944140880748,791.7754078349595,620.940935949572,819.3679043550623,833.307661796303
Bulgarian,722.2005834003854,760.9045472992409,801.9628701828888,742.390811229147,645.8814876392132,0,728.0974297605918,579.2478823614931,642.030100850639,729.7197888076398,726.9391957469918,731.6429336745798,733.5040954006947,703.6509414393197,748.2544426111407,756.8619306322279,744.7491079231497,759.0177415406341,738.6553136178246,733.0119993512076,777.4140722601895,792.1518053552124,842.1004515929138,559.9134328379882,735.5951467159325,795.1878017958885,737.9593883823211,744.0424075339414,784.557783957649,697.4250068079401,723.4020575440109,761.3209981387134,653.260168311293,599.7246802613219,770.1996961725823,628.7945262841272,656.60256871407,726.9222736715337,739.0891646111739,661.6436326629903,738.2313294279603,766.2099868225163
Catalan,726.4521942962882,750.9108800445829,813.122994132612,751.8137121321884,818.3214342094553,728.0974297605918,0,742.7572552359095,762.7329208032272,717.3015266886538,740.0189183101871,716.4630962226348,636.9741066584813,571.1893978579571,749.3299540417898,758.0331219327771,761.1836613324693,771.2848300593126,750.8956054089929,708.5557062588933,699.706006527866,836.3530240342652,900.3086757664978,753.6815606536055,735.8447098382283,802.8945983659096,698.1176386797904,742.8016162737704,795.4417546338144,810.0930691698198,612.7285336460806,707.404219384215,789.7796562856548,761.9245245286961,774.7490081371868,738.290804744596,755.1431028418725,593.8709326410492,721.3052957050767,779.4918994945532,756.6823497853306,793.2391987692321
Croatian,744.6053813804812,763.4935701188853,789.0849229327853,756.3874524330569,517.9328196230765,579.2478823614931,742.7572552359095,0,617.2501741218846,750.5650132014823,750.7533026265172,754.9822211220265,745.5043195788015,722.2963053199178,771.7962382103801,768.8806501543006,757.819185065841,772.2838004423079,752.7617738385504,766.949149287938,765.1181498360422,781.424882468238,789.4481219992856,583.4846527407101,747.9182935391948,796.364032907667,749.4380933847654,752.3616709454504,765.9592314179055,659.4021197647137,748.7248331504652,752.0233150857,638.8781294514989,482.2797772429829,763.44194965701,600.8741553664163,601.908471155795,746.6309241468368,751.7974446820031,620.8477660691419,760.0738811399344,779.0099202401271
Czech,720.0655576805515,762.4766400882394,808.3341494356148,761.9655929620958,669.9497618903952,642.030100850639,762.7329208032272,617.2501741218846,0,720.0014252899168,740.1722273667668,726.0264887495988,726.6561519782252,725.4683692892436,772.0574203585612,782.68793551635,769.929779628672,785.2486341674236,740.6968327846089,748.9074623049805,801.0484730759032,734.0073642547378,825.0061980842944,655.4902665956239,762.6685153237792,786.8707123439578,737.8590093864452,742.4330989116114,796.0759983246824,653.7523346775162,735.9210939886877,770.2629032510231,649.2425840592596,623.987656093467,780.0488456161827,521.7497273924182,673.866406248102,749.8793390529587,753.117595707998,647.6953998221437,744.5465888796882,777.410280126022
Danish,625.9064022753514,766.2029715281445,815.7768468683967,768.2623983036627,810.7621650069849,729.7197888076398,717.3015266886538,750.5650132014823,720.0014252899168,0,660.1611906938608,620.6367970166318,690.4513881586796,692.8971264114964,650.0320448334053,785.3589657790801,750.6366693846778,772.2883666703689,646.7537994854564,674.0164482097786,820.6333516023105,816.4190628757588,920.5661418721951,761.9870341965702,737.6397157282993,790.2393629101203,572.3004065203738,716.317284083697,783.5605298977764,814.6399959166554,710.5263403665524,779.200817602964,780.981702677069,769.8789139314877,780.9044867364277,727.2699073434335,734.6561441537444,738.5510007913215,623.6627516555413,781.6097129939243,738.4242604963591,766.2456748630816
