,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,496.82627805006825,555.4277666056208,556.2918397418625,548.3204993922174,547.8865093817966,582.5791355351954,551.549211468088,561.713103925318,488.6559876598705,429.3666827587927,519.6989542523181,517.470357167212,493.9779038942804,509.9219110995779,570.5842904056154,598.4044904930031,609.6467778348368,472.7895541045132,511.5853400246699,597.1955344798425,569.6526745196459,681.8776297720673,530.9073629684727,563.3552444095162,532.6795850616751,476.76262551909855,497.7400004795804,553.3680820779879,617.2412451220159,529.9954372964002,557.3642809864184,547.9521717467527,532.3565966007233,501.3353405168909,538.0311745086804,574.1318899633058,559.9761634258449,494.71779643035114,543.1433183841395,543.1436981387018,585.6956043150518
Albanian,496.82627805006825,0,558.8077046367433,549.2703373181114,565.2557457837619,553.0881007822295,588.4356582600435,554.0831238524478,572.1691532066003,536.7055329622509,546.1787953830035,597.910725632356,514.7515978719348,479.30329364347193,564.0717569861491,563.557742955268,601.9982072600851,611.0546044565604,519.2919507563879,505.77059986135583,602.8997018828787,596.7056183616764,693.3073480805671,530.5818032254091,560.0143923819036,515.0674915272185,531.6458716413297,488.29139657489895,546.3883511371621,627.2012695849869,535.2097335519697,554.5301160851711,555.6672586810059,543.7247138060396,458.04112135590344,542.0634131188883,582.0314505065236,556.9675625146908,540.9955655543243,540.279362943281,528.6076071881862,599.5128929423219
Armenian,555.4277666056208,558.8077046367433,0,576.1827532291767,574.6044059651023,583.5566153659797,609.8112898071588,570.4848635381562,585.5226569189886,588.8203658528648,581.687586647148,602.5954556297851,569.0178043050711,556.38841859824,596.8502826298318,585.0062760535624,621.9407688315139,622.6467925996283,534.6822391813519,583.7222068039082,614.5022390748436,590.9302984264555,662.7218009071553,557.5551477635237,595.1282863605719,560.3526503169885,558.2979721158491,541.7825371423666,568.8285743609915,619.4807608814904,570.9177065113442,580.9887850395888,578.5244491260074,562.2759497159467,539.1542185022266,572.673822820009,607.3798387081468,593.4384473293014,562.6366062781797,565.9032885752393,560.4556900440931,595.3914618445772
Bengali,556.2918397418625,549.2703373181114,576.1827532291767,0,585.7132445480398,561.2387943441761,588.9688217266239,562.4477739375122,570.4149741000929,573.9419292588918,572.584414907638,584.5102733912903,547.683300894877,539.7907676594041,588.4993210779453,572.7200221265612,537.5807988732234,543.7169316170796,551.7376969941913,559.5814708834557,595.8108925672929,611.5647755440274,687.7428693331192,554.0131771116812,518.0333561343193,485.5816791910137,557.7854720734931,534.6289658566168,580.1370184084989,617.9121116876408,554.250724555938,567.7751181443465,574.8936434945622,555.7562393207879,534.5117572447335,559.0870252700149,594.4889407158519,560.7229866315973,559.2451258560204,562.3060240845593,489.23870692097,595.5800118246443
Bosnian,548.3204993922174,565.2557457837619,574.6044059651023,585.7132445480398,0,503.01449396676037,624.2852812667403,432.7320760116783,524.6469964707732,576.5256488524045,578.4518026109358,608.3000424781045,569.7710247171882,561.8655675394431,598.139907474188,602.6200601693877,629.8457272825997,625.9510143081739,547.1183162752977,596.3594578423862,594.3408745833731,572.8558268570009,641.4478864939324,437.6131307875429,604.860669926392,557.2687763423555,560.9350476667873,560.9020992236085,581.1150442597936,539.481430598731,571.7835478370005,568.2978445098946,478.44804991074847,365.7582028273652,552.7792365990009,488.29246157147145,517.8264846838955,587.8064670418653,567.6052158133226,466.750527528967,569.4875172583514,604.2826244664659
Bulgarian,547.8865093817966,553.0881007822295,583.5566153659797,561.2387943441761,503.01449396676037,0,588.5483144405775,449.4718924284768,518.0082129692903,556.3160772641187,562.566811576032,575.4315107416667,545.4239722651964,531.2871813877354,578.6847369453216,569.0090472704368,601.1813373708901,600.6502572900966,544.9733787941027,566.0517437341819,564.7052923212113,604.3542965547274,672.1877311232882,437.99824196052435,572.1760026343826,553.6432996485682,548.8295642036048,540.3470289574169,581.0490963863693,560.8053481649602,556.8846328050618,553.478302296265,503.83316613491604,464.9287576607776,541.5714821090369,492.6621680428047,512.7404581701635,555.926772647727,553.8138158364629,496.71348565873865,538.5494461871587,572.1967403865099
Catalan,582.5791355351954,588.4356582600435,609.8112898071588,588.9688217266239,624.2852812667403,588.5483144405775,0,591.8835682212186,608.2443503928877,581.4546224220845,589.5264050144408,592.2020726258515,526.0117084564955,495.88352873621733,608.4183292872888,587.5893295740998,620.8448577995072,626.7765650056651,583.4933315147659,586.7313653011001,549.5632859224196,634.1280992638182,712.9856377973091,589.5587972673063,591.1792492351299,598.8317311178375,552.5302661377822,583.7938400625231,619.8037695721837,657.4481401510934,512.9686047759568,551.7360257325902,613.1343567937176,594.8610057674308,588.9737987651719,588.6859232763928,612.3584136943106,493.91309960235316,579.5045937153575,596.4953363451608,576.7451599395607,623.8536330031897
Croatian,551.549211468088,554.0831238524478,570.4848635381562,562.4477739375122,432.7320760116783,449.4718924284768,591.8835682212186,0,495.5160326425379,554.9724782601791,561.0319903465194,579.0003093342667,540.6880347450456,541.8145461285541,581.1991389023232,570.4327550024468,603.9415100825217,598.2672139552151,545.3576091165916,570.8878980304497,565.5488323607998,607.6103140667815,660.9213518975513,453.4212957848505,570.5629335847281,548.5375207027078,551.1858360946056,535.8899716498734,566.514457443028,539.8757608848927,551.0231486399842,551.0520050338256,500.93477112187287,392.00782605603337,536.418516202165,462.172030514943,471.1924207491393,556.2358327643599,556.6011684277012,475.3025760826447,541.0859601697276,577.8981193677945
Czech,561.713103925318,572.1691532066003,585.5226569189886,570.4149741000929,524.6469964707732,518.0082129692903,608.2443503928877,495.5160326425379,0,557.5159633179156,572.9539775026924,593.8258754986349,553.3495827954873,557.7394258547882,598.5104642369228,588.6850992181667,614.2992842396525,610.4069517790792,557.4246355788501,582.5077798432252,587.5874549633911,598.6226980080081,684.6120809327975,508.71855638899376,594.2538801048605,551.8088172573828,563.7367147374604,549.0201768961415,590.8857113338461,540.1525265884421,560.7662889245726,570.7835436110255,524.0768922785571,492.3953345997575,565.5790092137235,429.31309331391736,540.0674583819186,574.6867600103678,571.2509608384759,498.5891623745844,549.9986685774912,588.7690659554725
Danish,488.6559876598705,536.7055329622509,588.8203658528648,573.9419292588918,576.5256488524045,556.3160772641187,581.4546224220845,554.9724782601791,557.5159633179156,0,513.9071979598084,533.173958022933,518.8724464307422,518.5153474845346,518.537358552538,574.75599193377,605.9266737968003,606.6138311896071,487.4054001044381,531.0707017137754,585.1806250841513,612.1937808578531,715.0842621172374,548.4786496619182,569.3131824240074,537.3168438932197,446.651769185833,524.0348706402204,582.3736975358198,627.0941853510936,545.575916596665,559.8071663677214,566.7461709284552,550.8704390901047,525.3005504902189,544.9175229140632,570.4059958405192,562.3926077899869,486.8453908242486,552.4438797732345,545.2304821673571,582.4235178141339
