,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,593.6448236797205,650.8240478485777,644.0891314868592,649.0543731432682,615.6154256217147,658.7998955106871,623.2372366372289,634.068088749861,541.6933393647945,456.2231316280955,561.3184136546417,605.4919789808122,573.5371699708253,554.5396993462786,667.4285180222184,684.0790078265998,692.7412545963009,543.7845005594603,587.7796256973091,672.8545153126845,669.0296678498903,782.9797973341226,609.8484345923808,658.7393532433592,613.3163077244135,546.7283725962957,577.1583684339442,639.7828912316938,700.3104941227599,598.0751766797538,654.6595036719422,630.2189294159177,615.4767545854017,585.5942851792308,619.0125408784933,662.555608136359,633.208412847011,558.2556281793458,630.8862309335613,622.2578231536506,638.7195033757506
Albanian,593.6448236797205,0,654.9458227527895,639.0588771243731,665.6611473549733,637.8602939254996,666.3879982657967,640.3200503973461,660.9468024591562,648.8009574772458,642.1627333345788,681.8137962111165,624.2511964133869,583.0027813456888,668.5202225537265,674.045975987938,693.6119627057334,704.6297647841033,633.1194253252969,613.2784177175735,688.6047225411886,695.8412273852028,784.6598482687126,620.2142071840848,651.8774970314483,616.0317091048328,645.3370012573488,589.4725133783329,647.2246659908768,719.7703064971128,622.8458824851078,665.1917128060691,638.6826044736075,634.3265227523268,555.1832415809948,634.0654160909125,687.7862060599862,644.1094766249037,645.5328649831199,630.1217543481229,628.0462134648388,680.1630558296729
Armenian,650.8240478485777,654.9458227527895,0,685.8334168428972,674.2790363701132,675.5342851036793,708.1199515001094,655.4455749666803,696.2534655605019,695.4828036245638,684.6782414121485,699.1524175492237,682.5711759928555,654.6872369641692,691.4526565604297,678.7712816605558,748.9938422761314,743.1309776074864,627.9261783259766,677.9823489726626,694.7190610652102,697.1330363818012,763.5988488532635,656.6643857495254,723.0803272307137,676.8398951249579,669.1672273398773,648.1658832435771,665.7864042140751,721.710622372604,659.1767248516786,684.0951061348602,670.6769100109243,659.130737839166,628.2104248199574,670.4403016483963,725.22536911765,684.9429354984932,675.0267824337781,663.4826190018097,672.3746151036876,665.826359657958
Bengali,644.0891314868592,639.0588771243731,685.8334168428972,0,685.0126031668199,649.4768156085652,677.0747858028103,659.839489051258,670.7573262836722,662.0833034465882,664.4510596875155,667.7258945060471,653.407402417249,630.6328190324995,680.0801253309495,669.0743156299501,589.7826876899934,587.1039165982028,660.3793113915893,651.4568324932466,695.1059328415348,705.211547005297,792.6717311744071,639.4032772933621,589.907174316164,536.4255276154101,654.3885618187124,628.2616036587186,678.3069466875532,712.3114838700141,637.7941478465976,681.4833933463724,673.2694999215181,654.4834318486796,603.8638489892166,657.8691778375214,689.5605080447597,653.4173162874062,654.4146002778514,662.71771073959,545.5765239397522,691.4738034677863
Bosnian,649.0543731432682,665.6611473549733,674.2790363701132,685.0126031668199,0,539.393933888307,718.8230709922723,427.569297072457,567.1642029373552,676.0822448871548,666.382055361775,698.405123376536,667.7515996757006,664.2014353088304,669.7947109223452,710.3407107471023,742.483621362446,744.4543642223007,645.0932597255137,698.9023440730601,671.2023682279184,638.0514632416641,699.3364629559147,469.0927302307526,722.8272066138056,649.4015125493919,661.2321391654643,678.1172769172856,680.862373791369,573.4438645881835,652.3655390066599,670.4828031242079,511.8101845148632,373.66415373124977,655.1752820513278,522.5442373754549,560.4929678334748,672.8384091077999,670.398670617165,507.9905886887346,672.0637888064379,687.7030965979644
Bulgarian,615.6154256217147,637.8602939254996,675.5342851036793,649.4768156085652,539.393933888307,0,659.2289194843243,487.6027111513937,562.7403526708408,632.4817016765838,627.2558777230778,658.6615650234154,631.0420751342944,603.1133263821982,648.9477050801765,655.4097707543111,699.211164351352,694.7087213380602,623.0227270294982,634.0838638204749,641.2435755517644,684.2190627994561,746.0086624963983,464.62739168827375,675.7336500775289,644.4331355105718,634.7057214653469,627.2945668662796,667.3101606857504,608.4121725513138,618.0028093650833,645.1995735769888,545.3070284039424,504.81505384338993,615.2095002064925,537.9952510957933,577.8198126852648,620.8780557514223,638.50844964901,548.2808329718339,628.003602022133,641.8761959710304
Catalan,658.7998955106871,666.3879982657967,708.1199515001094,677.0747858028103,718.8230709922723,659.2289194843243,0,664.9901126516006,692.77204196837,648.010066502058,663.9194124163223,670.1704967664976,592.6610122089019,517.3735826085291,678.5192868455753,670.5619081304602,728.579155449057,721.8485308028969,665.8588690498764,643.9264636852349,604.1706468695573,751.4143236202182,823.8092296253134,661.8945622494762,691.1598243919574,678.0301195017882,633.715009776407,664.912131031194,709.9770932585162,744.2012770053,548.2118400628808,612.4354275950484,695.78649413954,678.7872892332435,650.2237257797915,659.841051049265,695.7279022039523,524.2563016709288,652.1601973021114,673.2205694247427,670.5924673462644,696.6350884588734
Croatian,623.2372366372289,640.3200503973461,655.4455749666803,659.839489051258,427.569297072457,487.6027111513937,664.9901126516006,0,533.6580432195026,633.9379758458567,638.4453158188096,666.492389021351,628.4103769396446,615.487832472265,651.1253872609396,660.1685085695776,701.6494989409913,711.5909786827405,636.2035535059664,646.1579645579666,639.2373301824155,687.3580110856689,723.0866622695901,484.4969443621262,671.3810943309512,643.6902412860223,638.7511246231704,627.3130697170418,659.8198951636002,577.1398711549227,621.7534089536609,642.2468574172456,532.4700787862313,397.8663410719705,622.0350405732563,499.41954075981846,508.1447767811573,622.7434261087567,649.0544286482626,514.721387996807,644.9125127515629,650.0189754375768
Czech,634.068088749861,660.9468024591562,696.2534655605019,670.7573262836722,567.1642029373552,562.7403526708408,692.77204196837,533.6580432195026,0,640.5055310725606,652.7304703827543,678.969848090336,641.7252782477443,636.8824224449701,667.5296128471955,691.8783619128195,731.1074068829315,734.3637619339174,640.3613633111756,659.9503371421679,677.150370349158,670.6464560436738,759.735093924489,561.8740874091312,718.281395592558,649.0308118265938,652.5259425970122,647.9720954781372,676.2323306001267,571.888908245942,635.4408796418651,675.9956822886127,553.1362693329804,537.4858315121344,648.9562767834799,438.3397346489696,607.3976100079925,651.4055314406808,663.3783933141021,535.2715777354026,647.9460572501227,664.8347637280749
Danish,541.6933393647945,648.8009574772458,695.4828036245638,662.0833034465882,676.0822448871548,632.4817016765838,648.010066502058,633.9379758458567,640.5055310725606,0,572.0583444713901,572.526180862442,597.5804946240847,595.3258577660664,557.1496458053771,662.85808846531,691.0602257246233,698.943124705383,549.1439178368705,595.712739267216,671.543001841608,710.105019171792,820.8942209790162,637.9322152829827,661.0698308388999,623.968760041928,487.4481622743771,612.9473829099177,681.9341262943996,714.429758256572,605.9036261953556,651.342121115146,654.7520426839441,645.6125390838347,630.4552469616561,617.4030564389129,649.9818277687892,628.2700876391757,536.9667852412377,644.0827684195763,627.5319109282973,647.4731658447906
