,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,645.8979619211665,696.0000419648829,705.364148179632,713.3091443000285,659.3859388525225,691.9509457756755,684.0961733305497,698.7604033569352,614.4327953194879,513.0611723359912,623.4603081925444,654.9347034348566,618.5056020623972,613.9717392060801,720.4262192209827,737.3399010037813,755.4693174767598,581.5618600233894,644.9759110912814,731.9722710822896,762.5207556356459,851.7702447142375,661.2196596724004,714.7171642265987,680.5286906616664,588.2623906716746,625.7194087855281,684.9703685904358,781.7463104200214,658.4655414282729,701.4098678665141,684.2762610971354,671.4103943750488,645.2613918590661,676.6232405760562,710.9628691980691,676.4042506251092,600.582446815281,687.8767062316944,693.3114275028609,707.9857090731648
Albanian,645.8979619211665,0,718.0416346882167,696.9909744825377,749.4896541381601,691.0206479674276,707.7379093973645,706.251654140244,735.1730493845447,744.0091490487201,717.562865737629,761.3542819437905,680.9820542007146,632.0437447783734,754.8614818054413,742.6311353210317,740.7986498420969,759.3630019562386,696.4882171801895,680.6167720139617,758.5671849762203,800.5398126186875,858.0532784136915,683.5718441952218,697.5053805735381,689.7008176033929,709.3733970175755,639.490321675161,699.9186776741697,808.3110362646532,698.0119956503044,730.2753480518815,705.8137025332072,695.6024086237624,604.3844326831542,703.3782399509963,748.9030612725871,692.9318984942885,703.1953117738623,692.6411232794361,693.3357208926725,758.4403614784926
Armenian,696.0000419648829,718.0416346882167,0,757.0163755493869,728.2752060154511,731.2626991881643,771.4968221323594,722.034398489769,767.2345580504073,787.2753074548096,762.9770252639807,785.3444296554733,741.5392191862701,719.6159555837926,769.3301998673561,732.1387887501946,819.3908134349927,815.1834691794004,676.1483151760688,738.9056719388019,761.6768965945577,775.4486248337143,833.3143069104722,720.6461288723721,790.3526738576464,757.316269205986,736.2052481064601,699.0778128703532,711.6770849538862,804.6853437784566,740.0804127943106,750.4358626842671,729.1400377506383,720.3214238202672,691.6528699605099,736.2892515594302,784.3626372827755,754.8090189619815,743.4792241152859,726.7623254358292,752.5965540689996,754.3938608723921
Bengali,705.364148179632,696.9909744825377,757.0163755493869,0,736.0861393809934,670.802345463706,701.7889674424143,695.208105510689,711.033710048783,710.8452184213654,711.207063702362,711.8166465309458,689.1662996570697,669.0718457933533,720.0378352120644,714.4747620457927,608.144382354144,614.4183829043867,704.4517574480277,707.2065510485663,724.4493765348068,774.233814120495,845.7958690900706,669.4507553638831,615.9579218082432,582.5433047958134,712.753736207861,666.8690893591164,720.3669270760886,756.4711782134204,691.092027562649,708.0688521055719,710.4129409254467,689.7645403387072,652.5349901066746,693.1474667580917,726.6902199404603,684.2288385622095,688.3033726867096,698.6219512096241,577.0213811463849,726.1806829001129
Bosnian,713.3091443000285,749.4896541381601,728.2752060154511,736.0861393809934,0,583.673239821561,762.6679129722901,485.65727656640576,635.010172422127,742.076909000612,740.9858301131809,761.9935362634172,712.5985716635481,721.3044271143444,740.2473915276353,758.270702122154,804.3284810531244,793.6187346845397,699.8833204647143,781.6070844091226,706.7281921323683,704.4078459472548,768.5027331787194,519.6863435658408,779.0129597069554,697.3407147344922,718.2032420703013,739.3394628398198,749.0004079757969,630.0286092820492,711.2931790389094,703.9299925600891,554.039987919213,410.686026580448,723.4321685869534,570.8449168899884,606.0148550488832,730.076801478544,727.5803353318897,555.8385248110408,724.0424164286375,741.718319356092
Bulgarian,659.3859388525225,691.0206479674276,731.2626991881643,670.802345463706,583.673239821561,0,666.2747870514996,501.1733931299031,595.0127290441441,669.3596733480238,667.9589046614713,688.990753413164,656.9255788066095,627.064409920922,691.5157679372537,692.8920535071056,714.1910001047617,715.027071238643,655.0066918936643,673.4274823276388,670.7287591040675,750.929493275512,793.2802215943597,475.4333277063516,683.3460568958368,704.4837408395083,674.7195529863952,654.6590772325217,705.6650477455968,657.3015583719443,656.3863710677182,672.2376585946125,570.0416612131954,524.6620943129556,668.6630707836616,565.0325654957298,598.6388518883258,638.9323284486819,661.9623703908305,564.7318468127556,650.6405579067873,670.8871922933322
Catalan,691.9509457756755,707.7379093973645,771.4968221323594,701.7889674424143,762.6679129722901,666.2747870514996,0,681.5473613956167,723.5722653212086,686.0587805071947,694.6216951165536,699.0530774001828,608.3778282862844,535.1751668451808,717.4210181951383,708.8202436154012,743.5445107744355,754.5427346347392,694.094760968042,672.5014897783863,639.9843340290982,808.5611954796956,859.2315420103242,675.4902335100287,702.9683696439325,738.3196432654539,660.0515086095583,692.5627238518834,744.5284361670382,778.3461074449514,572.4420650479715,638.3962330279198,719.9590097022602,702.8808061752588,696.3911357955647,677.5968437669197,713.1502929047612,535.5295964943747,675.2002953652711,696.1269453901529,701.5075202454414,731.1655938661658
Croatian,684.0961733305497,706.251654140244,722.034398489769,695.208105510689,485.65727656640576,501.1733931299031,681.5473613956167,0,578.3658825085106,687.7582976529188,693.5886405627294,712.8194653048079,662.3829582177607,648.0095857993964,702.3678263539387,698.7518611657536,736.9490564679737,741.112842469852,679.2255499122912,702.2478788715476,667.7672266368306,761.3419060352314,780.6471204607229,511.8916261154691,701.8461326819373,718.5658749694129,686.1995610417583,675.0226092176503,705.0612485929738,621.7726997577589,672.9625252854366,667.8824118294043,573.4248624405568,432.33695832316414,678.1283130429275,537.5578906598553,541.2550739653044,655.4026366968841,679.5349053112213,545.4919340741901,680.921978051369,693.1450246760257
Czech,698.7604033569352,735.1730493845447,767.2345580504073,711.033710048783,635.010172422127,595.0127290441441,723.5722653212086,578.3658825085106,0,690.9128084429341,700.3533638323981,731.2251016688966,689.8593715365398,681.2167115076418,719.6346066639031,732.8588281985249,771.2657707103144,778.3795820145021,682.0097330021503,731.2124318436607,718.698385675955,761.5876703874128,830.4918016935798,600.3819453562951,756.4914115439575,704.0460236930999,712.0901978657437,695.5570027258676,737.6681411679131,631.9910455449846,688.1132568004122,717.1624730402622,595.0844693359196,576.9198293104746,728.6422923260991,477.9067770275691,638.7547637095295,692.9853214346185,697.667838382113,574.1619650261044,696.8489939281654,713.921969806983
Danish,614.4327953194879,744.0091490487201,787.2753074548096,710.8452184213654,742.076909000612,669.3596733480238,686.0587805071947,687.7582976529188,690.9128084429341,0,623.3506544478834,598.8006246582452,642.1510255465811,655.3831459587266,596.0872504611938,718.0719839860378,738.2881555872465,752.0085048346442,603.8229651544516,659.5715628016579,711.415529595121,808.3332676517698,893.080404319886,693.1075026778774,709.0172159153685,689.357551109476,529.3908063144833,683.8660051783452,751.0579171210611,779.2859025288143,662.1507285122264,687.6405418166111,715.6366238977079,704.6753410956978,730.6716257265313,664.1561204657606,694.8436933493388,671.6185911233833,575.1243748416276,694.64078445294,683.4336909676663,686.5194146614099
