,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,138.55467209129827,163.38493909061145,150.91192244122635,156.24908209252413,140.15087544628656,144.18097918260628,139.08564710929858,144.483658656722,111.71412573167433,107.84756628116448,114.5305414641406,140.2855683144503,130.57698832343291,132.28137368873178,168.36080889146754,145.83605382231949,146.16920186086207,121.35249760120739,145.57912299782697,143.1677833722703,223.31750651741265,214.35797160972214,140.31014299525714,138.6132069360077,134.90352193495417,104.7995831721837,137.24389837553503,155.38371451696452,194.35934994823808,152.95853216632113,145.741389546473,156.39666762437278,139.48320104332717,134.42539807071265,150.298972806684,148.84751150179102,133.28848240058298,110.32539155428097,146.2023568528573,141.47998727789334,142.60691320495297
Albanian,138.55467209129827,0,155.67332450901395,140.33518877285894,165.19865792081137,142.97490423142193,143.57667053831864,139.57816491547268,150.17680952690125,156.3122137954091,164.73391812208328,162.22184818393205,147.0754203155449,126.46457454814852,175.76252308375965,161.02960622391922,140.6553540226591,137.3453097769525,153.37043351319466,139.55100454088196,144.6897855394087,231.82954245727592,220.67888658226036,146.1789807839065,130.32164286932814,127.56229091789666,144.0088190460056,133.74387647132932,153.38045955932776,204.40382963006394,160.63221690282327,143.75075492545932,153.6443663843689,144.54488949497673,115.52773544599047,150.47436023521269,155.5623291889322,126.70357524137454,142.61572473282973,140.55733979687278,132.1631801837312,140.65664088800793
Armenian,163.38493909061145,155.67332450901395,0,172.91886603497494,174.6352280105518,162.53336991516224,174.36328778450638,156.1687008155619,161.66309725307565,178.1916872092459,177.89860467299562,177.731884692603,172.12820611323326,160.7951107717664,176.13767313733453,173.6071243522594,169.69832577176444,171.27652778070706,157.6890764267908,167.76027638093825,168.71377754030763,217.78953880142652,205.5218164926349,160.34109412592477,168.60193595561728,164.03748058182097,165.95774318350024,157.33129225032306,161.20165316962806,213.13267039983214,181.72754157985702,166.69482623112637,168.14332952481976,162.4514865121041,155.16416895150567,172.30762434673346,173.16596262356614,165.28344407776967,166.0566923053403,162.6587492868158,161.9144940067984,163.10021433779062
Bengali,150.91192244122635,140.33518877285894,172.91886603497494,0,170.43622678117438,153.80284893223245,160.4205124285028,147.04745761546033,154.58040308467022,162.1371493622548,170.6421738085254,165.04761182662065,154.39619934182272,145.57796552176487,182.0580551917656,169.90678249460416,118.14042772593481,117.41860071228143,161.74171908998366,154.99840558906206,157.63552121674778,233.75469745176278,228.14930040344262,152.97599195122044,125.86863570003032,109.1083106153885,155.52482815335048,143.3136617234937,163.8144735751568,204.97764518886348,173.62474421311873,157.4541038153623,168.27921199716752,155.9328065822862,134.94147656760595,162.97723866622346,163.57174889124363,143.69136360836973,147.41120195479152,158.38851721398538,121.4689490188984,158.04109457140652
Bosnian,156.24908209252413,165.19865792081137,174.6352280105518,170.43622678117438,0,118.53230927239218,174.41665209074685,93.28751214986704,123.92981864761518,170.78759934252366,174.829140375736,170.38635890023752,166.578441637399,167.42872667190906,179.6060222290365,185.71395469314783,178.36058032694424,171.36937426442566,162.539536270529,181.11938884714777,165.51006670492401,213.9220719983528,203.6335624246131,109.24866653240232,171.84507648502486,154.71952253044302,157.49515868041766,167.26108915304056,167.41412273540482,148.68080739223015,177.99141059241654,160.1548689300218,126.68174162696853,84.60244740270818,164.62782499326616,120.64883961421151,123.64126919672931,162.38968952160548,162.19016377234095,127.30818446008392,161.1243926628126,166.41599987188573
Bulgarian,140.15087544628656,142.97490423142193,162.53336991516224,153.80284893223245,118.53230927239218,0,153.4683544104541,103.47215540385582,118.50055325738582,154.30909772297383,159.2829181163896,160.19348314723698,149.4874055783017,137.89154010517726,167.93326185297528,167.13312287781784,154.49233123228308,143.9986927985748,147.64771986344525,158.6362905289989,145.500775375043,220.17942365953297,205.99906873929754,93.75802226895473,142.4314491472034,141.43587394974952,146.00810449914454,148.8454684036227,160.11885023004888,165.2870174989257,161.4793494489666,147.93181154437835,126.69933559529736,105.89230734575378,138.34650745764037,121.77935109773902,120.70846605939256,134.23120115653703,144.7657002645282,115.94915262042439,142.4369853724256,147.00745567176796
Catalan,144.18097918260628,143.57667053831864,174.36328778450638,160.4205124285028,174.41665209074685,153.4683544104541,0,147.02865312125533,159.6610862121158,150.21114155865945,167.93989942906018,159.19668104036842,135.6213024301369,102.96700251453049,175.2037334333245,162.43582850854372,149.8853271453865,152.2208285534071,154.5331290851983,154.61492188071765,122.72682730085852,233.8274373640675,218.32826751817092,153.86531064214296,147.66229511529508,147.36208622922854,141.33027284369243,150.2299668712825,167.43319671357764,210.7882301926169,139.82608456397193,132.787465245822,165.3029506039109,154.53427013523648,141.27814814877044,163.8976434970805,156.33227105876463,103.53173442633408,146.2867755237325,152.89901371423505,150.92798915207132,153.27639777012809
Croatian,139.08564710929858,139.57816491547268,156.1687008155619,147.04745761546033,93.28751214986704,103.47215540385582,147.02865312125533,0,108.6386793414927,149.28688206063515,160.64742849200482,157.23247864775166,149.46624361025476,137.26437009827777,165.21311784893655,163.45809788693688,146.9422153331602,140.07527636489058,146.5429871898178,152.38799064201774,144.7097597740701,220.06778531062528,204.8549886961095,99.1631307179912,140.72497211230515,132.49181248139936,138.91436540817588,137.1966055372452,150.69174700863525,156.78560382171545,166.4567674176356,144.8913458764606,126.40654014311605,82.41088180873939,130.76660708304473,113.01288213663048,109.12547189005309,131.3895031121115,139.8945036583992,113.39593484116784,134.07369828625454,144.33881338789288
Czech,144.483658656722,150.17680952690125,161.66309725307565,154.58040308467022,123.92981864761518,118.50055325738582,159.6610862121158,108.6386793414927,0,152.80481608559407,163.25226190772193,163.83082923746463,152.8548557131702,146.67642129744547,169.97872026649517,174.45123359034608,155.3248783571498,147.85878708169028,152.16715361734003,158.0145508991827,147.36067424184813,213.9590996232692,207.79551054351603,118.03897854162142,149.14849128267147,138.9320720477748,147.5216166663521,147.1897755742408,160.98713326850051,150.55254851090012,163.34380416068797,155.83732089612278,128.94808885285238,108.704062654236,147.39334465999895,96.5257514480593,118.36412080996884,142.26350122632851,148.51273431130448,113.72420944960335,142.66465015034015,149.4510606844156
Danish,111.71412573167433,156.3122137954091,178.1916872092459,162.1371493622548,170.78759934252366,154.30909772297383,150.21114155865945,149.28688206063515,152.80481608559407,0,139.48473681931443,122.59912523871805,146.6133184694913,136.87236891012347,139.106448889987,178.64737536956562,149.85944129423686,152.43373002033385,125.24073599020102,149.5922506000619,147.0585855820089,238.10981647255073,231.07752489330267,155.2663775470624,144.84003953342093,140.22400977223185,88.56691219928129,150.19006930199743,165.18110675691625,205.07018016885132,163.5552513971351,155.79171999502236,173.14386155252583,155.65093268672874,148.10276507734088,157.76014249757813,154.45133710926493,139.01229030888072,100.6338687715309,155.82967039825652,149.90227427395988,145.7628792918728
Dutch,107.84756628116448,164.73391812208328,177.89860467299562,170.6421738085254,174.829140375736,159.2829181163896,167.93989942906018,160.64742849200482,163.25226190772193,139.48473681931443,0,129.29321232646618,159.9547857261152,156.7991003965081,123.57023048684971,176.1867044246381,167.6942732776516,165.53443914885753,135.34318925495745,167.25285916735035,165.27698976337123,226.4408092758886,219.93760324075916,160.2081511230642,162.0133260929048,162.31036395375787,132.3440333913687,165.37821039082954,168.33602512598856,207.52523752493434,170.64756628800512,161.7792118206577,169.4863573934696,160.14477073505196,163.2620924616086,171.0088451845921,164.90339876784114,158.1250413026976,135.82712633564006,166.20669020138612,165.31760599553084,165.87566432590262
English,114.5305414641406,162.22184818393205,177.731884692603,165.04761182662065,170.38635890023752,160.19348314723698,159.19668104036842,157.23247864775166,163.83082923746463,122.59912523871805,129.29321232646618,0,149.4005633527868,150.4994535902082,146.1898562074648,184.5272387172915,160.35081621727412,162.97892066380535,133.85502744144944,159.47524756281175,155.6435857587045,229.54180489805373,222.9517626663995,159.61737440487374,157.42756960505008,153.58988237133156,118.96809861148121,161.0497420856105,171.21038445056286,202.4935473912249,161.8121221894868,159.3967750715946,169.876080702774,159.57271584755335,160.56723085287982,165.69117136520964,164.47992253365732,150.56783883330357,122.99037143943603,160.9879224577026,158.6157210221768,157.14805134694564
French,140.2855683144503,147.0754203155449,172.12820611323326,154.39619934182272,166.578441637399,149.4874055783017,135.6213024301369,149.46624361025476,152.8548557131702,146.6133184694913,159.9547857261152,149.4005633527868,0,130.75489913260913,162.79034872136108,164.77767804739008,152.86876958571216,151.4143977159287,149.14853482655337,151.12894335476983,126.15709406762787,224.22345651228574,218.84934805765937,148.2084251005015,144.6980746798057,142.34591155772833,140.71921875777224,144.46758191639577,159.3651743970284,198.94250225014866,153.864239806976,136.83767602350738,162.60552036960144,151.76658294987365,141.3010832557801,155.49409499419707,156.31810562404897,128.32656470130178,145.33392819615966,152.94108218094945,148.47853786815224,149.350099693129
