,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.0586347692556264,2.3486586285543045,2.0902608927218385,2.336201190348895,2.092811739054263,2.137170565263381,2.106130459334351,2.0868351613865146,2.068406948660773,2.0996262880798335,2.1742968721731497,2.059646792781952,2.0295586026280032,2.1428380678734538,2.150931478687102,2.2309373222106057,2.2406841649238087,2.1553270082579226,2.0396807869936087,2.27006214109337,2.3260122043577116,2.6166995846030785,2.1509583722660914,2.14255687842507,2.206551593437493,2.0552334183148058,2.0995414566068096,2.2584842874259254,2.4021816941530947,2.0843583519416162,2.151505819653707,2.2123376267140844,2.1389153657871467,2.092423621297946,2.122525188747766,2.274980663503216,2.0692487510780406,2.1084028529382652,2.1887984538292367,2.0602671384087397,2.3237281182647718
Albanian,2.0586347692556264,0,2.2766709289270985,1.9959080080661555,2.21683706267974,1.9583822089039813,2.059046522853788,1.983611443487363,1.9608272913997362,1.9897327770437452,2.079157716469334,2.0864565295360626,1.9626583412465326,1.9451147925481866,2.1070746688071957,2.0604833179544495,2.1918127267620813,2.2089312876715743,2.114121200156607,1.9699986569204764,2.176314486659001,2.2166173150071353,2.524912102558648,2.036854728181555,2.0825240876755298,2.095811934118991,1.9670162622949359,2.051800889566557,2.147042809579017,2.3249433476230403,1.978721683878623,2.0363809315415065,2.0842606679623623,2.016357132073847,1.9604939324580353,1.9977388119664563,2.1692908943432516,1.9307558531415643,2.0043662678649157,2.0447561045397977,1.935485771336638,2.2177555909742894
Armenian,2.3486586285543045,2.2766709289270985,0,2.3120349218557608,2.4478379105547368,2.321145718234806,2.374215641518421,2.312522472522202,2.281162763361659,2.366533372885794,2.34227231024424,2.4013874350366367,2.326184511339094,2.2914442510879702,2.3698262018399343,2.343364180142102,2.4272499851600533,2.430251664704256,2.3566642544690435,2.347051642375052,2.383460721845689,2.4515919989946204,2.611598192825369,2.333255578536636,2.370152479059887,2.342676083170467,2.3618545759247693,2.3377186165713715,2.36767503613571,2.4943186826993995,2.3057612732384034,2.352386844731931,2.3783407942321095,2.3288163349444697,2.2736261099660835,2.360328717019538,2.463762020992075,2.277880614858479,2.3280213947510107,2.3439891363714573,2.2791635288386205,2.4178080261007517
Bengali,2.0902608927218385,1.9959080080661555,2.3120349218557608,0,2.2442789376090855,2.002715520114496,2.098666451891209,2.017421168073399,2.0255917962555605,2.0331266724840242,2.112877356271247,2.1118433651027075,2.0047301305815592,2.0040729925019605,2.1401951160389587,2.1057708141653007,2.1923610329002754,2.201156733827199,2.1447399916537466,2.0188384402724333,2.2076177600391533,2.25206649989744,2.553692637076604,2.070548384314126,2.095533519548164,2.1078505213606467,2.0240806754478142,2.0880070374599047,2.2004255254869287,2.349441164938916,2.031745466049633,2.0893386304372688,2.131669004412522,2.059373432226121,2.0243984417103125,2.065744646545455,2.210770813797617,1.998974432996587,2.056324112490383,2.098251853288263,1.9709422000135965,2.246364180046991
Bosnian,2.336201190348895,2.21683706267974,2.4478379105547368,2.2442789376090855,0,2.1790495448213663,2.3084744868931466,2.1645085307357745,2.204535904272448,2.2698435245238686,2.306028357684218,2.283080400822124,2.2520637950406437,2.2372770873472945,2.335707339251861,2.292026129593785,2.414064341821595,2.414501163002715,2.3430563410516574,2.2862905088128,2.3329273428369306,2.386399460025931,2.5949585540909883,2.196657391708268,2.3484949591313877,2.2874794468199893,2.260219122087586,2.3366308196617043,2.3377227670107965,2.4204833918877937,2.246824447729285,2.2749233685906702,2.235088627246146,2.1527851730051153,2.235018719806282,2.2439359515493127,2.346628886322728,2.214987423596605,2.2509518250590803,2.1823804080538323,2.200937145443236,2.355331271069741
Bulgarian,2.092811739054263,1.9583822089039813,2.321145718234806,2.002715520114496,2.1790495448213663,0,2.079903449310642,1.9245136169448809,1.9525639089495204,1.975735635146047,2.081791768995244,2.051522985009304,1.9602546099361544,1.9789956146440322,2.11694842805955,2.0766678813200907,2.2152529091583864,2.208034571924702,2.1411242185252646,1.9917952875856986,2.160140855908476,2.2251251062055366,2.5373570260550053,2.0097337190641307,2.106707201360977,2.0928062703054517,1.9792884360699228,2.0867977472444066,2.178527042134116,2.3051350154149866,1.99251941430606,2.0401568531968106,2.0681751052454054,1.9864768424023984,1.985318526649583,1.990930725532162,2.173732294878124,1.9642180441714647,2.0191755533106153,2.0211433780703416,1.9451309766846874,2.188557675451322
Catalan,2.137170565263381,2.059046522853788,2.374215641518421,2.098666451891209,2.3084744868931466,2.079903449310642,0,2.0979722911831593,2.091640190591022,2.0800510028485233,2.1583112742733515,2.178228333303425,2.0495923492707075,2.0076349211162663,2.1846208796427784,2.1388351171751028,2.2651913754846706,2.2757231160493405,2.203778800928248,2.061743854629181,2.246614082848291,2.305920585058543,2.613247145392003,2.152651058395695,2.1650811227948688,2.197117734554905,2.059902057466896,2.1353115010933843,2.251942690850398,2.415780217911694,2.056470783459137,2.1235935764001823,2.2036679381308226,2.1319294036291114,2.1043167435091563,2.1130640510443817,2.2578203826221475,2.0176801538515874,2.0958070380598013,2.1732667637080074,2.0504169414973115,2.3142021733450027
Croatian,2.106130459334351,1.983611443487363,2.312522472522202,2.017421168073399,2.1645085307357745,1.9245136169448809,2.0979722911831593,0,1.9619073966515967,2.0139096227125317,2.0921535077158873,2.0769534881843827,1.987096516291709,1.9938448589220543,2.118012486134301,2.087621631456736,2.2158974164190997,2.214563286257871,2.1545314451458313,2.0152837682165816,2.1501642734340742,2.2307068818370936,2.509139390809245,2.031119430233933,2.1227379154025074,2.095968925161196,2.012795099802319,2.104952812783318,2.171002584400723,2.2886986008299184,2.001606014084645,2.065974045285161,2.083817917376198,1.9811051148221084,1.9998969722971969,2.0081506468296193,2.184799410590847,1.9829514797878813,2.0306588060657607,2.0326516400258408,1.967290209226838,2.1985856486760778
Czech,2.0868351613865146,1.9608272913997362,2.281162763361659,2.0255917962555605,2.204535904272448,1.9525639089495204,2.091640190591022,1.9619073966515967,0,2.029846490638029,2.077332616635556,2.111186139810176,1.9891234508938958,1.9745313599505672,2.0942077718589314,2.077374347413115,2.211106508592149,2.205021020922013,2.129579039031973,2.0072116935315147,2.151068515690633,2.2285625637157733,2.5014670602427707,2.0501540040183657,2.1206223939707605,2.0917903195485157,2.01558960278964,2.0846014569404505,2.1536325312909184,2.26560664699664,1.993923586664383,2.057105520234764,2.0902673501937783,2.02019002861075,2.0043401933303553,1.9821051905462521,2.2152189282662085,1.9794074970861524,2.0350445846861285,2.0481713729660593,1.9674181715393904,2.2062894353841047
Danish,2.068406948660773,1.9897327770437452,2.366533372885794,2.0331266724840242,2.2698435245238686,1.975735635146047,2.0800510028485233,2.0139096227125317,2.029846490638029,0,2.1060619209623237,2.079124047625935,1.972906901223029,1.9747423965991073,2.1187766659616245,2.11628081832044,2.2363948385924983,2.2422034104514554,2.144069469474352,1.9747710854156817,2.2310586762595466,2.2733690324701223,2.633615428040456,2.084395170946641,2.114566837519185,2.1601690308992274,1.909785153672192,2.090413376332073,2.2238743722632828,2.3982942877770363,2.0280352594655784,2.077094293742619,2.1492857422422236,2.05079903317139,2.02395484121034,2.0321847673674855,2.190882073622951,1.9923335484663167,2.0194369306814988,2.1043910700389086,1.9815993962540634,2.2744972731126154
