,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,14.097736817273425,13.004740259712696,14.273840440453345,13.215622916536079,12.884225314334214,13.02067306069462,12.427423954152157,12.103093666725291,10.728578508227496,9.815928053710046,11.777794266468627,12.377524908509697,12.375681849072073,12.498804061621078,13.740572300490681,14.939897153144965,14.794727436254956,10.681673423380088,12.40506996874673,13.995301473419799,14.10796981479458,15.977668618493448,13.253463173011301,13.803500234611677,13.923534909297107,10.363418067539941,12.758461342101276,13.978483773635064,14.969904762242429,12.80325881720054,13.259524507017169,13.465112142314682,12.953412666077034,15.188229047367026,12.302985336791135,13.30882651726597,12.96518413650019,11.39504726332288,13.205818259441024,13.715164850721543,13.512194810684962
Albanian,14.097736817273425,0,14.416929365306432,13.91201902072549,15.574971494969962,13.974651345814221,15.08277401244668,13.923616446046404,13.60247599976653,15.20913127310639,15.236511841980876,16.494309590703907,13.58785219476786,12.380362774156728,16.41052645642684,15.125524757280976,16.741841790217357,15.24004765012251,14.46388488010507,13.99794604139575,14.761490734819217,17.125457415346574,17.47797196847962,14.308121190811175,14.729631799777028,13.01977541501625,13.567582617476209,13.40671612805815,14.261127373141433,17.286434490455484,14.322864681163683,13.792595547901538,15.575673516199476,13.893922593228993,12.168984565409968,14.030722729453585,15.831083674891875,13.054664872042668,13.93573710008455,13.416129932484507,12.88469197895375,14.992839949485647
Armenian,13.004740259712696,14.416929365306432,0,15.04133039264505,14.341139316289942,13.815429469663513,14.788925567059469,13.521367904175959,12.806931111081463,14.041907221728161,14.024413127787867,14.954498335597751,13.708466976653654,13.581285082809485,14.380630938938166,13.602767978577264,15.634589579540133,15.174280610775543,12.596975571509622,13.537188186113816,15.014235159406635,14.97914263126359,15.400614428578777,14.131646788271725,14.815508631427617,14.98175923939037,13.275465948444523,13.355076382089356,13.503739767360356,16.797666702777267,14.819052990680248,13.953625497804332,14.408562142303493,13.89733538615441,15.641299583434938,13.569980949311656,14.94871896363062,14.325756554206658,13.138238593283585,13.68632143126937,13.79461427943005,14.123315511891578
Bengali,14.273840440453345,13.91201902072549,15.04133039264505,0,14.88706957530482,13.518746549379435,14.423413770340163,13.411497590319367,13.671544010022911,15.21608928127133,15.052410208626322,15.631494982167732,13.514721955150101,13.424659425702798,16.297979473979602,14.814522934047096,13.445230107487982,12.461340958877102,14.57916940320473,14.774362127632598,14.562850424067234,16.31715266427406,17.349235526855978,13.866793738962713,12.345384770393787,11.486082883176973,14.283779987466765,13.448942586985774,14.987521607277552,16.595566787373922,14.243019726939547,13.977808740535718,15.353980281786201,13.97014172889911,13.950760488433934,14.221036995296156,15.078541117011834,13.58974633624893,14.116657761630403,13.990760759605797,11.92872458698094,15.222999564113247
Bosnian,13.215622916536079,15.574971494969962,14.341139316289942,14.88706957530482,0,10.785391499264279,14.129969838481909,9.72314649457693,10.89502515035882,13.822900151975519,14.864730430845775,14.88286889350947,13.430015587482604,14.018364398577493,16.178924904603708,14.760850802358789,16.006402831701312,15.469988146492742,12.69818963776717,14.65690778569206,14.311057882642109,14.140964350115018,15.336498505987475,9.981989255288022,14.928557731075928,15.370960053218438,13.24846086090755,14.266178477673705,14.410659058933112,12.376885424300987,14.086571553106614,13.961368229062407,11.055964059338361,8.106340909909399,17.374877349333193,10.594620448504575,11.890557324515475,14.574718834641528,13.445289600126799,10.899802049834024,14.740170596435958,13.985917374769045
Bulgarian,12.884225314334214,13.974651345814221,13.815429469663513,13.518746549379435,10.785391499264279,0,13.305142735511849,9.024887143687033,10.489995815714328,12.304782599097503,14.020198907466398,13.850336680676937,12.030585026686728,12.143108800354456,15.078609097422989,13.354182787352642,15.284916207960887,14.329166448792215,12.639366738870168,12.991098258912276,12.87482171996898,15.047116457675001,15.88034670219804,9.72901552775899,13.69744232457561,13.33374583892649,12.407813839037413,12.853429895079307,13.794659735898176,13.863860151617438,13.37430166880006,12.73865054031593,12.059487692532397,10.391912011651678,14.442917149703996,10.80391296097677,11.185810366388617,12.278782015139651,12.518288058077717,10.748082131435712,12.703772342129101,12.304127444457945
Catalan,13.02067306069462,15.08277401244668,14.788925567059469,14.423413770340163,14.129969838481909,13.305142735511849,0,12.618057051369245,12.81670218126181,13.823964536052506,14.286694631253987,14.677411604096788,12.010367084250875,10.822879428346928,15.704838876751559,14.30561993055174,15.598064273114451,15.38556320733003,13.537799481569497,13.190719437295717,12.314909562464406,15.487329720230088,16.440379314907933,13.690374704443663,14.23682465747543,14.318984197328161,13.1862296933898,13.652918565341585,14.863314912952443,15.585499039480391,11.556294210387438,12.22868985982532,14.426061193553481,13.61130798005064,15.788897785891391,12.85650700447269,13.972143114180314,10.682779695909556,13.715185869334983,13.59483633436603,14.14994329075347,14.141352544266969
Croatian,12.427423954152157,13.923616446046404,13.521367904175959,13.411497590319367,9.72314649457693,9.024887143687033,12.618057051369245,0,9.881439170828239,12.265632411655687,13.954061773772864,13.527780295907666,11.798552851999967,11.78284182820361,15.347530923731064,13.572993000170229,15.25106754852035,14.465352370659712,12.634202465235118,12.854972194014081,12.384197913562373,14.546218420829803,15.572606984771003,10.183868028510254,13.763288864614873,13.304386201460689,12.016802561023324,12.64012780046976,13.543567281686324,12.22732616636272,12.456150070441403,12.479183774406852,11.378791169328084,9.147959739719251,14.483612887950033,9.666671892887498,10.370315879656054,12.341410430503188,12.196691248938142,10.883299072494006,12.68834352579125,12.422120831966206
Czech,12.103093666725291,13.60247599976653,12.806931111081463,13.671544010022911,10.89502515035882,10.489995815714328,12.81670218126181,9.881439170828239,0,12.831422785587925,13.406510073243469,14.279984462431264,11.972985365596347,11.785947863172956,14.53444608957574,13.27433493805352,14.588632698028047,14.056576724036777,11.819533837997394,12.795978272032414,12.88172053769299,13.60868882662936,15.063171521175992,10.987881770099545,13.466784321908648,13.184212947162433,12.052744278320302,12.653374613911735,13.620612407216113,12.219764471072367,12.606012746523959,12.636913497862876,11.123457560516481,10.261539948770428,14.705692887185839,8.345336902958731,11.660282283245346,12.233977617917992,12.764014375530696,10.408407337617895,12.498485242453674,12.78960662233527
Danish,10.728578508227496,15.20913127310639,14.041907221728161,15.21608928127133,13.822900151975519,12.304782599097503,13.823964536052506,12.265632411655687,12.831422785587925,0,12.44746260791901,11.132758940060967,12.587427257904181,12.641664771036828,12.265807481201339,14.018031590441566,16.33852378369858,15.799770243059257,10.397475694479285,12.212960528848104,13.705829678711753,15.826672593685736,17.363265597948516,13.892553401755043,14.667899709792412,14.680792058527386,9.285730000093462,13.843130668100864,14.070707247195209,15.88208408836786,13.654730124123061,13.825200955133218,14.476008531964077,13.520759878371258,16.378938354293734,12.937447667254249,12.917670212646701,13.283723131278153,10.72018783546186,13.838640302774035,14.157939560766717,12.70999896935345
Dutch,9.815928053710046,15.236511841980876,14.024413127787867,15.052410208626322,14.864730430845775,14.020198907466398,14.286694631253987,13.954061773772864,13.406510073243469,12.44746260791901,0,12.752221456640532,13.885241010904041,13.820289889001758,11.628953795096049,14.131714372686595,15.761290711226856,15.447146588736754,11.691607278317328,13.861176995215137,14.989209980815355,15.76479957775767,16.964767837695767,14.643260362202076,14.804133762421753,14.992761347832815,12.005435341648278,14.445589569587561,14.696305784555092,16.386925187824847,14.2788223725298,14.339734122964952,15.182276547460441,14.375103110592566,16.22880282532397,14.116651057999677,14.615162251075672,14.193242151674221,12.43117133643358,14.467458654727956,14.677180656213785,14.621457429317838
English,11.777794266468627,16.494309590703907,14.954498335597751,15.631494982167732,14.88286889350947,13.850336680676937,14.677411604096788,13.527780295907666,14.279984462431264,11.132758940060967,12.752221456640532,0,13.714651497429657,14.498460214370752,13.69274450787616,15.088009178570134,16.918270361913613,16.754672066488197,12.129250727663301,13.874894247868689,14.534153474995561,16.38260714882665,18.071629283009642,15.087162587761862,15.929659691128537,16.15677913805776,11.727284325112272,15.352447981230531,15.439887957607,16.552461044438143,14.667434762780276,14.86816934805187,15.0944643139646,15.039179293619764,17.77301700127481,14.024553424193854,13.975456238526446,14.912434583412518,12.109383038191591,14.787187601331688,15.652832244995182,14.084707935077276
French,12.377524908509697,13.58785219476786,13.708466976653654,13.514721955150101,13.430015587482604,12.030585026686728,12.010367084250875,11.798552851999967,11.972985365596347,12.587427257904181,13.885241010904041,13.714651497429657,0,11.184383393988904,14.91608828031293,13.493481749764818,15.187919225970639,14.477801335884608,12.7122046924492,12.55760976568428,12.08011874762552,14.929030723434572,16.58715577150676,12.884083438549714,13.438927133087414,13.421813052464971,12.072800420347152,12.641719381367361,13.947113347030408,14.847614244273798,12.060265782242498,11.897812179124948,13.609876465519786,12.796223637133608,15.005872369963399,12.094437857765445,13.386714856385357,11.704444965199798,12.827024037776315,12.890211613529672,13.123089176911343,13.514434422926879
Galician,12.375681849072073,12.380362774156728,13.581285082809485,13.424659425702798,14.018364398577493,12.143108800354456,10.822879428346928,11.78284182820361,11.785947863172956,12.641664771036828,13.820289889001758,14.498460214370752,11.184383393988904,0,14.947231554834817,13.64277575531811,15.331557706968887,14.557501848237743,12.765036742825165,12.110689362183583,11.745405748591354,16.253738216695364,16.76577894443178,12.94755272886573,13.83833559524034,12.248135487260802,12.087526456465884,12.183466239780744,13.543577646941976,16.40963366742381,9.925867922277677,11.844245759731738,14.55428989731283,12.953968207704522,12.360341982472997,12.408457134584905,14.046101326318551,8.07983787243881,12.480962371859238,12.841662537733246,12.285631790197804,12.94100039804485
German,12.498804061621078,16.41052645642684,14.380630938938166,16.297979473979602,16.178924904603708,15.078609097422989,15.704838876751559,15.347530923731064,14.53444608957574,12.265807481201339,11.628953795096049,13.69274450787616,14.91608828031293,14.947231554834817,0,14.71913169246529,17.125497151088698,16.363240350650713,12.594532403187147,14.275421193366146,15.78972369307647,17.24767541840689,17.695775302594082,15.856862595764673,15.76582327602656,16.06975180951821,13.191371070360361,15.323719931788043,15.005283448688909,18.189559265023536,16.069271483408137,15.493544553905535,16.792080838145022,15.728415834134093,16.940628656666593,15.31045058927612,15.965327752345102,15.304413712807206,12.784172840035879,15.614292182435644,15.498691772870256,15.160759534688774
Greek,13.740572300490681,15.125524757280976,13.602767978577264,14.814522934047096,14.760850802358789,13.354182787352642,14.30561993055174,13.572993000170229,13.27433493805352,14.018031590441566,14.131714372686595,15.088009178570134,13.493481749764818,13.64277575531811,14.71913169246529,0,15.671920599248436,15.301986640286541,12.878605286585143,14.252114927662706,14.816278646930801,14.833050623251568,15.37212237077579,14.46706405368505,14.950058766263622,14.639430398045176,14.052542511914696,13.965772769241793,14.14991802939705,17.292374884669236,14.742025380610224,13.338392944820749,15.11409433114825,14.218893655583212,15.767954965251972,14.461777179524894,15.065840770817474,14.162624682144852,13.520437784297659,13.812371496111394,14.116409081096418,14.115852507493416
Gujarati,14.939897153144965,16.741841790217357,15.634589579540133,13.445230107487982,16.006402831701312,15.284916207960887,15.598064273114451,15.25106754852035,14.588632698028047,16.33852378369858,15.761290711226856,16.918270361913613,15.187919225970639,15.331557706968887,17.125497151088698,15.671920599248436,0,12.88466235880938,15.177446091957199,15.684453406035239,16.820902623747884,16.899997851303702,18.071650113642292,15.324548557730772,11.74810246993469,14.138644145483813,15.625160644884442,15.166134395741938,16.546927137654468,17.245911173261003,15.559952886541911,15.485930755815508,16.13381927458061,15.372148367356804,17.089470262471472,14.978126050512705,16.855092929498515,15.424740222470433,15.754307589941096,15.34205202064358,13.468450573789807,16.675363262519152
Hindi,14.794727436254956,15.24004765012251,15.174280610775543,12.461340958877102,15.469988146492742,14.329166448792215,15.38556320733003,14.465352370659712,14.056576724036777,15.799770243059257,15.447146588736754,16.754672066488197,14.477801335884608,14.557501848237743,16.363240350650713,15.301986640286541,12.88466235880938,0,15.059896793738274,14.94992891519938,15.703521094220505,17.2654106123658,17.757038038395724,14.56393929015349,12.499764045024598,12.156346577680374,15.202722254286206,13.757696154213317,14.973850313108521,16.940740170490276,15.074464300216144,14.707450988327958,15.916478567788301,14.64285010698976,15.012019632856124,14.646154455322128,16.32441410388675,14.550087735316225,14.63652599307124,14.333175369942582,10.51874459143989,16.19657743853739
Icelandic,10.681673423380088,14.46388488010507,12.596975571509622,14.57916940320473,12.69818963776717,12.639366738870168,13.537799481569497,12.634202465235118,11.819533837997394,10.397475694479285,11.691607278317328,12.129250727663301,12.7122046924492,12.765036742825165,12.594532403187147,12.878605286585143,15.177446091957199,15.059896793738274,0,12.46099564393588,14.18862657917797,13.787323859809822,14.84519066074009,13.235122288420365,14.160194409134187,14.111589195493622,10.324308149607026,13.214575344396048,13.106115941834231,15.111808945218515,13.543434263889225,13.15280425068756,13.311678946211769,12.727533489404003,15.802748450596404,12.469599534122525,13.39026314107651,13.3739628759604,10.879878819337947,12.79388540344691,13.882358160009405,12.951408150986447
Irish,12.40506996874673,13.99794604139575,13.537188186113816,14.774362127632598,14.65690778569206,12.991098258912276,13.190719437295717,12.854972194014081,12.795978272032414,12.212960528848104,13.861176995215137,13.874894247868689,12.55760976568428,12.110689362183583,14.275421193366146,14.252114927662706,15.684453406035239,14.94992891519938,12.46099564393588,0,14.29314676301789,16.19312721991287,17.298959120326387,14.040472756939817,14.135063120723093,14.191396863894928,12.40730260637315,12.3632604855358,13.74963305281674,16.255087919259537,12.845122441965373,13.362320256622908,14.62602779332823,14.166499999730295,15.03250994931605,12.97236056556014,14.477679110066028,11.859941748804385,13.168436961842515,13.848214006049908,13.667695130077627,13.15302352901591
