,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,38.2460932822014,36.72039574681767,42.643759325191155,38.058721210556406,41.959654723106084,43.32372312596424,41.32933566383594,41.88873800425688,39.19925207583281,31.95364512021708,39.82703020760729,40.59873888189726,38.66404555682989,39.107385179024725,42.982971080591696,43.935532568992436,43.96274619429885,36.82541219866305,40.56293827121744,39.414735661161345,39.85502864259481,36.59418513641483,40.220887953838705,42.932415746050765,37.90966417957859,38.55213421961838,39.19888331631085,37.67392734353941,40.80903512997191,40.609998660421965,41.253375957266414,39.87597034048757,39.94277187193507,36.42829315493927,41.642036515522015,41.859233122494224,41.6431019920939,38.86820935439848,39.11610460378791,41.55761193026802,38.07048931590084
Albanian,38.2460932822014,0,36.953061571073256,41.10745832802652,39.191636496164115,42.02785067704225,43.17021016753396,41.230841502355275,42.47531185425164,39.57329435659514,40.67433914753181,44.605390069675884,39.518412735660306,36.5621193754699,41.69342342490776,42.0010613980068,43.21406971175788,43.21917354012945,38.83993205147628,38.235762588953605,39.83902685641135,41.634773370038666,37.85275233142703,40.34564930890193,41.488659188134164,37.40040007085697,40.90234743310341,37.65434802768731,37.74774381015749,41.62277200319616,39.97237811406506,41.017484932365214,40.59273617896125,40.64315488985902,33.7218751098368,41.32319931786666,41.9254680171713,41.29767955384686,41.5967005066464,39.85233574943071,40.119835956433256,39.03953003102145
Armenian,36.72039574681767,36.953061571073256,0,39.650121115706135,41.29776980490706,40.11061162909638,39.71057757686479,40.25423337751708,41.120205616567596,37.85521470181205,39.90498719764756,42.07977486240455,37.59901664045731,35.83056693424712,40.681836082084935,39.65783803270999,41.48646508203478,41.39420044508869,37.71976611099401,36.413556240593586,41.81212396718461,42.555722169908606,41.51111747587513,39.67490737097462,38.89137322759894,39.05818268456825,37.30161722508428,36.3062680990113,38.8332175032498,43.55194968617501,39.398241858433046,39.99840196286862,40.61377692625385,39.997465443281854,36.3550463353395,39.80661767654417,40.783462202480806,40.28165474223502,39.168591367332255,40.070077302159866,39.04514003700088,41.39136543238288
Bengali,42.643759325191155,41.10745832802652,39.650121115706135,0,41.42738560015272,43.48911548695764,44.45782127270957,43.507056919181714,42.99784607533131,43.44644117863343,43.87030667181956,45.611908795179154,42.11539041483589,40.82939649849379,44.185786501734455,43.632603861634564,41.3404077359887,40.69764261100154,42.21886647606232,41.968080407376654,40.818700915566964,43.770797640248055,39.19009062041013,42.399074963329774,40.60335654950301,35.66411276024084,43.82739451235581,41.78939624587344,41.068055849508255,42.40499855267863,42.34466037527087,42.9484023978681,42.57094586677414,42.62268246233642,38.25920864928564,43.213522847896115,44.4469129054158,42.908190138350896,43.66717888171895,41.43411152413861,38.73555886633434,40.29111034214944
Bosnian,38.058721210556406,39.191636496164115,41.29776980490706,41.42738560015272,0,36.07708555826653,42.14181890377604,31.06470096833685,37.81052136507642,38.455647222436184,41.30804430795389,44.13901862042594,38.81229091193267,37.87413882424856,42.31282672837102,41.943951032123636,43.17612892366798,43.38698570055703,39.69844259000331,38.71038625951938,41.80516533234177,41.788785411220196,39.93175704096385,32.215130880867385,41.22683242090236,40.575351336485596,39.12279371100656,38.90187332746397,41.27409388287392,38.317123385607104,40.67366796447764,41.32761185973542,34.91255149154178,26.579569420030275,39.01498479609577,34.978147083029626,35.84508844829804,41.34353206694594,41.46489623402764,34.70917039403749,40.677496442985976,42.670693845112936
Bulgarian,41.959654723106084,42.02785067704225,40.11061162909638,43.48911548695764,36.07708555826653,0,43.651768653002996,35.577534003574534,39.538805462548325,42.43925806790472,43.58487035942001,44.32606211231651,41.60131777382748,40.430184848003385,44.603546954578476,43.11176091170306,45.070595795388385,45.1658086337693,42.2116718214756,41.92032245500071,39.82105748482481,42.81330219514594,38.2738538633248,34.40358840984068,43.865769882483384,40.88217949197243,42.97728502812877,41.56649346011377,41.638875455929735,39.0718621071581,42.78456241555706,42.82845689929206,38.1347411925388,36.377383250758676,39.29230252957828,38.98910932567941,38.70311201631888,42.32297944714363,43.25271552537599,37.82427088957413,42.06656697008878,39.6172164330023
Catalan,43.32372312596424,43.17021016753396,39.71057757686479,44.45782127270957,42.14181890377604,43.651768653002996,0,43.608812188523494,44.235673090522,44.36403025348273,43.981082486720965,44.737425098776,40.82661092082459,37.91358527564992,44.52026618107153,44.29908659422724,45.66449118403763,45.226903437989534,42.659392835174366,43.41433599944042,37.01747117453148,43.63424040069677,39.00284881978155,42.85031005752918,44.71415355962285,41.448852324152355,43.72022543317446,43.77407364350903,41.91077252748404,43.374814180741524,38.223064741574916,41.29370769285513,43.39546821835833,43.48254553551431,40.350752485120424,44.493877906907585,44.922462204308104,37.918502142989986,43.8969347971581,42.497936118025414,43.6129010173622,40.66549453926581
Croatian,41.32933566383594,41.230841502355275,40.25423337751708,43.507056919181714,31.06470096833685,35.577534003574534,43.608812188523494,0,38.05938004372434,41.128483970091764,43.32382359514663,44.67437158458393,40.831009167439696,40.28389914915971,44.26128040000817,43.473389196243325,45.23209588008893,45.295639802073715,41.92798589488225,41.267141545260515,40.9106699841893,43.873955697032486,38.307382838428396,34.71668755049443,43.301455830476264,40.27826024886842,42.52123123076817,40.5208749322206,41.72808784430537,39.16602062973263,42.96012917526247,42.60689700679692,37.88646905591405,30.513758023861048,39.107949285656446,36.663035594291465,35.613650111783976,42.49404848513423,42.91466092429732,36.16042459425083,42.24364581721032,40.43885334178826
Czech,41.88873800425688,42.47531185425164,41.120205616567596,42.99784607533131,37.81052136507642,39.538805462548325,44.235673090522,38.05938004372434,0,41.42003662029398,43.60676785868722,44.7588658326917,41.59404264849152,41.06878583454746,45.3853309698339,44.0273389459706,45.89515748165937,45.88452898798204,42.472766177510636,41.801444041619945,42.158825089109115,43.49522470340694,40.50278015837418,39.19791341353608,44.132798950230544,40.658259466432135,42.556128725396384,41.245641524408285,42.35893677557754,39.31972277413666,43.273582912314595,43.014736074230555,39.229544669023284,37.872879397317945,39.46137403041663,34.627534574333964,38.94234944223397,42.57065141644898,43.40877808032426,37.523775781638136,42.30958603990487,41.24558749171107
Danish,39.19925207583281,39.57329435659514,37.85521470181205,43.44644117863343,38.455647222436184,42.43925806790472,44.36403025348273,41.128483970091764,41.42003662029398,0,39.28066343813311,41.661992833662744,41.08961256377748,40.04473676438359,40.19269302266697,42.87018796610972,44.41630951220918,43.61771723761479,37.048422272721446,41.62077939460514,38.04616022531956,41.64793764405238,37.73340041670164,40.81289146976142,43.39766923017345,37.187186194154506,38.20837796705665,40.93836803629462,39.06628743211965,40.66501311473552,41.66843796466787,41.4705984492343,40.61810939771622,40.95472690823734,36.58599589534382,42.04044128291747,42.5930939446498,41.49038817060944,38.162478067700846,39.40876409009406,41.34222204943028,37.38620640135139
