,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,615.5726960901967,695.7475051881001,755.1615773907092,724.7649485090897,800.6994183561907,845.5719092561708,841.8230142762864,870.4668420443431,768.3821438964676,631.5383451560592,867.6441908201946,790.9922873952399,657.5580835305294,725.5526220764986,935.5683879633391,823.8318684851173,911.9557523194712,627.7780314495454,735.6918330723602,803.6335184969249,792.3777291810933,619.0898123516774,733.1718650588845,787.6944085166201,670.4776897589368,699.5842157956573,704.331462378286,654.8850771651918,866.6955324181275,800.1409002155244,824.0554694236314,741.8630497302458,737.7352599938706,603.7896369286897,829.8535442429936,889.6220858987967,892.8919668164039,707.6310740431445,736.4621978892675,773.0403222336307,774.6229633181687
Albanian,615.5726960901967,0,690.6155627454583,726.9372190764168,735.257461611499,802.178708732879,851.4062276830871,856.324787887233,898.5389178007969,822.1751292307802,819.1697181765608,988.0289880419127,782.1312408823328,624.5436445607862,805.450525250987,920.1014150074581,818.1225281133738,907.5921437969835,672.9736754735695,691.0669345828769,828.0015202698829,804.0824271248902,633.5087478099584,728.2181156108952,769.3672167818913,668.3504824444512,772.5615120222641,668.9523248459424,642.8121639857953,890.8599070899278,791.1300590580526,835.3197731810099,734.4410153640109,743.1679246758653,548.7716348486167,833.8685186915692,909.1880545753248,888.7520627083522,788.0514647594391,734.2558568013526,756.4509633677222,796.7068131429963
Armenian,695.7475051881001,690.6155627454583,0,781.0316351684319,854.1231607063359,851.2238593887163,856.132590455748,876.9299455892302,920.3377252455654,844.8435683721223,872.580771358636,960.7735197686229,815.1583060718553,716.6876582701926,838.6610131281933,921.3406090505115,844.755046433692,921.7722719028561,750.0068973525936,747.0991574701812,924.051888465361,877.8070986598028,751.7570387437152,802.4058215552685,801.0890554559597,773.6515348291799,789.0107592013478,726.9129479876174,743.9047326756736,967.3126708844082,841.958423608883,874.937886320504,821.2229890822173,809.1544024792678,712.694808389879,857.0146351225593,930.230335812682,928.4980313352368,812.9866176642427,823.6054426608994,804.0964956429445,897.2674778404534
Bengali,755.1615773907092,726.9372190764168,781.0316351684319,0,841.0489736472549,876.6507436881863,900.4294232151271,938.1897242200487,936.3876518551966,940.6897734802329,884.4291247882861,990.7714532984864,867.3340372455478,768.560659197195,876.8631804404978,962.4104364149389,774.2119328808953,841.6708758992995,793.0192250586472,804.340357815313,874.2766634714815,893.9802930812867,689.1466823223516,826.1539844905882,758.7990895444667,662.8386597475951,875.6377456621547,793.7187469728871,745.0455203267146,918.5562122857947,845.7190265890578,913.6361766743121,847.159585348773,839.9558336609463,700.0077208118496,907.3789309365228,995.8620539780699,910.4886435055776,869.9254905111052,833.9004568081314,747.8353147493985,837.9518428759911
Bosnian,724.7649485090897,735.257461611499,854.1231607063359,841.0489736472549,0,744.9912262292165,912.7868378592333,646.8965722810804,834.1825547794365,871.1049192738146,897.6587744123271,1037.6848103699338,852.849983538723,755.1473814160987,895.5828121504622,978.1488903358481,911.5015716669761,991.3564651043995,793.1743494419569,805.6636879994682,946.3127831352421,851.5402082888822,766.3264186948923,622.0647591586676,867.1912614191539,825.7473746175907,800.9573639677233,783.2848893007557,795.5538333789023,858.0068572377703,895.8691323389105,925.9941367470011,693.6308942979082,514.6406846301576,752.1002911529446,728.087729291956,786.2027964172497,954.8488099422232,861.8025099601233,699.1373803483141,857.381364628611,956.0288457607137
Bulgarian,800.6994183561907,802.178708732879,851.2238593887163,876.6507436881863,744.9912262292165,0,910.4409249626736,768.1957390207194,853.9498310485835,955.8827491420096,935.5974167502935,1000.595248741796,909.4311676781108,782.4308451377942,938.6273981136926,997.8979846192916,919.5234643941532,989.4692007871957,840.978362461811,872.3910248202238,874.3879003077885,924.398386811083,734.1084668068048,675.1124679965186,889.654264898358,848.0712863345063,907.6382471392761,847.053349737805,816.3864484398301,882.3915078194599,921.7763837717777,941.0090439799599,769.3778337082009,725.5929296386333,770.9088731689194,827.0911476796012,864.7490187242207,955.5019527080556,907.0201151526079,776.0875676694968,881.7609104198024,854.2045983632735
Catalan,845.5719092561708,851.4062276830871,856.132590455748,900.4294232151271,912.7868378592333,910.4409249626736,0,968.0375123940684,988.3183717526922,1001.738097228369,941.680468593385,995.854171719794,883.5035990000295,740.7450931347829,939.8659817697966,1002.4422972247102,913.6492605543447,972.9491297392062,863.7572162397882,888.2665144344357,762.258911369663,976.4178113442547,751.2848183922097,886.656117942629,897.5873281360045,860.9163620619282,944.6739929747732,908.6493563115545,834.6865755231704,987.8600568752412,764.6461920947983,917.6800512316346,907.6394043183358,904.5226425263712,801.6611582747927,981.3719694669087,1041.4686982182172,788.8501175220662,927.8512276533494,895.5763505628961,907.795221790182,859.272748884302
Croatian,841.8230142762864,856.324787887233,876.9299455892302,938.1897242200487,646.8965722810804,768.1957390207194,968.0375123940684,0,846.2529135743875,976.2870350577512,977.0981564575065,1067.428671806506,960.8161224689649,855.4888388700714,981.8578137385841,1059.7047738693457,972.8861996118505,1050.262671260922,886.2365901374383,911.9325821241274,946.7394225136654,987.2332969409548,762.1346799674216,723.0704800549555,941.814377689772,887.4487263747576,935.8978336550194,882.1619519101336,858.931337875098,906.4239135534654,973.7009365562699,996.9078926559442,801.3167359523188,625.2529346313551,835.1931360012675,792.5042749402866,820.8585101187439,1012.2385342899483,955.6229407136472,783.9841305762312,938.8298725514595,926.837663717969
Czech,870.4668420443431,898.5389178007969,920.3377252455654,936.3876518551966,834.1825547794365,853.9498310485835,988.3183717526922,846.2529135743875,0,966.7649875691665,987.2384962633582,1079.3193095311574,981.7762725080344,883.9309339985725,1005.9195742689516,1079.1690398326186,1000.3637690346013,1071.6717059037546,918.1816296615409,922.7517884135952,984.9845606481346,995.4022648217808,831.980691541818,835.425390901511,965.2487391556112,909.5049525635039,948.6764506728351,907.4555524247219,889.8216772443952,910.8885406616408,987.40014645036,1017.4304641176436,848.3690913534357,815.7582241860111,858.762549026646,743.9809082828073,885.3333282956575,1026.618348738015,976.9286502014543,810.3503378951885,952.7188580908892,956.1780817845708
Danish,768.3821438964676,822.1751292307802,844.8435683721223,940.6897734802329,871.1049192738146,955.8827491420096,1001.738097228369,976.2870350577512,966.7649875691665,0,881.4604437645609,1020.2639248972736,958.1786638599157,844.6281968519719,882.2275134422229,1073.625205459343,979.8264761966673,1050.75856950098,756.9607256544209,903.1681002648555,904.3543194786488,949.4042224116666,756.2358462772506,892.1127325059716,967.3368249628305,835.488637394479,828.8184716857605,904.9774048502617,810.5979094491425,969.9095236743885,948.6456961026533,985.0216392432375,896.9940049636577,908.9553001421951,777.4803600270762,973.8158043501415,1021.2408537356914,1015.249256144502,834.2045038733648,877.0182652586446,941.7136461312214,868.7511109567834
Dutch,631.5383451560592,819.1697181765608,872.580771358636,884.4291247882861,897.6587744123271,935.5974167502935,941.680468593385,977.0981564575065,987.2384962633582,881.4604437645609,0,975.7583914034218,935.2573645537143,845.2072335774373,799.4195702793385,1023.8861516279493,934.8787361650482,1014.5374216307792,798.331355982407,865.7901596688365,934.7330006186187,965.5366783526654,762.2085658101919,886.2274872102336,914.6344309200668,858.6354249143589,823.6964689564587,883.8301223754468,830.3892133500831,978.2090098063298,904.8804762684263,993.487940479133,918.1712454475819,898.5644782411258,807.3658159826904,951.7106004517409,1001.672158584684,967.2291564353761,863.3301567617224,905.7182949990496,912.9758762768712,911.4922049105083
English,867.6441908201946,988.0289880419127,960.7735197686229,990.7714532984864,1037.6848103699338,1000.595248741796,995.854171719794,1067.428671806506,1079.3193095311574,1020.2639248972736,975.7583914034218,0,1004.2332335290047,943.9609160494086,967.813335795191,1123.382002063105,1001.6835957283697,1069.4387973153334,956.7730286011049,950.545764389943,982.7775109400003,1092.8735242367497,858.5155088984806,994.9766627823336,975.5319951250701,955.0085107860997,968.2231347560079,980.3617590729353,938.3065235795657,1098.674382348412,1005.8322483047372,1053.3206624208995,1014.8216166902772,1001.5841749807156,934.1045824424237,1075.6934399763406,1120.0245573421607,1074.8177540866511,1005.771142983047,1009.9031523124542,992.7410768357228,950.4130000309002
