,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,39.164688729259446,37.904498538214305,42.041018364336935,38.118477218836794,40.2828594520491,41.39126178390825,40.196495406745925,39.97912510714377,36.80653187661778,32.8746817068842,37.54463572129802,39.57829273721931,38.86888051252332,37.05920385131064,42.23698226005722,42.540646265863565,42.673709011857,36.5953521734898,39.648636251229405,37.70751406665557,40.672351422601956,37.18173199172059,39.76868687979194,41.893752035507895,36.716575968402445,37.498825130507754,39.91639657385287,38.089618708967635,40.411734840236996,39.925855883049316,40.39291102652711,39.61118373165298,39.93703737093659,36.399070899228214,39.81431278698849,40.87228970019102,39.49178881772661,37.71782555286711,38.83558507473699,40.832922861548724,35.42005163294213
Albanian,39.164688729259446,0,38.21973202515266,40.88357897248525,39.59276010241215,40.617270367763055,40.74712030152043,40.484739304346874,41.25764129066692,38.5559713498707,39.9601154949628,42.11780732084051,38.29673642951177,37.65553212852257,40.72274349681419,41.66819594201912,42.768974164417145,42.17893409475408,39.90650071829758,37.70040571146622,38.08393231206729,42.32366374763448,38.880862874323476,40.23475009475697,40.790519256742236,37.599173816307555,41.24994325882343,38.27329268910803,38.345699393141935,41.699256497270824,39.25499059754142,40.91293144265451,40.28627972865361,40.90022268060533,34.98322882000447,40.34848107020143,40.842639697198685,39.19641904724033,41.446280285811724,39.554216199652956,39.88363600668807,36.58390962768774
Armenian,37.904498538214305,38.21973202515266,0,41.11680357168544,42.58623075889464,40.591088497179435,41.00449566203969,41.07203054683575,41.61856966625028,38.33898892002624,40.38847323224823,42.34574497303147,38.71482917166908,38.02977394281629,40.492245348289195,40.37268578752142,42.74347112528029,42.855755625978254,38.898699683259984,36.693599383517395,42.031088938009006,43.09585618609657,42.82254277562275,40.85743278791484,40.294054253775805,40.797082823290644,38.97460062321525,37.952349892286726,39.524279068799224,45.1257806574518,40.38703207445557,41.28992363759102,41.23388616779436,41.13253983352379,38.34593746355423,39.71673090875578,41.36069742825805,40.70061262278988,40.74885809695227,41.17317338570661,41.02939766333477,41.192514436947945
Bengali,42.041018364336935,40.88357897248525,41.11680357168544,0,40.14128336883804,40.43854061310199,41.64086259037256,41.204918799742956,40.37413039043914,40.36896934976967,40.86060446811951,42.41119997064736,40.50557142544657,40.02717458284575,40.758775422371464,42.57074781471015,37.60011453445169,36.90910065718983,41.76589671898259,40.558380505982825,37.93744534790235,43.248030403538515,38.68249347990443,39.9697450170781,37.65898051031087,34.14089381520436,42.87744512221721,40.41017571606879,39.86268237517559,40.716254035377546,41.06217893300201,41.33522441347991,41.22215697500133,40.871087441332286,37.40008229256483,40.67340055260136,41.904649725181095,39.99750988248531,41.7673404670592,39.850866276077866,37.19766219172831,37.234045987529065
Bosnian,38.118477218836794,39.59276010241215,42.58623075889464,40.14128336883804,0,34.49661247667669,40.33022919385292,30.42337314333638,35.50391840445348,37.72159933413066,39.93792500519574,41.996798790091766,38.37267606010812,38.23950533500879,40.56012157011652,41.46392591567199,41.76655791881287,42.186197900121286,40.03928809829801,38.68488984078734,39.947050235346204,41.194148725103815,39.61698294498013,31.80206356511156,40.27466145324323,39.934564900122226,38.90632486157723,38.81577150137326,40.21290425756121,37.472113191565086,40.55786038153187,40.36423924982163,34.05921295882535,27.127093228343302,38.67865035319012,33.479106730225084,35.0808573644971,39.85323731380924,40.694159950274845,33.77934839320417,40.5663291058769,40.33750332768039
Bulgarian,40.2828594520491,40.617270367763055,40.591088497179435,40.43854061310199,34.49661247667669,0,40.170189107443626,34.64717800723242,36.64891418387335,39.1744508620303,40.14485212863992,40.94735077079052,40.12176818523067,38.68027901968169,40.968922118380924,42.04049562075275,41.167046149623914,41.13324086891593,40.78754077708562,39.70764308412647,37.62033960114846,42.11191018625329,37.09874018057237,33.091371056575376,40.18712623546316,38.43919759287693,41.78049525270748,40.26761900566122,39.521173744389124,37.58504484839045,40.838783551963914,40.59502494081184,36.85437535095978,35.01684573424785,37.800761819469905,36.3184297498653,37.38870720700118,38.870072776079745,40.68002747347881,35.95822922258586,39.85548128891574,36.07210610074879
Catalan,41.39126178390825,40.74712030152043,41.00449566203969,41.64086259037256,40.33022919385292,40.170189107443626,0,40.69483072336502,40.876603075562905,39.89419155086274,40.25467201184369,40.97663505127404,37.525618447265956,34.87686043315486,41.072802379184054,41.894559387332386,42.508130307470275,42.38190854960602,40.81617189365798,40.10527765543992,34.40574837500288,42.79813184318611,37.90991609284813,40.05603547886051,41.3758469368066,39.00583779133615,42.17952409267017,41.38921552210442,39.726507165907506,41.06286403010136,36.0911461548519,39.05180560833846,41.08841879356001,40.83863721401308,37.88019869245768,40.82357371041895,42.29623635202165,34.171519109091726,40.991374103288514,40.057251190230055,41.200402613289285,36.8642849342209
Croatian,40.196495406745925,40.484739304346874,41.07203054683575,41.204918799742956,30.42337314333638,34.64717800723242,40.69483072336502,0,35.86353566578322,38.885289043621405,40.369811429825084,41.93000354693525,39.842064134841024,39.10271668051242,41.255233275293556,42.01569772612131,42.407156157219454,42.38598575741193,40.92115657747658,39.499551507057625,38.40712774149657,42.02332926954179,37.068431893667885,33.92147958844885,40.8887428073867,39.469390087071524,41.221053909099524,40.06287872341593,39.734268683851795,36.590417698974186,41.55143252207597,40.49330368082964,36.440602151923585,30.966216637334043,38.276733122835985,34.65154289098332,35.120629805930015,39.782503719371476,40.876904388126285,35.0262327955092,40.96118388443268,37.47160955964406
Czech,39.97912510714377,41.25764129066692,41.61856966625028,40.37413039043914,35.50391840445348,36.64891418387335,40.876603075562905,35.86353566578322,0,38.183164928030585,40.112486922878006,40.56759704855734,39.92471137330529,39.34131048781204,41.266873688166086,42.3905987873775,41.52837343717764,41.93006544945919,41.02200757023637,39.78610030754462,39.30272127586036,41.37952439533028,38.578015052587766,36.54848413700701,40.43303114389314,38.633058358450604,40.77670710855683,39.938444513073094,40.16923921799445,36.56063621389402,41.59632945424497,40.41598097849934,36.90762155602297,35.04988639182789,38.17855797083933,32.71349121101286,36.575624193944726,39.62397125480491,40.62616280016539,35.011755851791214,39.91310223238454,37.25478609445417
Danish,36.80653187661778,38.5559713498707,38.33898892002624,40.36896934976967,37.72159933413066,39.1744508620303,39.89419155086274,38.885289043621405,38.183164928030585,0,36.157418959015,35.82336663970577,38.53399926335435,37.489650010983134,35.52774102214407,40.79689850177644,40.30559506557016,40.1950487302726,35.207135936627466,37.344190416424944,35.61858108028693,41.425847357011556,36.90366069830048,39.095463523032016,39.73279477991135,35.50647827789978,36.65925757454489,38.97072970866539,36.950531604821165,38.96334221189918,38.47972735870858,38.909597262542555,39.328083494345314,39.69766765216493,35.07289995916899,38.86677079244875,40.09872150051293,37.098017986367985,35.25727551789254,37.9881882626699,39.00842068491034,32.946002544023834
