,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.359929692551165,5.45429200520325,5.972452041968435,5.341343935018281,5.663672425558063,5.794299247699642,5.509222334030116,5.466067172949201,4.833085698399287,4.544517574497184,4.851856971127043,5.720051473158576,5.423712852961421,5.33955497897223,6.261665175421639,5.68792759655077,5.548162939608247,5.03083046410587,5.8581830330182845,5.029516233629717,6.9670561407399445,5.737013821420874,5.50350204487559,5.560218313421283,4.780834837109019,4.813379904288993,5.621898036044496,5.502447970779112,6.107470002369189,5.8286651156544815,5.557776236413032,5.693512412902304,5.4772057557124585,4.9661714782736786,5.6715036018674825,5.752807846899138,5.332719371397661,4.808993772906165,5.427227052483049,5.539582407687117,4.900003784097805
Albanian,5.359929692551165,0,5.315776120632769,5.568632932020456,5.556282019581405,5.583841132930163,5.681593864148071,5.470258879201008,5.580113098798019,5.668934573623464,5.867708915155534,5.990524475903981,5.583299381473054,5.148107588158075,6.153344691128875,5.933995522121945,5.450906704787229,5.279076843510206,5.7099440267281265,5.289392176433932,5.024931215166805,7.103270086958935,5.930315823079689,5.599215949464204,5.24051902859469,4.700186291707131,5.568384454948106,5.269861529619781,5.409483859997361,6.327464986951397,5.814240274174511,5.516749743529259,5.640638717657311,5.554592463926419,4.523008853921294,5.663039200717821,5.708219405746913,5.095954424432257,5.59569758449409,5.360070948903908,5.179302022848922,4.831093880233167
Armenian,5.45429200520325,5.315776120632769,0,5.916994188027382,6.137625377391761,5.764725190760347,5.9554411227929025,5.72196904603013,5.669129702092413,5.686401281215209,5.9095196022080545,6.085315418773879,5.735873490752172,5.486126796879912,5.975988993702014,5.955519612340549,5.799751953701613,5.787572267833548,5.676321324161061,5.44318596592626,5.855118514419772,7.121199190227528,6.310616170149301,5.780986396010537,5.598629994370687,5.517597025999007,5.542823982359196,5.46669858047023,5.772746124527615,6.866258552151146,6.064899314642389,5.849767258194183,5.932589405185654,5.874486394265619,5.3712266383866805,5.764348574865729,5.971277502033592,5.6988441474041025,5.787422529602452,5.852566108156231,5.607547846222415,5.739042143448238
Bengali,5.972452041968435,5.568632932020456,5.916994188027382,0,5.910318573597856,6.118550819008231,6.29362726453946,5.95937559234084,5.851724057897681,6.189918337940342,6.358381718139144,6.384439148491602,6.07636397328139,5.832664664888778,6.535436595731762,6.426507836993288,5.050740148004839,4.905524126274803,6.228295913718218,6.0542370619363854,5.5282001453334395,7.436207209648619,6.239275183938941,5.958260606747468,5.2246950148957145,4.356932421046619,6.148674852458842,5.849803730493032,5.976089940849739,6.535359112017298,6.417593524706968,6.055293580905302,6.158288023719155,6.066000280469514,5.173845156777848,6.0678738054029,6.216378904526248,5.751072711657911,5.998604142839066,5.947852344568909,5.124345143702769,5.467098130373873
Bosnian,5.341343935018281,5.556282019581405,6.137625377391761,5.910318573597856,0,4.699849401154151,5.982326390641535,3.9932556788305154,4.7666556265877364,5.573064673502848,5.8965610252859735,5.987489387202468,5.697834871151296,5.636081826276482,6.065850767806234,6.224097160219453,5.953758906230255,5.8515081442815315,5.777878942685772,5.801806300551848,5.752991634595885,6.841231921837615,6.0153782516125816,4.387290004279383,5.745899134033862,5.3757710226052025,5.393914654127161,5.637794294386956,5.828092661083703,5.380423279979409,6.086064119370752,5.767772499870673,4.88276578519098,3.6522387540175227,5.533723287425505,4.549911561149864,4.728898204682069,5.679731790023264,5.728058616318313,4.847410068983697,5.634178963178768,5.774109101748826
Bulgarian,5.663672425558063,5.583841132930163,5.764725190760347,6.118550819008231,4.699849401154151,0,6.041988790694509,4.7559377749608,4.971192574852432,5.995956287115164,6.099899648408823,6.200857001643342,6.00430506281367,5.636184836294757,6.3706401464545,6.384731940668077,5.983098046616809,5.735072449970576,5.935016279425695,6.094965828318586,5.325041165209376,7.1868684145857245,5.811285530021817,4.484666195271377,5.7095933830868795,5.228637976673419,5.91995161471067,5.966302580593397,5.872601118075414,5.742770466640513,6.200649850155226,5.892660783743337,5.207576403903293,4.78344914177559,5.300934197829382,5.092879406900944,5.157301688344254,5.485423305431954,5.860637209187626,4.965832969972574,5.701721431001338,5.248706482650475
Catalan,5.794299247699642,5.681593864148071,5.9554411227929025,6.29362726453946,5.982326390641535,6.041988790694509,0,5.88583493109321,5.9341387054953385,5.960481755747872,6.254065776013752,6.095800745467713,5.542792339742687,4.709384687604822,6.4180785885066935,6.281333726726093,5.868865877437766,5.813673503427958,5.991883070685465,6.0664978192870675,4.594064703842223,7.433669706677589,6.060109011128932,5.951914185633664,5.881129923923207,5.314045458631955,5.906793401435743,6.088546563671738,5.984060044362544,6.6914690958426055,5.4326234532228606,5.406583673807653,6.142690877615262,6.014516794172943,5.334521194968505,6.1881142286116715,6.148385981962735,4.6461012346011845,5.891561994863105,5.861017293763524,5.885517626899705,5.323082305832056
Croatian,5.509222334030116,5.470258879201008,5.72196904603013,5.95937559234084,3.9932556788305154,4.7559377749608,5.88583493109321,0,4.671610991277982,5.702048615115323,6.01259649385411,6.088346316392935,5.929502634595267,5.598281352652337,6.238483937101197,6.2235836155993685,5.816624885713512,5.6494838361408375,5.86917161746052,5.786609154960309,5.387239092296839,7.154296648249051,5.799489576201234,4.5431650790645355,5.635052100170885,5.081299111504401,5.6435897880546255,5.5908995969740225,5.699778327981556,5.578334513862574,6.294344070581478,5.789379127913313,5.177643262051029,4.034285614245141,5.151883489137945,4.769215392454715,4.7549639085898905,5.447031164469415,5.704091660421343,4.831939117978277,5.517518673780804,5.28002964943552
Czech,5.466067172949201,5.580113098798019,5.669129702092413,5.851724057897681,4.7666556265877364,4.971192574852432,5.9341387054953385,4.671610991277982,0,5.614990670477104,5.893339491544322,5.906836883564781,5.837601790976844,5.572123710470825,6.230596693895009,6.293292628110041,5.727392978491377,5.582046498104198,5.840416785291345,5.779458015867809,5.351747411410441,6.9094052385830675,5.894476672594422,4.920897216660607,5.5649250902068434,4.971003194025976,5.595654014428751,5.61823030419177,5.7652264002473395,5.369247983471059,6.120112664166119,5.7847246741313665,5.075514074119374,4.6767338297609955,5.186789610613311,4.294186669786214,4.856485703169577,5.450529936891281,5.648349399097751,4.690591640951231,5.473581322927598,5.233093544545697
Danish,4.833085698399287,5.668934573623464,5.686401281215209,6.189918337940342,5.573064673502848,5.995956287115164,5.960481755747872,5.702048615115323,5.614990670477104,0,5.39701832392388,4.964452328706302,5.916109566095654,5.537310009235375,5.39420446345926,6.46242131601457,5.710185486247061,5.637790024120464,5.049720424877988,5.873511604695287,5.046062783232704,7.17157400042215,5.8896339758109795,5.816869605476317,5.74417317062968,4.879929950593861,4.475089312974568,5.919734870280016,5.588030043180698,6.244723696954413,6.022137169419534,5.740373384486631,6.040101308697491,5.820008179599253,5.117094325039489,5.865556375590057,5.88125880114364,5.400386468602237,4.528246426048286,5.682414073586915,5.655658468112199,4.871222224913068
