,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.5043345972011775,2.2468541169129113,2.8742291128541795,2.326806501619515,2.5597656710586545,2.777113885034547,2.4032542941545936,2.4097245764080664,2.273072699926425,1.8804400992496442,2.307913452852114,2.451051291416913,2.469266099426621,2.3899185070634124,2.4487239125344806,2.8751327498003554,2.8051822372092943,2.2840775492740955,2.4779951669690172,2.283327471707453,2.5437205810255716,2.5462555368987623,2.5053658083372103,2.768241098658246,2.201228236467902,2.453324432473538,2.417102106963271,2.3730523370818606,2.455218933003518,2.4305248803013275,2.4822476394743966,2.4438524649338462,2.4822387836016926,2.2373728989178727,2.4576933754260626,2.499269742259709,2.375620431461532,2.450235557753308,2.365479539928118,2.5387216031979127,2.1377406411295907
Albanian,2.5043345972011775,0,2.2881382413219358,2.7354488559620305,2.3996237232315174,2.501934955240445,2.6479896838285746,2.3313483397603956,2.4712969037293333,2.363979105953136,2.4201643908113377,2.5941704628512205,2.2805081697429945,2.3370214351980296,2.6044661630251977,2.3414396651914173,2.845292598967284,2.739270980579691,2.511461950461148,2.287861101863616,2.2046198190485313,2.667284441446991,2.6428169615949884,2.4873813503788496,2.616420609207611,2.1881362727264038,2.6649764999043564,2.296304570987678,2.397011927794534,2.5150338365535156,2.309936806216061,2.426141413260835,2.485510143121202,2.5066066097021196,2.07607254633685,2.4508875527059835,2.455593004493166,2.248407687209799,2.6445214106412234,2.367008023567121,2.4181691143019384,2.1452813764780467
Armenian,2.2468541169129113,2.2881382413219358,0,2.5559582752942975,2.464241252389361,2.348835025489023,2.4765143023779177,2.2687066334307957,2.358698474535538,2.165982481092416,2.3008942850225087,2.456702667972326,2.174107974588236,2.191895045637108,2.4057080305655556,2.1754515762573683,2.672138400878865,2.596887941921649,2.26066409826726,2.105582167754179,2.3420597524015547,2.5976557524594286,2.7649701744029866,2.4059630602804205,2.4399899297946566,2.269245866826316,2.3465878799667945,2.14052888781412,2.309742446143296,2.569201389224606,2.261491014053826,2.333920507435079,2.400308565111179,2.403128151188433,2.180896982435069,2.2692059727477463,2.3870838477169705,2.2497398896949337,2.445968643698384,2.3464497034921856,2.359402106781716,2.2742447030088417
Bengali,2.8742291128541795,2.7354488559620305,2.5559582752942975,0,2.6217736272636496,2.7417252317255043,2.883831821900757,2.6009051438505137,2.6719018086038835,2.70961124731126,2.762203346238975,2.878660683860501,2.6558272445556628,2.677850571793547,2.8359105260362694,2.6188397729357975,2.6515426109902758,2.5371460664190324,2.8206352604116285,2.6932233967645893,2.4828007888290404,2.8982954726005374,2.806424701686642,2.6984557395081215,2.583216510037182,2.108676569784747,2.9600662291430857,2.6549483621256496,2.675836709811209,2.68150975295629,2.6746973232586764,2.716632201819693,2.7343284271460018,2.7301499578434347,2.4149320009290105,2.6745710468957165,2.697854230147942,2.58919845584458,2.8596073767378685,2.583020882190227,2.407355065321993,2.458440641349919
Bosnian,2.326806501619515,2.3996237232315174,2.464241252389361,2.6217736272636496,0,2.0157263236710126,2.586429114517363,1.6435721896979143,2.011467568529619,2.248957229891846,2.385150939746608,2.5697252792988716,2.2609991664945013,2.3030698559678897,2.493267434713849,2.3133091836827124,2.7046977167190005,2.703794367200604,2.3805962893980057,2.27274800468279,2.3499180198537237,2.446335522867162,2.5261836634813246,1.796379906446659,2.552352405504317,2.3386347781532697,2.437592569883039,2.2731052457678955,2.399008029849434,2.1161936136418134,2.3405513998550043,2.382440572185488,1.9278456545324596,1.4110663928937583,2.2697215799332398,1.915198449193593,1.992952176235307,2.2927942478048107,2.534943049776787,1.8488463270970306,2.4495812396736927,2.366646444033945
Bulgarian,2.5597656710586545,2.501934955240445,2.348835025489023,2.7417252317255043,2.0157263236710126,0,2.654040100081971,1.9090728037141111,2.1849679354940728,2.4438547344568313,2.5077352377362163,2.6097007201513907,2.4004072678611448,2.4226891135962205,2.6202939777867096,2.353022112276203,2.8108691945831907,2.7284760838739013,2.557617670897452,2.433252022470999,2.1983484376409286,2.5992422485650044,2.4820239437746623,1.9924007259037475,2.6769987352846956,2.243182396445971,2.6967146873645356,2.448445084590888,2.4409737695901352,2.191519456112395,2.427298488711065,2.4492597847234383,2.187491843977116,2.093962540884965,2.233934269267909,2.1621063414596478,2.1961327475687518,2.2679621051210033,2.644230916543128,2.111146831443228,2.448548483906838,2.1777505028771
Catalan,2.777113885034547,2.6479896838285746,2.4765143023779177,2.883831821900757,2.586429114517363,2.654040100081971,0,2.551422790984786,2.632990949471221,2.650028610088258,2.66532386911524,2.729251984684481,2.3938497192475103,2.229773873617067,2.774532887655336,2.556324397941559,2.97652501596884,2.9138074506608147,2.693488888044666,2.639888731462721,2.121734949882204,2.8333453430650697,2.6854440892451876,2.6635017795932874,2.8329712692660185,2.403038231962202,2.7933698590538256,2.6572952488969928,2.5961283458332827,2.6072928819726315,2.250472255424714,2.4419523566117474,2.662450641016408,2.7041170032844333,2.410991607179,2.6384399558800364,2.717693717308567,2.1334436496117513,2.770036997405432,2.56705428605864,2.7016896982767387,2.3968573944032756
Croatian,2.4032542941545936,2.3313483397603956,2.2687066334307957,2.6009051438505137,1.6435721896979143,1.9090728037141111,2.551422790984786,0,1.957426427060766,2.2319192878060683,2.336379960681397,2.493494502110411,2.2148249058000533,2.2701626353584348,2.4771798809665584,2.189267956751912,2.689519676105544,2.652913792109346,2.4190041029316407,2.2314466578175107,2.1008592978782206,2.4837463323329234,2.3942517563102412,1.946773743377754,2.5130908252329096,2.100817891463486,2.531594490277434,2.234661209836028,2.3025810805696416,2.0553033863932115,2.2945053788454306,2.295680709425707,2.069256367330837,1.6790996271281082,2.079301203136934,1.9294505378552775,1.8952829170858618,2.1345601666729834,2.497719147177549,1.9014507938545424,2.344186450196135,2.0816624878523133
Czech,2.4097245764080664,2.4712969037293333,2.358698474535538,2.6719018086038835,2.011467568529619,2.1849679354940728,2.632990949471221,1.957426427060766,0,2.3003322439586174,2.4245173827468958,2.4874956107963144,2.292463678501694,2.357916131864375,2.611789781419966,2.330226640868361,2.7363400678959326,2.7118480391404516,2.46309933311115,2.3205374986323766,2.3011318648417842,2.440865463936002,2.4992806532926117,2.1928453123110154,2.5896579569158877,2.20620618620867,2.54648076176762,2.31615270422532,2.410080882413837,2.077789007177208,2.4079737983224,2.4142960443673713,2.0935232249420284,2.0441357293895313,2.168764820750186,1.7797662702748858,2.114241053706984,2.2412393108615403,2.5610889155605507,1.9642594627999168,2.4025389533609274,2.1573179043985955
Danish,2.273072699926425,2.363979105953136,2.165982481092416,2.70961124731126,2.248957229891846,2.4438547344568313,2.650028610088258,2.2319192878060683,2.3003322439586174,0,2.1953399339671327,2.158452733331591,2.2699179534501375,2.310959819931667,2.2282401818024,2.2396301258101503,2.7467643844267764,2.63458190829536,2.117779339992585,2.2486438598627037,2.1135392290806463,2.531495835632232,2.5073000742906153,2.417153675598936,2.6232043769684297,2.010854934471225,2.259118969972471,2.2964205454969533,2.2622629973803896,2.331856554174276,2.2249026065171953,2.3513605099464856,2.3705727425467202,2.406800654844353,2.060771947590747,2.3287519781612067,2.3760678205233816,2.1327969057223672,2.2150532132319944,2.251734309712714,2.354781607219049,1.9640323253416605
Dutch,1.8804400992496442,2.4201643908113377,2.3008942850225087,2.762203346238975,2.385150939746608,2.5077352377362163,2.66532386911524,2.336379960681397,2.4245173827468958,2.1953399339671327,0,2.245504209246386,2.363301410373009,2.399177435877636,2.2162411841982776,2.314624763114848,2.796924588872531,2.715469422881595,2.341847408869303,2.357503378567257,2.2867211363919138,2.584697391304334,2.6066139013194225,2.479827356777639,2.6502378077778603,2.203044990373649,2.3857372145145144,2.36925727255836,2.3739561001575993,2.5087106535882735,2.3737244573711584,2.4622003310039267,2.4772743177240173,2.487635851638705,2.241559891635976,2.43435050657139,2.417504471312279,2.2899827779396262,2.3503080353825787,2.38545544961894,2.4492284495690857,2.166766092317277
English,2.307913452852114,2.5941704628512205,2.456702667972326,2.878660683860501,2.5697252792988716,2.6097007201513907,2.729251984684481,2.493494502110411,2.4874956107963144,2.158452733331591,2.245504209246386,0,2.413719558673817,2.4628705434859133,2.4300660091470667,2.5280677126808073,2.8622289629664333,2.841207974956039,2.4403533518024862,2.367627288354025,2.366246153628029,2.7930694856418756,2.7127709245454925,2.650588577080083,2.733364344740553,2.3449542935347827,2.4722578827300623,2.5037806457556875,2.5123548881456266,2.5801783386715917,2.41116894195801,2.562121203194461,2.6067558434986364,2.6509271913957364,2.410936414756074,2.519415991632778,2.6059693738014023,2.415241032211188,2.5126998077065785,2.5341044313701557,2.601810840929387,2.262795191577369
French,2.451051291416913,2.2805081697429945,2.174107974588236,2.6558272445556628,2.2609991664945013,2.4004072678611448,2.3938497192475103,2.2148249058000533,2.292463678501694,2.2699179534501375,2.363301410373009,2.413719558673817,0,2.1588765231744,2.5036883646422816,2.193313104687181,2.747728021299431,2.651166932346137,2.4194355412253263,2.251165129845152,1.9386115661459726,2.495188425865343,2.500374585028979,2.3869367941392685,2.5294684513856005,2.016950152781069,2.6028614950702256,2.2444339667176703,2.2935565851942075,2.351249216168591,2.1046792162414385,2.242506999463394,2.355707179897077,2.381213228719392,2.0642593377149385,2.335839943803358,2.3010263637195054,1.9824676780152284,2.555283550085019,2.2250742748584895,2.3483007320172185,1.9827978399295147
Galician,2.469266099426621,2.3370214351980296,2.191895045637108,2.677850571793547,2.3030698559678897,2.4226891135962205,2.229773873617067,2.2701626353584348,2.357916131864375,2.310959819931667,2.399177435877636,2.4628705434859133,2.1588765231744,0,2.5558348511091937,2.274193708677993,2.7674929246840283,2.665810728972738,2.3704721774324375,2.2957410917813004,1.8594510976060754,2.599792162110491,2.5380282960137492,2.3985107468961537,2.5917085973821568,2.0516465481066892,2.6102695779573484,2.3145111923340815,2.305081405255659,2.406929322744391,1.8445431904224188,2.244153072149843,2.4134897435644524,2.4292621925466893,2.0683311551644783,2.3823508814098604,2.423471523081336,1.5977388037289455,2.499126474484162,2.304377123231265,2.399894935390885,2.034362337933549
German,2.3899185070634124,2.6044661630251977,2.4057080305655556,2.8359105260362694,2.493267434713849,2.6202939777867096,2.774532887655336,2.4771798809665584,2.611789781419966,2.2282401818024,2.2162411841982776,2.4300660091470667,2.5036883646422816,2.5558348511091937,0,2.428243023122233,2.9314116640593153,2.828028934992145,2.446504326552642,2.490008272795923,2.363857308456153,2.6922656482736147,2.644940720464357,2.6332590383657406,2.7764365689528785,2.367782778132062,2.5612756721356305,2.540478224015513,2.4884749372592805,2.6260187705466675,2.6162983411576457,2.5315176883313977,2.643709154984199,2.609816812415859,2.4301806841392852,2.5887331064128443,2.548628188121087,2.453940628698814,2.471266570231418,2.516579347364387,2.6125762789238403,2.2808929292443345
