,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,38.091338916564666,35.807760275634685,42.147109295341906,36.903222172514724,40.28826494471913,41.27109664504201,39.042529708711264,38.89519967884782,34.950598326591326,28.647011066443046,35.82042978055499,39.45962950363086,38.06484806702135,37.16121130543258,41.4191967331286,42.59931111934796,42.93245526641583,35.710341427116376,38.51156507706436,38.559271519894196,39.79182697715774,37.755128907062634,39.51945911129059,41.642930153839686,35.86519014057333,36.31374396417917,38.22275819150295,37.640118976735835,39.801116294755026,39.12750587480537,40.57877935512974,38.84103107241471,38.996405093373944,35.37986735545243,39.24575352448203,40.31846754401771,39.78696902122204,36.23159259294784,37.979816058970854,40.18868538431795,36.2169134967595
Albanian,38.091338916564666,0,36.64635771480301,40.803860961357486,38.438202223769395,40.0212454682639,40.61426564445845,38.8994575942786,40.937042679186646,38.633756385745315,39.89961678642884,42.07248528661883,37.81279585107986,36.641984912609416,42.23204099155917,40.37426572604032,42.71483932021547,42.083051432979275,40.01172203437138,36.44742119729334,37.61999415136848,42.28237770761171,39.00309139670924,39.69519139242508,40.201390404720975,36.193424096941584,40.99354165893337,37.113213320969564,38.235909164362866,41.602802112960376,38.57462902049048,40.118391058770435,39.84179072756063,39.93615565518652,33.479657716124294,40.46562663877708,40.597841890640645,38.60556256700909,41.17356848601094,38.62964859276197,39.38585824531525,36.60260651769947
Armenian,35.807760275634685,36.64635771480301,0,39.28290580026139,40.86112695543924,38.94213696160579,39.20320273878168,38.405755055767635,39.76989431026185,36.47396738197366,38.80510684739305,40.52016631195224,36.89258851871938,35.70539452663857,39.54847932500063,38.5523334173762,41.2055235915878,41.48281262119167,37.41952400016726,34.923335127912715,41.12514732740988,42.33020723150526,41.34113866915012,39.49299208832542,38.788420864206046,38.473368673498435,37.602739112460924,35.44935905766662,37.77486954027548,43.33681452819383,38.6405500826502,39.65739132893675,39.88846408518376,39.53992019156427,36.19706889842111,38.31171251020045,40.38608674045012,39.40072606621321,38.71398835587542,39.53793994420462,38.963541610995996,39.58938611760123
Bengali,42.147109295341906,40.803860961357486,39.28290580026139,0,41.30259370059621,42.026969293517105,42.89035801625843,41.5690088391319,42.06939518901919,42.70143068413033,42.98695088360581,44.0973103537315,41.80447388181828,40.482073101726016,44.18206182581966,42.36088388990141,37.27387668373961,36.30265690059233,43.26494903677598,41.21724468407226,40.07713883244383,44.67043334461358,40.40894174743781,41.81978567065249,37.21841269164683,32.11098823362184,44.338138171316814,40.47580177043249,40.713130940076894,42.40107919462321,41.79639938219489,43.137669427352485,42.66524953967623,42.345889048319066,36.72524300326553,42.34614682076759,42.917045024260844,41.11589269664089,43.347708183385734,41.18258439980272,36.34580917861271,39.431438364878716
Bosnian,36.903222172514724,38.438202223769395,40.86112695543924,41.30259370059621,0,32.55606401774327,41.0954603926393,25.87901029229701,33.83628506995865,38.15619967864473,40.72898985859031,43.36509638248182,38.98651917535653,37.49113055479051,42.194521530401886,41.598111439930484,42.83334579279789,43.774180272362244,39.080960816795695,38.13778434627377,41.49655860654037,40.561610117965785,39.121994253226454,28.949968863227422,41.20318248184237,40.61991670226216,38.94533031226416,38.0380824815848,39.91540966399169,35.659066629893495,40.193624640828446,41.01888794015024,32.044940549477154,21.944070186984753,38.026695665025684,31.58710529464045,33.27229761592463,40.35691910865302,40.50671475367941,31.19962270686712,41.193474930624824,42.11368101740168
Bulgarian,40.28826494471913,40.0212454682639,38.94213696160579,42.026969293517105,32.55606401774327,0,40.89221063442218,31.516565400162744,36.086242926488445,41.207526903521185,42.15070484113413,42.89845721350426,40.98878281421085,38.700797728788395,43.88321562917947,41.520404311331234,43.07026803942384,42.80811365786674,41.82079659977216,40.2308922462575,38.370893122489576,42.77764530461452,37.758312743021136,31.314657040678668,41.9534605017448,38.2181654177181,42.78672658452675,40.41843736210559,40.23786709063673,36.78517752605105,40.84831451816328,41.48799145145063,35.902878859429066,33.32648542281907,36.77766886024996,35.49026779503185,36.030602321358046,39.13919760516947,42.01359361529759,35.32095964243101,40.59320585403578,37.831093835778105
Catalan,41.27109664504201,40.61426564445845,39.20320273878168,42.89035801625843,41.0954603926393,40.89221063442218,0,40.46282787246834,41.69593273816188,42.053341803231774,41.925979921038866,42.17364370190102,37.99776218966005,32.80304284477649,44.152573041883045,41.664606767396954,43.3600477028587,43.04596759041579,42.04277446989543,40.93652923042817,33.881707727419546,44.65983618993095,39.71786977458514,41.76993435059494,42.24600078160773,38.648233975407344,43.06776973228809,41.44953599842817,40.54408194833164,42.11724381532155,34.68342811300546,38.882763841680585,42.368874927100855,42.22814126379709,37.62433568838205,42.10195190139537,42.90551455929283,32.90178704432981,42.135846559068945,41.11382183037542,41.912766459357066,38.79327043525115
Croatian,39.042529708711264,38.8994575942786,38.405755055767635,41.5690088391319,25.87901029229701,31.516565400162744,40.46282787246834,0,33.87339742772275,39.479615730475246,41.05616097239615,42.55882267256381,39.99263687272624,37.95230894228644,42.95628141593137,40.89046246128148,42.40590748699234,43.05321743999895,40.894114040691086,38.64723814179954,38.097801038849894,41.860462198458855,36.29218542876148,31.898553218735504,40.9131272348294,37.54849464025406,41.39753777400942,38.54676584945567,39.10937140942097,35.43934307768093,40.627163678816814,40.512467075451966,34.69553935487581,26.169847568836126,36.26437920109189,33.077968484104716,32.11269267461571,38.85290563534368,41.348355588478896,32.77956127358135,40.4240155029427,37.92304624791729
Czech,38.89519967884782,40.937042679186646,39.76989431026185,42.06939518901919,33.83628506995865,36.086242926488445,41.69593273816188,33.87339742772275,0,39.75941516393821,42.04117703918,42.19935922902378,40.80312517110268,39.106809223290206,44.82567465803712,42.88929938208345,43.35379173307295,44.10721675537447,41.32121564292759,39.224663002499604,41.33027843737081,41.35758993477265,39.1575135180018,36.367984731250985,42.010643114792906,38.93520696175812,41.39302012835959,39.658661911792976,40.95952923263271,35.693124882109245,42.13112298936077,42.10827600588915,34.958294566175034,34.035452797555386,37.103980726200206,29.408992833366913,36.13375682763427,40.47978240982924,41.933022978969674,33.79350681601101,41.02557378348967,39.19049974380647
Danish,34.950598326591326,38.633756385745315,36.47396738197366,42.70143068413033,38.15619967864473,41.207526903521185,42.053341803231774,39.479615730475246,39.75941516393821,0,36.9569585470095,36.188482153025774,39.79231451447919,38.020445571936605,37.172012013135245,41.40475572319383,42.93529317079312,42.77510398499993,34.61336724666042,37.65772496418088,37.9880589867567,41.67014078531272,38.345969849817976,40.593720398226175,42.10100102431422,35.56086668225214,34.671126960089424,39.105738695673715,37.72010586160772,40.32074246087534,39.04520058269143,41.129406903774345,40.088076791386364,40.44385941000837,35.112775097085866,40.34531503095888,40.94576053133978,39.0936650880161,34.325344792174114,39.1815828436294,40.174457616136195,35.36390174347798
