,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.2572927574896298,3.0372652523739307,3.354645098504114,2.9823537832320053,3.2340087912090394,3.274832673241947,3.1385100350638924,3.1684929554687864,2.8906483952514503,2.34328931913601,3.0031036986783053,3.29528412304229,3.1765119113774998,2.9969666740166607,3.411311110344579,3.3645912748533404,3.362041934194909,2.95003398523196,3.2823836623193614,3.156645007562917,3.1738539265683268,2.908946499014375,3.145248737280591,3.3063286263531753,3.0247141133669744,2.8989920644537666,3.216320495313278,3.118865593960471,3.1578565440234163,3.30535206633474,3.228334051063434,3.128543990519866,3.1000719064445357,2.9860956181517078,3.2244841737513754,3.2152048010708936,3.313161958916006,2.9561654947477107,3.0851069120059798,3.291155628338458,3.1252126996413727
Albanian,3.2572927574896298,0,3.1696921563323333,3.329988053605686,3.139418330092692,3.2943870418433407,3.3110238424789213,3.2276208258936405,3.3699856068391223,3.300537249388175,3.3629676414415965,3.5787022785411864,3.21273531134334,3.1470024807921595,3.4959716255242794,3.4357318642749175,3.4122265899114237,3.337965402079696,3.356702759497112,3.2026011559325958,3.1850064625399295,3.4221673933993526,3.0633282269681623,3.2141544556835715,3.283380395271407,3.1428078187942394,3.3448293523331376,3.2166587528273918,3.224584898994459,3.30729769822628,3.3236648995794904,3.287881620118796,3.252238195323718,3.220533335575658,2.9402363358077546,3.3483697710230125,3.309423656147615,3.32082294653202,3.438293629567438,3.195699520677448,3.297217469238473,3.2597155224546177
Armenian,3.0372652523739307,3.1696921563323333,0,3.238879333602655,3.3649063346375505,3.2018213922094763,3.1958348996135237,3.185973916240924,3.23354519343036,3.0972266345143993,3.2695760786054384,3.4055160227742545,3.138639103528802,3.0388630861299424,3.258435618513342,3.2114135070821144,3.3195600714179414,3.3253462072952136,3.1744097332069905,2.9768770302953547,3.4161367752556644,3.4212774368742096,3.282340241552035,3.231227231480163,3.1753967804349488,3.290813151309156,3.0884319580812765,3.0365994358045763,3.196139354030308,3.498055191080072,3.274703850068464,3.2292619870502786,3.279520220415113,3.2436066305961706,3.109097767449711,3.1795145998094223,3.282384272399244,3.2994634030617793,3.238352429022307,3.2963597636900515,3.258289452009711,3.433997288382855
Bengali,3.354645098504114,3.329988053605686,3.238879333602655,0,3.205032680927143,3.2733059316789377,3.3100267106262202,3.2740964272130957,3.292314985569227,3.3634279406300673,3.408109074459345,3.531981138673936,3.314602337992373,3.2408944993664606,3.4648880145736234,3.3610555654743695,2.8711789048623193,2.7916009033277627,3.434762537001399,3.3141777224959097,3.18955068844002,3.4610295312327164,3.0609411427746007,3.2611879326957456,2.8958002514944585,2.6181231298832337,3.412095782527071,3.251998830344521,3.251644398397279,3.249842654039465,3.377347964071333,3.325298462958751,3.2923472210236144,3.273569832417829,2.990028978069075,3.34183382666337,3.314464557290442,3.291556611052287,3.4283544014061325,3.2173952043493816,2.9418801883496104,3.252123293149403
Bosnian,2.9823537832320053,3.139418330092692,3.3649063346375505,3.205032680927143,0,2.5384520437457287,3.1439769743719483,2.0450627986577157,2.6960226244692658,3.0325324802395746,3.2739710338173524,3.4764842070305,3.101787308090495,2.975020140223484,3.3513058268229075,3.2820854857755624,3.2805431818316575,3.302961483054763,3.1459752468303024,3.0827253802347028,3.2848826129403257,3.234452266812911,3.088102115900661,2.290897869069897,3.170934515195161,3.27154690371527,3.0144092275420014,3.054194148099497,3.2375839846078533,2.8396634551036626,3.267063825861363,3.1625923170488637,2.602004771254775,1.8174521658106675,3.0736705668884277,2.5734363999961207,2.5989046220826464,3.1983689167756366,3.1879953740253715,2.57513151538749,3.2325208844040243,3.4988763153566054
Bulgarian,3.2340087912090394,3.2943870418433407,3.2018213922094763,3.2733059316789377,2.5384520437457287,0,3.1402799555024097,2.5011058118092757,2.8418389746196513,3.2686852669125717,3.39647655510966,3.4506410563486636,3.267821425663251,3.0919479309767994,3.487483646910142,3.3133517598799025,3.317877621479485,3.2713120466792196,3.3881780560363928,3.2516123477660996,3.064795172999558,3.3316089182582873,2.8900667243582396,2.4658079708643874,3.262420897493537,3.1014954055110655,3.2921946369405615,3.237502435855002,3.2471202028114106,2.8981652441865284,3.3395363312779054,3.2323249602413937,2.8495048117184645,2.6089852018851363,2.9937451953778513,2.838440316062356,2.775818253268409,3.109536060893009,3.3145397976889197,2.7930224295576225,3.2449707860820043,3.143695525365516
Catalan,3.274832673241947,3.3110238424789213,3.1958348996135237,3.3100267106262202,3.1439769743719483,3.1402799555024097,0,3.134874448174075,3.229964399380388,3.290277530495949,3.3168713330899813,3.344078950427728,3.03606121388685,2.6507317779994883,3.4133561602946503,3.319436818994891,3.3384882767346484,3.273796356741171,3.341610751715583,3.2512793055369853,2.6751326863946057,3.413858124170956,2.994850479018068,3.1982197178328318,3.274003084843249,3.0941599564063553,3.3412084685859433,3.3224610422212817,3.267469794263327,3.2438142625168105,2.8201403522880084,3.0005184438470995,3.2545865273684367,3.217463438195976,3.0043275963392957,3.2953611904009747,3.246890636921744,2.617996662786341,3.3143981545249197,3.194720484041231,3.301163346153942,3.1338413861843617
Croatian,3.1385100350638924,3.2276208258936405,3.185973916240924,3.2740964272130957,2.0450627986577157,2.5011058118092757,3.134874448174075,0,2.7163884754045555,3.1622022299268124,3.3215180727891136,3.435108616340848,3.2299260477746192,3.06198814762798,3.432853419466848,3.310909994056558,3.2974776050555716,3.3143201251914394,3.2916484524153256,3.1722060857068346,3.0742762714131158,3.301333067827105,2.8584080709962723,2.474556287002033,3.2186667468863113,3.112372008295588,3.2134153174761,3.130885966130152,3.2021509109740927,2.8132749588648687,3.345228111677249,3.151926289089864,2.750708625240214,2.0758025843416075,3.008946366306892,2.662271249349166,2.5327697098563227,3.1591371501542125,3.2761684720573476,2.643474156106981,3.2625443936093372,3.207913300351582
Czech,3.1684929554687864,3.3699856068391223,3.23354519343036,3.292314985569227,2.6960226244692658,2.8418389746196513,3.229964399380388,2.7163884754045555,0,3.169259427926385,3.3873535410329696,3.410201342964145,3.3057805763011094,3.174052978167878,3.5388759828277503,3.427177436441318,3.3848448762394594,3.4174459607937804,3.36360671507156,3.203042487848674,3.315291106532115,3.302941519080839,3.0367927187672623,2.871941113281408,3.3004323973805625,3.156635707459112,3.224376043080897,3.233159915586812,3.318185853099595,2.832565599706441,3.4343501306271595,3.2758442777397248,2.813767701513586,2.7091725809253937,3.044259593283317,2.341056246149726,2.817256808068236,3.2582918991002927,3.3086420284481988,2.722887279601998,3.297565883187566,3.290134604792632
Danish,2.8906483952514503,3.300537249388175,3.0972266345143993,3.3634279406300673,3.0325324802395746,3.2686852669125717,3.290277530495949,3.1622022299268124,3.169259427926385,0,3.021414561776457,3.0179512764973273,3.279117943881654,3.177126518688548,2.9714175148102737,3.388195551552873,3.3459822813116795,3.3299659939895068,2.861112569927352,3.1424396618604287,3.064082284926261,3.3068533121827812,2.9611999852171276,3.2058770401503036,3.3272461358244425,2.9852514038366635,2.7469497013801343,3.2678837019430103,3.1047009209317085,3.160442886609444,3.283702511680004,3.2400030589032514,3.1977336748736227,3.1915857699002834,2.966916111993829,3.2592209206246685,3.230942171609497,3.245654579493213,2.7822683935643044,3.150304067140287,3.2779361663242295,3.0226234754013874
