,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.9442896878801681,0.8387868904392577,1.0525530858967012,0.8787922425816387,0.9624300523241558,1.0283068209961055,0.9210066395539162,0.899843639001679,0.8579410095983692,0.7830020090146348,0.8585500467495107,0.9747975959024128,0.9476891242199588,0.9692224378793926,1.0364655701439824,1.1126415254503395,1.0684302048600054,0.8382520872434734,0.9684204981042281,0.9778638455316858,0.950128588750264,0.8695914361331027,0.9423822680495261,1.0317925065842306,0.8955003534422984,0.8402495468124578,0.9881780122252528,0.9693395029462901,0.9826937540871088,0.9870042010657494,0.9831195848823469,0.96958088451841,0.9429921775628156,0.8640344262949585,0.9485638517809768,0.9762758417709134,0.9871973396604832,0.8717031866890114,0.9100043831276935,0.9734198658848678,0.874760146085512
Albanian,0.9442896878801681,0,0.8505920368005689,1.0073180320560942,0.9134924622538381,0.9510705094366309,1.0418228623589678,0.923937877705539,0.9325600505155262,0.938712132277196,0.9918953987394875,0.9931877773985256,0.9214909009392721,0.9254655921713176,1.0708125962483659,1.0282320827038582,1.1205572664299508,1.0408073670940137,0.9329201106742884,0.8844170402219473,0.9595459023301017,1.0512721831054574,0.9099216117199486,0.9583441726478031,1.007413921680499,0.8987963793042941,0.9443285510130867,0.9626230855384896,0.9227378858115238,0.9920200449967823,0.9823719438199343,0.9707992529514508,0.9996938846453105,0.9403484353210225,0.8476550241628795,0.9686882021997385,0.9595594374501115,0.935133099416065,0.9359776871782473,0.8965992778815348,0.9334224381706477,0.8855251274667109
Armenian,0.8387868904392577,0.8505920368005689,0,0.963198418754813,0.9149662704866929,0.8799982548074714,0.9641812232093536,0.8831056124341425,0.848813500955649,0.8667955463675182,0.931821584094049,0.9313787045321821,0.9000875502999228,0.8469146835172919,0.9552237701878538,0.8990960536210602,0.9992839647997622,0.9720373325567753,0.8364076717545688,0.8135771597627098,1.0177466710659184,0.9721673408724759,0.9020586379680328,0.8967405163345981,0.9093844111244461,0.9409616296585788,0.8380118873497228,0.8523657008835721,0.9006541586810818,1.0494012195565376,0.9519911991644011,0.9134287819718023,0.9254993743543481,0.9011502910945359,0.8585004022187197,0.8702806132200306,0.9288726467722529,0.9390854795243199,0.8500660437820026,0.8894836039263316,0.8926139809311032,0.9325822622788197
Bengali,1.0525530858967012,1.0073180320560942,0.963198418754813,0,0.9559986046976647,0.9745604893887836,1.063312309338632,0.9716806926125315,0.9594923031391973,1.039801456168375,1.0492737815005724,1.0695793510904033,0.9904689766318965,1.0141648568710528,1.116925750623283,1.0854464446105843,0.9870820715291785,0.8976273942836775,1.0305652131042533,1.045984718427991,0.9721499922309654,1.0821106016623505,0.9704446821512528,0.9977717073256926,0.8956980636794221,0.806627550110878,1.0492020254722094,1.028850621704667,1.0203266443280574,1.0187150016905733,1.0319038204166233,1.0322005887517545,1.0597126937697106,1.0100684155345994,0.8928395302946761,1.026051632525692,1.0292382392796449,0.9867325209582622,1.024713673042877,0.968282200435699,0.8922057746146215,0.9506357862487708
Bosnian,0.8787922425816387,0.9134924622538381,0.9149662704866929,0.9559986046976647,0,0.7889302591687996,0.931493766330822,0.7220116206744925,0.7725297126870682,0.9071241668054923,0.9900429041474275,0.9962152342145214,0.8899292192563663,0.8817298331647297,1.078349191030292,0.985684386080704,1.0278811864078927,1.0140197490752447,0.8849483452108969,0.9072970059277151,0.9838338927783062,0.9533645165510456,0.8745901507541608,0.713849441854501,0.9559900922492383,0.9593947637199836,0.85966693058494,0.9166579756869825,0.9405872330029149,0.8788951308932765,0.932357698842282,0.9377233082530639,0.7999323536950513,0.6039860180415428,0.9004711899564612,0.7697841450947768,0.8474596858394409,0.9434214165562673,0.8975508930536455,0.7727775956986952,0.9335388011965453,0.9578778139644846
Bulgarian,0.9624300523241558,0.9510705094366309,0.8799982548074714,0.9745604893887836,0.7889302591687996,0,0.9566986429860571,0.7251279829845703,0.787943363007138,0.9133578692012154,1.005448316040032,0.9638825457513417,0.9134433397774592,0.874660620067325,1.0856627658422349,0.9783828410392641,1.0613547351255213,1.0115569962632025,0.9709613977048188,0.9006379572282401,0.8737602112875826,1.0577930416936685,0.8917359890718333,0.7794268180632876,0.9802015489174687,0.8790010981280151,0.9569198606149473,0.9580879730327271,0.9474788437849281,0.9269295033524197,0.9585523506448864,0.9533795157260602,0.8984063157083801,0.8228529679823091,0.8341225661801194,0.8443554955591267,0.8432233535574536,0.8492265837133031,0.9459236338871923,0.8148197564023388,0.8928230052492464,0.7962350588485791
Catalan,1.0283068209961055,1.0418228623589678,0.9641812232093536,1.063312309338632,0.931493766330822,0.9566986429860571,0,0.8805517008337602,0.9118076759417674,1.0375204770112618,1.0554669653322952,1.0237500244602775,0.907702766193198,0.8525249787668088,1.1438611775734937,1.0659832715977076,1.1399285614336523,1.0964910415400952,1.0202132269228714,0.9816707539481244,0.8240569814828447,1.05090478108658,0.9132940220086768,0.9655539098953589,1.0484440050097168,0.9434630076966759,1.034558048475124,1.0316741881805103,1.0020097141483624,1.0143824152188945,0.8620908616987121,0.9234896276021317,1.0187897733372524,0.9769333213946281,0.9110688959077684,0.9689138445510834,1.010767500872516,0.8107182188544199,1.0153507840072962,0.9579253864582707,1.0103318531717707,0.8872308934908866
Croatian,0.9210066395539162,0.923937877705539,0.8831056124341425,0.9716806926125315,0.7220116206744925,0.7251279829845703,0.8805517008337602,0,0.7515368895574659,0.8879754137836031,0.9796786017164226,0.9441575960335399,0.8896279249323947,0.8450187396793142,1.0784172561345708,0.9882848794580859,1.0423003461334162,1.0372398846442312,0.9392311443845385,0.8570393523342928,0.8656396436316943,1.0116005783896416,0.8755460677109849,0.7840961819301585,0.9607416218088656,0.8816907045695628,0.8959921399454006,0.9245721905810812,0.9265730631899881,0.8530036703831054,0.8927255003772049,0.9248111704825334,0.8596780666346998,0.7338676406112419,0.8231546294083981,0.7615791594007603,0.7912302352924088,0.849955062535971,0.9108805643846122,0.8173422851241615,0.8890767875069983,0.8212687118089808
Czech,0.899843639001679,0.9325600505155262,0.848813500955649,0.9594923031391973,0.7725297126870682,0.787943363007138,0.9118076759417674,0.7515368895574659,0,0.9104702390140879,0.965888237967506,0.9619486612045698,0.8927122887945234,0.8658308282209649,1.0595276005631244,0.9744742921284334,1.0189296339834806,1.0063332317191347,0.9054875672164536,0.9005765001109137,0.902907148946729,0.9352754636881643,0.8699799510495079,0.8170886642291687,0.9356448788046451,0.8773074493036362,0.8909828265164337,0.9217946921470264,0.9556031007901993,0.8562406241386382,0.9362441423851268,0.9107898958596129,0.836161090211903,0.7792233542375341,0.8324651918483353,0.6898716221458118,0.8214608475404043,0.8953860240959605,0.9102761691728173,0.783154895114263,0.8822731756342784,0.8566329451405466
Danish,0.8579410095983692,0.938712132277196,0.8667955463675182,1.039801456168375,0.9071241668054923,0.9133578692012154,1.0375204770112618,0.8879754137836031,0.9104702390140879,0,0.9169558489904296,0.8343408345935429,0.9733449301404029,0.9031510647824704,0.90067451894438,1.0098078365799972,1.1434859431394833,1.052759111166265,0.8100998958915495,0.888296323503168,0.9005650816582873,1.077434739983,0.9287366448943567,0.9670066586264406,1.0252463246516677,0.8614382340812081,0.7866086990796981,1.0094015831547973,0.9165840497977752,1.0196934278851957,0.9725942932915836,0.9761545642480262,1.0367020832871712,0.9497490949014902,0.8248429403668763,0.9727861281128521,0.9939730873069922,0.8973262357714262,0.8177630639210476,0.9378848480491513,0.9349325618058705,0.8038762953818556
Dutch,0.7830020090146348,0.9918953987394875,0.931821584094049,1.0492737815005724,0.9900429041474275,1.005448316040032,1.0554669653322952,0.9796786017164226,0.965888237967506,0.9169558489904296,0,0.8965265227993178,1.0285041839861002,1.0055334037031989,0.9125574507630219,1.0281208429643283,1.1280670612297778,1.0588435054953618,0.9084082805346831,1.0138975762546902,1.0029054622204552,1.0664099447979796,0.9330175883995289,1.0164109837096191,1.0447816424214333,0.9444630283073635,0.9066104151802072,1.0702178230831898,1.024498744471495,1.0437177830994941,1.0480005657766551,1.0287138548202412,1.0719070850439743,1.0201009227465343,0.9341063819130475,1.0264431249760806,1.0106255643011217,1.0143410214436601,0.9050768945275115,0.9868983670110826,0.9989985066225491,0.9218782476438058
English,0.8585500467495107,0.9931877773985256,0.9313787045321821,1.0695793510904033,0.9962152342145214,0.9638825457513417,1.0237500244602775,0.9441575960335399,0.9619486612045698,0.8343408345935429,0.8965265227993178,0,0.9814061117433206,0.946518929155859,0.9323827877781548,1.054282962170557,1.125527808049339,1.0795611612710931,0.9060448372466469,0.9046424474628105,0.9472585247255555,1.1361591072322783,0.9677589732161721,1.0198524260957633,1.044293647834454,0.9591046041595512,0.8376800850198466,1.0241334265497544,0.9997539022574574,1.0543160912443064,0.9776306637356349,1.0198372022206097,1.0593575064062755,1.0339115596285984,0.9281861365836418,0.9942324362474096,1.0237353855533835,0.957446690611784,0.8832124643113881,1.0015736938280542,0.9934862801623857,0.8798468143877763
French,0.9747975959024128,0.9214909009392721,0.9000875502999228,0.9904689766318965,0.8899292192563663,0.9134433397774592,0.907702766193198,0.8896279249323947,0.8927122887945234,0.9733449301404029,1.0285041839861002,0.9814061117433206,0,0.8593078258397301,1.1182510827024754,1.0068286108432312,1.084979604952344,1.0316882887089338,0.9597452470147514,0.9224477424964194,0.8459144088684305,1.0046371452835692,0.910835377651305,0.9354274499451382,0.974857036249906,0.8761687169450636,0.9411126253216423,0.9586221573706314,0.9654451793438411,0.9748095117657063,0.9011212262750333,0.9003265788265143,0.9803358987086409,0.9409168588217903,0.8603307628542832,0.9463336604248709,0.9562624650062431,0.8428982833440721,0.9681382589484826,0.9079586403393021,0.927146877882538,0.8663664921509034
Galician,0.9476891242199588,0.9254655921713176,0.8469146835172919,1.0141648568710528,0.8817298331647297,0.874660620067325,0.8525249787668088,0.8450187396793142,0.8658308282209649,0.9031510647824704,1.0055334037031989,0.946518929155859,0.8593078258397301,0,1.0706951905282889,1.0086807208339077,1.1227483989410196,1.0503218677501722,0.9273770751219246,0.8880780906919429,0.7824758786277748,1.0443809108944249,0.9031183058230664,0.9359513898025557,1.0316626518740561,0.8519870859754021,0.9506961939621296,0.957777218812228,0.9202246939860604,1.0296884394875208,0.7750266929943376,0.9031278496252363,0.9968035260770065,0.9241911480325439,0.8172470406614251,0.9262982731142622,0.9604474627762845,0.6706936860179563,0.9272412235035907,0.9042281628102592,0.919835862711797,0.7847008146408272
German,0.9692224378793926,1.0708125962483659,0.9552237701878538,1.116925750623283,1.078349191030292,1.0856627658422349,1.1438611775734937,1.0784172561345708,1.0595276005631244,0.90067451894438,0.9125574507630219,0.9323827877781548,1.1182510827024754,1.0706951905282889,0,1.047659670422332,1.2121069496203414,1.1234169522477893,0.9635161426968638,1.0171312327028097,1.0432739281493841,1.1701873626673094,0.9679819581056112,1.1253229805429852,1.1270485591819583,1.0124049803085362,0.9823416671613067,1.1076615146520465,1.040293316069276,1.1538663111414298,1.1536928324470062,1.1070914484431602,1.1705183631739897,1.135635303256935,0.9922153518375945,1.133368374935346,1.1064107384450288,1.0707350637857689,0.9199464269071431,1.079337552584112,1.0721264949454583,0.9481951007663034
Greek,1.0364655701439824,1.0282320827038582,0.8990960536210602,1.0854464446105843,0.985684386080704,0.9783828410392641,1.0659832715977076,0.9882848794580859,0.9744742921284334,1.0098078365799972,1.0281208429643283,1.054282962170557,1.0068286108432312,1.0086807208339077,1.047659670422332,0,1.124588913218462,1.072024450372457,0.9736440812319908,1.0131459824236586,1.0103415857723965,1.0568093419752904,0.8599521350374395,1.0294339221254036,1.05643639574938,0.9634172823670321,1.0406672164779673,1.0384516687650092,0.9944432935346498,1.0925052490193552,1.0476594851491632,0.9874102423827836,1.0858347454894344,1.0286567912824593,0.9594210091846969,1.0782744904480734,1.079929598927471,0.987965649231644,0.9887875688624168,0.988600369689498,1.0116545413575904,0.9072064132065475
